Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,12.70,13.70,12.35,12.35,7312,95409
27.09.2018,12.80,13.00,12.80,12.80,320,4115
26.09.2018,12.75,12.80,12.75,12.80,280,3580
25.09.2018,13.00,13.00,12.70,13.00,2207,28564
24.09.2018,13.70,13.70,13.00,13.30,3128,41280
21.09.2018,13.65,13.65,13.20,13.20,1568,20967
20.09.2018,13.40,13.40,13.40,13.40,192,2573
19.09.2018,13.70,13.70,13.40,13.40,2886,38901
18.09.2018,13.55,13.55,13.55,13.55,850,11518
17.09.2018,13.70,13.70,13.70,13.70,776,10631
14.09.2018,13.20,13.70,13.20,13.40,3187,43017
13.09.2018,13.40,13.70,13.35,13.70,1100,14815
12.09.2018,13.80,13.80,13.25,13.65,620,8307
11.09.2018,12.90,13.95,12.90,13.85,5612,75508
10.09.2018,12.30,12.90,12.30,12.65,2053,25903
07.09.2018,12.20,12.30,12.00,12.30,2039,25052
06.09.2018,13.20,13.20,11.90,12.30,13820,173333
05.09.2018,13.90,13.90,13.30,13.40,1769,23993
04.09.2018,14.30,14.30,13.85,13.95,1875,26119
03.09.2018,14.40,14.40,14.00,14.30,1680,24047
31.08.2018,14.80,14.80,14.40,14.70,421,6085
30.08.2018,14.60,14.90,14.60,14.90,3443,50742
29.08.2018,14.10,14.70,14.10,14.60,3078,44326
28.08.2018,14.00,14.10,14.00,14.10,350,4915
27.08.2018,13.60,14.10,13.60,14.10,957,13152
24.08.2018,13.35,13.75,13.35,13.75,235,3141
23.08.2018,13.60,14.20,13.30,13.55,2247,30258
22.08.2018,13.45,13.95,13.45,13.90,1218,16639
21.08.2018,13.80,14.15,13.30,13.95,9162,124533
20.08.2018,14.70,14.70,13.80,13.80,3250,46280
17.08.2018,14.85,15.30,14.60,14.80,12601,187450
16.08.2018,14.10,15.50,13.95,14.20,14318,210657
14.08.2018,14.00,14.00,14.00,14.00,9,126
13.08.2018,14.00,14.00,13.95,13.95,420,5871
10.08.2018,14.05,14.30,13.90,14.15,1370,19171
09.08.2018,14.10,14.10,14.00,14.00,360,5056
08.08.2018,14.25,14.40,14.25,14.40,820,11760
07.08.2018,14.80,14.80,13.95,14.70,5853,84365
06.08.2018,14.50,14.80,14.30,14.80,6460,93622
03.08.2018,13.85,14.85,13.85,14.25,14123,204560
02.08.2018,13.60,13.80,13.30,13.80,2839,38610
01.08.2018,13.10,13.95,12.80,13.60,4659,60689
31.07.2018,13.00,13.40,12.90,13.10,2200,28968
30.07.2018,13.00,13.25,12.80,13.15,3146,40879
27.07.2018,13.40,13.40,12.80,12.80,12810,167052
26.07.2018,13.10,13.40,13.10,13.35,9683,129653
25.07.2018,13.10,13.40,13.00,13.40,1966,25699
24.07.2018,13.40,13.40,13.20,13.40,650,8646
23.07.2018,13.30,13.45,13.25,13.45,787,10485
20.07.2018,13.25,13.30,13.00,13.30,1124,14858
19.07.2018,13.25,13.25,13.10,13.10,221,2927
18.07.2018,13.30,13.30,12.90,13.20,979,12883
17.07.2018,13.40,13.45,12.90,13.20,5154,67528
16.07.2018,13.25,14.30,13.10,13.55,4605,62874
13.07.2018,13.20,13.25,13.05,13.25,1945,25550
12.07.2018,13.30,13.45,13.20,13.25,919,12177
11.07.2018,13.20,13.70,13.20,13.25,6486,87352
10.07.2018,14.00,14.00,13.15,13.15,2906,39350
09.07.2018,14.15,14.60,13.80,13.80,2837,40354
06.07.2018,13.95,15.00,13.70,13.75,3029,42264
05.07.2018,13.60,13.95,13.10,13.95,57258,775077
04.07.2018,14.40,14.40,13.50,13.70,9747,135484
03.07.2018,14.35,14.40,14.00,14.40,140,1977
02.07.2018,14.45,14.45,14.35,14.35,84,1206
29.06.2018,14.00,14.35,13.95,14.35,1698,23933
28.06.2018,13.75,14.45,13.60,14.35,3926,55441
27.06.2018,14.50,14.50,13.40,14.10,9076,126299
26.06.2018,14.70,14.70,14.70,14.70,62,911
25.06.2018,14.70,14.95,14.70,14.95,1961,28889
22.06.2018,14.55,15.00,14.40,15.00,5197,75308
21.06.2018,15.10,15.50,14.55,14.55,15239,224736
20.06.2018,14.75,15.60,14.75,14.80,7181,107569
19.06.2018,16.15,16.15,14.60,14.60,33109,496568
18.06.2018,16.50,16.50,16.20,16.20,1011,16533
15.06.2018,16.15,16.75,16.15,16.40,17333,285188
14.06.2018,16.25,16.55,16.25,16.45,9818,161764
13.06.2018,16.00,16.20,16.00,16.10,2885,46340
12.06.2018,16.00,16.20,15.80,15.80,3726,60139
11.06.2018,15.80,16.20,15.75,15.80,1899,30409
08.06.2018,16.00,16.00,15.70,16.00,5744,91843
07.06.2018,16.10,16.50,16.00,16.00,33708,552857
06.06.2018,15.65,15.95,15.60,15.95,945,14753
05.06.2018,15.70,16.20,15.60,15.65,2071,32500
04.06.2018,15.90,16.30,15.70,15.70,415,6559
01.06.2018,15.70,16.35,15.70,15.90,1272,20221
30.05.2018,16.20,16.50,15.95,16.45,2869,46929
29.05.2018,16.45,16.75,16.00,16.20,1771,28643
28.05.2018,16.00,16.50,15.90,16.40,2450,38999
25.05.2018,16.30,16.40,16.30,16.40,3015,49146
24.05.2018,16.60,16.60,15.60,16.30,9024,147547
23.05.2018,16.20,16.40,16.00,16.30,12182,195757
22.05.2018,16.40,16.80,16.20,16.20,15338,249801
21.05.2018,16.85,16.95,16.55,16.55,3781,63784
18.05.2018,16.50,16.80,16.30,16.80,4360,71454
17.05.2018,16.95,16.95,16.50,16.50,721,12122
16.05.2018,16.85,16.85,16.30,16.65,3424,56486
15.05.2018,16.95,16.95,16.75,16.80,10777,181871
14.05.2018,16.70,16.95,16.65,16.95,3154,52641
11.05.2018,16.90,16.95,16.65,16.70,1141,19181
10.05.2018,16.60,16.95,16.60,16.95,7829,132684
09.05.2018,16.95,16.95,16.70,16.95,2742,46250
08.05.2018,16.90,17.00,16.40,16.95,12633,213109
07.05.2018,16.15,17.10,16.15,16.25,10265,171635
04.05.2018,16.50,16.65,16.10,16.15,4320,70444
02.05.2018,16.60,17.00,16.50,16.90,505,8431
30.04.2018,16.90,17.00,16.80,17.00,475,8026
27.04.2018,17.00,17.50,16.95,16.95,10138,174930
26.04.2018,17.00,17.65,17.00,17.15,4119,71330
25.04.2018,17.50,17.70,16.55,17.70,9462,163383
24.04.2018,17.40,17.80,17.20,17.75,1185,20734
23.04.2018,17.55,17.55,17.30,17.40,2595,45294
20.04.2018,17.20,17.60,17.00,17.60,17050,290280
19.04.2018,17.90,17.90,17.45,17.70,617,10800
18.04.2018,17.00,17.90,16.80,17.90,5810,100620
17.04.2018,17.05,17.10,17.00,17.10,500,8504
16.04.2018,17.40,17.50,16.75,17.20,2313,39436
13.04.2018,17.70,17.70,16.90,17.00,1561,26580
12.04.2018,16.20,17.75,16.20,17.70,30079,522932
11.04.2018,16.50,16.70,16.40,16.70,2470,40870
10.04.2018,15.60,16.25,15.60,16.25,1583,25541
09.04.2018,16.10,16.10,15.55,15.60,689,10838
06.04.2018,16.05,16.05,15.60,15.65,8772,140595
05.04.2018,15.45,16.50,15.45,15.70,1766,27672
04.04.2018,15.30,15.40,15.20,15.40,1307,19942
03.04.2018,15.30,15.30,15.15,15.30,1693,25818
29.03.2018,15.40,15.60,15.30,15.30,3399,52219
28.03.2018,16.15,16.15,15.40,15.40,3259,50749
27.03.2018,16.20,16.20,16.20,16.20,8,130
26.03.2018,15.70,16.20,15.70,16.20,3163,50011
23.03.2018,15.95,15.95,15.55,15.95,1484,23472
22.03.2018,16.15,16.15,15.50,15.75,1938,30788
21.03.2018,16.10,16.10,15.80,16.10,2299,36776
20.03.2018,16.45,16.45,16.00,16.00,6371,103885
19.03.2018,16.40,16.65,16.35,16.65,2538,41610
16.03.2018,16.75,16.75,16.40,16.55,3154,52091
15.03.2018,16.50,16.75,16.50,16.75,1170,19388
14.03.2018,17.20,17.20,16.55,16.95,11343,189685
13.03.2018,17.00,18.00,17.00,17.00,156600,2674398
