Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,2.66,2.90,2.46,2.50,856541,2309109
26.09.2018,2.77,2.85,2.62,2.67,637902,1749693
25.09.2018,2.70,3.14,2.60,2.70,1712285,4888967
24.09.2018,2.30,2.77,2.22,2.73,1138468,2893304
21.09.2018,2.62,2.67,2.40,2.40,699281,1787646
20.09.2018,1.98,2.57,1.94,2.54,1977452,4506786
19.09.2018,2.31,2.31,1.99,2.08,754145,1590777
18.09.2018,2.73,2.73,2.28,2.30,1059801,2615080
17.09.2018,2.76,2.90,2.50,2.67,1524003,4062947
14.09.2018,2.50,2.98,2.24,2.46,4178325,10524425
13.09.2018,2.08,2.54,1.97,2.54,3707927,8636432
12.09.2018,1.54,1.96,1.45,1.96,4370924,7506559
11.09.2018,1.32,1.52,1.29,1.45,1993566,2814432
10.09.2018,1.49,1.62,1.22,1.27,2010934,2789588
07.09.2018,2.16,2.21,1.44,1.44,3349081,6212486
06.09.2018,2.39,2.50,1.85,1.85,908688,1833533
05.09.2018,3.25,3.92,2.91,2.91,519686,1805145
04.09.2018,4.17,4.24,3.32,3.32,295076,1072577
03.09.2018,4.40,4.84,4.05,4.50,532875,2455285
31.08.2018,6.00,6.24,4.80,4.80,464733,2426762
30.08.2018,7.14,7.36,6.96,7.28,53397,376255
29.08.2018,7.40,7.40,7.24,7.28,9788,72148
28.08.2018,7.20,7.38,7.10,7.38,17702,128171
27.08.2018,7.30,7.40,7.06,7.40,27825,198147
24.08.2018,7.30,7.34,7.20,7.32,12757,92254
23.08.2018,7.38,7.38,7.30,7.30,5056,36934
22.08.2018,7.30,7.40,7.20,7.38,11118,81385
21.08.2018,7.50,7.50,7.30,7.42,19392,142796
20.08.2018,7.54,7.54,7.30,7.50,17203,126905
17.08.2018,7.50,7.54,7.42,7.54,18853,141922
16.08.2018,7.52,7.58,7.32,7.50,9222,69284
14.08.2018,7.70,7.76,7.52,7.52,15371,116810
13.08.2018,7.70,7.78,7.60,7.70,4591,35184
10.08.2018,7.80,7.90,7.30,7.72,23545,179820
09.08.2018,7.94,7.96,7.80,7.80,21062,166585
08.08.2018,7.80,7.98,7.80,7.90,9472,74723
07.08.2018,7.98,7.98,7.78,7.80,15424,120990
06.08.2018,7.98,8.12,7.90,7.92,40057,321329
03.08.2018,7.92,8.00,7.80,7.80,50106,395784
02.08.2018,8.28,8.28,7.90,7.90,103277,831181
01.08.2018,7.90,8.20,7.90,8.00,126179,1021618
31.07.2018,7.90,8.16,7.68,7.88,50822,401894
30.07.2018,8.36,8.36,7.74,7.90,129190,1027298
27.07.2018,8.68,8.96,8.60,8.60,15941,140234
26.07.2018,8.68,8.68,8.56,8.66,12722,109308
25.07.2018,8.70,8.70,8.50,8.68,22750,195194
24.07.2018,8.92,8.92,8.52,8.70,1446,12497
23.07.2018,8.82,8.82,8.44,8.50,127512,1088758
20.07.2018,8.98,9.02,8.98,9.00,23780,213974
19.07.2018,8.92,9.04,8.80,8.90,24695,220484
18.07.2018,8.80,9.38,8.72,9.00,82121,747461
17.07.2018,8.30,8.70,8.30,8.60,56691,486313
16.07.2018,8.06,8.36,7.98,8.28,17672,144356
13.07.2018,7.96,8.00,7.90,7.96,68045,539097
12.07.2018,7.80,7.96,7.80,7.96,22150,173407
11.07.2018,7.90,7.90,7.76,7.80,108117,843530
10.07.2018,7.78,7.90,7.78,7.86,8643,67639
09.07.2018,7.66,7.90,7.66,7.78,21943,170154
06.07.2018,7.60,7.64,7.52,7.64,16496,125410
05.07.2018,7.64,7.70,7.58,7.58,18919,144953
04.07.2018,7.70,7.86,7.64,7.64,40186,309540
03.07.2018,7.40,8.00,7.32,7.62,91705,704467
02.07.2018,7.30,7.50,7.22,7.34,83963,612681
29.06.2018,7.30,7.46,7.00,7.46,118997,866785
