Date,Open,Max,Min,Close,Volume,TradeSize
11.10.2018,2.45,2.45,2.35,2.35,3400,7990
25.09.2018,2.39,2.46,2.39,2.46,1030,2526
24.09.2018,2.49,2.49,2.49,2.49,10,25
21.09.2018,2.49,2.49,2.49,2.49,64,159
20.09.2018,2.39,2.39,2.39,2.39,1,2
19.09.2018,2.39,2.39,2.39,2.39,1,2
18.09.2018,2.39,2.39,2.39,2.39,1,2
17.09.2018,2.39,2.39,2.39,2.39,48,115
14.09.2018,2.39,2.39,2.39,2.39,243,581
13.09.2018,2.39,2.39,2.39,2.39,1,2
12.09.2018,2.42,2.42,2.42,2.42,30,73
11.09.2018,2.40,2.52,2.40,2.50,500,1225
10.09.2018,2.66,2.66,2.45,2.45,1848,4531
07.09.2018,2.80,2.80,2.67,2.67,2951,7879
06.09.2018,2.80,2.80,2.80,2.80,1,3
05.09.2018,2.78,2.78,2.78,2.78,1,3
04.09.2018,2.85,2.85,2.85,2.85,1,3
03.09.2018,2.85,2.85,2.81,2.85,342,961
31.08.2018,2.82,2.82,2.82,2.82,1,3
30.08.2018,2.82,2.82,2.82,2.82,1,3
29.08.2018,2.82,2.82,2.82,2.82,1,3
28.08.2018,2.85,2.85,2.85,2.85,1,3
27.08.2018,2.85,2.85,2.85,2.85,1,3
24.08.2018,2.85,2.85,2.85,2.85,1,3
23.08.2018,2.85,2.85,2.85,2.85,1,3
22.08.2018,2.85,2.85,2.85,2.85,2,6
21.08.2018,2.85,2.85,2.85,2.85,2,6
20.08.2018,2.85,2.85,2.70,2.85,902,2436
17.08.2018,2.78,2.78,2.78,2.78,150,417
16.08.2018,2.85,3.04,2.68,2.68,7001,19793
14.08.2018,2.85,2.85,2.85,2.85,1,3
13.08.2018,2.85,2.85,2.85,2.85,1,3
10.08.2018,2.88,2.88,2.88,2.88,1,3
09.08.2018,2.88,2.88,2.88,2.88,1,3
08.08.2018,2.88,2.88,2.75,2.75,1001,2753
07.08.2018,2.88,2.88,2.88,2.88,1,3
06.08.2018,2.88,2.88,2.88,2.88,1,3
03.08.2018,2.88,2.88,2.88,2.88,2,6
02.08.2018,2.92,2.92,2.92,2.92,5,15
01.08.2018,2.90,2.90,2.90,2.90,20,58
31.07.2018,2.89,2.89,2.77,2.77,4,11
30.07.2018,2.75,2.75,2.75,2.75,800,2200
27.07.2018,2.61,2.73,2.61,2.73,416,1087
26.07.2018,2.54,2.65,2.54,2.65,5219,13500
17.07.2018,2.50,2.54,2.50,2.54,3656,9200
12.07.2018,2.39,2.60,2.37,2.48,7342,17517
04.07.2018,2.39,2.39,2.39,2.39,700,1673
02.07.2018,2.39,2.39,2.39,2.39,21,50
26.06.2018,2.49,2.49,2.39,2.39,4680,11185
25.06.2018,2.55,2.55,2.44,2.50,2010,4905
22.06.2018,2.67,2.67,2.46,2.56,7150,18138
21.06.2018,2.98,2.98,2.56,2.56,6810,18077
20.06.2018,2.99,2.99,2.99,2.99,1,3
19.06.2018,2.99,2.99,2.99,2.99,1,3
18.06.2018,2.99,2.99,2.99,2.99,1,3
15.06.2018,2.97,2.97,2.97,2.97,1,3
14.06.2018,2.97,2.97,2.97,2.97,2,6
13.06.2018,2.97,2.97,2.97,2.97,2,6
12.06.2018,2.97,2.97,2.97,2.97,3,9
11.06.2018,2.99,2.99,2.99,2.99,2,6
08.06.2018,2.85,2.88,2.85,2.88,210,599
07.06.2018,2.99,2.99,2.99,2.99,1,3
05.06.2018,2.84,2.90,2.75,2.85,3903,10984
04.06.2018,2.83,2.84,2.83,2.84,2,6
01.06.2018,2.84,2.84,2.84,2.84,400,1136
29.05.2018,2.77,2.84,2.77,2.84,830,2308
28.05.2018,2.73,2.74,2.61,2.74,90,239
25.05.2018,2.61,2.69,2.61,2.69,1250,3359
24.05.2018,2.71,2.74,2.71,2.74,3640,9906
23.05.2018,2.75,2.75,2.71,2.71,54,146
22.05.2018,2.75,2.75,2.65,2.70,5021,13307
21.05.2018,2.78,2.78,2.61,2.70,997,2663
18.05.2018,2.95,2.95,2.76,2.76,3414,9443
17.05.2018,3.14,3.21,2.89,2.95,12781,38030
16.05.2018,2.96,3.06,2.67,3.06,7545,21023
15.05.2018,2.50,2.72,2.50,2.72,4965,13121
14.05.2018,2.44,2.64,2.44,2.51,8514,21469
11.05.2018,2.43,2.43,2.22,2.40,11661,26790
10.05.2018,2.36,2.44,2.36,2.44,1021,2411
09.05.2018,2.35,2.35,2.35,2.35,1,2
08.05.2018,2.26,2.36,2.26,2.36,375,849
07.05.2018,2.14,2.25,2.14,2.25,4738,10307
04.05.2018,2.15,2.15,2.06,2.06,4001,8242
02.05.2018,2.15,2.15,2.15,2.15,1,2
30.04.2018,2.15,2.15,2.15,2.15,1,2
27.04.2018,2.15,2.15,2.15,2.15,1,2
26.04.2018,2.15,2.15,1.97,2.15,203,400
25.04.2018,2.15,2.15,2.15,2.15,1,2
24.04.2018,2.15,2.15,2.15,2.15,1,2
23.04.2018,2.04,2.08,2.04,2.08,251,512
20.04.2018,2.15,2.15,2.04,2.04,1041,2194
19.04.2018,2.15,2.15,2.15,2.15,1,2
17.04.2018,2.00,2.00,1.99,1.99,2,4
16.04.2018,2.15,2.15,2.15,2.15,1,2
13.04.2018,2.15,2.15,2.14,2.14,6,13
12.04.2018,2.14,2.14,1.99,1.99,2,4
11.04.2018,2.00,2.00,1.99,1.99,2,4
10.04.2018,2.14,2.14,1.98,2.00,852,1687
09.04.2018,2.00,2.00,1.97,1.97,2,4
06.04.2018,2.00,2.00,1.91,1.97,4255,8164
05.04.2018,2.15,2.15,1.98,1.98,4451,8850
04.04.2018,1.95,2.01,1.95,2.01,60,118
03.04.2018,2.02,2.02,1.95,1.95,1011,1972
29.03.2018,2.00,2.04,1.97,2.00,4030,8101
28.03.2018,1.99,2.00,1.99,2.00,21450,42839
27.03.2018,2.16,2.16,2.00,2.00,6631,13521
26.03.2018,2.43,2.43,2.19,2.20,4229,9722
23.03.2018,2.48,2.48,2.40,2.40,3804,9148
22.03.2018,2.48,2.48,2.48,2.48,2,5
21.03.2018,2.48,2.48,2.48,2.48,1,2
20.03.2018,2.48,2.48,2.48,2.48,1,2
19.03.2018,2.48,2.48,2.48,2.48,1,2
16.03.2018,2.48,2.48,2.48,2.48,1,2
15.03.2018,2.48,2.48,2.47,2.47,5,12
14.03.2018,2.43,2.43,2.43,2.43,11,27
13.03.2018,2.50,2.50,2.45,2.45,601,1473
12.03.2018,2.50,2.50,2.50,2.50,1,3
09.03.2018,2.55,2.55,2.54,2.54,2,5
08.03.2018,2.69,2.69,2.59,2.59,2901,7514
07.03.2018,2.73,2.73,2.69,2.69,242,652
06.03.2018,2.88,2.88,2.65,2.65,2171,5880
05.03.2018,2.88,2.88,2.75,2.75,121,333
02.03.2018,2.88,2.88,2.77,2.77,1501,4158
01.03.2018,2.88,2.88,2.88,2.88,1,3
28.02.2018,2.88,2.88,2.88,2.88,1,3
27.02.2018,2.87,2.87,2.87,2.87,16,46
26.02.2018,2.87,2.87,2.87,2.87,1,3
23.02.2018,2.89,2.89,2.82,2.87,709,2000
22.02.2018,2.89,2.89,2.89,2.89,2,6
21.02.2018,2.89,2.89,2.89,2.89,2,6
20.02.2018,2.89,2.89,2.89,2.89,2,6
19.02.2018,2.75,2.89,2.75,2.89,11,30
16.02.2018,2.89,2.89,2.88,2.88,401,1155
15.02.2018,2.89,2.89,2.89,2.89,1,3
14.02.2018,2.89,2.89,2.89,2.89,1,3
12.02.2018,2.89,2.89,2.85,2.85,70,200
09.02.2018,3.00,3.00,2.85,2.85,5609,16316
06.02.2018,3.02,3.02,2.95,3.00,6578,19634
02.02.2018,3.20,3.20,3.20,3.20,1589,5085
01.02.2018,3.23,3.23,3.23,3.23,2450,7914
31.01.2018,3.24,3.24,3.24,3.24,1,3
30.01.2018,3.24,3.24,3.24,3.24,1,3
29.01.2018,3.24,3.24,3.24,3.24,2,6
26.01.2018,3.24,3.24,3.24,3.24,2,6
23.01.2018,3.23,3.23,3.23,3.23,600,1938
22.01.2018,3.25,3.27,3.24,3.24,6400,20821
19.01.2018,3.00,3.20,3.00,3.20,1520,4753
18.01.2018,2.98,3.01,2.91,3.01,3579,10485
11.01.2018,2.84,2.84,2.84,2.84,2550,7242
10.01.2018,2.84,2.84,2.84,2.84,397,1127
09.01.2018,2.84,2.84,2.84,2.84,1,3
