Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,11.40,11.40,11.00,11.30,2856,31417
27.09.2018,11.50,11.50,11.50,11.50,1,12
26.09.2018,11.50,11.50,11.50,11.50,1,12
25.09.2018,11.30,11.40,11.30,11.40,223,2534
24.09.2018,11.30,11.30,11.30,11.30,50,565
21.09.2018,10.90,11.40,10.40,11.40,925,10139
20.09.2018,10.40,10.40,10.40,10.40,1,10
19.09.2018,10.40,10.90,10.40,10.90,102,1061
18.09.2018,10.90,10.90,10.90,10.90,46,501
17.09.2018,10.90,10.90,10.90,10.90,11,120
14.09.2018,10.60,10.60,10.60,10.60,301,3191
13.09.2018,10.60,10.60,10.60,10.60,301,3191
12.09.2018,10.60,10.60,10.50,10.60,1424,15049
11.09.2018,11.00,11.00,10.60,10.60,617,6585
10.09.2018,10.80,11.10,10.80,11.10,734,8087
07.09.2018,11.50,11.50,10.70,11.50,169,1811
06.09.2018,11.50,11.50,11.10,11.10,417,4629
05.09.2018,11.90,11.90,11.90,11.90,1,12
04.09.2018,11.90,11.90,10.90,10.90,420,4579
03.09.2018,11.00,11.00,11.00,11.00,68,748
31.08.2018,11.40,11.40,11.00,11.00,199,2189
30.08.2018,11.40,11.40,11.00,11.00,251,2776
29.08.2018,11.20,11.50,11.20,11.50,51,572
28.08.2018,11.20,11.50,11.20,11.50,51,572
27.08.2018,11.40,11.40,11.40,11.40,1,11
24.08.2018,11.40,11.40,11.40,11.40,1,11
23.08.2018,11.40,11.40,11.40,11.40,2,23
22.08.2018,11.40,11.40,11.40,11.40,4,46
21.08.2018,11.90,11.90,11.40,11.40,201,2312
20.08.2018,12.00,12.00,12.00,12.00,1,12
17.08.2018,12.00,12.00,12.00,12.00,2,24
16.08.2018,12.00,12.00,11.50,11.50,102,1179
14.08.2018,12.00,12.00,11.50,11.50,102,1174
13.08.2018,12.00,12.00,12.00,12.00,2,24
10.08.2018,11.80,12.00,11.40,12.00,589,6891
09.08.2018,12.00,12.00,12.00,12.00,2,24
08.08.2018,12.20,12.20,11.80,12.00,138,1630
07.08.2018,12.40,12.40,12.40,12.40,2,25
06.08.2018,12.50,12.50,12.50,12.50,2,25
03.08.2018,12.50,12.50,12.30,12.30,89,1095
