Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,11.50,11.50,11.50,11.50,40,460
31.10.2018,11.55,11.55,11.40,11.40,1510,17366
30.10.2018,11.80,11.80,11.80,11.80,2068,24402
29.10.2018,11.85,11.85,11.85,11.85,77,912
26.10.2018,11.60,11.60,11.35,11.35,150,1710
25.10.2018,11.60,11.90,11.60,11.90,325,3786
24.10.2018,11.70,11.70,11.70,11.70,922,10787
23.10.2018,11.70,11.70,11.60,11.60,300,3490
22.10.2018,11.70,11.70,11.70,11.70,9,105
19.10.2018,11.70,11.70,11.70,11.70,180,2106
18.10.2018,11.70,11.70,11.70,11.70,100,1170
16.10.2018,11.60,11.60,11.50,11.50,1500,17296
15.10.2018,11.75,11.75,11.55,11.55,18409,216274
12.10.2018,11.50,11.50,11.40,11.40,2400,27500
11.10.2018,11.80,11.80,11.50,11.50,4766,55476
10.10.2018,11.90,11.90,11.90,11.90,1210,14399
09.10.2018,12.00,12.10,11.90,11.90,9420,112657
08.10.2018,12.40,12.40,11.85,12.00,7071,84910
03.10.2018,12.90,12.90,12.30,12.30,2413,30412
02.10.2018,12.80,12.80,12.60,12.80,2596,33039
01.10.2018,13.30,13.30,13.25,13.25,430,5699
28.09.2018,13.20,13.35,13.20,13.35,2600,34335
27.09.2018,13.40,13.40,13.20,13.20,3606,47610
25.09.2018,13.00,13.00,12.95,12.95,4670,60560
24.09.2018,13.20,13.20,13.00,13.00,1585,20612
21.09.2018,13.20,13.20,13.20,13.20,8000,105600
20.09.2018,13.30,13.30,13.20,13.20,6386,84357
19.09.2018,13.20,13.40,13.20,13.40,1391,18475
18.09.2018,13.50,13.50,13.50,13.50,1200,16200
17.09.2018,13.00,13.50,13.00,13.50,101,1314
14.09.2018,13.30,13.50,12.70,13.50,3599,47515
12.09.2018,13.20,13.20,13.20,13.20,17921,236557
11.09.2018,13.20,13.20,13.20,13.20,20235,267102
10.09.2018,13.20,13.20,13.20,13.20,42507,561092
07.09.2018,13.30,13.30,13.20,13.20,6230,82261
06.09.2018,13.20,13.30,13.20,13.30,582,7694
05.09.2018,13.30,13.30,13.30,13.30,215,2860
03.09.2018,13.30,13.30,13.30,13.30,700,9310
31.08.2018,13.30,13.30,13.30,13.30,234,3112
30.08.2018,13.30,13.30,13.30,13.30,93,1237
29.08.2018,13.00,13.00,13.00,13.00,1185,15405
28.08.2018,13.35,13.50,12.70,13.00,5288,68921
27.08.2018,13.35,13.80,13.35,13.80,505,6742
22.08.2018,13.75,13.80,13.75,13.80,100,1376
21.08.2018,13.75,13.75,13.75,13.75,80,1100
16.08.2018,13.80,13.80,13.80,13.80,72,994
14.08.2018,13.80,13.80,13.75,13.75,1422,19561
13.08.2018,13.95,13.95,13.75,13.75,1540,21320
10.08.2018,13.90,14.00,13.50,13.95,1103,15232
09.08.2018,14.45,14.45,13.95,14.10,2083,29267
08.08.2018,14.40,14.45,13.80,14.45,1440,20564
07.08.2018,14.50,14.50,14.50,14.50,476,6902
06.08.2018,14.50,14.50,14.50,14.50,100,1450
03.08.2018,14.90,14.90,14.60,14.60,1350,20025
02.08.2018,14.90,14.90,14.90,14.90,1050,15645
01.08.2018,14.95,14.95,14.95,14.95,1180,17641
31.07.2018,14.80,14.95,14.70,14.95,131,1930
30.07.2018,14.70,14.70,14.70,14.70,45,662
27.07.2018,14.50,14.70,14.50,14.70,115,1677
26.07.2018,14.55,14.60,14.50,14.50,895,12994
25.07.2018,14.85,14.85,14.80,14.80,1102,16310
24.07.2018,14.95,14.95,14.70,14.70,1310,19368
23.07.2018,14.70,14.90,14.70,14.70,1246,18537
20.07.2018,14.90,14.90,14.90,14.90,1350,20115
19.07.2018,14.90,14.90,14.90,14.90,1400,20860
18.07.2018,14.90,14.95,14.90,14.95,1421,21174
17.07.2018,14.90,14.90,14.90,14.90,1300,19370
16.07.2018,14.80,14.95,14.60,14.95,1371,20278
13.07.2018,14.80,14.80,14.80,14.80,646,9561
12.07.2018,14.80,14.80,14.80,14.80,10,148
10.07.2018,14.50,15.10,14.50,15.10,1105,16294
09.07.2018,15.15,15.15,14.75,15.10,1043,15578
06.07.2018,15.15,15.15,15.15,15.15,1393,21104
05.07.2018,15.15,15.15,15.00,15.00,66122,991965
04.07.2018,15.15,15.15,15.15,15.15,910,13787
03.07.2018,15.15,15.15,15.15,15.15,1800,27270
02.07.2018,15.20,15.20,15.15,15.15,1803,27316
29.06.2018,15.15,15.25,15.15,15.25,2100,31835
28.06.2018,15.15,15.15,15.15,15.15,2065,31285
27.06.2018,15.30,15.30,14.90,15.15,3094,47023
26.06.2018,15.30,15.30,14.85,15.25,2700,41045
22.06.2018,15.30,15.30,15.30,15.30,2006,30692
21.06.2018,15.35,15.35,15.00,15.00,600,9018
20.06.2018,15.35,15.35,15.35,15.35,2100,32235
19.06.2018,14.80,15.40,14.80,15.40,19153,289466
18.06.2018,15.00,15.40,14.85,15.40,292,4386
13.06.2018,15.25,15.40,14.85,15.40,3853,59030
12.06.2018,14.90,15.30,14.60,15.30,1351,20479
11.06.2018,14.35,15.00,14.35,15.00,1019,14897
08.06.2018,14.25,14.30,14.25,14.30,100,1429
07.06.2018,14.25,14.25,14.25,14.25,800,11400
06.06.2018,14.30,14.30,13.80,14.25,16355,226458
05.06.2018,14.70,14.70,14.40,14.40,11671,169039
04.06.2018,15.25,15.25,14.35,14.50,77380,1158602
01.06.2018,15.95,15.95,15.80,15.95,3200,51025
30.05.2018,15.80,15.95,15.70,15.95,4339,69131
29.05.2018,15.95,16.00,15.90,16.00,3619,57823
28.05.2018,15.55,16.00,15.55,15.95,1413,22421
25.05.2018,15.50,15.80,15.50,15.80,15603,246487
24.05.2018,15.30,15.50,15.30,15.50,1409,21670
23.05.2018,15.30,15.80,15.10,15.80,1793,27691
21.05.2018,15.25,15.85,15.25,15.85,220,3403
18.05.2018,15.25,15.80,15.25,15.80,262,4051
17.05.2018,15.90,15.90,15.50,15.85,30669,475511
16.05.2018,15.70,15.80,15.50,15.80,171895,2664545
15.05.2018,15.50,15.70,15.30,15.70,135906,2112665
14.05.2018,15.25,15.50,15.25,15.50,21184,323067
11.05.2018,15.20,15.25,15.05,15.20,49820,757255
09.05.2018,15.25,15.25,15.15,15.25,471,7171
08.05.2018,15.20,15.25,15.15,15.25,527,8014
07.05.2018,15.20,15.30,15.20,15.25,1271,19363
04.05.2018,15.30,15.30,15.20,15.20,131,1996
02.05.2018,15.30,15.30,15.30,15.30,963,14734
30.04.2018,14.95,15.30,14.95,15.30,461,6992
27.04.2018,15.35,15.35,15.00,15.00,2329,35064
26.04.2018,15.35,15.35,15.25,15.25,490,7499
25.04.2018,15.00,15.35,15.00,15.30,22016,331141
24.04.2018,15.40,15.40,15.00,15.20,6134,93286
23.04.2018,14.90,15.00,14.70,15.00,4030,60293
20.04.2018,15.00,15.40,15.00,15.40,71533,1073595
19.04.2018,15.00,15.00,14.40,14.90,2313,34191
18.04.2018,15.05,15.05,14.90,15.00,2078,31058
17.04.2018,15.15,15.15,15.10,15.15,450,6803
16.04.2018,15.10,15.40,15.10,15.40,187,2860
13.04.2018,15.40,15.40,15.00,15.30,2144,32369
12.04.2018,15.45,15.45,15.45,15.45,203,3136
11.04.2018,15.45,15.45,15.45,15.45,30,464
10.04.2018,15.15,15.50,15.10,15.50,2000,30285
06.04.2018,15.30,15.50,15.00,15.50,9097,138440
04.04.2018,15.60,15.60,15.35,15.60,2875,44300
03.04.2018,16.00,16.00,15.30,15.60,4413,67970
29.03.2018,15.65,16.00,15.65,16.00,1598,25359
28.03.2018,15.90,15.90,15.60,15.85,680,10742
27.03.2018,15.95,15.95,15.55,15.90,1780,28252
26.03.2018,15.70,15.95,15.55,15.95,182,2840
23.03.2018,15.70,15.70,15.70,15.70,1100,17270
22.03.2018,15.90,15.90,15.65,15.90,1046,16620
21.03.2018,15.50,15.90,15.50,15.90,157,2438
20.03.2018,15.50,15.80,15.50,15.80,199,3092
19.03.2018,15.55,15.70,15.50,15.70,819,12730
15.03.2018,15.80,15.80,15.55,15.75,1089,17051
14.03.2018,15.75,15.75,15.75,15.75,400,6300
12.03.2018,15.70,15.70,15.55,15.70,143,2236
09.03.2018,15.70,15.70,15.60,15.70,303,4737
08.03.2018,15.70,15.70,15.45,15.70,317,4948
07.03.2018,15.40,15.60,15.10,15.55,4040,61884
06.03.2018,15.80,15.80,15.35,15.80,261,4076
05.03.2018,15.60,15.80,15.60,15.80,616,9629
02.03.2018,15.90,15.90,15.70,15.70,14714,233827
01.03.2018,15.95,16.00,15.60,16.00,493,7737
28.02.2018,16.10,16.10,15.70,16.05,4189,67102
27.02.2018,16.20,16.20,16.05,16.05,1126,18124
26.02.2018,15.25,16.20,15.25,16.20,1185,18793
23.02.2018,15.40,15.80,15.40,15.80,740,11456
22.02.2018,15.40,15.40,15.30,15.40,1060,16264
21.02.2018,15.40,15.40,15.40,15.40,3183,49018
20.02.2018,15.50,15.50,15.40,15.50,14282,221300
19.02.2018,15.50,15.50,15.50,15.50,10000,155000
16.02.2018,15.50,15.50,15.50,15.50,1250,19375
15.02.2018,15.50,15.50,15.50,15.50,1900,29450
14.02.2018,15.15,15.50,15.15,15.50,3070,47561
13.02.2018,15.50,15.50,15.50,15.50,585,9068
12.02.2018,15.70,15.70,15.35,15.50,6354,98149
09.02.2018,15.70,15.70,15.40,15.70,950,14678
08.02.2018,15.35,15.70,15.35,15.70,794,12382
07.02.2018,15.35,15.55,15.00,15.55,18969,293738
06.02.2018,15.05,15.40,14.60,15.40,7098,106953
05.02.2018,15.30,15.30,15.20,15.20,330,5019
02.02.2018,15.50,15.50,15.30,15.30,3150,48240
01.02.2018,15.50,15.50,15.50,15.50,170,2635
31.01.2018,15.50,15.50,15.00,15.50,58896,884387
30.01.2018,15.80,15.80,15.55,15.55,8497,132156
29.01.2018,15.80,15.80,15.75,15.80,5118,80859
26.01.2018,15.80,15.80,15.70,15.80,13064,206149
25.01.2018,15.70,15.70,15.60,15.70,416,6508
24.01.2018,15.55,15.80,15.50,15.75,405,6310
23.01.2018,15.60,15.75,15.60,15.75,442,6897
22.01.2018,15.80,15.80,15.55,15.60,1033,16104
19.01.2018,15.80,15.80,15.70,15.70,3297,51790
18.01.2018,15.90,15.90,15.75,15.80,4209,66490
17.01.2018,16.00,16.20,15.90,15.90,4465,71411
16.01.2018,16.15,16.20,15.85,16.20,3141,50788
15.01.2018,16.20,16.20,16.10,16.10,3689,59554
12.01.2018,16.25,16.25,15.90,16.20,2510,40389
11.01.2018,16.00,16.25,16.00,16.25,124,1994
10.01.2018,16.00,16.00,16.00,16.00,2953,47248
09.01.2018,16.20,16.20,16.00,16.00,4374,70004
08.01.2018,16.00,16.00,15.85,16.00,54430,870838
05.01.2018,15.90,16.00,15.90,16.00,1469,23377
04.01.2018,16.20,16.20,15.90,15.90,12918,208976
03.01.2018,16.20,16.40,16.00,16.40,1210,19614
29.12.2017,15.93,16.40,15.93,16.40,1272,20823
28.12.2017,16.00,16.30,15.56,16.30,799,12787
27.12.2017,16.12,16.12,16.03,16.03,575,9230
22.12.2017,16.21,16.48,16.21,16.48,1377,22589
21.12.2017,16.16,16.47,16.16,16.21,1592,26116
20.12.2017,16.05,16.73,16.05,16.51,2622,42567
19.12.2017,16.15,16.60,16.15,16.60,2098,34357
18.12.2017,16.40,16.75,16.40,16.71,3159,52625
15.12.2017,15.85,16.38,15.85,16.38,5562,89318
14.12.2017,15.39,15.85,15.39,15.85,5755,89798
13.12.2017,15.30,15.39,15.30,15.39,3917,59947
12.12.2017,15.31,15.31,15.30,15.30,196,3000
11.12.2017,15.29,15.40,15.29,15.30,251,3840
08.12.2017,15.40,15.40,15.39,15.40,1950,30030
07.12.2017,15.40,15.40,15.40,15.40,750,11550
06.12.2017,15.40,15.40,15.40,15.40,250,3850
05.12.2017,15.29,15.29,15.29,15.29,535,8180
04.12.2017,15.10,15.43,15.10,15.43,1190,18111
01.12.2017,14.85,15.15,14.85,15.00,11195,167861
30.11.2017,14.44,15.15,14.40,14.70,13437,200142
29.11.2017,14.29,14.51,14.28,14.30,15924,230985
28.11.2017,14.30,14.78,14.28,14.78,501,7211
27.11.2017,14.80,14.80,14.29,14.29,84,1241
24.11.2017,14.40,14.40,14.29,14.40,377,5413
23.11.2017,14.50,14.50,14.40,14.40,4398,63349
22.11.2017,14.40,14.50,14.40,14.50,7204,103899
21.11.2017,14.40,14.40,14.35,14.40,470,6762
20.11.2017,14.79,14.79,14.27,14.35,620,8895
17.11.2017,14.50,14.67,14.26,14.67,640,9174
16.11.2017,14.31,14.68,14.30,14.68,259,3710
15.11.2017,14.33,14.40,14.31,14.40,210,3008
14.11.2017,14.40,14.40,14.31,14.40,1448,20846
13.11.2017,14.50,14.50,14.40,14.40,1646,23715
10.11.2017,14.60,14.60,14.40,14.41,976,14081
09.11.2017,14.75,14.75,14.50,14.69,560,8171
08.11.2017,14.71,14.75,14.70,14.75,1420,20907
02.11.2017,15.00,15.00,14.85,14.95,986,14714
31.10.2017,15.20,15.20,15.20,15.20,40,608
30.10.2017,14.80,14.80,14.80,14.80,7334,108543
27.10.2017,14.81,15.00,14.80,15.00,12665,188837
26.10.2017,14.80,14.80,14.80,14.80,750,11100
25.10.2017,15.00,15.00,14.75,14.80,1160,17306
24.10.2017,15.00,15.00,15.00,15.00,3285,49275
23.10.2017,15.00,15.20,14.95,14.95,1298,19416
20.10.2017,15.00,15.00,15.00,15.00,30109,451635
19.10.2017,15.30,15.30,14.90,14.90,11550,173215
18.10.2017,15.30,15.30,15.30,15.30,570,8721
17.10.2017,15.30,15.38,15.30,15.38,633,9690
16.10.2017,15.35,15.35,15.30,15.30,648,9944
13.10.2017,15.40,15.40,15.35,15.35,1000,15375
12.10.2017,15.40,15.40,15.40,15.40,300,4620
11.10.2017,15.39,15.40,15.39,15.40,855,13166
10.10.2017,15.39,15.39,15.29,15.29,605,9261
09.10.2017,15.10,15.10,15.10,15.10,1103,16655
06.10.2017,15.00,15.00,15.00,15.00,4437,66555
05.10.2017,14.83,14.85,14.83,14.85,655,9725
04.10.2017,14.72,14.73,14.70,14.70,781,11494
29.09.2017,14.71,14.71,14.50,14.70,2254,33061
28.09.2017,14.95,14.95,14.70,14.70,1589,23684
27.09.2017,14.44,14.95,14.44,14.94,985,14392
26.09.2017,14.46,14.46,14.26,14.30,2436,35088
25.09.2017,14.56,14.56,14.52,14.52,1436,20899
22.09.2017,15.09,15.11,14.40,14.55,2744,40540
21.09.2017,14.94,15.10,14.90,15.10,3390,50897
20.09.2017,15.00,15.00,14.75,14.95,15864,234206
19.09.2017,15.03,15.03,15.00,15.00,1251,18776
18.09.2017,14.99,15.00,14.99,15.00,155,2324
15.09.2017,14.70,15.00,14.70,15.00,1990,29392
14.09.2017,14.50,14.69,14.50,14.69,140,2047
13.09.2017,14.25,14.50,14.24,14.24,496,7073
12.09.2017,14.70,14.70,14.70,14.70,402,5909
11.09.2017,14.70,14.70,14.15,14.70,6560,95567
08.09.2017,14.70,14.70,14.70,14.70,359,5277
07.09.2017,14.95,15.00,14.74,14.74,6393,95242
06.09.2017,15.15,15.15,14.92,14.92,34926,521159
05.09.2017,15.39,15.39,15.19,15.25,315,4805
04.09.2017,15.30,15.40,15.30,15.40,245,3754
01.09.2017,15.15,15.15,15.15,15.15,100,1515
31.08.2017,15.40,15.40,15.15,15.15,915,14031
30.08.2017,15.25,15.25,15.25,15.25,85,1296
29.08.2017,14.92,15.10,14.92,15.10,282,4247
28.08.2017,14.90,15.39,14.90,15.39,298,4539
25.08.2017,15.30,15.30,15.30,15.30,700,10710
24.08.2017,15.39,15.39,15.35,15.35,266,4091
22.08.2017,15.35,15.35,15.35,15.35,90,1382
18.08.2017,15.40,15.40,15.40,15.40,14,216
17.08.2017,15.00,15.40,15.00,15.40,520,7808
16.08.2017,15.45,15.45,15.45,15.45,91,1406
14.08.2017,15.45,15.45,15.45,15.45,2,31
11.08.2017,15.32,15.32,14.85,15.32,171,2573
10.08.2017,15.30,15.30,15.30,15.30,250,3825
09.08.2017,14.90,15.30,14.90,15.30,332,4978
08.08.2017,15.25,15.32,15.00,15.30,1090,16607
07.08.2017,15.35,15.35,15.35,15.35,500,7675
04.08.2017,15.69,15.69,15.69,15.69,700,10983
01.08.2017,15.90,16.00,15.90,15.90,25846,410989
31.07.2017,15.50,15.89,15.50,15.89,22158,344291
28.07.2017,15.89,15.89,15.70,15.89,229,3615
27.07.2017,15.89,15.89,15.89,15.89,2,32
25.07.2017,15.35,15.79,15.27,15.74,2675,41610
24.07.2017,15.40,15.88,15.40,15.88,1322,20651
21.07.2017,15.41,15.75,14.05,15.75,8794,133733
20.07.2017,15.51,16.04,15.51,16.04,1002,15542
19.07.2017,15.89,16.05,15.89,16.05,212,3371
18.07.2017,15.75,15.89,15.75,15.89,469,7387
14.07.2017,15.55,15.55,15.55,15.55,200,3110
13.07.2017,15.75,15.75,15.60,15.60,20,314
12.07.2017,15.50,15.50,15.20,15.20,7148,110791
11.07.2017,15.70,15.70,15.50,15.50,666,10433
10.07.2017,15.50,15.50,15.50,15.50,1150,17825
07.07.2017,15.55,15.55,15.50,15.50,2641,40940
05.07.2017,15.10,15.75,15.10,15.75,286,4427
04.07.2017,15.55,15.55,15.50,15.55,663,10294
03.07.2017,15.65,15.65,15.55,15.55,814,12717
30.06.2017,15.90,15.90,15.71,15.90,7267,114595
29.06.2017,15.90,15.90,15.90,15.90,3412,54251
28.06.2017,16.05,16.05,16.05,16.05,79,1268
27.06.2017,16.00,16.00,16.00,16.00,150,2400
26.06.2017,16.00,16.15,16.00,16.00,598,9626
22.06.2017,16.00,16.00,16.00,16.00,349,5584
21.06.2017,16.00,16.00,16.00,16.00,71,1136
20.06.2017,16.08,16.08,16.00,16.00,604,9695
19.06.2017,16.30,16.30,16.10,16.10,957,15435
16.06.2017,16.20,16.30,16.20,16.30,300,4870
14.06.2017,16.20,16.39,16.11,16.12,10508,171880
13.06.2017,16.30,16.40,16.17,16.40,881,14277
12.06.2017,16.74,16.74,16.40,16.40,307,5093
09.06.2017,16.64,16.74,16.28,16.73,7783,128844
08.06.2017,16.10,16.65,15.84,16.64,1564,25525
07.06.2017,16.49,16.49,16.20,16.20,2030,32893
06.06.2017,16.30,16.35,16.14,16.35,61682,995797
05.06.2017,16.10,16.30,16.10,16.30,78598,1265490
02.06.2017,15.85,16.00,15.70,16.00,3648,58018
01.06.2017,16.40,16.43,16.40,16.43,200,3282
30.05.2017,16.93,17.00,16.75,16.75,4419,74544
29.05.2017,16.93,16.94,16.74,16.90,4103,69042
26.05.2017,16.69,16.78,16.65,16.65,1465,24467
25.05.2017,16.40,16.80,16.40,16.80,4207,70169
24.05.2017,16.50,16.60,16.40,16.40,539,8900
23.05.2017,16.55,16.65,15.90,16.50,25520,421014
22.05.2017,16.07,16.50,15.90,15.90,25004,411758
19.05.2017,16.15,16.15,15.52,16.10,56,870
18.05.2017,15.51,15.51,15.51,15.51,1,16
17.05.2017,15.82,15.82,15.51,15.81,3134,49254
16.05.2017,15.52,15.52,15.52,15.52,81,1257
15.05.2017,15.70,15.80,15.32,15.80,1206,18636
12.05.2017,15.77,15.79,15.77,15.79,1720,27131
11.05.2017,15.40,15.78,15.36,15.77,7598,117359
10.05.2017,15.50,15.50,15.30,15.36,30184,461825
09.05.2017,16.30,16.30,15.16,15.50,5075,79582
08.05.2017,16.34,16.34,16.20,16.20,500,8142
05.05.2017,16.40,16.80,16.20,16.34,2044,33315
04.05.2017,16.88,16.88,16.80,16.80,1007,16942
02.05.2017,16.60,16.86,16.60,16.86,568,9452
28.04.2017,16.31,16.85,16.00,16.85,3180,52317
27.04.2017,16.90,16.95,16.80,16.80,3709,62673
26.04.2017,16.97,16.97,16.70,16.95,583,9850
25.04.2017,16.97,16.97,16.75,16.97,833,14042
24.04.2017,16.90,16.97,16.90,16.97,1894,32061
21.04.2017,16.74,16.74,16.60,16.70,4727,78687
20.04.2017,16.20,16.50,16.20,16.50,2241,36849
19.04.2017,15.96,16.20,15.96,16.18,4945,79983
18.04.2017,15.95,16.19,15.95,16.19,6493,103564
13.04.2017,16.40,16.40,15.45,16.20,2962,47214
12.04.2017,15.74,16.50,15.74,16.00,20649,330593
11.04.2017,15.74,15.74,15.60,15.73,105,1645
10.04.2017,15.82,15.82,15.82,15.82,300,4746
07.04.2017,15.61,15.75,15.61,15.66,5760,90341
06.04.2017,15.61,15.61,15.61,15.61,3,47
05.04.2017,15.40,15.40,15.25,15.25,700,10720
04.04.2017,15.28,15.60,15.28,15.60,8303,128845
31.03.2017,15.13,15.25,15.13,15.25,1772,26928
30.03.2017,15.12,15.13,15.12,15.13,250,3781
29.03.2017,15.02,15.12,15.02,15.12,457,6884
28.03.2017,14.94,14.94,14.90,14.90,359,5355
27.03.2017,14.93,15.00,14.93,15.00,300,4490
24.03.2017,15.00,15.00,15.00,15.00,2818,42270
23.03.2017,15.05,15.05,15.05,15.05,89557,1347833
22.03.2017,14.73,15.16,14.73,15.16,215,3181
20.03.2017,15.10,15.20,14.70,15.20,23702,353278
17.03.2017,15.05,15.05,15.00,15.05,1893,28485
16.03.2017,15.05,15.05,14.66,15.00,79,1187
15.03.2017,15.10,15.10,14.75,14.75,807,12008
14.03.2017,15.10,15.10,15.10,15.10,2,30
13.03.2017,15.19,15.19,14.56,15.00,2302,34478
10.03.2017,14.98,15.00,14.98,15.00,5261,78906
09.03.2017,15.00,15.00,15.00,15.00,3,45
08.03.2017,14.80,14.80,14.80,14.80,485,7178
07.03.2017,15.00,15.00,15.00,15.00,29,435
06.03.2017,14.91,15.20,14.55,15.20,242,3613
03.03.2017,15.01,15.10,15.01,15.10,1229,18553
02.03.2017,15.00,15.00,15.00,15.00,356,5340
01.03.2017,14.99,15.00,14.99,15.00,1260,18890
28.02.2017,14.99,14.99,14.99,14.99,26,390
27.02.2017,14.99,14.99,14.90,14.91,1048,15670
24.02.2017,15.00,15.00,14.70,14.70,332,4942
23.02.2017,14.75,15.00,14.75,15.00,298,4396
22.02.2017,15.00,15.00,15.00,15.00,370,5550
21.02.2017,15.00,15.00,15.00,15.00,159,2385
20.02.2017,15.00,15.00,14.51,15.00,857,12726
17.02.2017,15.02,15.14,14.38,14.38,6060,89136
16.02.2017,15.02,15.10,15.01,15.01,715,10739
15.02.2017,15.01,15.01,15.01,15.01,200,3002
14.02.2017,15.00,15.00,15.00,15.00,99,1485
13.02.2017,15.25,15.55,15.00,15.55,1609,24449
10.02.2017,15.25,15.55,15.25,15.55,750,11625
09.02.2017,15.59,15.59,15.40,15.40,409,6352
08.02.2017,15.40,15.40,15.40,15.40,16,246
07.02.2017,15.50,15.57,15.50,15.57,1382,21491
03.02.2017,15.58,15.58,15.45,15.50,1094,16952
02.02.2017,15.50,15.50,15.00,15.00,580,8704
01.02.2017,15.59,15.59,15.59,15.59,80,1247
31.01.2017,15.67,15.67,15.60,15.60,776,12109
30.01.2017,15.67,15.67,15.67,15.67,1125,17629
27.01.2017,15.50,15.50,15.50,15.50,1510,23405
26.01.2017,15.50,15.50,15.50,15.50,105,1628
25.01.2017,15.59,15.59,15.01,15.59,4054,63176
24.01.2017,15.40,15.60,14.91,15.60,4638,71971
23.01.2017,14.90,15.40,14.90,15.40,1045,15890
20.01.2017,15.01,15.40,15.00,15.01,4984,74809
19.01.2017,15.49,15.49,15.21,15.21,311,4794
18.01.2017,15.50,15.50,15.50,15.50,2,31
17.01.2017,15.52,15.52,15.52,15.52,2,31
16.01.2017,15.60,15.60,15.20,15.30,1365,21097
13.01.2017,15.59,15.59,15.20,15.21,113,1721
12.01.2017,15.25,15.60,15.25,15.60,10010,152931
11.01.2017,15.24,15.25,15.24,15.25,1050,16012
