Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,3.02,3.13,3.02,3.13,9405,28598
27.09.2018,3.22,3.22,3.00,3.11,6246,19335
26.09.2018,3.22,3.23,3.22,3.22,4162,13407
25.09.2018,3.33,3.34,3.22,3.34,282,934
24.09.2018,3.33,3.50,3.33,3.50,2,7
21.09.2018,3.42,3.42,3.30,3.30,6787,22432
20.09.2018,3.38,3.42,3.22,3.36,19484,65193
18.09.2018,3.38,3.38,3.38,3.38,500,1690
17.09.2018,3.55,3.55,3.36,3.38,5065,17041
14.09.2018,3.59,3.59,3.24,3.58,42,144
13.09.2018,3.30,3.30,3.30,3.30,1,3
12.09.2018,3.30,3.30,3.30,3.30,52,172
11.09.2018,3.30,3.32,3.30,3.32,101,335
10.09.2018,3.22,3.22,3.22,3.22,13,42
07.09.2018,3.59,3.59,3.20,3.32,5105,16726
06.09.2018,3.59,3.59,3.40,3.40,66,225
05.09.2018,3.33,3.33,3.33,3.33,3004,10003
04.09.2018,3.58,3.58,3.23,3.33,18442,61386
03.09.2018,3.72,3.72,3.58,3.58,3042,10893
31.08.2018,3.72,3.72,3.72,3.72,1,4
30.08.2018,3.72,3.72,3.70,3.70,37,137
29.08.2018,3.67,3.70,3.65,3.70,39412,145009
28.08.2018,3.78,3.78,3.66,3.69,1688,6229
27.08.2018,3.78,3.78,3.70,3.70,291,1077
24.08.2018,3.67,3.70,3.67,3.70,3300,12128
23.08.2018,3.84,3.84,3.70,3.80,17794,66793
22.08.2018,3.66,3.84,3.60,3.84,14631,53390
21.08.2018,3.84,3.84,3.84,3.84,1,4
20.08.2018,3.85,3.85,3.53,3.84,3023,11029
17.08.2018,3.85,3.85,3.60,3.60,24,89
16.08.2018,3.80,3.85,3.61,3.85,1388,5092
14.08.2018,3.85,3.85,3.85,3.85,2,8
13.08.2018,3.85,3.85,3.85,3.85,2,8
10.08.2018,3.82,3.85,3.70,3.85,11783,44123
09.08.2018,3.82,3.82,3.77,3.82,3103,11698
08.08.2018,3.83,3.83,3.83,3.83,2,8
07.08.2018,3.84,3.84,3.84,3.84,2,8
06.08.2018,3.84,3.84,3.83,3.84,204,781
03.08.2018,3.85,3.85,3.84,3.84,32,123
02.08.2018,3.85,3.85,3.82,3.85,304,1161
01.08.2018,3.86,3.86,3.83,3.85,154,590
31.07.2018,3.87,3.87,3.73,3.83,4291,16145
30.07.2018,3.87,3.90,3.75,3.90,13573,51904
27.07.2018,3.87,3.87,3.87,3.87,2,8
26.07.2018,3.87,3.87,3.87,3.87,2,8
25.07.2018,3.88,3.88,3.75,3.87,1254,4726
24.07.2018,3.88,3.88,3.75,3.88,4496,16968
23.07.2018,3.89,3.89,3.86,3.89,1088,4202
20.07.2018,3.89,3.89,3.89,3.89,348,1354
19.07.2018,3.89,3.89,3.75,3.89,222,836
18.07.2018,3.89,3.89,3.89,3.89,2,8
17.07.2018,3.90,3.90,3.88,3.88,2200,8570
16.07.2018,3.90,3.90,3.77,3.90,4685,17696
13.07.2018,3.92,3.92,3.92,3.92,2,8
12.07.2018,3.92,3.92,3.81,3.91,482,1837
11.07.2018,3.94,3.94,3.78,3.78,1572,6035
10.07.2018,3.93,3.95,3.93,3.93,60,236
09.07.2018,3.96,3.96,3.96,3.96,2,8
06.07.2018,3.98,3.98,3.98,3.98,2,8
05.07.2018,3.98,3.98,3.93,3.93,475,1867
04.07.2018,3.98,3.98,3.98,3.98,2,8
