Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,0.83,0.83,0.83,0.83,50,42
27.09.2018,0.83,0.83,0.79,0.79,2710,2141
26.09.2018,0.78,0.84,0.78,0.79,30994,25258
24.09.2018,0.81,0.81,0.81,0.81,10,8
21.09.2018,0.81,0.81,0.76,0.76,5503,4202
20.09.2018,0.82,0.82,0.76,0.76,2788,2119
19.09.2018,0.77,0.77,0.77,0.77,2799,2155
18.09.2018,0.77,0.82,0.76,0.82,19511,14909
14.09.2018,0.77,0.83,0.76,0.83,29452,22939
13.09.2018,0.78,0.84,0.76,0.84,17728,13748
12.09.2018,0.82,0.82,0.78,0.78,5498,4302
11.09.2018,0.80,0.80,0.80,0.80,12670,10136
10.09.2018,0.80,0.81,0.80,0.80,6450,5192
07.09.2018,0.82,0.83,0.82,0.83,3555,2931
06.09.2018,0.77,0.84,0.77,0.83,37403,30485
05.09.2018,0.81,0.81,0.77,0.77,11643,8966
04.09.2018,0.82,0.83,0.77,0.77,14310,11175
31.08.2018,0.79,0.79,0.79,0.79,15590,12316
30.08.2018,0.79,0.84,0.78,0.84,8191,6422
29.08.2018,0.85,0.85,0.79,0.79,20190,16200
28.08.2018,0.85,0.85,0.79,0.85,17266,14105
27.08.2018,0.89,0.89,0.80,0.84,61310,50185
24.08.2018,0.85,0.85,0.77,0.83,104798,83840
23.08.2018,0.87,0.91,0.82,0.82,87900,75243
22.08.2018,0.91,0.93,0.86,0.91,35746,32183
21.08.2018,0.97,0.99,0.90,0.91,247093,225648
20.08.2018,1.00,1.00,0.96,0.96,35000,34458
17.08.2018,1.03,1.04,1.03,1.04,4580,4731
16.08.2018,1.00,1.03,0.98,1.03,1873,1845
14.08.2018,1.08,1.08,1.00,1.00,81680,84370
10.08.2018,1.15,1.15,1.10,1.10,7000,8000
09.08.2018,1.13,1.22,1.13,1.22,36373,43433
03.08.2018,1.13,1.14,1.13,1.14,8500,9614
01.08.2018,1.12,1.13,1.12,1.13,1000,1123
31.07.2018,1.08,1.12,1.08,1.12,10250,11210
30.07.2018,1.01,1.08,1.01,1.08,13691,13845
27.07.2018,1.07,1.07,1.01,1.01,15360,16075
26.07.2018,1.10,1.10,1.07,1.08,29498,31852
23.07.2018,1.10,1.10,1.10,1.10,3000,3300
19.07.2018,1.18,1.20,1.18,1.20,8441,10048
18.07.2018,1.17,1.19,1.17,1.19,10000,11825
17.07.2018,1.14,1.17,1.14,1.17,4000,4639
16.07.2018,1.09,1.09,1.09,1.09,10,11
13.07.2018,1.05,1.20,1.03,1.20,70550,77064
12.07.2018,1.00,1.05,1.00,1.05,14190,14682
11.07.2018,0.99,1.03,0.99,1.03,24025,24335
10.07.2018,1.02,1.04,1.02,1.04,1500,1547
09.07.2018,0.98,1.02,0.98,1.02,40000,40278
05.07.2018,1.00,1.00,1.00,1.00,20,20
04.07.2018,0.97,0.97,0.93,0.96,38332,36295
03.07.2018,0.97,1.04,0.97,1.02,22118,22266
02.07.2018,0.93,0.97,0.93,0.97,5401,5047
28.06.2018,0.95,1.02,0.95,1.02,250,238
26.06.2018,0.95,0.98,0.95,0.98,991,944
25.06.2018,0.97,0.97,0.97,0.97,1000,970
21.06.2018,0.97,0.97,0.97,0.97,202,196
20.06.2018,0.95,1.02,0.95,1.02,2620,2501
19.06.2018,0.91,0.98,0.91,0.98,3590,3422
18.06.2018,0.96,0.96,0.96,0.96,20,19
15.06.2018,0.95,0.95,0.95,0.95,1123,1067
14.06.2018,0.91,0.95,0.91,0.95,151,137
13.06.2018,0.95,0.95,0.95,0.95,1500,1425
12.06.2018,0.94,0.96,0.94,0.96,8001,7521
11.06.2018,0.94,0.98,0.94,0.98,3898,3665
08.06.2018,0.98,0.99,0.96,0.99,30320,29317
07.06.2018,0.98,1.02,0.98,1.02,4011,3985
06.06.2018,1.03,1.03,0.99,1.03,504,503
05.06.2018,1.02,1.02,1.02,1.02,2880,2938
04.06.2018,1.02,1.02,1.02,1.02,2620,2672
01.06.2018,1.04,1.04,1.04,1.04,100,104
30.05.2018,1.00,1.04,1.00,1.04,7550,7552
29.05.2018,1.00,1.04,0.96,1.04,17120,16510
28.05.2018,1.00,1.05,0.95,1.05,5829,5606
25.05.2018,1.01,1.03,0.95,1.03,16875,16192
24.05.2018,1.03,1.03,0.98,0.98,57710,57020
23.05.2018,1.07,1.07,1.00,1.07,29073,29965
22.05.2018,1.12,1.12,1.06,1.12,1864,1976
21.05.2018,1.12,1.12,1.05,1.05,7844,8783
18.05.2018,1.05,1.12,1.04,1.12,47501,51656
17.05.2018,1.05,1.09,1.05,1.09,11753,12341
16.05.2018,1.04,1.10,1.04,1.10,7050,7370
15.05.2018,1.12,1.12,1.12,1.12,90,101
14.05.2018,1.04,1.12,1.04,1.11,30789,33383
11.05.2018,1.00,1.07,1.00,1.07,5852,5852
10.05.2018,1.03,1.07,1.00,1.07,15307,15562
09.05.2018,1.03,1.06,0.97,1.06,16488,16297
08.05.2018,1.05,1.10,1.00,1.00,34578,35481
07.05.2018,1.11,1.14,1.00,1.11,48473,50753
04.05.2018,0.98,1.07,0.98,1.07,56683,59040
02.05.2018,0.96,0.99,0.93,0.93,40217,38162
30.04.2018,1.00,1.02,0.95,0.95,15045,14957
27.04.2018,1.00,1.02,1.00,1.01,12851,12935
26.04.2018,1.00,1.02,0.95,1.02,46259,45136
25.04.2018,1.08,1.08,0.98,0.98,129567,128761
24.04.2018,1.15,1.15,1.04,1.04,43054,46396
23.04.2018,1.23,1.26,1.14,1.14,50166,60372
20.04.2018,1.25,1.33,1.25,1.30,10218,13089
19.04.2018,1.39,1.47,1.27,1.27,24503,32317
18.04.2018,1.43,1.51,1.36,1.36,38405,56022
17.04.2018,1.27,1.49,1.22,1.43,54169,75267
16.04.2018,1.37,1.37,1.27,1.29,30701,40325
13.04.2018,1.09,1.35,1.09,1.35,242120,302277
12.04.2018,1.09,1.13,1.04,1.09,74364,79789
11.04.2018,1.16,1.27,1.09,1.16,181519,217730
10.04.2018,0.91,1.11,0.91,1.11,243181,242983
09.04.2018,0.86,0.92,0.86,0.92,12292,11046
06.04.2018,0.89,0.91,0.89,0.91,4600,4134
03.04.2018,0.93,0.93,0.87,0.92,23525,20844
29.03.2018,0.90,0.93,0.86,0.93,49023,44134
28.03.2018,0.91,0.93,0.82,0.87,624755,548300
27.03.2018,0.97,0.97,0.93,0.95,6102,5748
