Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,9.78,9.78,9.78,9.78,10,98
31.10.2018,9.60,9.60,9.60,9.60,2,19
30.10.2018,9.70,9.70,9.70,9.70,2,19
29.10.2018,9.80,9.80,9.78,9.78,2,20
26.10.2018,9.82,9.82,9.82,9.82,2,20
25.10.2018,9.86,9.86,9.84,9.84,97,955
24.10.2018,9.88,9.88,9.88,9.88,134,1324
23.10.2018,9.84,9.84,9.80,9.82,132,1294
22.10.2018,9.84,9.84,9.84,9.84,266,2617
19.10.2018,9.86,9.86,9.86,9.86,265,2613
18.10.2018,9.92,9.92,9.88,9.88,265,2618
17.10.2018,10.00,10.00,9.44,9.88,492,4773
16.10.2018,9.84,10.00,9.46,9.46,499,4877
15.10.2018,9.40,9.84,9.40,9.70,1414,13378
12.10.2018,9.46,9.46,9.46,9.46,1,9
11.10.2018,9.50,9.50,9.02,9.46,4146,37440
10.10.2018,9.84,9.84,9.70,9.70,2,20
09.10.2018,9.86,9.86,9.80,9.80,2,20
08.10.2018,9.00,9.44,9.00,9.44,2359,21282
05.10.2018,9.70,9.70,9.00,9.00,21,190
04.10.2018,9.90,9.90,9.20,9.20,1179,11111
03.10.2018,9.62,10.00,9.10,9.50,3381,31686
02.10.2018,9.62,9.62,9.20,9.50,12,111
01.10.2018,9.42,9.70,9.38,9.62,2561,24086
28.09.2018,9.88,9.88,9.42,9.42,357,3436
27.09.2018,10.30,10.30,9.30,9.90,2399,23209
26.09.2018,10.30,10.30,10.20,10.30,599,6134
25.09.2018,10.40,10.40,9.92,10.30,659,6672
24.09.2018,10.40,10.40,10.00,10.40,3515,35709
21.09.2018,10.45,10.45,10.40,10.40,74,770
20.09.2018,10.55,10.55,10.30,10.40,4335,44841
19.09.2018,9.62,10.55,9.62,10.55,14570,151144
18.09.2018,10.50,11.10,9.50,9.56,85530,891275
17.09.2018,6.20,6.22,6.20,6.22,11,68
14.09.2018,6.24,6.50,6.24,6.24,8,50
13.09.2018,6.20,6.24,6.20,6.24,178,1110
12.09.2018,6.60,6.60,6.24,6.24,26,163
11.09.2018,6.60,6.60,6.24,6.60,369,2348
10.09.2018,6.62,6.62,6.36,6.36,322,2102
07.09.2018,6.96,6.96,6.38,6.38,1420,9318
06.09.2018,6.94,6.96,6.80,6.96,1330,9061
05.09.2018,6.90,7.00,6.82,6.96,1351,9301
04.09.2018,6.90,6.90,6.90,6.90,10,69
03.09.2018,6.80,6.90,6.80,6.90,772,5251
31.08.2018,6.90,6.90,6.50,6.80,508,3462
30.08.2018,6.92,6.92,6.70,6.90,1002,6714
29.08.2018,6.50,6.94,6.44,6.94,2488,16244
28.08.2018,6.50,6.50,6.40,6.46,1139,7326
27.08.2018,6.20,6.64,6.20,6.50,4359,27386
24.08.2018,6.66,6.68,6.20,6.24,2610,16829
23.08.2018,6.20,6.68,6.20,6.50,2340,14771
22.08.2018,6.56,6.56,6.18,6.20,5605,36379
21.08.2018,6.54,6.56,6.54,6.56,230,1504
20.08.2018,6.96,6.96,6.54,6.54,2516,16855
17.08.2018,7.02,7.02,6.96,6.96,1709,11971
16.08.2018,7.38,7.38,6.70,7.02,1703,12510
14.08.2018,7.80,7.80,6.62,7.38,10741,75744
13.08.2018,8.90,8.90,8.02,8.02,7139,59052
10.08.2018,9.00,9.16,8.82,8.92,9925,89548
09.08.2018,9.10,9.56,9.00,9.04,9376,85495
08.08.2018,11.25,11.25,10.80,11.15,4885,54080
07.08.2018,10.85,11.15,10.85,11.15,11914,130763
06.08.2018,10.75,10.90,10.75,10.90,1694,18320
03.08.2018,10.75,10.75,10.70,10.75,2603,27972
02.08.2018,10.60,10.75,10.60,10.75,5012,53555
01.08.2018,10.70,10.75,10.50,10.50,6171,65364
31.07.2018,10.55,10.75,10.25,10.75,12110,127697
30.07.2018,10.00,10.55,9.98,10.55,5817,59359
27.07.2018,10.00,10.00,9.98,10.00,958,9570
26.07.2018,9.90,9.90,9.90,9.90,1807,17889
25.07.2018,9.90,9.90,9.86,9.90,3623,35831
24.07.2018,9.98,9.98,9.80,9.88,1259,12436
23.07.2018,9.64,9.82,9.50,9.80,764,7440
20.07.2018,9.50,9.60,9.40,9.46,3740,35478
19.07.2018,9.98,10.00,9.98,10.00,138,1379
18.07.2018,9.98,9.98,9.98,9.98,141,1407
17.07.2018,9.72,10.00,9.72,9.92,4035,39625
16.07.2018,10.50,10.50,10.25,10.50,769,7958
13.07.2018,10.50,10.50,10.50,10.50,2,21
12.07.2018,10.50,10.50,10.50,10.50,29,305
11.07.2018,10.50,10.50,10.50,10.50,201,2111
10.07.2018,10.50,10.50,10.35,10.40,1315,13697
09.07.2018,10.50,10.50,10.50,10.50,996,10458
06.07.2018,10.45,10.45,10.40,10.40,2602,27076
05.07.2018,10.55,10.55,10.45,10.50,5925,62210
04.07.2018,10.75,10.75,10.60,10.75,22,234
03.07.2018,10.70,10.75,10.50,10.75,161,1691
02.07.2018,10.45,10.80,10.05,10.80,3467,36086
29.06.2018,8.88,10.65,8.88,10.00,10031,98599
28.06.2018,8.88,8.88,8.88,8.88,2,18
27.06.2018,8.88,8.88,8.66,8.88,787,6855
26.06.2018,8.96,8.96,8.66,8.96,152,1317
25.06.2018,8.96,8.96,8.68,8.96,322,2796
22.06.2018,8.96,8.96,8.66,8.96,177,1533
21.06.2018,8.98,8.98,8.60,8.96,1160,10053
20.06.2018,9.00,9.00,8.60,8.98,918,7958
19.06.2018,8.80,9.00,8.60,9.00,147,1266
18.06.2018,8.98,8.98,8.98,8.98,68,611
15.06.2018,8.98,8.98,8.98,8.98,1,9
14.06.2018,8.98,8.98,8.72,8.98,557,4860
13.06.2018,8.98,8.98,8.98,8.98,2,18
12.06.2018,8.98,8.98,8.98,8.98,2,18
11.06.2018,8.98,8.98,8.98,8.98,7,63
08.06.2018,8.96,8.98,8.96,8.98,2,18
07.06.2018,9.22,9.22,8.90,8.96,424,3778
06.06.2018,9.24,9.26,8.90,8.90,270,2428
05.06.2018,9.48,9.48,8.90,8.90,89,793
04.06.2018,9.54,9.54,9.08,9.30,321,2915
01.06.2018,9.46,9.54,9.46,9.54,2,19
30.05.2018,9.62,9.62,9.00,9.46,357,3215
29.05.2018,9.60,9.60,9.40,9.40,16,151
28.05.2018,9.62,9.62,9.60,9.60,266,2554
25.05.2018,9.64,9.64,9.62,9.62,2,19
