Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,0.69,0.70,0.68,0.70,13635,9390
31.10.2018,0.68,0.69,0.66,0.68,54507,36314
30.10.2018,0.69,0.70,0.67,0.69,1553,1062
29.10.2018,0.72,0.72,0.67,0.67,40416,27616
26.10.2018,0.69,0.72,0.68,0.72,44332,31485
25.10.2018,0.66,0.69,0.66,0.69,1592,1078
24.10.2018,0.69,0.69,0.66,0.69,82710,56298
23.10.2018,0.73,0.73,0.67,0.68,30351,21041
22.10.2018,0.70,0.73,0.69,0.73,104571,73978
19.10.2018,0.71,0.73,0.70,0.72,21521,15366
18.10.2018,0.69,0.74,0.63,0.71,101801,69886
17.10.2018,0.72,0.73,0.68,0.73,16279,11371
16.10.2018,0.75,0.77,0.68,0.72,123959,90008
15.10.2018,0.75,0.77,0.73,0.74,23092,17291
12.10.2018,0.76,0.79,0.75,0.77,46598,35609
11.10.2018,0.77,0.78,0.76,0.76,36945,28302
10.10.2018,0.80,0.80,0.77,0.80,14468,11345
09.10.2018,0.79,0.80,0.78,0.78,19835,15840
08.10.2018,0.79,0.81,0.78,0.81,52971,42431
05.10.2018,0.81,0.81,0.78,0.81,83354,65438
04.10.2018,0.79,0.81,0.79,0.81,68328,54213
03.10.2018,0.81,0.81,0.78,0.81,32665,26000
02.10.2018,0.83,0.83,0.79,0.81,34365,27780
01.10.2018,0.83,0.86,0.83,0.85,13230,11104
28.09.2018,0.80,0.85,0.78,0.85,54407,44302
27.09.2018,0.80,0.80,0.78,0.79,10153,7983
26.09.2018,0.81,0.83,0.77,0.80,47392,37705
25.09.2018,0.82,0.83,0.79,0.81,18229,14647
24.09.2018,0.82,0.84,0.80,0.82,26594,21746
21.09.2018,0.81,0.84,0.79,0.82,160127,129252
20.09.2018,0.83,0.85,0.79,0.83,47686,38908
19.09.2018,0.88,0.89,0.81,0.81,73513,62514
18.09.2018,0.86,0.90,0.84,0.89,21089,18187
17.09.2018,0.84,0.86,0.84,0.85,27135,22807
14.09.2018,0.86,0.91,0.81,0.84,221880,190366
13.09.2018,0.83,0.86,0.82,0.86,59608,50195
12.09.2018,0.80,0.85,0.79,0.83,39753,32086
11.09.2018,0.78,0.82,0.77,0.82,81394,64646
10.09.2018,0.78,0.81,0.77,0.80,88114,69871
07.09.2018,0.75,0.79,0.75,0.79,140416,106750
06.09.2018,0.83,0.85,0.75,0.76,312121,244260
05.09.2018,0.87,0.88,0.79,0.87,200793,168827
04.09.2018,0.90,0.92,0.86,0.89,249297,221334
