Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,8.26,8.30,8.08,8.30,4092,33763
27.09.2018,7.24,8.30,7.24,8.26,18660,147721
26.09.2018,6.90,7.08,6.82,7.08,892,6152
25.09.2018,6.50,6.90,6.50,6.90,6983,47036
24.09.2018,6.00,6.60,6.00,6.60,10334,64003
21.09.2018,6.08,6.08,6.00,6.08,3213,19286
20.09.2018,6.10,6.10,5.80,6.08,1005,5970
19.09.2018,6.10,6.20,6.00,6.14,1237,7455
18.09.2018,6.20,6.20,6.20,6.20,255,1581
17.09.2018,6.20,6.20,5.74,6.20,1982,11726
14.09.2018,6.20,6.20,5.72,5.98,2133,12315
13.09.2018,5.86,5.86,5.80,5.86,894,5185
12.09.2018,5.90,5.90,5.88,5.88,310,1826
11.09.2018,5.96,5.96,5.90,5.90,201,1192
10.09.2018,6.20,6.20,5.96,5.96,2149,12876
07.09.2018,5.90,6.10,5.80,6.00,1471,8589
06.09.2018,6.10,6.10,5.94,6.10,1517,9123
05.09.2018,5.90,6.10,5.32,6.06,348,1962
04.09.2018,6.20,6.20,5.92,5.96,4484,26940
03.09.2018,5.94,6.20,5.92,6.20,3871,23016
31.08.2018,5.38,5.90,5.38,5.84,5269,30501
30.08.2018,4.52,5.20,4.52,5.14,18315,87421
29.08.2018,4.55,4.59,4.52,4.59,1251,5688
28.08.2018,4.45,4.54,4.34,4.54,5065,22536
27.08.2018,4.45,4.45,4.43,4.45,343,1520
24.08.2018,4.44,4.45,4.44,4.45,385,1709
23.08.2018,4.45,4.45,4.43,4.43,454,2011
22.08.2018,4.45,4.45,4.45,4.45,1,4
21.08.2018,4.50,4.50,4.45,4.45,3001,13355
20.08.2018,4.54,4.54,4.45,4.45,501,2230
17.08.2018,4.54,4.54,4.54,4.54,1,5
16.08.2018,4.53,4.53,4.50,4.50,1657,7459
14.08.2018,4.53,4.53,4.53,4.53,1,5
13.08.2018,4.54,4.54,4.54,4.54,15,68
10.08.2018,4.54,4.54,4.54,4.54,1272,5775
09.08.2018,4.51,4.53,4.38,4.53,6488,28770
08.08.2018,4.51,4.51,4.35,4.35,501,2180
07.08.2018,4.50,4.50,4.31,4.35,2400,10382
06.08.2018,4.51,4.51,4.51,4.51,84,379
03.08.2018,4.55,4.55,4.55,4.55,1,5
02.08.2018,4.55,4.55,4.55,4.55,1,5
01.08.2018,4.59,4.59,4.59,4.59,2,9
31.07.2018,4.46,4.59,4.46,4.59,6,27
30.07.2018,4.59,4.59,4.52,4.59,202,913
27.07.2018,4.60,4.60,4.46,4.46,136,607
26.07.2018,4.40,4.54,4.30,4.54,3698,15904
25.07.2018,4.58,4.58,4.30,4.40,2351,10155
24.07.2018,4.41,4.41,4.41,4.41,2,9
23.07.2018,4.60,4.60,4.44,4.60,1181,5353
20.07.2018,4.60,4.60,4.60,4.60,1,5
19.07.2018,4.60,4.60,4.33,4.59,1766,7657
18.07.2018,4.30,4.30,4.30,4.30,501,2154
17.07.2018,4.30,4.30,4.30,4.30,1,4
16.07.2018,4.25,4.60,4.19,4.30,2142,9100
13.07.2018,4.39,4.39,4.25,4.39,503,2138
12.07.2018,4.45,4.45,4.45,4.45,1,4
