Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,14.70,14.70,14.70,14.70,2,29
31.10.2018,14.70,14.70,14.20,14.20,2,29
30.10.2018,14.80,14.80,14.00,14.20,3236,45345
29.10.2018,14.80,14.80,14.80,14.80,2,30
26.10.2018,14.90,14.90,14.90,14.90,1,15
25.10.2018,14.90,14.90,14.10,14.10,215,3032
24.10.2018,14.90,14.90,14.00,14.90,1101,15505
23.10.2018,15.00,15.00,15.00,15.00,2,30
22.10.2018,15.00,15.00,14.10,14.50,3305,46979
19.10.2018,14.70,14.70,14.50,14.50,230,3369
18.10.2018,15.00,15.00,15.00,15.00,401,6015
17.10.2018,14.70,14.70,14.70,14.70,2,29
16.10.2018,14.40,14.50,14.30,14.50,182,2618
15.10.2018,14.80,14.80,14.50,14.50,2,29
12.10.2018,14.80,14.80,14.50,14.50,71,1030
11.10.2018,14.80,14.80,14.80,14.80,1,15
10.10.2018,14.80,14.80,14.80,14.80,2,30
09.10.2018,14.80,14.80,14.80,14.80,201,2975
08.10.2018,14.90,14.90,14.80,14.80,480,7135
05.10.2018,14.90,14.90,14.90,14.90,2,30
04.10.2018,14.70,14.70,14.20,14.20,101,1435
03.10.2018,14.30,14.30,14.30,14.30,9,129
02.10.2018,14.30,14.30,14.30,14.30,1,14
01.10.2018,14.40,14.40,14.20,14.20,69,980
28.09.2018,14.70,14.70,14.30,14.50,384,5512
27.09.2018,14.70,14.70,14.70,14.70,2,29
26.09.2018,14.90,14.90,14.70,14.70,27,397
25.09.2018,14.80,14.80,14.20,14.80,526,7527
24.09.2018,14.80,14.80,14.20,14.80,1007,14304
21.09.2018,14.80,14.80,14.80,14.80,9,133
20.09.2018,14.80,14.80,14.80,14.80,2,30
19.09.2018,14.80,14.80,14.50,14.80,1202,17450
18.09.2018,14.80,14.80,14.50,14.50,1102,16309
17.09.2018,15.00,15.00,14.50,14.50,114,1657
14.09.2018,14.80,14.80,14.60,14.60,2,29
13.09.2018,15.00,15.00,14.50,14.60,202,2980
12.09.2018,14.10,14.50,14.10,14.50,621,8923
11.09.2018,14.70,14.70,14.50,14.50,919,13333
10.09.2018,14.50,14.50,14.30,14.30,385,5582
07.09.2018,14.90,14.90,13.90,14.50,1859,26632
06.09.2018,15.00,15.00,15.00,15.00,201,3015
05.09.2018,15.00,15.00,14.90,15.00,6558,98224
04.09.2018,15.00,15.00,14.70,15.00,2646,39126
03.09.2018,14.80,15.00,14.60,15.00,800,11802
31.08.2018,15.00,15.00,14.40,14.60,601,8671
30.08.2018,15.00,15.00,14.90,15.00,648,9710
29.08.2018,15.00,15.00,14.80,14.80,2,30
28.08.2018,15.00,15.00,14.50,14.90,202,2940
27.08.2018,14.70,15.00,14.70,15.00,613,9081
24.08.2018,14.40,14.70,14.00,14.70,1302,18529
23.08.2018,14.40,14.40,14.00,14.00,801,11214
22.08.2018,14.50,14.50,14.10,14.10,179,2571
21.08.2018,14.30,14.70,14.00,14.70,370,5208
20.08.2018,14.50,14.50,14.30,14.30,256,3702
17.08.2018,14.30,14.30,14.00,14.30,245,3489
16.08.2018,14.70,14.70,14.30,14.30,255,3647
14.08.2018,14.10,14.50,14.10,14.50,292,4139
13.08.2018,14.70,14.70,14.10,14.10,101,1432
10.08.2018,14.20,14.40,14.20,14.40,103,1469
09.08.2018,14.20,14.30,14.10,14.10,10023,141329
08.08.2018,14.50,14.50,14.40,14.40,50,720
07.08.2018,14.70,14.70,14.40,14.40,562,8093
06.08.2018,14.70,14.70,14.20,14.20,459,6548
03.08.2018,14.50,14.50,14.50,14.50,2,29
02.08.2018,14.00,14.20,14.00,14.20,1171,16395
01.08.2018,13.70,14.00,13.70,14.00,485,6728
31.07.2018,13.80,14.00,13.60,14.00,205,2816
30.07.2018,13.80,13.80,13.80,13.80,2,28
27.07.2018,13.90,13.90,13.90,13.90,2,28
26.07.2018,14.00,14.00,13.50,13.90,902,12378
25.07.2018,14.40,14.40,13.50,13.90,1006,13661
24.07.2018,14.00,14.40,13.50,14.40,334,4649
23.07.2018,14.00,14.00,14.00,14.00,1,14
20.07.2018,14.00,14.00,13.30,13.70,202,2708
19.07.2018,13.50,14.00,13.50,14.00,901,12204
18.07.2018,14.00,14.00,14.00,14.00,1,14
17.07.2018,13.50,13.60,13.00,13.40,838,11010
16.07.2018,14.70,14.70,13.00,13.50,35050,473415
13.07.2018,14.70,14.70,14.30,14.30,112,1602
12.07.2018,14.70,14.70,14.70,14.70,2,29
11.07.2018,14.60,14.70,14.00,14.70,1029,14657
10.07.2018,15.00,15.00,14.50,14.60,810,11774
09.07.2018,15.00,15.00,15.00,15.00,21,315
06.07.2018,15.00,15.00,14.90,15.00,252,3755
05.07.2018,15.00,15.00,15.00,15.00,2,30
04.07.2018,15.00,15.00,14.90,15.00,59,879
03.07.2018,14.90,15.00,14.90,15.00,21,314
02.07.2018,15.30,15.30,14.90,15.00,102,1520
29.06.2018,15.00,15.00,14.50,14.80,1399,20637
28.06.2018,15.00,15.00,14.00,14.60,9572,137581
27.06.2018,15.00,15.00,15.00,15.00,302,4530
26.06.2018,15.30,15.30,14.80,15.00,492,7410
25.06.2018,15.00,15.50,14.80,15.30,18596,284139
22.06.2018,14.50,14.50,14.00,14.50,8447,122183
21.06.2018,14.50,14.50,14.50,14.50,221,3205
20.06.2018,14.10,14.50,14.10,14.50,1936,27660
19.06.2018,14.40,14.40,13.60,13.60,1591,21820
18.06.2018,13.70,14.40,13.60,14.40,781,10700
15.06.2018,14.40,14.40,14.40,14.40,1,14
14.06.2018,14.40,14.40,14.00,14.40,102,1429
13.06.2018,14.00,14.00,14.00,14.00,101,1414
12.06.2018,14.00,14.00,13.70,13.70,101,1384
11.06.2018,14.00,14.00,14.00,14.00,1,14
08.06.2018,14.00,14.00,13.70,13.70,26,357
07.06.2018,13.50,13.90,13.50,13.70,1480,20120
06.06.2018,14.50,14.50,14.00,14.50,102,1429
05.06.2018,14.00,14.50,13.60,14.00,751,10276
04.06.2018,13.50,13.60,13.30,13.60,3949,53242
01.06.2018,13.10,13.50,13.00,13.50,5200,68055
30.05.2018,13.40,13.40,13.00,13.10,2032,26483
29.05.2018,14.00,14.00,13.30,13.40,1922,25746
28.05.2018,13.50,13.60,13.20,13.60,1696,22551
25.05.2018,13.50,13.50,13.50,13.50,1,14
24.05.2018,13.50,13.50,13.30,13.40,761,10123
23.05.2018,13.50,13.50,13.50,13.50,102,1377
22.05.2018,14.00,14.00,13.40,13.50,752,10078
21.05.2018,14.00,14.00,13.50,13.50,102,1378
18.05.2018,13.50,14.00,13.40,13.40,1606,21760
17.05.2018,14.50,14.50,13.70,13.70,102,1398
16.05.2018,14.50,14.50,13.80,14.00,940,13029
15.05.2018,14.80,14.80,14.20,14.30,311,4452
14.05.2018,15.10,15.10,14.80,14.80,70,1043
11.05.2018,14.60,15.10,14.60,15.10,2672,39954
10.05.2018,14.20,14.70,14.00,14.60,9719,139720
09.05.2018,13.40,14.20,13.10,14.20,3515,47732
08.05.2018,12.60,13.20,12.60,13.20,5251,67406
07.05.2018,12.60,12.60,12.30,12.60,840,10424
04.05.2018,12.60,12.60,12.30,12.60,84,1034
02.05.2018,12.60,12.60,12.60,12.60,102,1285
30.04.2018,12.60,12.60,12.60,12.60,102,1285
27.04.2018,12.50,12.60,12.50,12.60,202,2530
26.04.2018,12.50,12.50,12.50,12.50,102,1275
25.04.2018,12.50,12.50,12.20,12.50,202,2495
24.04.2018,12.50,12.50,12.40,12.50,1675,20928
23.04.2018,12.50,12.50,12.00,12.50,5056,62088
20.04.2018,12.50,12.50,12.40,12.50,110,1374
19.04.2018,12.50,12.50,12.10,12.50,216,2694
18.04.2018,12.50,12.50,12.50,12.50,102,1275
17.04.2018,12.50,12.50,12.20,12.50,8105,99440
16.04.2018,12.50,12.50,12.00,12.50,2221,26866
13.04.2018,12.20,12.20,12.10,12.20,3152,38203
12.04.2018,12.40,12.40,12.10,12.20,9301,113178
11.04.2018,12.40,12.40,11.90,12.20,10103,121610
10.04.2018,12.40,12.40,11.70,12.00,551,6572
09.04.2018,12.40,12.40,11.70,11.70,222,2598
06.04.2018,12.30,12.30,11.60,11.70,4801,56362
05.04.2018,11.90,12.10,11.60,12.10,4606,54191
04.04.2018,11.90,11.90,11.60,11.60,3850,44739
03.04.2018,11.50,12.00,11.20,11.90,3574,40645
29.03.2018,11.80,11.80,11.20,11.50,3752,42533
28.03.2018,11.40,11.70,11.00,11.60,6275,70125
27.03.2018,11.40,11.40,11.40,11.40,147,1676
26.03.2018,11.40,11.40,11.40,11.40,71,809
23.03.2018,11.40,11.40,11.20,11.40,353,3996
22.03.2018,11.10,11.10,11.10,11.10,30,333
21.03.2018,11.10,11.10,11.10,11.10,88,977
20.03.2018,11.10,11.10,11.10,11.10,2,22
19.03.2018,11.10,11.10,11.10,11.10,102,1132
16.03.2018,10.70,11.00,10.60,11.00,1420,15237
15.03.2018,11.10,11.10,10.70,11.10,209,2240
14.03.2018,11.20,11.20,10.70,10.70,101,1081
13.03.2018,11.10,11.10,10.70,10.70,4199,45040
12.03.2018,11.10,11.20,10.80,11.10,578,6349
09.03.2018,11.20,11.20,10.90,10.90,155,1690
08.03.2018,11.20,11.20,10.60,10.60,1443,15576
07.03.2018,11.20,11.20,10.90,11.20,402,4382
06.03.2018,11.20,11.20,11.20,11.20,2,22
05.03.2018,11.20,11.20,11.20,11.20,2,22
