Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,22.90,24.00,22.90,24.00,20,463
31.10.2018,22.90,22.90,22.90,22.90,10,229
30.10.2018,22.90,22.90,22.90,22.90,2,46
29.10.2018,22.90,22.90,22.90,22.90,3,69
26.10.2018,23.50,23.50,22.90,22.90,2,46
25.10.2018,23.60,23.60,23.50,23.50,10,235
24.10.2018,23.60,23.60,23.60,23.60,10,236
23.10.2018,23.60,23.60,23.60,23.60,10,236
22.10.2018,23.60,23.60,23.60,23.60,10,236
19.10.2018,23.60,23.60,23.60,23.60,10,236
18.10.2018,23.70,23.70,23.60,23.60,10,236
17.10.2018,23.90,23.90,23.70,23.70,10,237
16.10.2018,24.10,24.10,23.90,23.90,10,239
15.10.2018,24.30,24.30,24.10,24.10,10,241
12.10.2018,24.60,24.60,24.30,24.30,10,243
11.10.2018,24.60,24.60,24.60,24.60,10,246
10.10.2018,24.80,24.80,24.80,24.80,10,248
09.10.2018,24.80,24.80,24.80,24.80,10,248
08.10.2018,24.60,24.60,24.40,24.40,10,244
05.10.2018,24.60,24.60,24.60,24.60,1,25
04.10.2018,24.60,24.60,24.60,24.60,10,246
03.10.2018,24.60,24.60,24.60,24.60,10,246
02.10.2018,24.80,24.80,24.60,24.60,10,246
01.10.2018,24.80,24.80,24.60,24.60,10,246
28.09.2018,23.50,23.50,23.50,23.50,10,235
27.09.2018,23.50,23.50,23.50,23.50,10,235
26.09.2018,23.50,23.50,23.50,23.50,10,235
25.09.2018,23.50,23.50,22.00,23.50,109,2412
24.09.2018,23.40,23.50,23.40,23.50,10,234
21.09.2018,23.40,23.40,23.40,23.40,10,234
20.09.2018,24.00,24.30,23.50,23.50,1146,26996
19.09.2018,24.30,24.30,24.30,24.30,10,243
18.09.2018,24.60,24.60,23.60,24.30,59,1399
17.09.2018,23.50,25.00,23.50,24.60,59,1456
14.09.2018,25.00,25.00,25.00,25.00,10,250
13.09.2018,25.00,25.00,25.00,25.00,10,250
12.09.2018,25.00,25.00,25.00,25.00,10,250
11.09.2018,25.70,25.90,25.70,25.90,10,259
10.09.2018,25.70,25.70,24.00,25.70,236,5679
07.09.2018,25.70,25.70,25.70,25.70,10,257
06.09.2018,25.70,25.70,24.00,24.00,781,18746
05.09.2018,25.70,25.70,24.00,24.00,224,5385
04.09.2018,25.70,25.70,24.90,25.70,59,1476
03.09.2018,25.70,25.70,24.90,25.70,59,1476
31.08.2018,25.00,25.00,25.00,25.00,10,250
30.08.2018,25.00,25.00,25.00,25.00,10,250
29.08.2018,25.00,25.00,25.00,25.00,20,500
28.08.2018,25.90,25.90,25.90,25.90,1,26
27.08.2018,25.90,25.90,25.90,25.90,10,259
24.08.2018,25.90,25.90,24.70,25.90,59,1468
23.08.2018,24.70,25.90,24.70,25.90,59,1468
22.08.2018,25.90,25.90,24.70,25.90,59,1468
21.08.2018,25.90,25.90,25.90,25.90,10,259
20.08.2018,25.90,25.90,23.60,23.60,28,666
17.08.2018,25.90,25.90,25.90,25.90,10,259
16.08.2018,25.90,25.90,25.90,25.90,10,259
14.08.2018,24.80,25.90,24.00,25.90,357,8595
13.08.2018,24.80,24.80,24.80,24.80,10,248
10.08.2018,24.80,24.80,24.80,24.80,10,248
09.08.2018,24.70,24.80,24.20,24.80,432,10491
08.08.2018,24.70,24.70,24.20,24.20,10,243
07.08.2018,24.80,24.80,24.00,24.00,10,241
06.08.2018,24.80,24.80,24.00,24.80,416,10034
03.08.2018,24.80,25.00,24.80,25.00,59,1465
02.08.2018,25.00,25.00,25.00,25.00,10,250
01.08.2018,25.00,25.00,25.00,25.00,1,25
31.07.2018,25.00,25.10,24.80,25.00,61,1516
30.07.2018,25.00,25.00,24.70,24.70,10,247
27.07.2018,24.70,24.70,24.60,24.70,109,2682
26.07.2018,24.70,24.70,23.50,24.70,257,6098
25.07.2018,25.10,25.10,23.60,24.80,1109,26184
24.07.2018,25.40,25.40,24.10,25.10,1601,39239
23.07.2018,25.90,25.90,25.20,25.20,1128,28426
20.07.2018,25.90,25.90,25.90,25.90,10,259
19.07.2018,25.90,26.00,25.90,25.90,574,14919
18.07.2018,26.00,26.00,26.00,26.00,10,260
17.07.2018,26.00,26.00,26.00,26.00,59,1534
16.07.2018,26.00,26.00,26.00,26.00,10,260
13.07.2018,26.90,26.90,25.20,26.00,2503,63955
12.07.2018,26.80,26.80,26.80,26.80,14,375
11.07.2018,26.90,26.90,26.90,26.90,10,269
10.07.2018,26.90,26.90,26.70,26.70,10,267
09.07.2018,26.90,26.90,26.70,26.90,11,296
06.07.2018,26.90,26.90,26.70,26.70,50,1335
05.07.2018,26.60,26.90,26.60,26.90,50,1330
04.07.2018,27.00,27.00,26.80,26.80,51,1367
03.07.2018,27.00,27.00,26.80,27.00,59,1583
02.07.2018,27.00,27.00,26.80,26.80,60,1610
29.06.2018,27.00,27.00,26.80,26.80,51,1367
28.06.2018,26.80,27.00,26.40,27.00,551,14831
27.06.2018,26.80,26.80,26.60,26.60,51,1357
26.06.2018,26.60,26.80,26.60,26.80,122,3246
25.06.2018,27.00,27.00,26.80,26.80,10,268
22.06.2018,27.00,27.00,26.00,27.00,502,13094
21.06.2018,27.00,27.00,26.80,26.80,318,8523
20.06.2018,26.80,27.00,26.80,27.00,50,1340
19.06.2018,27.00,27.00,27.00,27.00,10,270
18.06.2018,27.00,27.00,26.40,26.40,161,4285
15.06.2018,27.00,27.00,27.00,27.00,10,270
14.06.2018,27.00,27.00,26.80,27.00,44,1181
13.06.2018,27.00,27.00,27.00,27.00,10,270
12.06.2018,27.00,27.00,26.80,26.80,59,1581
11.06.2018,27.00,27.00,26.80,27.00,94,2521
08.06.2018,27.00,27.00,26.80,26.80,12,324
07.06.2018,27.00,27.00,26.90,26.90,110,2960
06.06.2018,27.00,27.00,26.80,27.00,59,1583
05.06.2018,27.00,27.00,27.00,27.00,20,540
04.06.2018,27.00,27.00,26.80,26.80,51,1367
01.06.2018,27.00,27.00,27.00,27.00,10,270
30.05.2018,27.00,27.00,26.70,27.00,35,937
29.05.2018,27.00,27.00,26.00,27.00,207,5547
28.05.2018,27.00,27.00,26.70,27.00,520,13887
25.05.2018,27.00,27.00,26.80,27.00,59,1583
24.05.2018,27.20,27.20,26.80,27.00,59,1583
23.05.2018,27.20,27.20,27.00,27.00,51,1377
22.05.2018,27.20,27.20,27.20,27.20,50,1360
21.05.2018,27.40,27.40,26.90,27.40,82,2222
18.05.2018,27.40,27.40,27.10,27.10,51,1383
17.05.2018,27.30,27.30,27.30,27.30,557,15206
16.05.2018,27.50,27.50,26.70,27.50,70,1880
15.05.2018,28.10,28.10,26.90,26.90,650,17565
14.05.2018,28.30,28.30,27.60,28.30,59,1635
11.05.2018,27.80,27.80,27.80,27.80,48,1334
10.05.2018,27.50,28.10,27.40,28.00,451,12500
09.05.2018,27.40,27.40,27.40,27.40,50,1370
08.05.2018,26.60,27.60,26.60,27.60,59,1614
07.05.2018,27.60,27.60,27.60,27.60,10,276
04.05.2018,27.40,27.70,26.50,27.70,516,13693
02.05.2018,27.80,27.80,27.50,27.50,101,2778
30.04.2018,27.80,27.80,27.80,27.80,10,278
27.04.2018,27.90,27.90,27.90,27.90,10,279
26.04.2018,26.20,27.90,26.20,27.90,170,4487
25.04.2018,26.40,26.40,26.40,26.40,10,264
24.04.2018,26.30,26.40,26.30,26.40,50,1315
23.04.2018,26.50,26.50,26.40,26.50,10,264
20.04.2018,26.30,26.50,26.30,26.50,45,1184
19.04.2018,26.40,26.50,26.40,26.50,47,1241
18.04.2018,27.90,27.90,26.60,26.60,51,1358
17.04.2018,26.80,26.80,26.80,26.80,50,1340
16.04.2018,27.90,27.90,27.00,27.00,10,271
13.04.2018,26.50,26.50,25.30,26.50,68,1773
12.04.2018,25.70,27.90,25.30,27.00,372,9566
11.04.2018,25.80,25.80,25.70,25.70,60,1543
10.04.2018,26.30,26.30,26.00,26.20,351,9151
09.04.2018,26.50,26.50,26.20,26.20,88,2322
06.04.2018,26.80,26.80,26.50,26.50,60,1593
05.04.2018,27.00,27.00,26.80,26.80,59,1581
04.04.2018,26.20,27.00,26.20,27.00,94,2464
03.04.2018,27.40,27.40,26.10,26.40,108,2822
29.03.2018,27.00,28.90,26.10,27.00,1479,39507
28.03.2018,28.80,28.80,28.20,28.20,59,1674
27.03.2018,28.80,28.80,28.50,28.80,59,1684
26.03.2018,28.80,28.80,28.30,28.80,59,1674
23.03.2018,28.80,28.80,27.00,28.50,59,1676
22.03.2018,28.80,28.80,28.30,28.70,99,2803
21.03.2018,28.50,28.80,28.20,28.80,2323,65511
20.03.2018,28.30,28.30,28.00,28.00,59,1657
19.03.2018,28.70,28.70,28.30,28.30,59,1670
16.03.2018,28.40,28.40,27.90,27.90,59,1647
15.03.2018,28.40,28.40,28.00,28.40,59,1656
14.03.2018,28.40,28.40,28.40,28.40,10,284
13.03.2018,28.90,28.90,27.00,28.40,449,12189
12.03.2018,28.90,28.90,28.00,28.00,60,1701
09.03.2018,28.90,28.90,28.30,28.30,9,255
08.03.2018,29.00,29.00,29.00,29.00,10,290
07.03.2018,28.50,29.00,27.50,29.00,144,3973
06.03.2018,28.50,28.50,28.30,28.30,52,1472
05.03.2018,28.50,28.50,28.30,28.50,19,540
02.03.2018,29.20,29.20,27.60,28.50,80,2217
01.03.2018,29.20,29.20,28.50,29.20,59,1688
28.02.2018,29.20,29.20,29.20,29.20,10,292
27.02.2018,29.50,29.50,28.30,29.20,504,14315
26.02.2018,29.40,29.40,29.10,29.10,10,291
23.02.2018,29.20,29.20,28.50,28.50,134,3829
22.02.2018,29.20,29.20,29.00,29.00,10,290
21.02.2018,29.50,29.50,28.40,29.20,239,6803
20.02.2018,29.80,29.80,29.50,29.50,10,295
19.02.2018,28.80,29.80,27.00,28.50,521,14696
16.02.2018,29.80,29.80,28.80,28.80,310,8937
15.02.2018,30.00,30.00,28.80,28.80,128,3772
14.02.2018,30.00,30.00,30.00,30.00,10,300
13.02.2018,28.80,30.80,28.80,30.80,379,10978
12.02.2018,28.40,28.80,28.40,28.80,1570,44870
09.02.2018,28.00,28.40,28.00,28.00,1613,45165
08.02.2018,28.00,28.00,27.30,28.00,1263,35074
07.02.2018,28.40,28.40,28.00,28.00,9,252
06.02.2018,28.20,28.20,27.20,28.00,135,3761
05.02.2018,28.20,28.20,28.20,28.20,10,282
02.02.2018,28.10,28.20,28.00,28.20,1293,36204
01.02.2018,28.30,28.30,26.50,28.00,739,20627
31.01.2018,28.40,28.40,27.00,27.50,813,21954
30.01.2018,28.30,28.70,27.00,27.00,929,25262
29.01.2018,28.80,28.80,28.40,28.40,109,3096
26.01.2018,28.80,28.80,28.00,28.40,2026,56731
25.01.2018,29.00,29.00,26.80,28.00,4872,135025
24.01.2018,28.80,30.90,28.80,28.80,1030,29849
23.01.2018,27.10,28.90,26.90,28.90,6376,174091
22.01.2018,26.90,27.00,26.80,26.80,1617,43448
19.01.2018,26.70,26.90,25.50,26.90,1840,49087
18.01.2018,26.70,26.70,26.70,26.70,100,2670
17.01.2018,26.80,26.80,25.20,26.70,559,14099
16.01.2018,26.90,26.90,26.80,26.80,158,4235
15.01.2018,26.70,26.70,26.30,26.50,743,19552
12.01.2018,26.80,26.80,26.60,26.70,111,2968
11.01.2018,26.90,26.90,26.80,26.80,10,268
10.01.2018,26.90,26.90,26.50,26.50,10,265
09.01.2018,26.90,26.90,26.90,26.90,10,269
08.01.2018,27.00,27.00,26.90,26.90,14,377
05.01.2018,26.90,26.90,26.90,26.90,72,1937
04.01.2018,26.90,26.90,26.80,26.90,33,887
03.01.2018,27.30,27.30,27.30,27.30,10,273
29.12.2017,27.85,27.85,26.90,26.90,14,382
28.12.2017,27.90,27.90,25.16,27.15,26,683
27.12.2017,27.40,27.40,27.40,27.40,10,274
22.12.2017,27.40,27.50,27.40,27.40,777,21348
21.12.2017,27.49,27.49,27.40,27.40,10,274
20.12.2017,27.00,27.00,27.00,27.00,1358,36666
19.12.2017,26.94,27.50,26.00,27.00,2146,57893
18.12.2017,25.78,26.50,25.78,26.50,2206,57705
15.12.2017,25.30,25.61,25.30,25.55,2555,65180
14.12.2017,25.30,25.30,23.10,25.30,83,1979
13.12.2017,25.44,25.44,25.00,25.30,1273,31979
12.12.2017,25.44,25.44,25.44,25.44,10,254
11.12.2017,25.30,25.44,25.30,25.44,10,254
08.12.2017,25.48,25.48,25.30,25.30,642,16302
07.12.2017,25.55,25.55,23.40,24.50,200,4794
06.12.2017,25.75,25.75,25.75,25.75,10,258
05.12.2017,25.50,25.50,25.50,25.50,10,255
04.12.2017,25.74,25.75,25.74,25.75,69,1776
01.12.2017,25.78,25.78,25.75,25.75,10,258
30.11.2017,25.39,25.39,25.38,25.39,10,254
29.11.2017,25.79,25.79,25.00,25.45,1677,42550
28.11.2017,25.17,25.79,25.16,25.79,581,14725
27.11.2017,25.17,25.17,25.00,25.17,209,5227
24.11.2017,25.19,25.19,25.19,25.19,10,252
23.11.2017,25.19,25.19,25.19,25.19,10,252
22.11.2017,25.00,25.19,25.00,25.19,96,2401
21.11.2017,24.00,25.00,23.11,24.01,163,3926
20.11.2017,24.00,24.00,24.00,24.00,21,504
17.11.2017,24.00,24.00,24.00,24.00,10,240
16.11.2017,25.00,25.00,24.00,24.00,70,1681
15.11.2017,25.19,25.19,25.00,25.00,10,250
14.11.2017,25.19,25.19,23.00,23.40,714,17043
13.11.2017,25.19,25.19,25.19,25.19,10,252
10.11.2017,25.00,25.00,25.00,25.00,20,500
09.11.2017,25.00,25.00,25.00,25.00,10,250
08.11.2017,25.00,25.00,25.00,25.00,10,250
07.11.2017,25.19,25.19,25.19,25.19,10,252
06.11.2017,25.19,25.19,25.19,25.19,68,1713
03.11.2017,25.19,25.19,25.10,25.19,209,5247
02.11.2017,25.19,25.19,25.19,25.19,10,252
31.10.2017,25.38,25.38,23.33,25.19,143,3420
30.10.2017,25.40,25.40,23.00,25.39,156,3890
27.10.2017,25.40,25.40,25.40,25.40,105,2667
26.10.2017,25.40,25.40,25.40,25.40,10,254
25.10.2017,25.40,25.40,24.60,25.40,256,6314
24.10.2017,25.00,25.50,25.00,25.35,305,7655
23.10.2017,24.48,25.00,24.48,24.60,2780,69213
20.10.2017,24.70,24.70,23.00,23.98,845,19965
19.10.2017,24.49,24.70,24.49,24.70,1531,37509
18.10.2017,24.50,24.50,23.90,23.90,35,842
17.10.2017,24.45,24.45,24.45,24.45,309,7555
16.10.2017,24.47,24.47,24.45,24.45,732,17897
