Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,5.88,5.94,5.62,5.66,141415,811184
26.09.2018,5.97,5.99,5.84,5.90,68959,404963
25.09.2018,5.86,6.01,5.84,5.85,98346,577812
24.09.2018,5.92,5.95,5.86,5.86,81138,476467
21.09.2018,5.99,6.09,5.91,5.91,682232,4033347
20.09.2018,6.02,6.17,5.86,6.03,129608,773772
19.09.2018,5.99,6.16,5.99,6.04,41575,251921
18.09.2018,6.00,6.20,5.82,5.99,72894,438128
17.09.2018,6.45,6.45,6.00,6.00,81576,506961
14.09.2018,6.66,6.74,6.46,6.46,48773,320910
13.09.2018,6.45,6.67,6.40,6.56,44727,293370
12.09.2018,6.25,6.45,6.17,6.45,33585,212857
11.09.2018,6.31,6.45,6.15,6.28,41445,258594
10.09.2018,6.40,6.47,6.14,6.39,26009,164566
07.09.2018,6.38,6.54,6.38,6.49,16377,105507
06.09.2018,6.48,6.58,6.31,6.41,110075,707028
05.09.2018,6.92,6.93,6.44,6.57,131773,876801
04.09.2018,7.00,7.10,6.90,6.93,58793,409391
03.09.2018,7.10,7.17,6.91,6.92,74320,523118
31.08.2018,6.97,7.12,6.90,7.01,81479,571938
30.08.2018,7.00,7.15,6.94,6.97,32638,228723
29.08.2018,6.86,7.29,6.86,6.99,192273,1363562
28.08.2018,6.91,7.00,6.80,6.84,61911,425504
27.08.2018,6.80,7.09,6.74,7.00,138744,954814
24.08.2018,7.01,7.08,6.74,6.80,89301,615495
23.08.2018,7.25,7.26,6.92,6.98,36380,257451
22.08.2018,7.10,7.27,7.10,7.22,54145,390050
21.08.2018,7.04,7.20,7.01,7.19,60123,425149
20.08.2018,7.22,7.25,7.04,7.05,35521,252726
17.08.2018,7.17,7.25,7.04,7.10,46532,330639
16.08.2018,7.15,7.38,7.12,7.12,37061,266358
14.08.2018,7.44,7.65,7.10,7.21,239461,1770950
13.08.2018,6.94,7.44,6.73,7.35,443986,3198958
10.08.2018,6.87,7.19,6.79,6.96,397106,2796058
09.08.2018,6.44,7.08,6.35,6.98,572000,3929310
