Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,4.99,5.15,4.99,5.05,147466,743413
27.09.2018,5.00,5.04,4.97,5.00,317227,1590271
26.09.2018,4.97,5.00,4.97,5.00,153001,762759
25.09.2018,4.99,5.00,4.93,5.00,215838,1073153
24.09.2018,5.00,5.05,4.97,5.00,308076,1540866
21.09.2018,5.00,5.11,4.92,5.11,486136,2442302
20.09.2018,4.94,5.00,4.90,4.99,234791,1157682
19.09.2018,4.99,4.99,4.88,4.94,187583,924152
18.09.2018,5.00,5.02,4.94,5.00,140863,701518
17.09.2018,5.09,5.09,4.94,5.00,483053,2416335
14.09.2018,5.09,5.15,5.00,5.04,137829,694423
13.09.2018,5.20,5.20,5.01,5.08,191018,967502
12.09.2018,5.38,5.39,5.02,5.07,162502,830498
11.09.2018,5.53,5.57,5.27,5.35,527145,2829504
10.09.2018,5.80,6.00,5.41,5.56,379137,2123027
07.09.2018,6.00,6.08,5.60,5.80,167922,971975
06.09.2018,6.03,6.19,5.91,5.97,118854,715239
05.09.2018,6.27,6.34,6.03,6.03,371040,2285258
04.09.2018,6.38,6.44,5.89,6.25,186922,1169645
03.09.2018,6.78,6.84,6.25,6.36,194888,1277404
31.08.2018,6.85,6.85,6.66,6.78,114025,770675
30.08.2018,6.98,7.00,6.82,6.89,89228,614771
29.08.2018,6.92,6.99,6.86,6.93,136268,943569
28.08.2018,7.05,7.05,6.88,6.92,184540,1280231
27.08.2018,7.00,7.05,6.90,6.98,72257,505429
24.08.2018,6.59,6.96,6.59,6.89,382668,2630786
23.08.2018,6.50,6.65,6.50,6.65,124670,819354
22.08.2018,6.55,6.70,6.50,6.56,159213,1046763
21.08.2018,6.45,6.55,6.41,6.50,45687,295551
20.08.2018,6.41,6.55,6.39,6.45,14342,92618
17.08.2018,6.40,6.48,6.38,6.41,372156,2378474
16.08.2018,6.41,6.42,6.34,6.40,214632,1374559
14.08.2018,6.35,6.44,6.35,6.40,33149,211961
13.08.2018,6.43,6.49,6.36,6.40,166444,1071621
10.08.2018,6.47,6.53,6.45,6.46,54872,355244
09.08.2018,6.52,6.59,6.47,6.50,244645,1590592
08.08.2018,6.67,6.69,6.50,6.55,548591,3602578
07.08.2018,6.71,6.73,6.64,6.67,129189,862931
06.08.2018,6.69,6.79,6.69,6.75,73319,495582
03.08.2018,6.57,6.68,6.51,6.68,20695,136475
02.08.2018,6.70,6.79,6.55,6.55,568843,3806145
01.08.2018,6.66,6.75,6.66,6.70,37985,255331
31.07.2018,6.75,6.76,6.67,6.75,82069,551506
30.07.2018,6.55,6.82,6.55,6.70,249502,1673837
