Date,Open,Max,Min,Close,Volume,TradeSize
25.09.2018,3.15,3.15,3.15,3.15,4137,13032
24.09.2018,3.05,3.05,3.05,3.05,148,451
21.09.2018,3.04,3.05,3.04,3.05,3327,10139
20.09.2018,2.95,3.05,2.84,3.04,17120,50830
19.09.2018,3.10,3.10,2.95,3.10,49,151
18.09.2018,3.00,3.10,2.98,2.98,2161,6540
17.09.2018,3.10,3.10,3.10,3.10,1000,3100
14.09.2018,2.93,3.09,2.93,3.09,1329,3947
13.09.2018,3.08,3.10,3.08,3.10,395,1219
10.09.2018,3.10,3.10,3.10,3.10,20,62
07.09.2018,3.10,3.10,2.93,2.93,6163,18507
06.09.2018,3.15,3.20,3.10,3.10,12800,40320
05.09.2018,3.45,3.45,3.02,3.02,24307,80004
04.09.2018,3.25,3.45,3.25,3.45,16940,58101
03.09.2018,3.55,3.55,3.20,3.25,10758,36568
31.08.2018,3.55,3.55,3.55,3.55,2900,10295
29.08.2018,3.55,3.55,3.55,3.55,383,1360
27.08.2018,3.70,3.70,3.70,3.70,300,1110
24.08.2018,3.62,3.62,3.62,3.62,621,2248
23.08.2018,3.60,3.90,3.60,3.62,3685,13282
22.08.2018,3.50,3.60,3.50,3.60,1527,5454
21.08.2018,3.45,3.45,3.45,3.45,3093,10671
20.08.2018,3.48,3.50,3.45,3.45,4100,14304
14.08.2018,3.38,3.49,3.38,3.49,550,1865
10.08.2018,3.45,3.50,3.44,3.50,4984,17364
09.08.2018,3.45,3.45,3.41,3.41,120,410
08.08.2018,3.45,3.45,3.45,3.45,560,1932
06.08.2018,3.42,3.42,3.42,3.42,4138,14152
02.08.2018,3.40,3.40,3.40,3.40,300,1020
01.08.2018,3.34,3.40,3.34,3.40,4448,14912
31.07.2018,3.34,3.34,3.20,3.34,4739,15215
30.07.2018,3.31,3.42,3.10,3.34,7566,24577
27.07.2018,3.30,3.50,3.30,3.50,9935,33389
26.07.2018,3.55,3.55,3.20,3.45,17418,59970
25.07.2018,3.58,3.58,3.45,3.55,8005,27877
24.07.2018,3.55,3.70,3.51,3.69,9078,32536
23.07.2018,3.63,3.63,3.55,3.55,5440,19382
19.07.2018,3.68,3.68,3.63,3.63,1489,5465
18.07.2018,3.67,3.67,3.67,3.67,1960,7193
13.07.2018,3.80,3.91,3.75,3.83,5050,19093
10.07.2018,3.81,3.91,3.80,3.91,2516,9565
03.07.2018,3.95,3.95,3.88,3.94,147,573
02.07.2018,3.88,3.90,3.88,3.90,1277,4975
29.06.2018,3.80,3.88,3.80,3.88,501,1904
28.06.2018,3.75,3.75,3.75,3.75,10,38
22.06.2018,3.80,3.90,3.80,3.90,501,1904
21.06.2018,3.75,3.80,3.75,3.80,3274,12414
18.06.2018,3.70,3.80,3.57,3.80,10718,39997
15.06.2018,3.84,3.84,3.80,3.80,657,2508
12.06.2018,3.93,3.93,3.92,3.92,700,2748
