Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,4.20,4.20,4.20,4.20,51,214
31.10.2018,4.22,4.22,4.20,4.20,1684,7084
30.10.2018,4.22,4.22,4.22,4.22,1653,6976
29.10.2018,4.22,4.22,4.22,4.22,3097,13069
26.10.2018,4.30,4.30,4.30,4.30,2001,8604
25.10.2018,4.20,4.40,4.20,4.40,117136,491971
24.10.2018,4.50,4.50,4.40,4.40,2,9
22.10.2018,4.50,4.50,4.50,4.50,1,5
19.10.2018,4.56,4.56,4.56,4.56,200,912
18.10.2018,4.50,4.60,4.50,4.60,15773,72510
17.10.2018,4.50,4.50,4.50,4.50,12289,55301
16.10.2018,4.50,4.50,4.50,4.50,9964,44838
15.10.2018,4.50,4.50,4.50,4.50,18588,83646
12.10.2018,4.40,4.40,4.40,4.40,55954,246198
11.10.2018,4.22,4.26,4.22,4.26,103350,440251
10.10.2018,4.20,4.20,4.20,4.20,107748,452542
09.10.2018,4.12,4.16,4.12,4.16,7913,32898
08.10.2018,4.08,4.10,4.08,4.10,7619,31133
05.10.2018,4.08,4.08,4.08,4.08,42786,174567
04.10.2018,3.76,3.90,3.76,3.90,5374,20713
03.10.2018,3.68,3.70,3.68,3.70,425,1572
02.10.2018,3.66,3.66,3.66,3.66,4617,16898
01.10.2018,3.60,3.64,3.60,3.64,187,673
27.09.2018,3.60,3.60,3.60,3.60,14,50
26.09.2018,3.60,3.60,3.60,3.60,1,4
25.09.2018,3.50,3.52,3.50,3.52,5136,18013
18.09.2018,3.48,3.48,3.48,3.48,1,3
14.09.2018,3.28,3.28,3.28,3.28,100,328
13.09.2018,3.32,3.32,3.30,3.30,6006,19938
12.09.2018,3.20,3.26,3.20,3.26,800,2590
11.09.2018,3.00,3.00,3.00,3.00,511,1533
10.09.2018,3.04,3.04,3.04,3.04,1656,5034
07.09.2018,3.26,3.26,3.26,3.26,200,652
06.09.2018,3.26,3.26,3.26,3.26,23,75
04.09.2018,3.20,3.28,3.20,3.28,700,2272
03.09.2018,3.26,3.26,3.26,3.26,1,3
31.08.2018,3.22,3.22,3.22,3.22,177,570
28.08.2018,3.10,3.10,3.10,3.10,3700,11470
27.08.2018,3.10,3.10,3.10,3.10,111,344
24.08.2018,3.10,3.10,3.10,3.10,299,927
