Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,0.72,0.72,0.72,0.72,2000,1440
31.10.2018,0.68,0.72,0.68,0.72,3910,2661
29.10.2018,0.72,0.72,0.72,0.72,12000,8640
25.10.2018,0.71,0.74,0.70,0.74,40732,28551
23.10.2018,0.75,0.75,0.75,0.75,15,11
22.10.2018,0.77,0.77,0.72,0.75,36601,26749
19.10.2018,0.74,0.76,0.74,0.76,24799,18353
18.10.2018,0.78,0.78,0.74,0.77,16881,12493
17.10.2018,0.75,0.78,0.75,0.77,19954,15058
16.10.2018,0.70,0.73,0.70,0.73,28437,20339
15.10.2018,0.69,0.70,0.69,0.70,210,147
12.10.2018,0.68,0.68,0.65,0.68,16726,10927
11.10.2018,0.70,0.70,0.69,0.69,5150,3576
10.10.2018,0.70,0.75,0.69,0.71,93479,65660
09.10.2018,0.71,0.71,0.71,0.71,8700,6177
08.10.2018,0.72,0.72,0.69,0.72,21972,15548
05.10.2018,0.75,0.75,0.75,0.75,5850,4388
04.10.2018,0.77,0.77,0.72,0.75,35137,25650
03.10.2018,0.77,0.77,0.77,0.77,750,578
02.10.2018,0.75,0.77,0.73,0.77,1850,1373
01.10.2018,0.77,0.77,0.77,0.77,119,92
28.09.2018,0.77,0.77,0.77,0.77,150,116
26.09.2018,0.77,0.77,0.77,0.77,1000,770
25.09.2018,0.77,0.77,0.77,0.77,2495,1921
24.09.2018,0.77,0.77,0.77,0.77,13,10
21.09.2018,0.81,0.81,0.76,0.76,43876,33734
14.09.2018,0.81,0.81,0.79,0.81,3600,2866
13.09.2018,0.81,0.81,0.80,0.81,2100,1693
12.09.2018,0.83,0.83,0.79,0.81,23829,18976
11.09.2018,0.83,0.83,0.83,0.83,1032,857
10.09.2018,0.84,0.84,0.83,0.83,10055,8396
07.09.2018,0.84,0.84,0.79,0.84,1625,1301
06.09.2018,0.88,0.88,0.83,0.84,9780,8126
05.09.2018,0.84,0.88,0.84,0.88,1700,1468
04.09.2018,0.96,0.96,0.87,0.88,110126,99271
03.09.2018,0.98,0.98,0.98,0.98,1000,980
31.08.2018,1.00,1.00,1.00,1.00,3,3
27.08.2018,0.97,0.97,0.97,0.97,1500,1455
22.08.2018,0.99,0.99,0.99,0.99,8500,8415
21.08.2018,1.02,1.06,1.02,1.04,8685,8954
20.08.2018,1.02,1.02,1.02,1.02,1600,1632
17.08.2018,1.01,1.01,1.01,1.01,2000,2020
16.08.2018,1.00,1.04,1.00,1.04,4267,4275
14.08.2018,1.03,1.03,1.03,1.03,139,143
10.08.2018,1.04,1.04,1.04,1.04,111,115
09.08.2018,0.99,1.02,0.99,1.00,12522,12532
06.08.2018,0.96,0.96,0.96,0.96,491,471
03.08.2018,1.00,1.00,1.00,1.00,1419,1419
02.08.2018,1.00,1.00,1.00,1.00,710,710
31.07.2018,0.97,0.98,0.97,0.98,12759,12406
27.07.2018,0.97,0.97,0.97,0.97,750,728
25.07.2018,0.97,0.97,0.97,0.97,1000,970
24.07.2018,0.97,0.97,0.97,0.97,300,291
23.07.2018,0.95,0.95,0.95,0.95,5890,5596
19.07.2018,0.94,0.94,0.94,0.94,78,73
18.07.2018,0.93,0.93,0.93,0.93,100,93
17.07.2018,0.95,0.95,0.93,0.93,1244,1176
12.07.2018,0.98,0.98,0.92,0.95,10200,9483
11.07.2018,0.98,0.98,0.98,0.98,96,94
09.07.2018,0.98,0.98,0.98,0.98,3500,3430
