Date,Open,Max,Min,Close,Volume,TradeSize
19.07.2018,4.08,4.08,4.08,4.08,8950,36516
18.07.2018,4.08,4.08,4.08,4.08,8365,34129
17.07.2018,4.07,4.09,4.07,4.08,5715,23317
16.07.2018,4.08,4.09,4.08,4.08,20596,84044
13.07.2018,4.08,4.09,4.08,4.08,9198,37540
12.07.2018,4.08,4.08,4.08,4.08,8079,32962
11.07.2018,4.07,4.08,4.07,4.08,15211,61967
10.07.2018,4.07,4.07,4.07,4.07,2085,8486
09.07.2018,4.07,4.08,4.07,4.08,4772,19422
06.07.2018,4.07,4.07,4.07,4.07,8810,35857
05.07.2018,4.07,4.07,4.07,4.07,1000,4070
04.07.2018,4.07,4.07,4.07,4.07,5241,21331
03.07.2018,4.08,4.08,4.07,4.07,12934,52648
02.07.2018,4.09,4.09,4.07,4.07,6425,26198
29.06.2018,4.07,4.09,4.07,4.09,7225,29512
28.06.2018,4.07,4.07,4.07,4.07,28229,114892
27.06.2018,4.07,4.07,4.07,4.07,625320,2545052
26.06.2018,4.07,4.07,4.07,4.07,38756,157737
25.06.2018,4.06,4.08,4.06,4.07,76254,310468
22.06.2018,4.06,4.06,4.06,4.06,45089,183061
21.06.2018,4.06,4.06,4.06,4.06,19027,77250
20.06.2018,4.06,4.07,4.06,4.06,113861,462281
19.06.2018,4.06,4.06,4.06,4.06,49199,199748
18.06.2018,4.06,4.07,4.06,4.07,154018,625674
15.06.2018,4.04,4.07,4.04,4.06,244501,988935
14.06.2018,4.05,4.06,4.05,4.05,109760,444533
13.06.2018,4.04,4.06,4.03,4.05,79419,321407
12.06.2018,4.01,4.06,3.86,4.05,230740,927967
11.06.2018,3.90,4.00,3.90,3.95,120492,479093
08.06.2018,3.96,3.96,3.91,3.95,9066,35833
07.06.2018,3.97,4.00,3.96,3.97,152278,604708
06.06.2018,3.89,3.90,3.82,3.86,70598,270754
05.06.2018,3.91,3.95,3.89,3.90,63009,246651
04.06.2018,3.93,3.93,3.88,3.91,22588,88081
01.06.2018,3.87,3.93,3.87,3.93,57141,222879
30.05.2018,3.89,3.89,3.87,3.87,12105,46966
29.05.2018,3.85,3.89,3.85,3.89,23257,90466
28.05.2018,3.88,3.89,3.88,3.89,75284,292612
25.05.2018,3.85,3.89,3.85,3.88,22625,87602
24.05.2018,3.85,3.88,3.85,3.88,43622,168665
23.05.2018,3.84,3.87,3.84,3.85,15814,60822
22.05.2018,3.86,3.89,3.85,3.88,9235,35801
21.05.2018,3.87,3.88,3.82,3.87,16690,64290
18.05.2018,3.83,3.86,3.83,3.86,53433,205701
17.05.2018,3.80,3.82,3.79,3.81,103882,395802
16.05.2018,3.82,3.82,3.80,3.80,52816,201294
15.05.2018,3.83,3.83,3.82,3.82,33823,129537
14.05.2018,3.83,3.83,3.81,3.81,9254,35405
11.05.2018,3.85,3.85,3.83,3.83,17364,66702
10.05.2018,3.84,3.84,3.83,3.83,14817,56752
09.05.2018,3.82,3.85,3.82,3.84,20098,77144
08.05.2018,3.84,3.84,3.80,3.80,42448,162276
07.05.2018,3.82,3.85,3.82,3.85,26827,103062
04.05.2018,3.80,3.84,3.80,3.83,20604,78592
02.05.2018,3.78,3.84,3.78,3.84,23222,88656
30.04.2018,3.80,3.84,3.76,3.82,22676,86341
27.04.2018,3.80,3.80,3.78,3.79,31809,120386
26.04.2018,3.81,3.82,3.80,3.80,4350,16564
25.04.2018,3.84,3.86,3.79,3.81,69384,264938
24.04.2018,3.87,3.89,3.84,3.84,32079,123922
23.04.2018,3.92,3.92,3.87,3.89,31423,122502
20.04.2018,3.90,3.91,3.90,3.91,46420,181120
19.04.2018,3.90,3.92,3.88,3.91,215094,840257
18.04.2018,3.87,3.90,3.87,3.87,20564,79768
17.04.2018,3.89,3.90,3.86,3.89,49300,190946
16.04.2018,3.86,3.88,3.86,3.88,65036,251826
