Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,0.35,0.35,0.35,0.35,1,0
27.09.2018,0.35,0.35,0.35,0.35,1004,351
26.09.2018,0.36,0.36,0.36,0.36,250,90
25.09.2018,0.37,0.37,0.36,0.36,8582,3165
24.09.2018,0.35,0.36,0.35,0.36,16,6
21.09.2018,0.36,0.36,0.36,0.36,801,288
20.09.2018,0.36,0.36,0.36,0.36,1,0
19.09.2018,0.36,0.36,0.36,0.36,2506,902
18.09.2018,0.36,0.36,0.36,0.36,1,0
17.09.2018,0.36,0.36,0.36,0.36,1,0
14.09.2018,0.36,0.36,0.36,0.36,1,0
13.09.2018,0.36,0.36,0.36,0.36,1,0
12.09.2018,0.36,0.36,0.36,0.36,1,0
11.09.2018,0.35,0.35,0.35,0.35,4343,1520
10.09.2018,0.36,0.36,0.36,0.36,10,4
07.09.2018,0.36,0.36,0.36,0.36,1,0
06.09.2018,0.35,0.35,0.35,0.35,1,0
05.09.2018,0.36,0.36,0.36,0.36,1,0
31.08.2018,0.36,0.36,0.36,0.36,10000,3600
29.08.2018,0.36,0.36,0.36,0.36,2100,756
28.08.2018,0.40,0.40,0.36,0.36,27244,9808
27.08.2018,0.37,0.40,0.37,0.40,3226,1194
23.08.2018,0.40,0.40,0.40,0.40,210,84
22.08.2018,0.37,0.37,0.37,0.37,11680,4322
21.08.2018,0.37,0.37,0.37,0.37,45000,16650
17.08.2018,0.39,0.42,0.39,0.42,1812,716
16.08.2018,0.40,0.40,0.40,0.40,7983,3193
13.08.2018,0.43,0.43,0.43,0.43,30,13
10.08.2018,0.41,0.41,0.40,0.40,9261,3774
09.08.2018,0.40,0.40,0.40,0.40,2996,1198
07.08.2018,0.41,0.42,0.41,0.42,1439,590
06.08.2018,0.43,0.43,0.43,0.43,10,4
03.08.2018,0.43,0.43,0.43,0.43,20,9
02.08.2018,0.43,0.43,0.43,0.43,10,4
31.07.2018,0.43,0.43,0.43,0.43,10,4
30.07.2018,0.40,0.41,0.40,0.41,8000,3210
26.07.2018,0.44,0.44,0.44,0.44,10,4
24.07.2018,0.44,0.44,0.41,0.41,1292,530
23.07.2018,0.41,0.41,0.41,0.41,6795,2786
19.07.2018,0.44,0.44,0.41,0.41,3010,1234
18.07.2018,0.44,0.44,0.41,0.41,3510,1439
17.07.2018,0.44,0.44,0.44,0.44,10,4
16.07.2018,0.44,0.44,0.44,0.44,10,4
13.07.2018,0.44,0.44,0.44,0.44,25,11
12.07.2018,0.44,0.44,0.44,0.44,10,4
11.07.2018,0.44,0.44,0.44,0.44,10,4
10.07.2018,0.44,0.44,0.44,0.44,10,4
09.07.2018,0.44,0.44,0.44,0.44,20,9
06.07.2018,0.44,0.44,0.42,0.42,848,357
05.07.2018,0.41,0.44,0.41,0.44,520,214
04.07.2018,0.44,0.44,0.44,0.44,20,9
03.07.2018,0.42,0.44,0.42,0.44,3600,1532
29.06.2018,0.46,0.46,0.45,0.46,507,228
28.06.2018,0.46,0.46,0.42,0.46,3702,1600
27.06.2018,0.46,0.46,0.46,0.46,4,2
26.06.2018,0.46,0.46,0.46,0.46,239,110
25.06.2018,0.46,0.46,0.46,0.46,2,1
22.06.2018,0.46,0.46,0.45,0.45,180,81
21.06.2018,0.46,0.46,0.45,0.46,123,56
20.06.2018,0.44,0.45,0.41,0.45,9383,4134
19.06.2018,0.45,0.45,0.45,0.45,1640,738
18.06.2018,0.44,0.45,0.44,0.45,447,198
15.06.2018,0.45,0.45,0.41,0.41,6198,2619
14.06.2018,0.45,0.45,0.45,0.45,200,90
13.06.2018,0.43,0.44,0.43,0.44,1088,471
12.06.2018,0.45,0.45,0.41,0.43,6928,2905
11.06.2018,0.45,0.45,0.45,0.45,2,1
08.06.2018,0.45,0.45,0.44,0.44,11,5
07.06.2018,0.45,0.45,0.41,0.45,509,209
06.06.2018,0.45,0.45,0.45,0.45,4,2
05.06.2018,0.47,0.47,0.47,0.47,4,2
04.06.2018,0.41,0.45,0.40,0.45,3426,1452
01.06.2018,0.46,0.46,0.42,0.42,3598,1635
30.05.2018,0.44,0.46,0.40,0.46,15017,6187
29.05.2018,0.44,0.44,0.42,0.44,918,402
28.05.2018,0.46,0.46,0.41,0.44,8121,3389
25.05.2018,0.46,0.46,0.46,0.46,3004,1382
24.05.2018,0.46,0.46,0.45,0.45,102,46
23.05.2018,0.46,0.46,0.42,0.42,1883,801
22.05.2018,0.46,0.46,0.46,0.46,1,0
21.05.2018,0.46,0.46,0.46,0.46,4,2
18.05.2018,0.46,0.46,0.41,0.46,4675,1962
17.05.2018,0.46,0.46,0.46,0.46,4,2
16.05.2018,0.46,0.46,0.44,0.46,2163,957
15.05.2018,0.46,0.46,0.45,0.46,502,226
14.05.2018,0.46,0.46,0.46,0.46,4,2
11.05.2018,0.46,0.46,0.46,0.46,4,2
10.05.2018,0.46,0.46,0.45,0.46,420,189
09.05.2018,0.46,0.46,0.45,0.45,814,366
08.05.2018,0.46,0.46,0.46,0.46,5,2
07.05.2018,0.46,0.46,0.45,0.45,12,5
04.05.2018,0.46,0.46,0.45,0.45,101,45
02.05.2018,0.43,0.46,0.43,0.46,13217,5914
30.04.2018,0.43,0.46,0.40,0.44,4911,2023
27.04.2018,0.46,0.46,0.41,0.41,5493,2394
26.04.2018,0.46,0.46,0.42,0.46,4006,1683
25.04.2018,0.46,0.46,0.46,0.46,139,64
24.04.2018,0.44,0.48,0.43,0.43,9637,4314
23.04.2018,0.44,0.48,0.43,0.46,22563,9850
20.04.2018,0.56,0.56,0.42,0.45,127406,61897
19.04.2018,0.48,0.59,0.47,0.59,202997,109365
18.04.2018,0.48,0.48,0.48,0.48,2,1
17.04.2018,0.48,0.48,0.48,0.48,4,2
16.04.2018,0.45,0.48,0.45,0.48,5206,2349
13.04.2018,0.46,0.46,0.43,0.45,3999,1720
12.04.2018,0.46,0.46,0.45,0.45,504,227
11.04.2018,0.42,0.46,0.42,0.46,37270,15768
10.04.2018,0.49,0.49,0.49,0.49,4,2
09.04.2018,0.49,0.49,0.49,0.49,2,1
06.04.2018,0.48,0.48,0.48,0.48,4,2
05.04.2018,0.49,0.49,0.49,0.49,4,2
04.04.2018,0.49,0.49,0.49,0.49,2,1
03.04.2018,0.49,0.49,0.49,0.49,2,1
29.03.2018,0.49,0.49,0.45,0.48,4470,2027
28.03.2018,0.49,0.49,0.45,0.49,1695,763
27.03.2018,0.49,0.49,0.48,0.48,232,111
26.03.2018,0.46,0.48,0.46,0.48,1868,891
23.03.2018,0.48,0.48,0.48,0.48,107,51
22.03.2018,0.49,0.49,0.45,0.49,20176,9362
21.03.2018,0.49,0.49,0.48,0.49,342,165
20.03.2018,0.49,0.49,0.49,0.49,221,108
19.03.2018,0.49,0.49,0.49,0.49,2278,1116
16.03.2018,0.48,0.49,0.45,0.49,8004,3682
15.03.2018,0.49,0.49,0.49,0.49,2,1
14.03.2018,0.50,0.50,0.46,0.50,10007,4604
13.03.2018,0.50,0.50,0.50,0.50,4,2
12.03.2018,0.52,0.52,0.50,0.50,700,360
09.03.2018,0.51,0.52,0.51,0.52,12,6
08.03.2018,0.50,0.51,0.48,0.51,950,456
07.03.2018,0.52,0.52,0.48,0.48,2005,973
06.03.2018,0.52,0.52,0.51,0.52,208,106
05.03.2018,0.49,0.52,0.49,0.52,1357,695
02.03.2018,0.51,0.51,0.48,0.51,25,12
01.03.2018,0.51,0.51,0.51,0.51,2,1
28.02.2018,0.52,0.52,0.51,0.51,1001,511
27.02.2018,0.52,0.52,0.48,0.52,6024,3016
26.02.2018,0.50,0.50,0.47,0.48,2355,1147
23.02.2018,0.50,0.50,0.50,0.50,4,2
22.02.2018,0.50,0.50,0.50,0.50,4,2
21.02.2018,0.50,0.50,0.50,0.50,212,106
20.02.2018,0.50,0.50,0.50,0.50,604,302
19.02.2018,0.50,0.50,0.50,0.50,4,2
16.02.2018,0.50,0.50,0.48,0.50,6098,2977
15.02.2018,0.50,0.50,0.48,0.50,2002,961
14.02.2018,0.49,0.50,0.49,0.50,1131,554
13.02.2018,0.49,0.49,0.49,0.49,2020,990
12.02.2018,0.51,0.51,0.49,0.49,20373,10128
09.02.2018,0.50,0.50,0.47,0.50,797,397
08.02.2018,0.51,0.51,0.47,0.50,2064,978
07.02.2018,0.51,0.51,0.48,0.50,7508,3629
06.02.2018,0.51,0.51,0.46,0.48,56437,26764
05.02.2018,0.54,0.54,0.49,0.51,22811,11329
02.02.2018,0.54,0.54,0.54,0.54,4,2
01.02.2018,0.53,0.55,0.50,0.54,18969,10160
31.01.2018,0.52,0.54,0.51,0.54,25831,13392
30.01.2018,0.52,0.57,0.51,0.54,81742,44288
29.01.2018,0.52,0.52,0.48,0.48,315,151
26.01.2018,0.52,0.52,0.49,0.52,12530,6275
25.01.2018,0.49,0.52,0.49,0.52,1908,978
24.01.2018,0.52,0.52,0.51,0.52,5004,2581
23.01.2018,0.52,0.52,0.49,0.51,278,139
22.01.2018,0.53,0.53,0.49,0.52,15278,7595
19.01.2018,0.52,0.53,0.51,0.53,69,36
18.01.2018,0.52,0.52,0.50,0.52,20180,10238
17.01.2018,0.52,0.52,0.52,0.52,4000,2080
16.01.2018,0.52,0.52,0.51,0.52,4476,2286
15.01.2018,0.53,0.53,0.52,0.52,3504,1822
12.01.2018,0.54,0.54,0.51,0.52,11645,5990
11.01.2018,0.54,0.55,0.51,0.54,35710,19027
10.01.2018,0.53,0.62,0.53,0.55,138737,77487
