Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,20.90,21.30,20.90,21.30,181,3813
26.09.2018,21.00,21.00,21.00,21.00,136,2856
25.09.2018,21.00,21.40,21.00,21.30,220,4663
24.09.2018,21.10,21.10,21.10,21.10,16,338
21.09.2018,21.20,21.40,21.20,21.40,56,1190
20.09.2018,21.30,21.40,21.10,21.10,262,5569
19.09.2018,21.00,21.20,21.00,21.20,43,911
18.09.2018,21.20,21.20,20.40,20.80,173,3554
17.09.2018,21.50,21.50,21.20,21.20,443,9444
14.09.2018,21.60,21.60,21.30,21.60,121,2578
13.09.2018,21.70,21.70,21.30,21.50,200,4269
12.09.2018,22.70,22.70,22.30,22.70,185,4142
11.09.2018,22.70,22.70,22.00,22.70,194,4390
10.09.2018,22.80,22.80,22.00,22.70,213,4742
07.09.2018,22.70,22.70,22.60,22.60,126,2860
06.09.2018,22.10,22.80,22.00,22.80,456,10084
05.09.2018,22.20,22.90,22.10,22.90,217,4804
04.09.2018,23.80,23.80,22.10,22.20,573,12806
03.09.2018,23.80,23.80,22.50,22.70,555,12618
31.08.2018,23.80,23.80,22.30,23.00,111,2498
30.08.2018,23.80,23.80,22.30,22.90,41,916
29.08.2018,23.80,23.80,23.80,23.80,43,1023
28.08.2018,23.80,23.80,23.80,23.80,2,48
27.08.2018,23.80,23.80,22.70,23.80,127,2895
24.08.2018,22.60,23.90,22.60,23.90,194,4450
23.08.2018,22.60,22.80,22.00,22.60,390,8767
22.08.2018,23.80,23.80,22.60,22.60,16,363
21.08.2018,23.90,23.90,22.40,22.50,376,8446
20.08.2018,23.90,23.90,22.80,23.50,22,508
17.08.2018,22.50,23.80,22.50,23.80,22,522
16.08.2018,22.00,22.50,21.80,22.50,175,3841
14.08.2018,21.70,22.00,21.70,22.00,33,716
13.08.2018,21.70,21.70,21.70,21.70,2,43
10.08.2018,22.00,22.00,21.50,21.70,30,646
09.08.2018,22.00,22.00,21.60,21.60,48,1037
08.08.2018,22.00,22.00,21.70,21.70,63,1367
07.08.2018,22.00,22.00,21.60,22.00,224,4869
06.08.2018,21.70,21.80,21.70,21.80,72,1564
03.08.2018,21.70,21.70,21.70,21.70,34,738
02.08.2018,21.60,21.70,21.60,21.70,143,3089
01.08.2018,21.60,21.60,21.00,21.60,12,253
31.07.2018,21.60,21.60,21.60,21.60,19,410
30.07.2018,21.60,21.60,21.60,21.60,56,1210
27.07.2018,21.50,21.50,21.50,21.50,223,4795
26.07.2018,21.50,21.50,21.50,21.50,72,1548
25.07.2018,22.00,22.40,20.50,21.40,4776,101381
24.07.2018,22.00,22.00,19.80,22.00,2178,47238
23.07.2018,22.00,22.00,21.90,22.00,22,482
20.07.2018,22.00,22.00,21.20,22.00,219,4674
19.07.2018,22.00,22.00,22.00,22.00,2,44
19.07.2018,22.00,22.00,22.00,22.00,2,44
18.07.2018,22.00,22.00,21.50,22.00,25,539
17.07.2018,22.00,22.00,22.00,22.00,2,44
16.07.2018,22.00,22.00,21.80,21.80,2,44
13.07.2018,22.00,22.00,22.00,22.00,2,44
12.07.2018,21.50,22.00,21.50,22.00,506,10880
11.07.2018,21.50,22.00,21.50,22.00,318,6857
10.07.2018,22.00,22.00,21.90,22.00,102,2238
09.07.2018,22.00,22.00,21.60,22.00,22,476
06.07.2018,22.00,22.00,21.90,22.00,59,1294
05.07.2018,22.00,22.00,22.00,22.00,2,44
04.07.2018,22.00,22.00,21.60,22.00,82,1772
03.07.2018,21.60,22.00,21.60,22.00,5,108
02.07.2018,21.60,22.00,21.60,22.00,16,346
29.06.2018,21.90,21.90,21.90,21.90,2,44
28.06.2018,21.90,21.90,21.50,21.90,85,1828
27.06.2018,21.90,21.90,21.90,21.90,2,44
26.06.2018,21.90,21.90,21.90,21.90,2,44
25.06.2018,21.90,21.90,21.90,21.90,2,44
22.06.2018,21.50,21.90,21.50,21.90,8,172
21.06.2018,21.90,21.90,21.50,21.90,13,280
20.06.2018,21.90,21.90,21.50,21.90,17,366
19.06.2018,21.90,22.00,21.50,21.90,197,4278
18.06.2018,22.00,22.00,21.60,21.90,439,9647
15.06.2018,21.90,21.90,21.70,21.70,36,781
14.06.2018,21.90,22.00,21.90,22.00,2,44
13.06.2018,22.00,22.00,21.90,21.90,2,44
12.06.2018,22.00,22.00,22.00,22.00,41,902
11.06.2018,22.40,22.40,21.60,21.60,5,109
08.06.2018,22.40,22.40,22.40,22.40,2,45
07.06.2018,22.40,22.40,21.70,22.40,107,2323
06.06.2018,22.40,22.40,21.70,22.40,197,4286
05.06.2018,22.40,22.40,22.40,22.40,2,45
04.06.2018,22.30,22.40,21.50,22.40,104,2282
01.06.2018,22.30,22.30,21.60,22.30,138,2992
30.05.2018,22.30,22.30,22.30,22.30,2,45
29.05.2018,23.00,23.00,21.60,22.30,63,1367
28.05.2018,22.50,23.00,21.50,23.00,31,678
25.05.2018,23.00,23.00,21.90,23.00,683,14961
24.05.2018,23.00,23.00,21.90,21.90,435,9548
23.05.2018,21.80,23.00,21.70,23.00,386,8494
22.05.2018,21.70,21.80,21.20,21.80,70,1514
21.05.2018,22.50,22.50,21.20,21.70,837,17952
18.05.2018,21.50,22.70,21.10,22.70,709,15288
17.05.2018,21.60,21.60,21.50,21.50,104,2236
16.05.2018,21.80,21.80,20.20,21.60,1472,31724
15.05.2018,22.50,22.50,21.90,22.50,322,7053
14.05.2018,22.70,22.70,21.90,22.50,482,10569
11.05.2018,22.70,22.70,22.60,22.70,78,1763
10.05.2018,22.70,22.70,22.70,22.70,2,45
09.05.2018,22.70,22.70,22.00,22.70,505,11293
08.05.2018,22.70,22.70,22.00,22.70,116,2562
07.05.2018,22.70,22.70,22.70,22.70,2,45
04.05.2018,22.50,22.50,21.70,22.00,343,7649
02.05.2018,22.70,22.70,21.70,22.50,515,11345
30.04.2018,22.70,22.70,21.80,22.70,848,18758
27.04.2018,22.70,22.70,21.90,22.70,546,12000
26.04.2018,22.70,22.70,21.50,22.70,467,10116
25.04.2018,22.80,22.80,20.90,22.80,630,13468
24.04.2018,20.30,22.80,20.30,22.80,100,2106
23.04.2018,22.80,22.80,20.60,21.50,749,16039
20.04.2018,22.20,22.80,21.80,22.80,189,4122
19.04.2018,22.60,22.60,21.70,21.70,960,20866
18.04.2018,22.80,22.80,22.60,22.60,2,45
17.04.2018,22.80,22.80,22.70,22.70,2,46
16.04.2018,23.50,23.50,21.60,22.80,816,18640
13.04.2018,24.80,24.80,23.50,23.50,5,119
12.04.2018,24.90,24.90,23.00,23.00,103,2389
11.04.2018,23.40,24.70,23.20,24.70,436,10138
10.04.2018,23.20,23.30,23.20,23.30,196,4559
09.04.2018,23.20,23.20,22.80,23.20,407,9302
06.04.2018,23.20,23.20,22.70,23.20,352,7991
05.04.2018,23.20,23.20,22.80,22.80,27,626
04.04.2018,23.20,23.20,22.70,22.80,141,3215
03.04.2018,23.20,23.20,23.20,23.20,134,3109
29.03.2018,23.30,23.30,23.20,23.20,71,1647
