Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,9.88,9.88,9.88,9.88,155,1531
27.09.2018,9.64,9.64,9.58,9.58,387,3723
26.09.2018,9.80,9.86,9.60,9.60,1428,13796
25.09.2018,9.50,9.68,9.44,9.68,3109,29525
24.09.2018,9.40,9.40,9.28,9.28,1100,10339
21.09.2018,9.40,9.40,9.40,9.40,51,479
20.09.2018,9.40,9.40,9.40,9.40,201,1889
19.09.2018,9.42,9.42,9.42,9.42,390,3674
18.09.2018,9.34,9.44,9.34,9.44,966,9023
17.09.2018,9.34,9.34,9.34,9.34,181,1691
14.09.2018,9.40,9.40,9.06,9.34,414,3823
13.09.2018,9.40,9.40,9.08,9.40,243,2280
12.09.2018,9.14,9.32,9.14,9.32,1457,13554
11.09.2018,9.38,9.38,9.08,9.08,1561,14237
10.09.2018,9.48,9.48,9.30,9.30,235,2192
07.09.2018,9.02,9.50,9.02,9.12,4181,38218
06.09.2018,9.34,9.36,9.00,9.36,1007,9226
05.09.2018,9.44,9.50,9.10,9.50,1888,17424
04.09.2018,9.40,9.42,9.28,9.42,2245,20973
03.09.2018,9.62,9.62,9.30,9.40,1819,17081
31.08.2018,9.42,9.60,9.40,9.60,1686,15994
30.08.2018,9.68,9.68,9.46,9.46,1426,13532
29.08.2018,9.60,9.68,9.50,9.68,5335,50772
28.08.2018,9.52,9.56,9.40,9.46,5735,54524
27.08.2018,9.50,9.52,9.48,9.52,6288,59840
24.08.2018,9.48,9.52,9.48,9.48,1952,18542
23.08.2018,9.34,9.54,9.34,9.48,8353,78747
22.08.2018,12.65,12.65,9.30,9.40,41405,405408
21.08.2018,13.30,13.30,13.30,13.30,40,532
20.08.2018,13.80,13.80,13.30,13.35,1787,24153
17.08.2018,13.90,14.15,13.50,13.95,517,7027
16.08.2018,14.70,14.70,13.55,13.80,1603,22228
14.08.2018,14.15,14.70,14.00,14.70,205,2887
13.08.2018,14.45,14.45,13.90,14.15,919,12816
10.08.2018,14.55,14.60,14.15,14.50,1075,15311
09.08.2018,14.90,14.90,14.50,14.60,166,2418
08.08.2018,15.00,15.00,14.40,14.85,741,10673
07.08.2018,14.00,15.15,13.90,15.15,1180,16620
06.08.2018,13.95,14.00,13.55,14.00,1097,15173
03.08.2018,14.35,14.35,14.20,14.20,3193,45341
02.08.2018,14.95,14.95,14.40,14.40,2391,34543
01.08.2018,14.85,14.85,14.55,14.80,1037,15239
31.07.2018,14.70,14.70,14.55,14.70,1074,15735
30.07.2018,14.85,15.00,14.60,14.85,3039,45073
27.07.2018,14.85,14.85,14.85,14.85,2,30
26.07.2018,14.85,14.85,14.55,14.85,482,7113
25.07.2018,14.90,14.90,14.90,14.90,12,179
24.07.2018,14.40,15.05,14.40,14.55,1020,14822
23.07.2018,15.15,15.15,14.50,15.10,619,9081
20.07.2018,15.15,15.15,14.80,15.15,462,6879
19.07.2018,15.15,15.15,15.15,15.15,2,30
18.07.2018,15.15,15.15,14.60,15.15,2111,31102
17.07.2018,15.15,15.15,14.80,15.00,37,549
16.07.2018,14.75,15.25,14.40,14.40,132,1957
13.07.2018,15.30,15.30,14.40,14.80,470,6937
12.07.2018,15.30,15.30,15.30,15.30,2,31
11.07.2018,15.35,15.35,15.25,15.25,26,397
10.07.2018,15.45,15.45,15.45,15.45,2,31
09.07.2018,15.15,15.15,15.15,15.15,102,1545
06.07.2018,15.25,15.25,15.10,15.15,345,5210
05.07.2018,15.45,15.45,14.75,15.15,151,2241
04.07.2018,14.80,15.45,14.35,15.45,3837,55958
03.07.2018,14.80,14.80,14.35,14.80,236,3406
02.07.2018,14.80,14.80,14.50,14.80,4797,70505
29.06.2018,15.00,15.00,14.60,15.00,619,9077
28.06.2018,15.20,15.20,14.65,15.00,1604,23803
27.06.2018,15.40,15.40,14.90,15.15,217,3236
26.06.2018,15.00,15.00,15.00,15.00,102,1530
25.06.2018,15.35,15.35,14.65,15.00,186,2832
22.06.2018,15.40,15.40,14.60,15.10,1498,22292
21.06.2018,15.45,15.45,15.00,15.25,1047,15786
20.06.2018,15.40,15.45,15.40,15.45,348,5370
19.06.2018,15.90,15.90,15.40,15.40,55,850
18.06.2018,16.25,16.25,15.40,15.40,658,10369
15.06.2018,16.10,16.10,15.45,15.45,2327,36562
14.06.2018,16.25,16.25,15.70,15.80,803,12970
13.06.2018,15.15,16.30,15.15,15.70,3997,62499
12.06.2018,15.10,15.10,14.45,14.95,24637,356399
11.06.2018,15.10,15.10,14.40,14.50,1023,14811
08.06.2018,15.10,15.10,14.40,14.50,12987,190527
07.06.2018,15.50,15.50,14.60,14.90,2310,34405
06.06.2018,15.25,15.25,14.90,14.90,5276,78837
05.06.2018,14.90,15.30,14.75,14.90,16294,244476
04.06.2018,16.15,16.50,15.10,15.10,1484,23073
01.06.2018,17.25,17.25,16.65,16.80,11455,192683
30.05.2018,17.00,17.90,16.60,16.90,26654,460692
29.05.2018,18.40,18.40,16.60,16.60,19701,336694
28.05.2018,17.80,18.40,17.80,18.40,91,1620
25.05.2018,17.50,17.80,17.25,17.60,809,14036
24.05.2018,18.90,18.90,17.40,17.60,6292,110636
23.05.2018,19.45,19.45,18.05,18.95,1113,20330
22.05.2018,18.60,19.00,18.60,19.00,271,5074
21.05.2018,19.05,19.05,18.30,18.55,877,16175
18.05.2018,18.60,19.60,18.05,18.25,6207,113248
17.05.2018,18.50,18.65,18.05,18.50,1502,27656
16.05.2018,18.85,18.85,17.30,18.65,3264,60182
15.05.2018,19.45,19.50,19.00,19.00,3929,76275
14.05.2018,19.80,19.80,19.30,19.50,1611,31811
11.05.2018,19.80,19.80,19.80,19.80,14,277
10.05.2018,19.40,19.50,19.40,19.50,7,136
09.05.2018,20.00,20.00,19.40,19.40,57,1112
08.05.2018,20.10,20.10,19.40,19.40,257,5090
07.05.2018,20.30,20.40,20.00,20.30,701,14029
04.05.2018,20.20,20.30,20.20,20.20,191,3867
02.05.2018,19.80,20.10,19.80,20.10,60,1203
30.04.2018,20.50,20.60,20.00,20.10,2048,41028
27.04.2018,20.70,21.20,20.10,20.50,526,10850
26.04.2018,20.80,20.80,20.10,20.70,927,18799
25.04.2018,21.30,21.30,20.80,20.80,24,501
24.04.2018,21.40,21.40,20.70,21.30,172,3595
23.04.2018,21.30,21.40,21.20,21.40,167,3556
20.04.2018,21.30,21.30,20.90,21.30,37,775
19.04.2018,21.40,21.40,20.80,21.40,1287,26873
18.04.2018,21.40,21.40,21.00,21.40,134,2816
17.04.2018,21.50,21.50,21.50,21.50,2,43
16.04.2018,21.50,21.50,21.50,21.50,35,753
13.04.2018,21.50,21.50,21.40,21.50,124,2654
12.04.2018,21.50,21.50,21.10,21.10,126,2679
11.04.2018,21.60,21.60,21.10,21.50,238,5061
10.04.2018,21.50,21.80,21.50,21.60,4141,89451
09.04.2018,21.60,21.60,21.60,21.60,2,43
06.04.2018,21.80,21.80,21.10,21.60,966,20406
05.04.2018,21.80,21.80,21.60,21.60,133,2873
04.04.2018,21.80,21.80,21.70,21.70,434,9421
03.04.2018,21.30,21.70,21.30,21.70,1123,24107
29.03.2018,21.40,21.40,20.80,21.30,359,7569
28.03.2018,21.50,21.50,20.80,21.50,2251,47308
27.03.2018,21.00,21.60,20.90,21.50,4036,85075
26.03.2018,20.50,21.00,20.30,20.60,2403,48903
23.03.2018,21.80,21.80,20.50,21.00,723,15039
22.03.2018,21.50,21.80,21.20,21.80,149,3189
21.03.2018,21.90,21.90,21.90,21.90,52,1139
20.03.2018,22.20,22.20,21.60,21.70,213,4622
19.03.2018,22.30,22.30,21.80,22.10,3429,75965
16.03.2018,21.40,21.90,21.40,21.60,973,21163
15.03.2018,21.50,21.50,21.00,21.50,555,11740
14.03.2018,21.90,21.90,21.10,21.50,904,19193
13.03.2018,21.90,21.90,21.80,21.90,321,6998
12.03.2018,21.90,21.90,21.70,21.90,104,2258
09.03.2018,21.90,21.90,21.80,21.90,380,8319
08.03.2018,21.90,21.90,21.80,21.90,2262,49472
07.03.2018,21.90,21.90,21.50,21.80,1326,28511
06.03.2018,21.90,21.90,21.80,21.90,673,14704
05.03.2018,21.10,21.90,21.10,21.80,3619,78534
02.03.2018,20.20,21.50,20.20,21.30,4032,84533
01.03.2018,19.90,20.90,19.00,20.90,5338,106128
28.02.2018,20.10,20.10,19.50,19.50,77,1523
27.02.2018,20.40,20.40,19.40,20.40,514,10186
26.02.2018,20.50,20.50,18.70,20.00,14547,288530
23.02.2018,21.50,21.50,20.30,20.40,1404,28738
22.02.2018,21.50,21.50,20.70,21.00,912,19048
21.02.2018,21.70,21.70,21.50,21.50,911,19587
20.02.2018,21.90,21.90,21.90,21.90,62,1358
19.02.2018,21.90,21.90,21.90,21.90,2,44
16.02.2018,21.70,21.90,21.20,21.90,657,14140
15.02.2018,21.70,21.90,21.50,21.50,1002,21721
14.02.2018,20.70,21.90,20.70,21.50,571,12026
13.02.2018,20.70,20.70,20.70,20.70,1,21
12.02.2018,20.70,20.70,20.20,20.70,562,11555
09.02.2018,19.50,20.90,19.50,20.70,2098,42808
08.02.2018,21.00,21.00,19.80,19.80,3262,65630
07.02.2018,20.00,22.00,20.00,21.20,2185,45410
06.02.2018,20.20,21.10,18.20,20.00,5661,111248
05.02.2018,21.70,21.70,21.40,21.40,767,16437
02.02.2018,21.70,21.70,21.50,21.70,504,10837
01.02.2018,22.20,22.20,21.20,21.90,215,4578
31.01.2018,22.20,22.20,21.80,21.90,402,8765
30.01.2018,21.80,21.80,21.70,21.80,776,16875
29.01.2018,21.80,21.80,21.80,21.80,522,11380
26.01.2018,21.80,21.80,21.80,21.80,132,2878
25.01.2018,22.50,22.50,21.50,21.90,3584,77875
24.01.2018,22.50,22.50,22.10,22.50,483,10736
23.01.2018,22.50,22.50,22.30,22.30,147,3279
22.01.2018,22.60,22.60,22.50,22.50,32,720
19.01.2018,22.60,22.60,22.50,22.50,14,315
18.01.2018,22.50,22.60,22.20,22.60,486,10954
17.01.2018,22.90,22.90,22.20,22.50,766,17167
16.01.2018,22.80,22.80,22.50,22.80,405,9195
15.01.2018,22.90,22.90,22.50,22.50,229,5208
12.01.2018,23.00,23.00,22.50,22.50,1121,25298
11.01.2018,23.00,23.10,23.00,23.10,32,737
10.01.2018,23.20,23.20,22.40,23.00,1311,29867
09.01.2018,23.40,23.40,22.70,22.70,1373,31407
08.01.2018,22.40,23.40,22.20,23.40,1687,38797
05.01.2018,21.60,22.40,21.60,22.40,2904,64173
04.01.2018,21.40,22.00,21.10,21.60,4821,104122
03.01.2018,21.60,21.60,20.30,21.00,450,9321
29.12.2017,20.25,20.35,20.20,20.25,11003,222479
28.12.2017,20.25,20.28,20.18,20.25,2286,46265
27.12.2017,20.65,20.65,20.21,20.21,4778,96953
22.12.2017,20.74,20.74,20.45,20.65,1923,39671
21.12.2017,20.80,20.80,20.30,20.75,1499,30657
20.12.2017,21.00,21.63,20.50,20.88,1786,37312
19.12.2017,22.08,22.08,20.87,21.00,821,17246
18.12.2017,22.17,22.17,21.32,21.40,1905,41019
15.12.2017,20.60,22.20,20.60,22.19,2701,57322
14.12.2017,21.00,21.00,20.45,20.60,171,3551
13.12.2017,21.77,21.77,20.45,20.45,751,15816
12.12.2017,20.50,20.60,20.33,20.58,724,14833
11.12.2017,21.87,21.87,20.50,20.50,1637,34556
08.12.2017,21.99,22.20,20.83,21.30,4658,99709
07.12.2017,21.10,22.29,20.57,21.99,3745,79679
06.12.2017,22.35,22.35,21.21,21.21,1892,40915
05.12.2017,22.50,22.50,21.50,22.14,1591,34803
04.12.2017,22.49,22.49,21.50,21.50,729,16015
01.12.2017,22.48,22.48,21.76,22.28,724,15804
30.11.2017,22.53,22.53,22.04,22.04,587,12939
29.11.2017,22.88,22.88,22.00,22.00,995,21913
28.11.2017,22.90,22.90,21.84,22.00,268,5862
27.11.2017,22.85,22.90,21.80,22.00,6027,132919
24.11.2017,22.49,22.55,22.02,22.02,1516,33675
23.11.2017,22.31,23.00,22.00,22.60,2200,48988
22.11.2017,22.31,22.31,21.80,22.21,511,11214
21.11.2017,22.30,22.30,20.66,22.30,3660,80569
20.11.2017,22.35,23.00,22.23,22.33,574,12822
17.11.2017,22.95,23.30,22.25,22.98,5129,116515
16.11.2017,23.40,23.40,22.84,22.84,31445,718879
15.11.2017,24.34,24.86,22.80,23.40,3974,94321
14.11.2017,24.87,24.87,23.00,23.40,15644,366550
13.11.2017,23.80,24.88,23.30,23.80,2539,60325
10.11.2017,24.20,24.20,23.17,23.80,989,23322
09.11.2017,24.88,24.88,24.00,24.39,1028,24747
08.11.2017,24.88,24.88,24.88,24.88,42,1045
07.11.2017,26.00,26.00,24.10,24.89,1439,35036
06.11.2017,24.75,26.00,24.10,24.99,1183,29738
03.11.2017,24.74,25.44,24.65,25.44,670,16524
02.11.2017,24.65,24.70,24.50,24.70,115,2835
31.10.2017,24.75,25.90,23.51,24.65,4956,118443
30.10.2017,25.20,25.20,24.52,24.52,456,11275
27.10.2017,25.30,25.30,25.00,25.15,567,14231
26.10.2017,26.57,26.57,25.05,25.30,818,20618
25.10.2017,26.13,26.13,26.10,26.10,22,574
24.10.2017,26.23,26.23,25.51,25.70,1391,36083
23.10.2017,26.16,26.20,26.15,26.20,114,2982
20.10.2017,26.87,26.87,26.10,26.10,132,3448
19.10.2017,26.11,26.94,26.11,26.50,415,10954
18.10.2017,26.90,26.95,26.90,26.90,189,5088
17.10.2017,26.87,26.89,26.75,26.89,254,6817
16.10.2017,26.88,26.88,26.85,26.87,14,376
13.10.2017,26.90,26.90,26.80,26.88,15,402
12.10.2017,26.11,26.50,26.11,26.50,265,7007
11.10.2017,26.48,26.48,25.90,26.10,1746,45521
10.10.2017,26.98,26.98,26.07,26.10,336,8840
09.10.2017,26.62,27.10,26.62,26.70,2135,57267
06.10.2017,26.65,26.65,26.40,26.57,207,5506
05.10.2017,26.98,26.98,26.06,26.15,888,23477
04.10.2017,27.68,27.68,25.05,26.00,2211,59053
03.10.2017,27.00,27.99,27.00,27.00,7085,193625
02.10.2017,27.35,27.35,27.20,27.29,52,1417
29.09.2017,27.01,27.01,26.90,27.01,234,6303
28.09.2017,27.50,27.50,26.55,27.01,262,7032
27.09.2017,27.45,27.45,26.86,27.40,839,22886
26.09.2017,26.90,27.40,26.60,26.90,877,23454
25.09.2017,26.75,26.99,26.52,26.90,919,24645
22.09.2017,26.80,26.80,26.60,26.75,1125,29993
21.09.2017,26.60,26.80,26.50,26.80,720,19140
20.09.2017,26.79,26.80,26.36,26.36,736,19537
19.09.2017,26.39,26.60,26.39,26.60,736,19550
18.09.2017,26.50,26.50,26.00,26.38,2803,73585
15.09.2017,26.80,26.80,25.80,26.39,7655,198365
14.09.2017,27.64,27.64,26.13,26.13,2508,67085
13.09.2017,27.80,27.80,27.10,27.65,989,27034
12.09.2017,27.70,27.98,27.40,27.80,2764,76341
11.09.2017,27.02,27.70,27.02,27.70,1779,48633
08.09.2017,27.40,28.20,27.11,28.20,618,16978
07.09.2017,28.01,28.10,27.30,27.40,1851,51599
06.09.2017,26.50,28.44,26.50,28.00,10690,294158
05.09.2017,26.63,26.95,26.40,26.45,27474,727228
04.09.2017,26.47,26.47,26.00,26.00,153,3997
01.09.2017,26.10,26.46,26.10,26.39,860,22669
31.08.2017,26.00,26.00,25.60,26.00,1604,41450
30.08.2017,26.00,26.00,25.61,26.00,76,1972
29.08.2017,26.00,26.00,25.70,25.70,335,8687
28.08.2017,26.01,26.43,25.60,25.99,2740,70838
25.08.2017,26.50,26.50,25.70,26.00,669,17481
24.08.2017,26.99,26.99,26.00,26.49,1796,47155
23.08.2017,27.38,27.38,26.50,26.99,1131,30140
22.08.2017,28.24,28.24,27.35,27.38,599,16594
21.08.2017,28.28,28.28,28.27,28.27,16,452
18.08.2017,27.41,28.28,26.99,28.28,1538,42145
17.08.2017,27.41,27.66,27.41,27.41,351,9695
16.08.2017,28.00,28.00,27.41,27.41,22049,606435
14.08.2017,28.10,28.10,27.41,28.09,602,16522
11.08.2017,28.28,28.28,28.28,28.28,6,170
10.08.2017,28.28,28.28,27.46,28.28,12,336
09.08.2017,28.30,28.30,27.46,28.29,149,4108
08.08.2017,28.30,28.30,27.60,27.60,243,6768
07.08.2017,28.25,28.30,27.70,28.30,152,4214
04.08.2017,28.00,28.00,28.00,28.00,55,1540
03.08.2017,28.98,28.98,28.06,28.30,940,26465
02.08.2017,29.00,29.00,29.00,29.00,9,261
01.08.2017,28.51,29.89,28.51,29.00,330,9607
31.07.2017,29.87,29.87,28.28,28.40,2944,84080
28.07.2017,28.85,28.94,28.85,28.94,171,4939
27.07.2017,28.79,28.90,28.60,28.90,481,13808
26.07.2017,28.90,28.90,28.90,28.90,2,58
25.07.2017,27.50,29.12,27.32,29.00,1671,46936
24.07.2017,28.40,28.40,27.60,27.60,1020,28553
21.07.2017,28.59,28.59,28.10,28.40,528,14914
20.07.2017,28.69,28.69,28.10,28.62,1789,50870
19.07.2017,29.00,29.00,28.80,28.80,173,4994
18.07.2017,29.99,29.99,27.61,29.09,1311,37471
17.07.2017,30.00,30.00,29.06,29.99,673,19705
14.07.2017,29.99,30.00,29.99,30.00,103,3090
13.07.2017,29.01,30.68,29.01,30.00,225,6696
12.07.2017,30.50,30.50,29.00,29.01,672,19890
11.07.2017,30.33,30.33,29.95,29.95,18,541
10.07.2017,30.30,30.60,29.95,30.49,288,8755
07.07.2017,31.30,31.30,29.95,30.00,2378,71393
06.07.2017,31.00,31.00,30.00,30.02,1424,42971
05.07.2017,31.30,31.30,30.21,31.30,138,4211
04.07.2017,31.00,31.00,31.00,31.00,2,62
03.07.2017,31.30,31.30,31.30,31.30,2,63
30.06.2017,31.40,31.40,30.65,31.30,17,524
