Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,20.60,20.99,20.46,20.75,327849,6811846
31.10.2018,20.62,20.75,20.04,20.44,389931,7911417
30.10.2018,21.21,21.30,20.26,20.40,259136,5351666
29.10.2018,21.82,22.38,21.12,21.17,198757,4276008
26.10.2018,21.92,22.00,21.51,21.80,412224,8953619
25.10.2018,22.08,22.16,21.20,21.90,472983,10231065
24.10.2018,21.70,22.65,21.67,22.30,1356188,30016893
23.10.2018,21.83,21.90,21.59,21.70,395474,8607785
22.10.2018,21.60,22.05,21.43,21.90,318621,6965032
19.10.2018,20.23,21.60,20.23,21.57,693327,14609737
18.10.2018,20.10,20.43,19.95,20.43,369982,7500046
17.10.2018,20.00,20.48,19.90,20.02,606219,12163081
16.10.2018,19.78,20.07,19.61,19.88,552273,10981794
15.10.2018,20.00,20.10,19.50,19.66,778463,15400998
12.10.2018,20.02,20.09,19.57,19.90,369783,7336171
11.10.2018,19.53,19.99,19.53,19.90,435843,8628813
10.10.2018,20.20,20.20,19.61,19.92,442655,8811124
09.10.2018,19.99,20.28,19.52,20.16,476491,9472704
08.10.2018,19.75,20.10,19.50,19.86,274850,5440372
05.10.2018,19.50,19.96,19.30,19.80,305662,6012053
04.10.2018,19.75,20.00,19.38,19.51,314864,6218801
03.10.2018,19.79,20.40,19.57,19.92,359106,7138323
02.10.2018,18.37,19.70,18.37,19.70,539962,10418762
01.10.2018,18.15,18.84,18.10,18.69,291571,5428330
28.09.2018,18.70,18.88,18.08,18.08,589088,10863699
27.09.2018,18.57,18.73,18.50,18.51,99468,1848225
26.09.2018,18.73,18.99,18.50,18.57,200708,3751225
25.09.2018,19.06,19.36,18.63,18.72,268061,5093361
24.09.2018,19.19,19.49,19.05,19.06,251342,4830451
21.09.2018,19.70,19.80,19.20,19.20,1520513,29288306
20.09.2018,19.30,19.80,19.28,19.70,214300,4177063
19.09.2018,19.52,19.59,19.01,19.26,232125,4490648
18.09.2018,19.45,19.57,19.15,19.40,145634,2827670
17.09.2018,19.50,19.67,19.11,19.40,143894,2791428
14.09.2018,19.94,19.94,19.58,19.68,143502,2823922
13.09.2018,19.50,19.94,19.50,19.88,96629,1911902
12.09.2018,19.35,19.62,19.14,19.50,293348,5668892
11.09.2018,20.28,20.28,19.31,19.46,113709,2232723
10.09.2018,19.87,20.20,19.75,20.09,182012,3647683
07.09.2018,19.38,19.80,19.05,19.80,306585,5973125
06.09.2018,19.79,19.91,19.25,19.50,134291,2625300
05.09.2018,20.24,20.24,19.75,20.00,159249,3173667
04.09.2018,20.60,20.60,19.61,20.07,177882,3555797
03.09.2018,20.48,20.65,20.01,20.42,104053,2114450
31.08.2018,20.60,20.69,20.06,20.36,317990,6470972
30.08.2018,20.00,21.10,19.97,20.62,819276,16942881
29.08.2018,18.35,20.07,18.35,19.90,1809113,35431980
28.08.2018,18.20,18.30,18.09,18.30,455987,8280730
27.08.2018,17.40,18.23,17.33,18.10,196761,3547218
24.08.2018,17.75,17.92,17.59,17.60,205929,3646570
23.08.2018,17.54,17.80,17.48,17.70,319422,5658498
22.08.2018,17.27,17.97,17.27,17.54,546359,9673264
21.08.2018,17.42,17.47,17.30,17.30,99966,1733929
20.08.2018,17.32,17.48,17.18,17.33,150847,2616922
17.08.2018,17.70,18.04,17.02,17.18,240411,4162309
16.08.2018,17.63,18.26,17.52,17.95,125100,2248058
14.08.2018,18.25,18.25,17.61,17.80,91348,1624384
13.08.2018,18.06,18.31,17.52,18.25,184436,3322289
10.08.2018,18.83,18.83,18.10,18.27,147295,2713378
09.08.2018,18.58,19.00,18.58,18.85,164938,3109663
08.08.2018,18.70,18.84,18.52,18.69,261623,4879928
07.08.2018,18.75,18.90,18.60,18.71,69076,1296459
06.08.2018,18.88,18.88,18.51,18.75,119033,2234667
03.08.2018,18.73,18.73,18.50,18.56,59044,1099320
02.08.2018,18.63,18.80,18.45,18.75,224692,4211151
01.08.2018,18.52,18.75,18.48,18.74,113656,2115429
31.07.2018,18.84,18.90,18.50,18.50,236967,4420555
30.07.2018,18.70,18.99,18.64,18.81,184518,3478790
27.07.2018,19.40,19.40,18.44,18.60,649941,12162853
26.07.2018,19.52,19.57,19.06,19.50,167324,3244743
25.07.2018,19.50,19.50,19.37,19.50,94130,1834123
24.07.2018,19.39,19.60,19.24,19.40,362017,7052498
23.07.2018,19.64,19.64,19.16,19.43,63496,1233841
20.07.2018,19.45,19.60,19.21,19.60,69811,1362274
19.07.2018,19.05,19.54,18.96,19.45,380820,7399149
18.07.2018,19.30,19.58,19.00,19.16,136851,2642040
17.07.2018,18.80,19.25,18.55,19.25,859650,16341621
16.07.2018,19.47,19.51,18.76,18.80,454254,8660084
13.07.2018,19.80,19.80,19.21,19.41,1041362,20379345
