Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,0.60,0.60,0.60,0.60,20,12
31.10.2018,0.60,0.60,0.60,0.60,349,209
30.10.2018,0.60,0.62,0.60,0.62,200,122
29.10.2018,0.60,0.60,0.60,0.60,20,12
26.10.2018,0.60,0.60,0.60,0.60,23604,14162
25.10.2018,0.62,0.62,0.62,0.62,1500,930
24.10.2018,0.62,0.62,0.62,0.62,40,25
23.10.2018,0.62,0.62,0.62,0.62,30,19
22.10.2018,0.62,0.62,0.62,0.62,10,6
16.10.2018,0.68,0.68,0.68,0.68,10,7
11.10.2018,0.61,0.68,0.61,0.68,279,182
10.10.2018,0.61,0.61,0.61,0.61,1,1
08.10.2018,0.63,0.63,0.63,0.63,1,1
05.10.2018,0.60,0.60,0.60,0.60,20,12
04.10.2018,0.60,0.60,0.60,0.60,20,12
03.10.2018,0.60,0.60,0.60,0.60,1000,600
02.10.2018,0.60,0.61,0.60,0.61,50,30
01.10.2018,0.60,0.60,0.60,0.60,1,1
28.09.2018,0.60,0.61,0.60,0.61,243,148
27.09.2018,0.60,0.60,0.60,0.60,20,12
26.09.2018,0.65,0.65,0.60,0.60,110,71
25.09.2018,0.63,0.66,0.63,0.66,140,92
24.09.2018,0.60,0.63,0.60,0.63,527,326
21.09.2018,0.60,0.63,0.60,0.63,110,66
20.09.2018,0.58,0.58,0.58,0.58,10,6
19.09.2018,0.59,0.63,0.59,0.59,289,177
18.09.2018,0.59,0.59,0.59,0.59,20,12
17.09.2018,0.59,0.59,0.59,0.59,20,12
14.09.2018,0.58,0.59,0.58,0.59,40,23
13.09.2018,0.56,0.58,0.56,0.58,30,17
11.09.2018,0.59,0.59,0.59,0.59,50,30
10.09.2018,0.56,0.59,0.56,0.59,7000,4126
07.09.2018,0.54,0.54,0.54,0.54,10,5
06.09.2018,0.53,0.53,0.53,0.53,10727,5685
31.08.2018,0.60,0.60,0.60,0.60,50,30
28.08.2018,0.55,0.60,0.55,0.60,3907,2211
27.08.2018,0.50,0.55,0.45,0.55,4490,2175
24.08.2018,0.50,0.50,0.50,0.50,20,10
23.08.2018,0.52,0.52,0.50,0.50,2100,1052
21.08.2018,0.54,0.54,0.54,0.54,5000,2700
20.08.2018,0.56,0.56,0.55,0.55,17101,9568
17.08.2018,0.56,0.56,0.56,0.56,20,11
16.08.2018,0.56,0.56,0.56,0.56,20,11
14.08.2018,0.56,0.56,0.56,0.56,5596,3134
10.08.2018,0.58,0.58,0.58,0.58,16272,9438
09.08.2018,0.59,0.59,0.59,0.59,490,289
07.08.2018,0.60,0.60,0.60,0.60,20,12
06.08.2018,0.60,0.60,0.60,0.60,20,12
03.08.2018,0.60,0.60,0.60,0.60,20,12
02.08.2018,0.60,0.60,0.60,0.60,20,12
01.08.2018,0.60,0.60,0.60,0.60,20,12
30.07.2018,0.60,0.60,0.60,0.60,20,12
27.07.2018,0.60,0.60,0.60,0.60,20,12
26.07.2018,0.60,0.60,0.60,0.60,20,12
25.07.2018,0.61,0.61,0.60,0.60,1000,600
24.07.2018,0.61,0.61,0.61,0.61,2120,1293
