Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,5.50,5.50,5.00,5.50,212,1163
31.10.2018,5.48,5.50,5.10,5.50,395,2168
30.10.2018,5.86,5.86,5.48,5.48,399,2195
29.10.2018,5.84,5.88,5.26,5.78,35,199
26.10.2018,5.88,5.88,5.50,5.76,513,2851
25.10.2018,5.80,5.80,5.80,5.80,196,1137
24.10.2018,5.80,5.88,5.50,5.80,2731,15247
23.10.2018,5.78,5.80,5.78,5.80,321,1856
22.10.2018,5.78,5.78,5.78,5.78,10,58
19.10.2018,5.92,5.92,5.54,5.90,120,667
18.10.2018,5.84,5.88,5.84,5.88,10,59
17.10.2018,5.90,5.90,5.80,5.84,2835,16443
16.10.2018,5.88,5.90,5.88,5.90,10,59
15.10.2018,5.90,5.90,5.88,5.88,10,59
12.10.2018,5.98,5.98,5.80,5.98,209,1214
11.10.2018,6.00,6.00,5.80,5.98,3450,20010
10.10.2018,6.00,6.26,5.80,6.00,926,5373
09.10.2018,6.62,6.62,6.44,6.44,10,65
08.10.2018,6.60,6.60,6.26,6.26,10,63
05.10.2018,6.64,6.64,6.64,6.64,1,7
04.10.2018,6.66,6.66,6.64,6.64,10,66
03.10.2018,6.74,6.74,5.80,6.66,5264,30557
02.10.2018,6.32,6.32,6.32,6.32,31,196
01.10.2018,6.46,6.46,5.80,6.06,555,3230
28.09.2018,6.26,6.26,6.26,6.26,10,63
27.09.2018,6.22,6.26,5.60,6.26,509,2868
26.09.2018,6.78,6.78,5.64,5.94,926,5251
25.09.2018,5.72,6.26,5.72,6.26,1709,9871
24.09.2018,5.94,6.10,5.86,5.90,3250,19397
21.09.2018,5.94,5.94,5.56,5.88,94,526
20.09.2018,5.94,5.94,5.56,5.56,12,70
19.09.2018,5.94,5.94,5.50,5.88,3371,19188
18.09.2018,5.92,5.92,5.86,5.88,2007,11801
17.09.2018,5.94,5.94,5.50,5.50,47229,259761
14.09.2018,7.28,7.28,5.56,5.88,5906,34853
13.09.2018,7.30,7.30,6.08,6.80,2837,19361
12.09.2018,8.18,8.18,6.76,6.76,710,5225
11.09.2018,8.18,8.18,7.70,8.08,625,4857
10.09.2018,8.18,8.18,8.18,8.18,10,82
07.09.2018,8.20,8.20,8.20,8.20,1,8
06.09.2018,8.26,8.36,8.26,8.36,10,84
05.09.2018,7.80,8.16,7.28,8.16,395,2970
04.09.2018,8.70,8.70,7.98,8.28,178,1439
03.09.2018,8.76,8.76,8.26,8.76,13,112
31.08.2018,8.76,8.76,8.76,8.76,10,88
30.08.2018,8.00,8.76,8.00,8.76,10,87
29.08.2018,8.78,8.78,8.00,8.00,957,7657
28.08.2018,8.30,8.30,8.30,8.30,461,3826
27.08.2018,7.52,8.26,7.52,8.00,9964,79419
24.08.2018,7.80,8.00,7.80,8.00,20,158
23.08.2018,7.50,8.10,7.06,7.80,25366,192220
22.08.2018,7.80,7.80,7.00,7.30,18584,130952
21.08.2018,7.72,8.30,7.50,7.80,2370,17986
20.08.2018,8.48,8.48,8.48,8.48,16,136
17.08.2018,7.98,8.58,7.98,8.58,10,85
16.08.2018,8.82,8.82,7.16,7.88,1069,7961
14.08.2018,8.90,8.90,7.94,8.70,477,3795
13.08.2018,8.54,8.94,8.54,8.94,10,89
10.08.2018,8.38,8.66,7.58,8.56,267,2073
09.08.2018,8.40,8.66,8.40,8.66,10,86
08.08.2018,8.68,8.68,8.00,8.48,386,3131
07.08.2018,8.70,8.70,8.16,8.70,11,95
06.08.2018,8.98,8.98,8.10,8.46,309,2507
03.08.2018,9.02,9.04,8.50,8.98,97,859
02.08.2018,8.58,9.08,8.58,9.08,114,979
01.08.2018,10.00,10.00,8.12,9.10,1915,16179
31.07.2018,9.98,9.98,9.98,9.98,10,100
30.07.2018,9.82,9.98,9.20,9.98,21,200
27.07.2018,9.90,9.90,9.78,9.82,19,186
26.07.2018,10.00,10.00,9.50,9.90,1308,12429
25.07.2018,10.00,10.00,9.98,9.98,11,110
24.07.2018,10.55,10.55,10.00,10.00,21,211
23.07.2018,9.86,10.60,9.86,10.60,2,20
20.07.2018,9.86,9.86,9.86,9.86,195,1923
19.07.2018,10.95,10.95,10.05,10.05,54,544
18.07.2018,11.00,11.00,10.00,10.95,1605,16555
17.07.2018,10.60,11.55,10.60,11.45,319,3428
16.07.2018,10.60,10.60,10.60,10.60,10,106
13.07.2018,10.60,10.60,10.00,10.60,14,142
12.07.2018,10.60,10.60,10.60,10.60,10,106
11.07.2018,10.60,10.60,10.60,10.60,10,106
10.07.2018,10.60,10.60,10.60,10.60,10,106
09.07.2018,10.60,10.60,10.60,10.60,11,117
06.07.2018,10.60,10.60,10.60,10.60,11,117
05.07.2018,10.60,10.60,10.60,10.60,10,106
04.07.2018,10.60,10.60,10.60,10.60,10,106
03.07.2018,9.76,9.76,9.76,9.76,11,107
02.07.2018,9.20,9.76,9.20,9.76,1002,9219
29.06.2018,9.70,9.70,9.70,9.70,10,97
28.06.2018,10.90,10.90,9.82,9.82,95,935
27.06.2018,10.50,11.00,10.50,10.90,60,631
26.06.2018,10.50,10.50,10.50,10.50,10,105
25.06.2018,10.50,10.50,10.50,10.50,10,105
22.06.2018,10.00,10.00,10.00,10.00,10,100
21.06.2018,10.00,10.00,10.00,10.00,10,100
20.06.2018,10.00,10.00,10.00,10.00,10,100
19.06.2018,10.00,10.00,10.00,10.00,10,100
18.06.2018,9.98,10.00,9.98,10.00,3,30
15.06.2018,9.98,9.98,9.98,9.98,10,100
14.06.2018,9.98,9.98,9.98,9.98,10,100
13.06.2018,9.98,9.98,9.98,9.98,10,100
12.06.2018,9.98,9.98,9.98,9.98,10,100
11.06.2018,9.98,9.98,9.98,9.98,81,808
08.06.2018,9.98,9.98,9.98,9.98,10,100
07.06.2018,9.98,9.98,9.98,9.98,10,100
06.06.2018,10.10,10.10,9.98,9.98,10,100
05.06.2018,9.28,10.15,9.28,10.15,70,690
04.06.2018,9.28,9.28,9.28,9.28,2,19
01.06.2018,9.28,9.28,9.28,9.28,11,102
30.05.2018,9.30,9.30,8.40,9.28,1527,12838
29.05.2018,9.34,9.44,8.50,9.34,188,1614
28.05.2018,9.34,9.40,9.34,9.38,10,94
25.05.2018,10.50,10.50,8.56,9.42,179,1598
24.05.2018,10.50,10.50,10.50,10.50,10,105
23.05.2018,10.50,10.50,10.50,10.50,10,105
22.05.2018,10.50,10.50,10.50,10.50,22,231
21.05.2018,10.35,10.50,10.35,10.50,51,530
16.05.2018,10.35,10.35,10.35,10.35,1,10
15.05.2018,10.35,10.35,10.35,10.35,10,104
14.05.2018,10.30,10.50,10.30,10.50,3,31
11.05.2018,10.00,10.00,9.40,9.40,190,1846
10.05.2018,9.90,10.00,9.90,10.00,1004,9992
09.05.2018,11.40,11.40,9.60,10.00,1177,11712
08.05.2018,12.00,12.00,10.60,10.60,1438,15244
07.05.2018,12.00,12.00,10.85,12.00,92,1051
04.05.2018,11.85,12.00,11.85,12.00,24,285
30.04.2018,11.85,11.85,11.85,11.85,10,119
27.04.2018,11.85,11.85,11.85,11.85,10,119
26.04.2018,11.85,11.85,11.85,11.85,10,119
25.04.2018,11.95,11.95,11.00,11.95,300,3303
24.04.2018,11.95,11.95,11.95,11.95,10,120
23.04.2018,11.95,11.95,11.95,11.95,10,120
20.04.2018,11.95,11.95,11.60,11.95,19,224
19.04.2018,11.95,11.95,11.60,11.60,11,128
18.04.2018,11.50,12.00,11.50,12.00,154,1775
17.04.2018,12.50,12.50,12.00,12.00,10,121
