Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,5.58,5.64,5.56,5.64,70198,393776
31.10.2018,5.60,5.60,5.52,5.58,21177,117544
30.10.2018,5.60,5.60,5.44,5.50,268141,1469478
29.10.2018,5.50,5.54,5.46,5.52,266475,1464431
26.10.2018,5.50,5.64,5.50,5.50,29154,162216
25.10.2018,5.50,5.68,5.44,5.50,38351,211047
24.10.2018,5.48,5.62,5.48,5.50,26761,147700
23.10.2018,5.68,5.72,5.48,5.48,35624,200487
22.10.2018,5.68,5.76,5.64,5.72,152066,867157
19.10.2018,5.60,5.68,5.58,5.68,596667,3343118
18.10.2018,5.58,5.58,5.50,5.58,38364,213112
17.10.2018,5.60,5.64,5.52,5.58,38887,217135
16.10.2018,5.60,5.66,5.56,5.64,317861,1783030
15.10.2018,5.44,5.60,5.38,5.58,575218,3162504
12.10.2018,5.38,5.40,5.30,5.38,103437,553743
11.10.2018,5.30,5.36,5.22,5.36,228866,1222470
10.10.2018,5.56,5.56,5.50,5.52,118139,652149
09.10.2018,5.54,5.56,5.50,5.54,470310,2601909
08.10.2018,5.50,5.50,5.40,5.46,15263,82923
05.10.2018,5.54,5.54,5.40,5.48,51344,278935
04.10.2018,5.48,5.60,5.48,5.54,85137,470887
03.10.2018,5.46,5.52,5.34,5.48,279852,1521426
02.10.2018,5.56,5.56,5.44,5.44,33588,183518
01.10.2018,5.56,5.56,5.52,5.56,45872,253643
28.09.2018,5.52,5.60,5.50,5.60,184514,1028454
27.09.2018,5.54,5.60,5.48,5.58,86190,479666
26.09.2018,5.60,5.64,5.48,5.54,162281,897157
25.09.2018,5.46,5.46,5.30,5.32,21013,113571
24.09.2018,5.36,5.48,5.36,5.44,158159,862747
21.09.2018,5.42,5.50,5.42,5.46,149428,816823
20.09.2018,5.28,5.48,5.28,5.46,72953,394215
19.09.2018,5.16,5.30,5.16,5.28,197613,1032499
18.09.2018,5.02,5.16,5.02,5.12,277651,1409212
17.09.2018,4.95,5.00,4.95,5.00,116786,580157
14.09.2018,5.08,5.08,5.00,5.02,79424,399520
13.09.2018,4.95,5.12,4.95,5.04,81221,410736
12.09.2018,5.00,5.06,4.94,4.95,279545,1399033
11.09.2018,5.04,5.04,4.98,5.04,336446,1685877
10.09.2018,5.04,5.04,4.90,4.98,166801,833596
07.09.2018,5.00,5.16,5.00,5.04,64430,325210
06.09.2018,5.26,5.26,5.00,5.00,705265,3666004
05.09.2018,5.18,5.18,5.08,5.10,722656,3690565
04.09.2018,5.40,5.40,4.99,5.20,187406,957845
03.09.2018,5.70,5.70,5.36,5.40,50771,278963
31.08.2018,5.72,5.74,5.62,5.74,707801,4061355
30.08.2018,5.66,5.72,5.60,5.62,87232,496421
29.08.2018,5.76,5.76,5.62,5.62,122194,695821
28.08.2018,5.70,5.76,5.66,5.74,72099,412474
27.08.2018,5.50,5.70,5.42,5.70,38901,216148
24.08.2018,5.50,5.50,5.44,5.50,38439,211010
23.08.2018,5.50,5.50,5.46,5.50,405095,2220205
22.08.2018,5.50,5.50,5.46,5.46,92888,507779
21.08.2018,5.48,5.50,5.42,5.50,194476,1069034
20.08.2018,5.42,5.48,5.40,5.48,689282,3749902
17.08.2018,5.52,5.52,5.36,5.36,16345,89429
16.08.2018,5.22,5.50,5.22,5.50,24415,132240
14.08.2018,5.46,5.50,5.30,5.46,345355,1864127
13.08.2018,5.46,5.54,5.32,5.40,77032,420367
10.08.2018,5.68,5.68,5.32,5.50,544107,2999964
09.08.2018,5.54,5.70,5.50,5.68,148662,828992
08.08.2018,5.58,5.58,5.50,5.52,203050,1118678
07.08.2018,5.42,5.58,5.42,5.58,384294,2110453
06.08.2018,5.38,5.48,5.30,5.40,786209,4227343
03.08.2018,5.28,5.40,5.22,5.40,145445,776611
02.08.2018,5.34,5.34,5.20,5.28,466647,2445552
01.08.2018,5.16,5.56,5.12,5.20,1145462,6212387
31.07.2018,5.00,5.16,5.00,5.06,338993,1718157
30.07.2018,5.00,5.06,4.92,5.00,616198,3078290
27.07.2018,5.00,5.00,4.90,4.99,18596,92222
26.07.2018,4.82,5.00,4.75,5.00,66418,324438
25.07.2018,4.76,4.88,4.72,4.84,210099,1001666
24.07.2018,4.80,4.81,4.59,4.75,949424,4447787
23.07.2018,4.60,5.00,4.48,4.76,424878,1985998
20.07.2018,4.60,4.71,4.54,4.64,2589781,11939727
19.07.2018,4.76,4.76,4.57,4.60,34458,160233
18.07.2018,4.72,4.79,4.67,4.70,428689,2029847
17.07.2018,4.92,4.92,4.54,4.66,1189883,5510889
16.07.2018,4.90,4.94,4.90,4.94,22344,109556
13.07.2018,4.89,4.90,4.85,4.90,67235,328071
12.07.2018,4.89,4.90,4.80,4.89,40951,198418
11.07.2018,4.87,4.90,4.73,4.86,89690,432182
10.07.2018,5.08,5.08,4.70,4.82,68449,333520
09.07.2018,4.75,4.97,4.75,4.90,75137,367433
06.07.2018,5.14,5.14,4.76,4.90,345599,1687231
05.07.2018,5.16,5.50,5.12,5.30,93712,497963
04.07.2018,5.14,5.20,5.02,5.16,42671,219664
03.07.2018,5.10,5.14,5.04,5.14,42136,214885
02.07.2018,5.04,5.12,5.00,5.02,341957,1740366
29.06.2018,5.10,5.10,5.00,5.02,35292,178465
28.06.2018,5.00,5.10,4.98,4.98,84630,421572
27.06.2018,4.80,5.04,4.70,5.00,72739,360143
26.06.2018,5.00,5.00,4.81,4.85,126982,625841
25.06.2018,5.66,5.66,4.85,5.00,129306,655461
22.06.2018,5.26,5.42,5.20,5.26,7524,39833
21.06.2018,5.36,5.36,5.24,5.30,21474,113677
20.06.2018,5.64,5.64,5.36,5.36,164182,897115
19.06.2018,5.50,5.66,5.18,5.64,304000,1685188
18.06.2018,5.84,5.88,5.52,5.52,237871,1369389
15.06.2018,5.72,5.74,5.60,5.74,191418,1088384
14.06.2018,5.88,5.88,5.70,5.76,86085,495813
13.06.2018,5.94,5.94,5.86,5.90,4537,26763
12.06.2018,6.00,6.00,5.90,5.94,5209,30924
11.06.2018,5.84,6.00,5.84,5.92,123734,735130
08.06.2018,6.00,6.00,5.82,5.82,128409,757360
07.06.2018,6.06,6.14,6.04,6.04,39986,244007
06.06.2018,6.14,6.14,6.04,6.10,43779,266739
05.06.2018,6.16,6.16,5.96,6.10,88940,541701
04.06.2018,6.16,6.16,5.90,6.16,601722,3583082
01.06.2018,6.12,6.20,6.06,6.14,17215,105839
30.05.2018,6.24,6.30,6.12,6.12,2729252,16770929
29.05.2018,6.28,6.28,6.14,6.20,392383,2433028
28.05.2018,6.28,6.30,6.10,6.14,346752,2153267
25.05.2018,6.30,6.30,6.16,6.28,128617,807637
24.05.2018,6.30,6.30,6.22,6.28,220262,1384304
23.05.2018,6.30,6.30,6.16,6.30,137942,867578
22.05.2018,6.26,6.30,6.26,6.30,191546,1206036
21.05.2018,6.36,6.40,6.28,6.30,138665,880269
18.05.2018,6.06,6.34,6.06,6.30,747363,4666075
17.05.2018,6.00,6.00,5.90,5.98,155211,930489
16.05.2018,5.98,6.00,5.98,6.00,147383,884007
15.05.2018,5.86,6.00,5.82,5.82,279775,1662718
14.05.2018,5.92,5.92,5.80,5.86,766536,4491601
11.05.2018,5.90,6.00,5.90,5.96,101968,606845
10.05.2018,6.04,6.04,5.80,5.90,10248,60128
09.05.2018,5.98,5.98,5.86,5.90,264199,1548401
08.05.2018,6.06,6.06,5.82,5.94,732224,4375360
07.05.2018,5.92,6.08,5.80,6.04,116963,702280
04.05.2018,5.90,6.00,5.90,5.92,721,4265
02.05.2018,5.94,6.08,5.94,6.00,2853,17037
30.04.2018,5.76,6.06,5.76,5.98,48322,287611
27.04.2018,6.00,6.00,5.74,5.82,58632,342016
26.04.2018,6.04,6.04,5.90,5.90,17656,104654
25.04.2018,6.02,6.24,6.00,6.04,29223,176513
24.04.2018,6.06,6.06,6.02,6.04,10857,65613
23.04.2018,6.04,6.12,6.02,6.06,13252,80012
20.04.2018,6.10,6.14,6.02,6.08,9032,54788
19.04.2018,6.18,6.18,6.08,6.10,7518,45937
18.04.2018,6.12,6.18,6.08,6.14,60982,374353
17.04.2018,6.18,6.22,6.10,6.12,39416,242834
16.04.2018,6.30,6.30,6.10,6.10,521185,3181062
13.04.2018,6.12,6.28,6.12,6.28,17040,106365
12.04.2018,6.24,6.24,6.12,6.16,6958,42906
11.04.2018,6.36,6.36,6.22,6.24,20432,127886
10.04.2018,6.46,6.46,6.12,6.38,193824,1220526
09.04.2018,6.00,6.48,6.00,6.48,107729,672265
06.04.2018,6.02,6.08,5.98,6.00,255857,1530260
05.04.2018,6.02,6.06,6.00,6.04,13658,82211
04.04.2018,6.02,6.08,5.90,6.08,121526,732530
03.04.2018,6.06,6.08,6.00,6.00,41338,250829
29.03.2018,6.08,6.14,6.00,6.08,161122,976294
28.03.2018,6.12,6.12,6.02,6.10,693680,4196670
27.03.2018,6.10,6.22,6.10,6.12,33891,207455
26.03.2018,6.02,6.12,6.02,6.06,11240,68333
23.03.2018,6.10,6.24,6.04,6.06,480312,2928335
22.03.2018,6.32,6.32,6.04,6.12,31693,196201
21.03.2018,6.26,6.34,6.26,6.32,35767,225828
20.03.2018,6.28,6.34,6.22,6.26,497218,3132359
19.03.2018,6.34,6.46,6.22,6.28,144134,908584
16.03.2018,6.32,6.36,6.20,6.36,482347,3034071
15.03.2018,6.16,6.32,6.10,6.32,52859,327890
14.03.2018,6.12,6.18,6.12,6.14,16179,99402
13.03.2018,6.08,6.20,6.08,6.08,12614,77174
12.03.2018,6.18,6.18,6.06,6.08,9961,60828
09.03.2018,6.26,6.28,6.16,6.20,5410,33473
08.03.2018,6.16,6.28,6.10,6.20,227352,1400702
07.03.2018,6.06,6.16,6.06,6.12,173357,1060879
06.03.2018,6.02,6.08,5.98,6.06,183239,1103262
05.03.2018,6.12,6.12,6.00,6.00,240273,1456092
02.03.2018,6.18,6.18,6.02,6.10,541823,3293452
01.03.2018,6.40,6.40,6.10,6.20,150160,930649
28.02.2018,6.46,6.46,6.20,6.40,88387,558302
27.02.2018,6.60,6.70,6.46,6.46,103480,680262
26.02.2018,6.38,6.58,6.36,6.56,1596490,10243298
23.02.2018,6.36,6.36,6.30,6.34,375829,2379013
22.02.2018,6.20,6.40,6.16,6.36,18361,115652
21.02.2018,6.40,6.44,6.30,6.30,61007,388026
20.02.2018,6.12,6.42,6.06,6.40,507865,3198766
19.02.2018,6.14,6.16,6.08,6.12,127778,781947
16.02.2018,6.16,6.16,6.06,6.10,134468,822351
15.02.2018,6.14,6.16,6.10,6.14,39957,245157
14.02.2018,6.12,6.12,6.04,6.10,375665,2287298
13.02.2018,6.14,6.14,6.04,6.10,45428,276877
12.02.2018,5.92,6.12,5.92,6.10,137245,824459
09.02.2018,5.94,5.98,5.86,5.92,184047,1087905
08.02.2018,6.02,6.02,5.92,5.94,44658,267605
07.02.2018,6.04,6.14,5.98,5.98,48932,294911
06.02.2018,6.02,6.18,5.90,6.02,302093,1834354
05.02.2018,6.16,6.16,6.02,6.02,43412,264485
02.02.2018,6.30,6.30,6.12,6.20,132480,817049
