Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,52.20,52.20,52.20,52.20,1,52
27.09.2018,52.20,52.20,52.20,52.20,1,52
26.09.2018,52.20,52.20,52.00,52.20,39,2028
25.09.2018,52.20,52.20,52.20,52.20,1,52
24.09.2018,51.20,52.20,51.20,52.20,3,155
21.09.2018,52.20,52.20,50.20,52.20,23,1171
20.09.2018,51.80,52.20,51.80,52.20,2,104
19.09.2018,51.80,51.80,51.80,51.80,10,518
18.09.2018,51.80,51.80,51.80,51.80,1,52
17.09.2018,51.80,51.80,51.80,51.80,1,52
14.09.2018,51.80,51.80,51.80,51.80,1,52
13.09.2018,51.80,51.80,51.80,51.80,1,52
12.09.2018,51.80,51.80,51.80,51.80,1,52
11.09.2018,51.80,51.80,51.80,51.80,1,52
10.09.2018,51.80,51.80,51.80,51.80,1,52
07.09.2018,51.80,51.80,51.80,51.80,1,52
06.09.2018,51.80,51.80,51.80,51.80,1,52
05.09.2018,50.40,51.80,50.40,51.80,100,5041
04.09.2018,51.00,51.00,51.00,51.00,1,51
03.09.2018,51.00,51.80,51.00,51.80,22,1134
31.08.2018,51.00,51.00,51.00,51.00,2,102
30.08.2018,51.00,51.00,50.00,51.00,30,1505
29.08.2018,51.00,51.00,51.00,51.00,1,51
28.08.2018,51.00,51.00,51.00,51.00,1,51
27.08.2018,51.00,51.00,51.00,51.00,1,51
24.08.2018,50.80,51.00,50.80,51.00,24,1224
23.08.2018,50.80,50.80,50.80,50.80,1,51
22.08.2018,50.80,50.80,50.80,50.80,1,51
21.08.2018,50.80,50.80,50.80,50.80,1,51
20.08.2018,51.00,51.00,51.00,51.00,1,51
17.08.2018,50.00,50.00,49.80,49.80,125,6248
16.08.2018,50.00,50.80,50.00,50.00,373,18691
14.08.2018,50.80,50.80,50.80,50.80,1,51
13.08.2018,50.80,50.80,50.80,50.80,1,51
10.08.2018,50.80,50.80,50.80,50.80,1,51
09.08.2018,50.80,50.80,50.80,50.80,1,51
08.08.2018,51.00,51.00,51.00,51.00,1,51
07.08.2018,49.70,49.70,49.70,49.70,7,348
06.08.2018,51.00,51.00,49.70,49.70,13,647
03.08.2018,51.00,51.00,51.00,51.00,1,51
02.08.2018,51.00,51.00,51.00,51.00,1,51
01.08.2018,51.00,51.00,51.00,51.00,1,51
31.07.2018,51.00,51.00,51.00,51.00,1,51
30.07.2018,51.00,51.00,51.00,51.00,1,51
27.07.2018,51.00,51.00,51.00,51.00,1,51
26.07.2018,51.00,51.00,51.00,51.00,1,51
25.07.2018,51.00,51.00,51.00,51.00,1,51
24.07.2018,51.00,51.00,51.00,51.00,1,51
23.07.2018,51.00,51.00,51.00,51.00,1,51
20.07.2018,51.00,51.00,51.00,51.00,1,51
19.07.2018,51.00,51.00,51.00,51.00,1,51
18.07.2018,51.00,51.00,51.00,51.00,1,51
17.07.2018,50.80,50.80,50.80,50.80,1,51
16.07.2018,51.00,51.00,51.00,51.00,1,51
13.07.2018,50.80,50.80,50.80,50.80,1,51
12.07.2018,50.80,50.80,50.80,50.80,1,51
11.07.2018,50.80,50.80,50.80,50.80,1,51
10.07.2018,50.80,50.80,50.80,50.80,1,51
09.07.2018,50.80,50.80,50.80,50.80,1,51
06.07.2018,51.00,51.00,51.00,51.00,1,51
05.07.2018,51.00,51.00,51.00,51.00,1,51
04.07.2018,51.00,51.00,51.00,51.00,1,51
03.07.2018,51.00,51.00,51.00,51.00,52,2652
02.07.2018,51.00,51.00,51.00,51.00,1,51
29.06.2018,51.00,51.00,51.00,51.00,1,51
28.06.2018,50.80,50.80,50.80,50.80,1,51
27.06.2018,51.00,51.00,48.60,51.00,29,1414
