Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,8.54,8.54,8.18,8.25,94072,779977
27.09.2018,8.60,8.60,8.41,8.41,2846,24101
26.09.2018,8.47,8.60,8.45,8.46,31781,269028
25.09.2018,8.53,8.54,8.48,8.50,17258,146758
24.09.2018,8.45,8.60,8.30,8.47,11729,99120
21.09.2018,8.45,8.45,8.28,8.28,642816,5323707
20.09.2018,8.45,8.45,8.38,8.40,2495,20936
19.09.2018,8.45,8.45,8.42,8.42,1735,14610
18.09.2018,8.45,8.45,8.32,8.38,147723,1237852
17.09.2018,8.38,8.40,8.35,8.35,106422,888850
14.09.2018,8.43,8.45,8.35,8.38,271160,2277398
13.09.2018,8.44,8.63,8.40,8.58,6366,53982
12.09.2018,8.90,8.92,8.42,8.59,46015,396024
11.09.2018,8.48,8.90,8.30,8.90,337792,2834545
10.09.2018,8.49,8.50,8.25,8.40,39051,326447
07.09.2018,8.67,8.78,8.40,8.45,14240,121144
06.09.2018,8.67,8.92,8.67,8.67,5474,48235
05.09.2018,8.78,8.78,8.65,8.66,2124,18465
04.09.2018,8.90,8.92,8.70,8.77,8199,72090
03.09.2018,8.90,8.92,8.80,8.92,9011,79837
31.08.2018,8.98,9.08,8.91,8.92,11651,104690
30.08.2018,9.31,9.33,8.96,9.09,48829,441141
29.08.2018,9.13,9.24,9.10,9.17,5004,45761
28.08.2018,9.04,9.30,9.00,9.15,13289,120977
27.08.2018,9.11,9.33,9.10,9.11,769509,7079686
24.08.2018,9.12,9.35,9.02,9.33,104222,958309
23.08.2018,8.91,9.35,8.71,9.35,101332,923623
22.08.2018,8.81,8.81,8.62,8.76,14320,124964
21.08.2018,8.70,8.97,8.69,8.72,16371,143795
20.08.2018,8.95,8.95,8.60,8.70,8694,76027
17.08.2018,8.98,9.08,8.85,8.95,16253,144844
16.08.2018,8.85,8.98,8.85,8.95,755,6754
14.08.2018,9.02,9.04,8.95,8.97,13643,122540
13.08.2018,9.00,9.09,9.00,9.05,578,5203
10.08.2018,9.00,9.16,8.88,9.16,8240,73736
09.08.2018,9.10,9.10,9.10,9.10,297,2703
08.08.2018,9.19,9.20,9.03,9.14,3485,31906
07.08.2018,9.25,9.35,9.04,9.07,20691,188725
06.08.2018,9.19,9.20,9.18,9.19,5258,48321
03.08.2018,9.21,9.22,9.08,9.21,883,8056
02.08.2018,9.18,9.21,9.06,9.21,1497,13673
01.08.2018,9.32,9.32,9.16,9.26,360,3349
31.07.2018,9.28,9.28,9.28,9.28,280,2598
30.07.2018,9.30,9.30,9.17,9.25,38483,355569
27.07.2018,9.29,9.29,9.29,9.29,63,585
