Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,10.90,10.90,10.90,10.90,1,11
31.10.2018,10.90,10.90,10.70,10.90,68,728
30.10.2018,10.20,10.90,10.20,10.90,1312,13477
29.10.2018,10.90,10.90,10.45,10.80,492,5142
26.10.2018,10.85,10.90,10.45,10.90,160,1673
25.10.2018,10.90,10.90,10.50,10.85,55,578
24.10.2018,10.90,10.90,10.90,10.90,1,11
23.10.2018,10.90,10.90,10.90,10.90,1,11
22.10.2018,10.90,10.90,10.90,10.90,1,11
19.10.2018,10.80,11.20,10.80,11.20,100,1080
18.10.2018,11.20,11.20,10.55,10.80,1002,10572
17.10.2018,11.20,11.20,10.95,11.00,492,5388
16.10.2018,11.20,11.20,11.20,11.20,1,11
15.10.2018,11.00,11.00,10.50,10.50,2820,29785
12.10.2018,11.20,11.20,10.70,11.10,88,973
11.10.2018,11.20,11.20,10.70,11.20,270,2899
10.10.2018,11.20,11.20,11.20,11.20,1,11
09.10.2018,11.20,11.20,11.20,11.20,1,11
08.10.2018,11.20,11.20,10.80,11.20,263,2841
05.10.2018,11.20,11.20,11.20,11.20,1,11
04.10.2018,11.20,11.20,11.20,11.20,1,11
03.10.2018,11.20,11.20,11.20,11.20,1,11
02.10.2018,11.20,11.20,11.15,11.20,1002,11172
01.10.2018,11.55,11.55,11.55,11.55,1,12
28.09.2018,11.50,11.50,11.50,11.50,1,12
27.09.2018,11.55,11.55,11.55,11.55,1,12
26.09.2018,11.40,11.55,11.40,11.55,11,126
25.09.2018,11.50,11.50,11.50,11.50,1,12
24.09.2018,11.55,11.55,11.55,11.55,1,12
21.09.2018,11.55,11.55,11.55,11.55,1,12
20.09.2018,11.20,11.55,10.80,10.80,107,1192
18.09.2018,11.55,12.00,11.55,12.00,398,4597
17.09.2018,12.00,12.00,12.00,12.00,1,12
14.09.2018,12.00,12.00,12.00,12.00,1,12
13.09.2018,12.00,12.00,11.30,12.00,2002,22999
12.09.2018,12.00,12.00,11.30,11.30,43,487
11.09.2018,11.75,12.00,11.75,12.00,47,553
10.09.2018,12.30,12.30,12.30,12.30,1,12
07.09.2018,12.30,12.30,11.75,11.75,648,7615
06.09.2018,12.60,13.00,11.40,12.30,10419,126410
05.09.2018,12.60,12.60,12.60,12.60,1,13
04.09.2018,12.40,12.40,11.55,11.55,1742,20899
03.09.2018,12.60,12.60,12.60,12.60,1,13
31.08.2018,12.00,12.55,11.90,12.30,1562,18848
30.08.2018,12.35,13.00,11.85,12.00,3058,38193
29.08.2018,11.30,12.10,11.30,11.85,3233,37974
28.08.2018,10.50,11.30,10.50,11.10,2639,28205
27.08.2018,10.50,10.50,10.30,10.30,826,8545
24.08.2018,10.25,10.25,10.05,10.05,83,845
23.08.2018,10.50,10.50,10.15,10.50,749,7603
22.08.2018,9.96,10.50,9.96,10.05,1500,15153
21.08.2018,9.76,9.86,9.66,9.86,1749,17154
20.08.2018,9.96,9.96,9.46,9.60,1362,13091
17.08.2018,10.00,10.00,9.60,9.60,401,3850
16.08.2018,10.00,10.00,10.00,10.00,11,110
14.08.2018,10.00,10.00,10.00,10.00,1,10
13.08.2018,10.05,10.05,10.05,10.05,1,10
10.08.2018,10.05,10.05,10.05,10.05,1,10
09.08.2018,10.30,10.30,9.62,9.62,212,2096
08.08.2018,10.30,10.30,10.00,10.05,228,2284
07.08.2018,10.30,10.30,10.30,10.30,1,10
06.08.2018,10.30,10.30,10.30,10.30,1,10
03.08.2018,10.30,10.30,10.30,10.30,10,103
02.08.2018,10.10,10.30,9.70,10.30,4499,45140
01.08.2018,10.10,10.10,10.10,10.10,1,10
31.07.2018,10.10,10.10,9.80,9.80,301,2953
30.07.2018,10.10,10.10,9.86,9.86,268,2671
27.07.2018,10.00,10.10,9.86,10.10,162,1613
26.07.2018,10.10,10.10,10.00,10.10,3808,38420
25.07.2018,10.40,10.40,10.10,10.40,82,829
24.07.2018,10.40,10.40,10.40,10.40,1,10
23.07.2018,10.10,10.60,10.10,10.60,40,407
20.07.2018,10.60,10.60,10.60,10.60,1,11
19.07.2018,10.60,10.60,10.60,10.60,1,11
18.07.2018,10.60,10.60,10.60,10.60,1,11
17.07.2018,10.70,10.70,10.35,10.35,301,3116
16.07.2018,10.70,10.70,10.00,10.00,349,3491
13.07.2018,10.10,10.10,10.10,10.10,99,1000
12.07.2018,10.40,10.40,10.00,10.00,781,7810
11.07.2018,10.00,10.70,10.00,10.00,1252,12521
10.07.2018,10.70,10.70,10.20,10.30,628,6412
09.07.2018,10.70,10.70,10.05,10.70,1908,20074
06.07.2018,10.70,10.70,10.70,10.70,1,11
05.07.2018,10.70,10.70,10.30,10.30,50,515
04.07.2018,10.70,10.70,10.70,10.70,1,11
03.07.2018,10.70,10.70,9.82,10.30,850,8756
02.07.2018,10.70,10.70,10.40,10.70,132,1382
29.06.2018,10.80,10.80,10.80,10.80,1,11
28.06.2018,10.80,10.80,10.80,10.80,1,11
27.06.2018,11.00,11.00,10.80,10.80,116,1253
26.06.2018,11.00,11.00,11.00,11.00,1,11
25.06.2018,11.00,11.00,11.00,11.00,1,11
22.06.2018,11.00,11.00,10.70,10.90,601,6495
21.06.2018,11.00,11.00,11.00,11.00,1,11
20.06.2018,11.20,11.20,10.30,11.00,3101,32144
