Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,13.05,13.05,13.05,13.05,164,2140
25.09.2018,13.05,13.05,13.05,13.05,140,1827
24.09.2018,14.00,14.00,13.05,13.05,26,349
20.09.2018,13.05,13.05,13.05,13.05,400,5220
18.09.2018,13.10,13.90,13.10,13.90,238,3122
17.09.2018,13.10,13.10,13.10,13.10,17,223
14.09.2018,13.05,13.05,13.05,13.05,103,1344
13.09.2018,14.00,15.40,13.50,14.50,7787,110637
12.09.2018,13.70,13.70,12.50,13.70,94,1185
11.09.2018,13.50,13.50,12.50,12.50,1459,19268
10.09.2018,14.00,14.00,14.00,14.00,337,4718
07.09.2018,14.50,15.95,14.00,14.00,3419,50229
06.09.2018,15.60,15.60,14.50,14.75,8370,124337
05.09.2018,14.95,15.30,14.70,15.00,7214,107346
04.09.2018,14.90,15.20,14.75,15.00,2806,42007
03.09.2018,15.15,15.20,14.90,14.90,1605,24091
31.08.2018,14.95,15.15,14.85,15.15,340,5081
30.08.2018,14.70,15.00,14.30,15.00,869,12679
29.08.2018,14.95,15.00,14.30,14.30,2000,29277
28.08.2018,14.60,14.85,14.60,14.85,262,3859
27.08.2018,14.55,14.55,14.55,14.55,150,2183
22.08.2018,14.50,14.50,14.50,14.50,1813,26289
21.08.2018,15.15,15.15,15.15,15.15,30,455
20.08.2018,14.00,14.00,14.00,14.00,142,1988
17.08.2018,14.80,14.80,14.00,14.00,13713,193645
16.08.2018,15.20,15.50,14.90,15.00,2750,41300
14.08.2018,15.60,15.60,15.60,15.60,6,94
13.08.2018,15.50,15.50,15.30,15.40,4040,62091
10.08.2018,15.60,15.60,15.50,15.60,2470,38450
09.08.2018,15.90,15.90,15.50,15.70,2830,44629
08.08.2018,16.00,16.00,16.00,16.00,211,3376
07.08.2018,16.20,16.20,16.00,16.00,1003,16063
06.08.2018,16.50,16.50,16.20,16.20,1000,16209
03.08.2018,16.30,16.40,16.00,16.00,1800,29102
02.08.2018,16.00,16.00,16.00,16.00,1020,16320
01.08.2018,16.40,16.40,16.00,16.00,2129,34343
31.07.2018,15.80,16.20,15.80,16.20,486,7699
30.07.2018,16.10,16.10,16.00,16.00,1110,17768
27.07.2018,16.00,16.00,15.80,16.00,1417,22617
26.07.2018,16.10,16.70,16.10,16.70,1001,16117
25.07.2018,16.60,16.60,16.30,16.30,945,15543
24.07.2018,16.90,16.90,16.90,16.90,63,1065
19.07.2018,17.30,17.30,17.30,17.30,155,2682
12.07.2018,17.40,18.00,17.30,17.30,13302,232823
11.07.2018,17.20,17.40,17.20,17.40,204,3513
09.07.2018,17.00,17.00,17.00,17.00,839,14263
05.07.2018,16.40,17.00,16.40,17.00,3926,66080
02.07.2018,16.20,16.20,16.20,16.20,100,1620
28.06.2018,15.85,16.40,15.85,16.40,2000,32104
27.06.2018,15.45,15.45,15.45,15.45,3,46
25.06.2018,15.90,15.90,15.90,15.90,95,1511
22.06.2018,15.50,15.50,15.45,15.45,25,387
19.06.2018,14.45,15.40,14.45,15.40,2896,43191
18.06.2018,16.20,16.25,16.00,16.00,3283,53026
15.06.2018,16.80,16.80,16.25,16.25,283,4610
11.06.2018,17.00,17.00,17.00,17.00,98,1666
08.06.2018,16.25,17.00,16.25,17.00,77,1252
07.06.2018,16.80,16.80,16.80,16.80,29750,499800
05.06.2018,16.80,16.80,16.80,16.80,4958,83294
01.06.2018,16.10,16.80,16.10,16.80,58,935
30.05.2018,16.10,16.80,16.10,16.80,21,339
29.05.2018,16.40,16.40,16.40,16.40,800,13120
28.05.2018,16.40,16.40,16.40,16.40,81,1328
25.05.2018,17.30,17.30,17.30,17.30,550,9515
24.05.2018,16.45,18.00,16.45,18.00,8408,144799
23.05.2018,15.80,16.50,15.80,16.40,1838,29698
22.05.2018,16.00,16.00,15.60,15.60,10982,171464
21.05.2018,16.90,16.90,16.30,16.30,930,15429
18.05.2018,17.50,17.70,17.00,17.00,3870,66556
16.05.2018,17.50,17.50,17.50,17.50,285,4988
15.05.2018,17.50,17.50,17.50,17.50,19283,337453
14.05.2018,17.40,17.40,17.20,17.20,1402,24321
11.05.2018,17.40,17.50,17.40,17.50,1010,17674
10.05.2018,17.40,17.50,17.40,17.50,1199,20963
09.05.2018,17.50,17.50,17.50,17.50,1001,17518
08.05.2018,17.20,17.60,17.20,17.60,1451,24958
07.05.2018,17.40,17.40,17.40,17.40,58,1009
04.05.2018,17.20,17.70,17.20,17.70,239,4125
02.05.2018,17.50,17.50,17.50,17.50,829,14508
30.04.2018,17.50,17.50,17.20,17.50,8064,141041
27.04.2018,17.30,17.30,17.30,17.30,100,1730
25.04.2018,17.40,17.40,17.30,17.30,3714,64397
24.04.2018,17.55,17.55,17.00,17.00,1396,24327
23.04.2018,17.50,17.80,17.50,17.55,8494,150867
20.04.2018,17.55,17.55,17.30,17.30,1077,18779
19.04.2018,17.70,17.70,17.70,17.70,1075,19028
18.04.2018,17.60,17.80,17.50,17.80,501,8813
17.04.2018,17.80,17.80,17.80,17.80,17000,302600
16.04.2018,17.90,17.90,17.90,17.90,10,179
13.04.2018,17.90,17.90,17.50,17.90,1574,27596
12.04.2018,17.50,18.00,17.30,18.00,2745,48014
11.04.2018,17.60,17.60,17.40,17.60,680,11932
10.04.2018,17.80,17.80,17.50,17.80,6790,120771
09.04.2018,18.00,18.00,18.00,18.00,704,12672
06.04.2018,17.90,18.00,17.85,18.00,1609,28778
05.04.2018,18.20,18.20,17.95,17.95,1830,33039
04.04.2018,18.25,18.25,18.20,18.20,11200,203940
03.04.2018,18.20,18.20,18.20,18.20,5500,100100
29.03.2018,18.20,18.20,18.20,18.20,3135,57057
28.03.2018,18.20,18.30,18.00,18.20,11057,201244
27.03.2018,18.25,18.50,18.20,18.50,3880,70958
26.03.2018,17.85,18.80,17.85,18.60,1232,22239
23.03.2018,18.00,18.00,18.00,18.00,1000,18000
22.03.2018,18.00,18.50,18.00,18.00,22662,412143
21.03.2018,18.20,18.20,17.80,17.80,470,8534
20.03.2018,18.85,18.85,18.85,18.85,123,2319
19.03.2018,17.50,19.00,17.30,18.55,8452,150971
16.03.2018,16.35,17.60,16.35,17.60,7172,124676
15.03.2018,16.00,16.70,16.00,16.70,4747,77257
14.03.2018,16.85,16.85,15.90,15.90,23196,379376
13.03.2018,16.55,16.80,15.80,16.50,9156,150788
12.03.2018,16.55,17.20,16.55,17.10,8103,137432
09.03.2018,16.60,16.85,16.60,16.85,4473,74717
08.03.2018,16.70,16.75,15.85,16.20,9776,158602
07.03.2018,16.20,16.75,16.20,16.75,5550,91516
06.03.2018,16.15,16.15,15.90,16.00,5707,90922
05.03.2018,16.55,16.55,16.30,16.50,4925,81075
02.03.2018,16.75,16.75,16.30,16.30,3150,51588
01.03.2018,16.50,16.60,16.50,16.60,2066,34196
28.02.2018,16.40,16.40,16.10,16.10,1312,21262
27.02.2018,16.25,16.70,16.15,16.35,5493,90225
26.02.2018,16.40,16.40,16.00,16.00,4418,71204
23.02.2018,15.75,16.95,15.75,15.85,39281,635960
22.02.2018,16.15,16.20,15.90,16.20,67002,1081972
21.02.2018,16.00,16.20,16.00,16.20,11580,185504
20.02.2018,15.50,15.90,15.50,15.90,85025,1340030
19.02.2018,15.70,15.70,15.70,15.70,400,6280
15.02.2018,15.70,15.85,15.70,15.85,20010,314159
14.02.2018,15.70,15.90,15.20,15.50,46557,721736
13.02.2018,15.75,15.75,15.70,15.70,71,1115
09.02.2018,15.75,15.75,15.75,15.75,1549,24397
08.02.2018,15.10,15.70,15.10,15.70,12266,190155
07.02.2018,15.10,15.25,15.00,15.25,764,11523
06.02.2018,15.50,15.65,15.05,15.65,776,11926
05.02.2018,15.60,15.90,15.30,15.90,11848,187811
02.02.2018,15.35,16.25,15.35,15.80,2083,32742
01.02.2018,15.35,15.35,15.35,15.35,650,9978
31.01.2018,15.60,15.65,15.30,15.30,1054,16478
30.01.2018,15.70,15.90,15.65,15.65,732,11473
29.01.2018,15.90,15.90,15.90,15.90,493,7839
26.01.2018,16.30,16.30,15.90,16.25,1986,32055
25.01.2018,16.60,16.65,16.50,16.50,1230,20339
24.01.2018,17.00,17.00,17.00,17.00,1000,17000
23.01.2018,17.00,17.00,17.00,17.00,318,5406
22.01.2018,17.00,17.00,17.00,17.00,35,595
