Date,Open,Max,Min,Close,Volume,TradeSize
02.05.2018,0.25,0.25,0.25,0.25,1950,488
30.04.2018,0.25,0.25,0.25,0.25,5692,1423
27.04.2018,0.25,0.25,0.25,0.25,200,50
25.04.2018,0.25,0.25,0.25,0.25,1000,250
24.04.2018,0.25,0.25,0.25,0.25,562,141
23.04.2018,0.27,0.27,0.27,0.27,11,3
20.04.2018,0.27,0.27,0.25,0.25,1013,254
19.04.2018,0.27,0.27,0.25,0.25,517,131
18.04.2018,0.25,0.27,0.25,0.27,80,20
17.04.2018,0.25,0.25,0.25,0.25,5097,1274
16.04.2018,0.28,0.28,0.27,0.27,7957,2210
13.04.2018,0.28,0.28,0.28,0.28,8200,2296
12.04.2018,0.28,0.28,0.28,0.28,924,259
11.04.2018,0.30,0.30,0.30,0.30,1000,300
09.04.2018,0.30,0.30,0.30,0.30,300,90
06.04.2018,0.28,0.30,0.28,0.30,1400,392
05.04.2018,0.28,0.28,0.28,0.28,8000,2240
04.04.2018,0.30,0.30,0.30,0.30,267,80
03.04.2018,0.30,0.30,0.30,0.30,2824,847
27.03.2018,0.30,0.30,0.30,0.30,810,243
26.03.2018,0.30,0.30,0.30,0.30,1885,566
21.03.2018,0.30,0.30,0.30,0.30,500,150
20.03.2018,0.32,0.32,0.32,0.32,2800,896
19.03.2018,0.30,0.30,0.30,0.30,4284,1285
16.03.2018,0.31,0.31,0.31,0.31,2520,781
15.03.2018,0.31,0.31,0.31,0.31,1726,535
14.03.2018,0.33,0.33,0.33,0.33,1444,477
12.03.2018,0.30,0.33,0.30,0.33,3284,1009
09.03.2018,0.33,0.33,0.33,0.33,3065,1011
08.03.2018,0.33,0.33,0.33,0.33,100,33
02.03.2018,0.30,0.31,0.30,0.31,1334,408
01.03.2018,0.31,0.31,0.31,0.31,816,253
28.02.2018,0.31,0.31,0.31,0.31,130,40
26.02.2018,0.31,0.31,0.31,0.31,1152,357
20.02.2018,0.31,0.31,0.31,0.31,54,17
16.02.2018,0.34,0.34,0.34,0.34,5000,1700
15.02.2018,0.34,0.34,0.34,0.34,400,136
14.02.2018,0.31,0.31,0.31,0.31,2112,655
13.02.2018,0.31,0.31,0.31,0.31,1624,503
12.02.2018,0.31,0.34,0.31,0.34,2509,784
09.02.2018,0.31,0.31,0.31,0.31,1570,487
08.02.2018,0.28,0.28,0.28,0.28,6087,1704
07.02.2018,0.32,0.32,0.31,0.31,7400,2315
06.02.2018,0.35,0.35,0.32,0.32,9563,3315
05.02.2018,0.37,0.37,0.37,0.37,4064,1504
01.02.2018,0.41,0.41,0.41,0.41,10720,4395
31.01.2018,0.41,0.41,0.41,0.41,10759,4411
30.01.2018,0.35,0.39,0.35,0.39,9082,3482
26.01.2018,0.39,0.39,0.38,0.38,10260,3999
23.01.2018,0.38,0.38,0.38,0.38,1750,665
22.01.2018,0.38,0.38,0.38,0.38,34800,13224
18.01.2018,0.35,0.35,0.35,0.35,3780,1323
17.01.2018,0.33,0.33,0.33,0.33,520,172
16.01.2018,0.34,0.34,0.34,0.34,1300,442
15.01.2018,0.34,0.34,0.34,0.34,1700,578
11.01.2018,0.35,0.35,0.35,0.35,1680,588
09.01.2018,0.36,0.36,0.36,0.36,1195,430
05.01.2018,0.33,0.33,0.33,0.33,780,257
04.01.2018,0.36,0.36,0.36,0.36,100,36
29.12.2017,0.37,0.37,0.36,0.36,5750,2081
28.12.2017,0.36,0.37,0.36,0.37,4865,1752
27.12.2017,0.35,0.36,0.35,0.36,16040,5630
22.12.2017,0.32,0.32,0.32,0.32,22980,7354
21.12.2017,0.27,0.27,0.27,0.27,8669,2341
20.12.2017,0.28,0.28,0.28,0.28,1900,532
19.12.2017,0.29,0.29,0.29,0.29,455,132
18.12.2017,0.30,0.30,0.29,0.29,16776,4985
15.12.2017,0.30,0.30,0.30,0.30,1973,592
14.12.2017,0.27,0.30,0.27,0.30,6677,1808
13.12.2017,0.32,0.32,0.30,0.30,1051,334
12.12.2017,0.32,0.32,0.30,0.30,6776,2086
11.12.2017,0.32,0.32,0.32,0.32,7095,2270
08.12.2017,0.35,0.35,0.35,0.35,30,11
07.12.2017,0.35,0.36,0.35,0.36,16488,5772
06.12.2017,0.35,0.35,0.35,0.35,530,186
05.12.2017,0.35,0.35,0.35,0.35,2270,795
04.12.2017,0.36,0.36,0.35,0.35,6500,2311
30.11.2017,0.37,0.37,0.37,0.37,364,135
29.11.2017,0.37,0.37,0.37,0.37,3945,1460
28.11.2017,0.37,0.37,0.37,0.37,4500,1665
27.11.2017,0.38,0.38,0.38,0.38,9076,3449
23.11.2017,0.37,0.37,0.37,0.37,500,185
