Date,Open,Max,Min,Close,Volume,TradeSize
31.10.2018,0.56,0.59,0.55,0.59,6392,3529
29.10.2018,0.59,0.59,0.59,0.59,50,30
26.10.2018,0.56,0.56,0.56,0.56,600,336
24.10.2018,0.61,0.61,0.56,0.59,17464,10023
23.10.2018,0.61,0.61,0.61,0.61,34,21
17.10.2018,0.61,0.61,0.61,0.61,2,1
16.10.2018,0.58,0.61,0.56,0.61,10002,5801
15.10.2018,0.58,0.61,0.56,0.61,9592,5658
11.10.2018,0.58,0.61,0.58,0.61,922,536
08.10.2018,0.58,0.63,0.58,0.63,310,182
05.10.2018,0.58,0.64,0.55,0.64,6830,3966
04.10.2018,0.64,0.64,0.64,0.64,300,192
02.10.2018,0.64,0.65,0.64,0.65,4500,2906
01.10.2018,0.60,0.65,0.60,0.65,18700,11869
28.09.2018,0.62,0.62,0.53,0.60,22437,12580
27.09.2018,0.58,0.58,0.58,0.58,992,575
26.09.2018,0.55,0.55,0.55,0.55,9,5
25.09.2018,0.62,0.62,0.62,0.62,1100,682
24.09.2018,0.60,0.62,0.60,0.62,420,253
21.09.2018,0.60,0.62,0.60,0.62,16716,10031
20.09.2018,0.60,0.62,0.60,0.62,21803,13105
19.09.2018,0.60,0.60,0.60,0.60,1885,1131
18.09.2018,0.65,0.65,0.55,0.55,1092,661
17.09.2018,0.63,0.65,0.63,0.65,1766,1116
14.09.2018,0.65,0.65,0.62,0.63,7198,4496
13.09.2018,0.63,0.65,0.60,0.65,7008,4478
07.09.2018,0.65,0.65,0.64,0.65,1552,994
06.09.2018,0.64,0.66,0.63,0.66,23646,15034
05.09.2018,0.65,0.65,0.64,0.64,57523,36817
04.09.2018,0.66,0.66,0.64,0.65,10632,6806
03.09.2018,0.63,0.66,0.63,0.63,18038,11371
31.08.2018,0.64,0.64,0.62,0.63,32668,20583
29.08.2018,0.64,0.64,0.64,0.64,50,32
27.08.2018,0.64,0.64,0.62,0.62,718,446
24.08.2018,0.62,0.62,0.62,0.62,5,3
23.08.2018,0.62,0.65,0.62,0.65,51,33
17.08.2018,0.62,0.65,0.62,0.65,158,99
16.08.2018,0.63,0.63,0.62,0.62,2001,1261
14.08.2018,0.63,0.63,0.62,0.62,2510,1581
13.08.2018,0.63,0.63,0.63,0.63,10900,6867
10.08.2018,0.63,0.63,0.63,0.63,1,1
09.08.2018,0.67,0.67,0.67,0.67,50,34
08.08.2018,0.64,0.67,0.63,0.63,973,625
07.08.2018,0.64,0.64,0.64,0.64,15000,9600
06.08.2018,0.67,0.69,0.67,0.69,7864,5289
03.08.2018,0.68,0.68,0.64,0.67,1352,867
02.08.2018,0.68,0.70,0.68,0.70,3100,2118
31.07.2018,0.67,0.68,0.67,0.68,8980,6097
24.07.2018,0.65,0.68,0.65,0.68,550,359
23.07.2018,0.64,0.68,0.64,0.68,1050,674
20.07.2018,0.64,0.68,0.64,0.68,4815,3099
19.07.2018,0.67,0.68,0.65,0.68,8054,5420
17.07.2018,0.63,0.67,0.62,0.62,4051,2518
16.07.2018,0.63,0.68,0.63,0.64,8024,5279
13.07.2018,0.62,0.62,0.61,0.61,7652,4718
12.07.2018,0.65,0.65,0.59,0.60,14977,9234
11.07.2018,0.62,0.65,0.62,0.65,51,33
10.07.2018,0.65,0.65,0.62,0.65,361,228
09.07.2018,0.62,0.62,0.62,0.62,13200,8184
06.07.2018,0.59,0.65,0.59,0.65,51,33
05.07.2018,0.63,0.63,0.59,0.60,15764,9481
04.07.2018,0.66,0.66,0.63,0.63,2,1
03.07.2018,0.63,0.67,0.63,0.67,3,2
29.06.2018,0.62,0.68,0.62,0.68,37,25
28.06.2018,0.68,0.68,0.68,0.68,50,34
27.06.2018,0.63,0.68,0.62,0.68,1982,1250
26.06.2018,0.67,0.67,0.62,0.62,6444,4123
25.06.2018,0.65,0.69,0.62,0.67,19057,12599
22.06.2018,0.61,0.67,0.61,0.64,19511,12489
21.06.2018,0.58,0.61,0.58,0.61,35467,21306
20.06.2018,0.54,0.58,0.54,0.57,32828,18350
19.06.2018,0.53,0.54,0.53,0.54,3187,1689
18.06.2018,0.54,0.54,0.54,0.54,138,75
15.06.2018,0.54,0.54,0.54,0.54,780,421
14.06.2018,0.54,0.54,0.54,0.54,160,86
