Date,Open,Max,Min,Close,Volume,TradeSize
30.10.2018,3.40,3.64,3.40,3.64,4498,15296
23.10.2018,3.68,3.68,3.68,3.68,10,37
22.10.2018,3.52,3.52,3.52,3.52,321,1130
09.10.2018,3.62,3.78,3.62,3.78,301,1090
08.10.2018,3.62,3.78,3.62,3.78,358,1296
17.09.2018,3.62,3.78,3.62,3.78,310,1124
11.09.2018,3.62,3.78,3.62,3.78,1080,3911
10.09.2018,3.78,3.78,3.78,3.78,1,4
07.09.2018,3.64,3.78,3.64,3.64,902,3284
31.08.2018,3.64,3.78,3.62,3.78,1001,3630
28.08.2018,3.78,3.78,3.78,3.78,136,514
20.08.2018,3.64,3.78,3.64,3.78,390,1420
01.08.2018,3.60,3.82,3.60,3.82,561,2020
30.07.2018,3.50,3.82,3.50,3.82,310,1088
27.07.2018,3.82,3.82,3.50,3.50,7019,24852
26.07.2018,3.64,3.64,3.58,3.60,8924,32190
25.07.2018,3.64,3.80,3.64,3.80,109,397
24.07.2018,3.64,3.78,3.64,3.78,561,2042
18.07.2018,3.62,3.82,3.62,3.82,1502,5438
02.07.2018,3.66,3.82,3.66,3.82,280,1025
06.06.2018,3.84,3.84,3.84,3.84,1,4
05.06.2018,3.80,3.80,3.70,3.80,2938,10891
01.06.2018,3.80,3.80,3.80,3.80,1,4
30.05.2018,3.80,3.80,3.76,3.80,401,1508
29.05.2018,3.76,3.76,3.74,3.74,1301,4884
28.05.2018,3.80,3.80,3.80,3.80,94,357
25.05.2018,3.76,3.76,3.72,3.72,3600,13432
24.05.2018,3.74,3.90,3.74,3.90,505,1890
08.05.2018,3.80,3.90,3.80,3.90,289,1098
04.05.2018,3.76,3.96,3.76,3.96,1045,3930
02.05.2018,3.76,3.96,3.76,3.96,1009,3796
30.04.2018,3.96,3.96,3.96,3.96,1,4
27.04.2018,3.76,3.94,3.76,3.94,1001,3764
23.04.2018,3.78,4.00,3.76,4.00,210,794
17.04.2018,3.86,4.02,3.84,4.02,4585,17657
12.04.2018,3.84,4.02,3.84,4.02,105,404
11.04.2018,4.00,4.02,4.00,4.02,1851,7407
29.03.2018,3.82,4.00,3.82,4.00,305,1166
27.03.2018,3.98,4.00,3.98,4.00,1005,4000
23.03.2018,3.98,3.98,3.98,3.98,45,179
20.03.2018,3.88,3.98,3.86,3.98,175,678
19.03.2018,3.98,3.98,3.98,3.98,300,1194
16.03.2018,4.00,4.00,4.00,4.00,18,72
12.03.2018,3.84,4.00,3.84,4.00,809,3107
08.03.2018,3.94,3.96,3.94,3.96,2000,7880
02.03.2018,3.78,3.94,3.76,3.94,200,754
28.02.2018,3.90,3.94,3.86,3.94,3191,12363
26.02.2018,3.88,4.04,3.88,4.04,13,51
20.02.2018,4.04,4.04,4.04,4.04,40,162
14.02.2018,4.04,4.04,4.04,4.04,20,81
13.02.2018,4.16,4.16,3.98,4.04,2835,11315
12.02.2018,4.04,4.16,4.04,4.16,1323,5372
09.02.2018,4.04,4.04,3.86,3.86,2301,8962
08.02.2018,4.06,4.06,4.00,4.00,3216,12915
07.02.2018,4.10,4.20,4.04,4.20,2673,10855
06.02.2018,4.20,4.20,3.96,4.10,320,1271
05.02.2018,4.04,4.04,4.00,4.00,3681,14771
02.02.2018,4.00,4.30,4.00,4.30,3267,13371
01.02.2018,3.76,4.00,3.76,4.00,5026,19175
24.01.2018,3.78,3.78,3.74,3.78,52,195
23.01.2018,3.74,3.74,3.74,3.74,200,748
16.01.2018,3.66,3.80,3.64,3.72,3598,13221
15.01.2018,3.66,3.82,3.66,3.82,7,26
10.01.2018,3.82,3.82,3.82,3.82,1,4
05.01.2018,3.68,3.80,3.68,3.80,2751,10124
04.01.2018,3.82,3.82,3.80,3.82,722,2744
03.01.2018,3.78,3.78,3.78,3.78,1,4
29.12.2017,3.70,3.70,3.70,3.70,2700,9990
28.12.2017,3.79,3.80,3.70,3.70,1002,3708
27.12.2017,3.67,3.67,3.60,3.60,19500,70661
22.12.2017,3.61,3.80,3.61,3.80,152,549
21.12.2017,3.79,3.79,3.55,3.70,9134,32666
19.12.2017,3.93,3.93,3.73,3.80,4092,15527
15.12.2017,3.78,3.88,3.78,3.88,13004,49156
14.12.2017,3.87,3.94,3.87,3.94,2222,8621
13.12.2017,3.79,3.80,3.79,3.80,3073,11673
08.12.2017,3.70,3.79,3.70,3.79,1209,4473
01.12.2017,3.89,3.89,3.89,3.89,1,4
30.11.2017,3.82,3.82,3.82,3.82,2,8
28.11.2017,3.74,3.82,3.74,3.82,221,827
27.11.2017,3.60,3.78,3.60,3.78,1007,3626
24.11.2017,3.60,3.60,3.60,3.60,5,18
23.11.2017,3.57,3.57,3.57,3.57,1,4
22.11.2017,3.57,3.57,3.50,3.57,1013,3546
21.11.2017,3.63,3.65,3.37,3.40,63482,215644
20.11.2017,3.75,3.75,3.37,3.37,17517,59866
17.11.2017,3.54,3.67,3.40,3.67,15238,52631
16.11.2017,3.60,3.66,3.58,3.60,4851,17428
15.11.2017,3.75,3.75,3.58,3.75,5163,18530
14.11.2017,3.75,3.75,3.75,3.75,1,4
13.11.2017,3.81,3.81,3.58,3.72,3003,10861
10.11.2017,3.60,3.78,3.60,3.78,5616,21028
08.11.2017,3.63,3.74,3.60,3.74,3401,12270
03.11.2017,3.78,3.78,3.78,3.78,7,26
02.11.2017,3.61,3.75,3.61,3.75,151,545
26.10.2017,3.78,3.78,3.78,3.78,1,4
25.10.2017,3.78,3.78,3.64,3.74,1506,5483
24.10.2017,3.78,3.78,3.62,3.62,5102,18512
23.10.2017,3.68,3.78,3.63,3.64,5130,18816
20.10.2017,3.86,3.86,3.86,3.86,1,4
19.10.2017,3.84,3.84,3.84,3.84,70,269
16.10.2017,3.84,3.84,3.66,3.84,3002,11025
13.10.2017,3.94,3.94,3.71,3.71,1199,4573
12.10.2017,3.88,3.88,3.88,3.88,1,4
11.10.2017,3.83,3.83,3.82,3.82,521,1990
10.10.2017,3.74,3.94,3.71,3.78,8669,32674
06.10.2017,3.67,3.67,3.66,3.66,3000,10984
05.10.2017,3.78,3.78,3.78,3.78,1,4
04.10.2017,3.66,3.78,3.66,3.70,5831,21395
03.10.2017,3.70,3.70,3.70,3.70,7500,27750
02.10.2017,3.73,3.73,3.71,3.71,2130,7925
26.09.2017,3.71,3.83,3.71,3.83,381,1414
25.09.2017,3.83,3.83,3.73,3.73,1301,4853
22.09.2017,3.77,3.77,3.73,3.73,2162,8081
21.09.2017,3.77,3.77,3.77,3.77,75,283
18.09.2017,3.87,3.88,3.73,3.83,2118,8005
14.09.2017,3.77,3.89,3.75,3.85,3205,12072
01.09.2017,3.92,3.92,3.92,3.92,1,4
31.08.2017,3.91,3.91,3.91,3.91,250,978
28.08.2017,3.90,3.90,3.90,3.90,500,1950
25.08.2017,3.85,3.90,3.85,3.90,220,847
23.08.2017,3.85,3.85,3.85,3.85,1,4
22.08.2017,3.85,3.85,3.80,3.82,17560,66932
21.08.2017,3.88,3.88,3.88,3.88,10,39
18.08.2017,3.78,3.78,3.78,3.78,1000,3780
07.08.2017,3.97,3.97,3.97,3.97,3,12
02.08.2017,3.97,3.97,3.77,3.97,1196,4517
01.08.2017,3.79,3.79,3.79,3.79,1900,7201
31.07.2017,3.97,3.97,3.97,3.97,6,24
28.07.2017,3.90,3.90,3.80,3.90,2757,10552
26.07.2017,3.93,3.93,3.93,3.93,437,1717
25.07.2017,3.82,3.82,3.82,3.82,500,1910
24.07.2017,3.90,3.90,3.90,3.90,501,1954
21.07.2017,3.80,3.83,3.80,3.83,4100,15663
20.07.2017,3.85,3.96,3.85,3.85,5000,19450
14.07.2017,3.90,3.94,3.90,3.94,2,8
13.07.2017,3.95,3.95,3.77,3.94,11913,45877
12.07.2017,3.82,3.96,3.82,3.96,101,386
11.07.2017,3.81,3.90,3.81,3.90,2143,8357
10.07.2017,3.76,3.95,3.76,3.92,1567,6108
07.07.2017,3.75,3.75,3.75,3.75,825,3094
06.07.2017,3.88,3.88,3.77,3.77,4000,15309
03.07.2017,3.83,3.88,3.75,3.76,15217,57880
30.06.2017,3.73,3.76,3.70,3.76,4710,17494
29.06.2017,3.90,3.90,3.72,3.80,6833,25799
27.06.2017,3.80,3.91,3.78,3.91,5595,21206
26.06.2017,3.93,3.93,3.93,3.93,150,590
21.06.2017,3.81,3.94,3.80,3.94,7500,28805
14.06.2017,4.15,4.15,3.78,3.98,11042,43859
13.06.2017,3.85,3.85,3.85,3.85,1810,6969
12.06.2017,4.11,4.11,3.85,3.85,8210,32030
09.06.2017,4.08,4.12,4.08,4.12,580,2368
06.06.2017,3.90,3.99,3.85,3.99,4001,15504
05.06.2017,4.00,4.09,4.00,4.09,163,653
02.06.2017,4.05,4.05,4.05,4.05,989,4005
31.05.2017,4.05,4.05,4.05,4.05,10,41
25.05.2017,4.05,4.05,3.81,3.81,6,23
24.05.2017,3.97,3.97,3.76,3.76,6001,22691
23.05.2017,3.91,4.03,3.78,3.79,12025,46110
22.05.2017,3.91,4.05,3.91,4.05,701,2782
18.05.2017,3.93,4.06,3.90,4.06,2001,7818
17.05.2017,3.96,4.11,3.94,4.11,2251,8881
15.05.2017,3.96,4.12,3.96,4.12,8401,33979
12.05.2017,4.12,4.12,4.12,4.12,401,1652
11.05.2017,4.10,4.10,4.10,4.10,100,410
10.05.2017,3.95,4.12,3.95,4.12,1201,4744
09.05.2017,3.96,4.12,3.96,4.12,185,733
08.05.2017,4.14,4.14,4.14,4.14,1,4
28.04.2017,4.10,4.10,4.10,4.10,100,410
27.04.2017,3.95,4.09,3.95,3.95,1363,5384
26.04.2017,3.98,4.09,3.95,4.09,2313,9152
25.04.2017,4.08,4.08,3.97,4.08,1125,4582
24.04.2017,3.96,4.08,3.95,4.08,4025,16040
21.04.2017,4.08,4.08,3.93,3.93,1010,3974
20.04.2017,3.95,3.95,3.95,3.95,400,1580
18.04.2017,4.11,4.11,3.95,3.95,3510,13870
13.04.2017,4.20,4.20,3.92,4.10,2918,11511
12.04.2017,4.00,4.09,3.92,3.92,4106,16110
11.04.2017,3.99,4.10,3.92,4.00,16395,64743
10.04.2017,4.20,4.20,4.17,4.19,53,221
07.04.2017,4.05,4.25,3.99,4.17,2506,10079
06.04.2017,4.25,4.25,4.05,4.25,1814,7348
04.04.2017,4.35,4.35,4.12,4.35,800,3303
03.04.2017,4.05,4.20,4.05,4.20,735,2982
31.03.2017,4.15,4.22,4.00,4.22,8009,32566
30.03.2017,4.22,4.22,4.00,4.10,9111,36767
29.03.2017,4.22,4.22,4.10,4.20,520,2134
28.03.2017,4.26,4.26,4.10,4.10,1385,5680
27.03.2017,4.26,4.26,4.10,4.24,3020,12385
24.03.2017,4.24,4.24,4.24,4.24,50,212
23.03.2017,4.22,4.22,4.09,4.09,2429,10094
22.03.2017,4.09,4.20,4.09,4.14,901,3720
16.03.2017,4.24,4.24,4.24,4.24,201,852
15.03.2017,4.23,4.24,4.23,4.24,310,1311
14.03.2017,4.22,4.35,4.22,4.24,4055,17122
13.03.2017,4.21,4.21,4.21,4.21,200,842
10.03.2017,4.10,4.22,4.06,4.22,3745,15286
09.03.2017,4.22,4.22,4.22,4.22,89,376
07.03.2017,4.15,4.15,4.09,4.09,2150,8814
06.03.2017,4.20,4.20,4.15,4.15,1084,4549
03.03.2017,4.32,4.32,4.20,4.20,9496,39883
02.03.2017,4.22,4.30,4.16,4.16,2350,9917
01.03.2017,4.42,4.42,4.22,4.22,205,866
28.02.2017,4.41,4.41,4.41,4.41,5,22
27.02.2017,4.10,4.40,4.10,4.40,2450,10503
23.02.2017,4.34,4.34,4.14,4.33,505,2091
22.02.2017,4.30,4.33,4.10,4.33,9615,40504
21.02.2017,4.07,4.30,4.07,4.30,663,2795
20.02.2017,4.13,4.25,4.13,4.25,2001,8264
16.02.2017,4.35,4.35,4.09,4.33,916,3890
15.02.2017,4.29,4.60,3.95,4.18,64121,274603
14.02.2017,4.29,4.30,4.13,4.23,3257,13921
13.02.2017,4.29,4.29,4.19,4.27,11116,47020
10.02.2017,4.17,4.29,4.17,4.29,602,2511
09.02.2017,4.31,4.31,4.31,4.31,1,4
08.02.2017,4.30,4.30,4.30,4.30,1,4
07.02.2017,4.15,4.32,4.15,4.29,1701,7065
06.02.2017,4.39,4.39,4.15,4.32,2307,9678
03.02.2017,4.28,4.39,4.19,4.25,970,4072
02.02.2017,4.27,4.28,4.20,4.28,42,179
01.02.2017,4.35,4.35,4.20,4.22,7251,30464
31.01.2017,4.29,4.29,4.29,4.29,70,300
30.01.2017,4.20,4.30,4.20,4.28,4204,17717
27.01.2017,4.20,4.33,4.20,4.33,467,1963
26.01.2017,4.20,4.30,4.20,4.30,8476,35600
25.01.2017,4.28,4.59,4.28,4.43,6058,26030
24.01.2017,4.17,4.28,4.17,4.28,1136,4737
23.01.2017,4.18,4.25,4.18,4.25,2266,9472
20.01.2017,4.20,4.27,4.20,4.27,1090,4584
19.01.2017,4.25,4.25,4.25,4.25,7562,32139
17.01.2017,4.25,4.27,4.25,4.27,409,1738
16.01.2017,4.28,4.28,4.20,4.25,7540,31947
13.01.2017,4.48,4.48,4.48,4.48,57,255
11.01.2017,4.48,4.48,4.48,4.48,40,179
10.01.2017,4.42,4.42,4.42,4.42,209,924
09.01.2017,4.29,4.40,4.29,4.30,14001,60574
05.01.2017,4.25,4.42,4.25,4.30,8141,34928
04.01.2017,4.31,4.42,4.30,4.42,5067,21803
03.01.2017,4.59,4.59,4.32,4.41,3940,17216
02.01.2017,4.60,4.60,4.44,4.49,810,3624
29.12.2016,4.50,4.50,4.50,4.50,100,450
28.12.2016,4.50,4.50,4.50,4.50,100,450
27.12.2016,4.41,4.41,4.41,4.41,500,2205
23.12.2016,4.57,4.57,4.57,4.57,40,183
22.12.2016,4.55,4.55,4.55,4.55,29,132
21.12.2016,4.57,4.57,4.57,4.57,40,183
20.12.2016,4.58,4.58,4.42,4.42,10010,44246
19.12.2016,4.45,4.58,4.45,4.58,2010,8946
15.12.2016,4.56,4.56,4.56,4.56,100,456
13.12.2016,4.56,4.56,4.56,4.56,40,182
08.12.2016,4.56,4.56,4.56,4.56,40,182
07.12.2016,4.45,4.56,4.45,4.56,998,4442
06.12.2016,4.56,4.56,4.56,4.56,40,182
28.11.2016,4.56,4.56,4.56,4.56,216,985
25.11.2016,4.56,4.56,4.56,4.56,200,912
24.11.2016,4.55,4.55,4.55,4.55,10,46
23.11.2016,4.46,4.51,4.46,4.51,350,1569
18.11.2016,4.56,4.56,4.56,4.56,10,46
17.11.2016,4.56,4.56,4.40,4.40,4540,19978
16.11.2016,4.41,4.56,4.41,4.56,700,3090
14.11.2016,4.56,4.56,4.56,4.56,10,46
10.11.2016,4.54,4.54,4.54,4.54,10,45
09.11.2016,4.56,4.56,4.40,4.40,2510,11046
08.11.2016,4.40,4.55,4.40,4.55,2150,9760
07.11.2016,4.52,4.52,4.50,4.50,5000,22540
04.11.2016,4.60,4.60,4.60,4.60,4740,21804
03.11.2016,4.59,4.79,4.59,4.79,2010,9228
02.11.2016,4.79,4.79,4.79,4.79,10,48
31.10.2016,4.82,4.82,4.63,4.63,1750,8131
28.10.2016,4.70,4.83,4.70,4.83,4905,23055
27.10.2016,4.55,4.55,4.55,4.55,3661,16658
26.10.2016,4.62,4.69,4.62,4.69,6380,29483
25.10.2016,4.48,4.51,4.48,4.51,6372,28663
18.10.2016,4.49,4.49,4.49,4.49,40,180
17.10.2016,4.35,4.35,4.35,4.35,1000,4350
07.10.2016,4.54,4.54,4.54,4.54,20,91
06.10.2016,4.54,4.54,4.54,4.54,10,45
05.10.2016,4.55,4.55,4.54,4.54,790,3589
04.10.2016,4.35,4.55,4.35,4.55,505,2198
03.10.2016,4.55,4.55,4.55,4.55,12,55
29.09.2016,4.33,4.50,4.33,4.50,668,2894
28.09.2016,4.50,4.50,4.50,4.50,2,9
26.09.2016,4.43,4.43,4.43,4.43,1000,4430
12.09.2016,4.59,4.59,4.59,4.59,512,2350
08.09.2016,4.59,4.59,4.59,4.59,10,46
06.09.2016,4.59,4.59,4.59,4.59,150,689
05.09.2016,4.59,4.59,4.59,4.59,10,46
01.09.2016,4.59,4.59,4.59,4.59,20,92
31.08.2016,4.50,4.58,4.50,4.58,1510,6796
30.08.2016,4.59,4.59,4.59,4.59,20,92
29.08.2016,4.59,4.59,4.59,4.59,20,92
26.08.2016,4.59,4.59,4.59,4.59,10,46
25.08.2016,4.59,4.59,4.59,4.59,20,92
24.08.2016,4.59,4.59,4.59,4.59,20,92
23.08.2016,4.21,4.59,4.21,4.59,1120,4719
12.08.2016,4.61,4.61,4.61,4.61,20,92
11.08.2016,4.61,4.61,4.61,4.61,20,92
10.08.2016,4.61,4.61,4.61,4.61,210,968
09.08.2016,4.61,4.61,4.61,4.61,10,46
05.08.2016,4.61,4.61,4.61,4.61,20,92
04.08.2016,4.61,4.61,4.61,4.61,20,92
03.08.2016,4.40,4.61,4.40,4.61,2530,11239
02.08.2016,4.62,4.62,4.62,4.62,20,92
01.08.2016,4.50,4.50,4.50,4.50,1429,6431
29.07.2016,4.48,4.48,4.48,4.48,2000,8960
27.07.2016,4.67,4.67,4.67,4.67,10,47
25.07.2016,4.67,4.67,4.67,4.67,10,47
22.07.2016,4.67,4.67,4.67,4.67,10,47
21.07.2016,4.67,4.67,4.67,4.67,10,47
20.07.2016,4.67,4.67,4.67,4.67,20,93
19.07.2016,4.67,4.67,4.67,4.67,10,47
18.07.2016,4.50,4.67,4.50,4.67,660,2973
15.07.2016,4.50,4.50,4.50,4.50,100,450
13.07.2016,4.40,4.50,4.40,4.50,709,3121
12.07.2016,4.67,4.67,4.67,4.67,10,47
11.07.2016,4.65,4.65,4.65,4.65,10,47
08.07.2016,4.68,4.68,4.65,4.65,20,93
07.07.2016,4.46,4.46,4.46,4.46,300,1338
06.07.2016,4.48,4.68,4.48,4.68,1690,7573
04.07.2016,4.68,4.68,4.68,4.68,150,702
30.06.2016,4.69,4.69,4.69,4.69,710,3330
28.06.2016,4.52,4.52,4.52,4.52,241,1089
27.06.2016,4.52,4.52,4.52,4.52,50,226
24.06.2016,4.52,4.52,4.52,4.52,100,452
22.06.2016,4.52,4.52,4.52,4.52,9,41
20.06.2016,4.48,4.48,4.48,4.48,100,448
17.06.2016,4.32,4.48,4.32,4.48,1229,5312
13.06.2016,4.60,4.60,4.60,4.60,10,46
08.06.2016,4.52,4.52,4.52,4.52,50,226
06.06.2016,4.52,4.52,4.52,4.52,50,226
03.06.2016,4.52,4.52,4.52,4.52,50,226
01.06.2016,4.40,4.55,4.40,4.55,601,2645
06.05.2016,4.67,4.67,4.67,4.67,150,701
04.05.2016,4.67,4.67,4.67,4.67,50,234
02.05.2016,4.66,4.66,4.66,4.66,213,993
27.04.2016,4.70,4.70,4.70,4.70,20,94
26.04.2016,4.70,4.70,4.69,4.69,520,2439
25.04.2016,4.70,4.70,4.70,4.70,20,94
22.04.2016,4.70,4.70,4.70,4.70,50,235
20.04.2016,4.70,4.70,4.70,4.70,20,94
12.04.2016,4.70,4.70,4.70,4.70,10,47
