Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,14.00,14.00,13.85,13.85,307,4261
27.09.2018,13.55,13.95,13.50,13.90,2162,29965
26.09.2018,13.50,13.75,13.50,13.75,425,5739
25.09.2018,13.50,13.90,13.25,13.80,568,7770
24.09.2018,13.35,13.65,12.90,13.65,1807,23854
21.09.2018,13.35,13.70,13.35,13.35,207,2808
20.09.2018,13.35,13.60,13.30,13.35,485,6475
19.09.2018,13.45,13.90,13.40,13.40,2039,27524
18.09.2018,13.90,13.95,13.90,13.95,399,5551
17.09.2018,13.40,14.00,13.30,14.00,690,9259
14.09.2018,13.85,14.00,13.60,14.00,25685,350264
13.09.2018,13.85,14.05,13.85,14.05,4588,64060
12.09.2018,14.00,14.00,13.85,13.95,3566,49440
11.09.2018,14.05,14.05,13.95,14.00,3782,53026
10.09.2018,14.35,14.35,13.95,14.30,7704,109731
07.09.2018,14.35,14.35,13.95,14.30,1278,18053
06.09.2018,14.20,14.20,14.00,14.20,1166,16517
05.09.2018,14.20,14.20,13.95,14.20,2207,30814
04.09.2018,14.75,14.75,13.95,14.20,4923,69567
03.09.2018,14.50,14.80,14.30,14.50,4010,58044
31.08.2018,14.90,15.00,14.35,14.55,14828,219104
30.08.2018,14.30,14.55,14.20,14.55,3975,56468
29.08.2018,14.65,14.65,14.25,14.30,376,5378
28.08.2018,14.45,14.45,14.45,14.45,112,1618
27.08.2018,14.60,14.70,14.35,14.45,2353,34156
24.08.2018,14.60,14.60,14.40,14.60,925,13392
23.08.2018,14.55,14.65,14.35,14.60,2269,32872
22.08.2018,14.75,15.05,14.50,14.55,69484,1037562
21.08.2018,14.45,15.10,14.40,14.75,16586,248291
20.08.2018,14.30,14.90,14.20,14.20,6748,99301
17.08.2018,14.50,14.70,14.10,14.30,2472,34958
16.08.2018,14.30,14.70,14.30,14.70,5591,82115
14.08.2018,14.00,14.50,14.00,14.50,1748,24630
13.08.2018,14.40,14.40,13.95,14.00,646,9120
10.08.2018,14.45,14.60,14.20,14.25,14646,212057
09.08.2018,14.45,15.00,14.35,14.45,9451,138271
08.08.2018,14.15,14.35,14.15,14.35,6355,90689
07.08.2018,14.20,14.20,14.20,14.20,50,710
03.08.2018,13.90,14.20,13.90,14.20,208,2892
02.08.2018,14.20,14.20,14.20,14.20,5,71
31.07.2018,14.20,14.20,14.10,14.10,2405,33916
30.07.2018,14.15,14.20,13.75,14.20,3319,46501
27.07.2018,14.00,14.10,14.00,14.10,414,5811
26.07.2018,13.90,14.00,13.90,14.00,657,9179
25.07.2018,13.90,13.90,13.90,13.90,110,1529
24.07.2018,13.80,13.95,13.75,13.95,47,648
23.07.2018,14.10,14.10,13.50,13.75,855,11737
20.07.2018,14.30,14.30,13.50,14.25,305,4161
19.07.2018,13.90,13.90,13.80,13.90,650,9025
18.07.2018,13.80,14.00,13.70,14.00,23696,331654
17.07.2018,13.85,14.00,13.85,14.00,6416,89630
16.07.2018,13.60,13.80,13.60,13.80,737,10078
13.07.2018,13.85,13.85,13.70,13.70,542,7431
12.07.2018,13.70,13.85,13.60,13.85,3026,41252
11.07.2018,13.70,13.85,13.65,13.85,1130,15518
10.07.2018,13.75,13.90,13.75,13.90,71,976
09.07.2018,13.65,13.95,13.65,13.95,3020,41356
06.07.2018,13.95,13.95,13.95,13.95,35,488
05.07.2018,14.00,14.00,14.00,14.00,128,1792
04.07.2018,13.70,14.00,13.70,14.00,4304,59957
03.07.2018,13.75,13.75,13.75,13.75,5,69
02.07.2018,13.30,13.60,13.30,13.60,248,3338
29.06.2018,13.70,13.80,13.70,13.80,3950,54501
28.06.2018,13.70,13.70,13.40,13.70,481,6446
27.06.2018,13.75,13.75,13.40,13.40,191,2560
26.06.2018,13.35,13.75,13.35,13.75,48770,658262
25.06.2018,13.50,13.65,13.35,13.65,595,8003
22.06.2018,13.60,13.60,13.40,13.60,10003,134450
21.06.2018,13.60,13.80,13.55,13.75,933,12708
20.06.2018,13.70,13.80,13.60,13.80,5675,78021
19.06.2018,13.95,13.95,13.70,13.80,3806,52275
18.06.2018,13.85,14.00,13.85,14.00,1222,16925
15.06.2018,13.90,13.90,13.80,13.85,2296,31712
14.06.2018,14.10,14.10,14.10,14.10,264,3722
13.06.2018,14.20,14.50,14.10,14.10,772,10991
12.06.2018,14.05,14.35,14.00,14.35,1456,20764
11.06.2018,14.40,14.40,14.05,14.35,878,12446
08.06.2018,14.40,14.40,14.15,14.35,1330,18972
07.06.2018,14.30,14.35,14.30,14.35,1124,16115
06.06.2018,14.30,14.35,14.00,14.20,1371,19451
05.06.2018,13.90,14.35,13.90,14.30,2809,40078
04.06.2018,13.90,14.10,13.70,14.00,2982,41279
01.06.2018,13.65,13.90,13.40,13.90,1466,20147
30.05.2018,14.25,14.50,13.10,13.65,14998,203619
29.05.2018,14.20,14.60,14.10,14.25,5356,76286
28.05.2018,13.85,14.30,13.85,14.00,14635,205032
25.05.2018,13.75,14.10,13.50,13.80,58105,812259
24.05.2018,13.65,14.20,13.65,13.75,5214,71713
23.05.2018,13.80,13.85,13.65,13.70,6546,90150
22.05.2018,13.55,13.85,13.50,13.85,1703,23207
21.05.2018,13.65,13.70,13.55,13.65,2339,31915
18.05.2018,13.95,13.95,13.60,13.60,1401,19232
17.05.2018,14.00,14.00,13.65,13.95,278960,3850289
16.05.2018,14.10,14.10,13.90,14.00,7024,98320
15.05.2018,14.10,14.65,14.10,14.25,14417,206241
14.05.2018,13.60,13.65,13.40,13.65,2358,31784
11.05.2018,13.50,13.75,13.50,13.75,2696,36903
10.05.2018,13.50,13.60,13.35,13.60,3298,44265
09.05.2018,13.45,13.60,13.40,13.60,1039,14069
08.05.2018,13.65,13.75,13.35,13.60,14038,190222
07.05.2018,13.75,13.80,13.65,13.80,2614,35897
04.05.2018,13.65,14.00,13.65,13.70,4108,56787
02.05.2018,13.40,13.65,13.40,13.65,11215,150995
30.04.2018,13.55,13.55,13.35,13.40,14492,194962
27.04.2018,13.55,13.55,13.30,13.30,920,12295
26.04.2018,13.40,13.40,13.40,13.40,631,8455
25.04.2018,13.65,13.65,13.30,13.40,12014,161413
24.04.2018,13.55,13.70,13.30,13.65,10946,147674
23.04.2018,13.95,14.35,13.55,13.55,30225,421164
