Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,11.00,11.00,9.90,9.90,448,4437
31.10.2018,11.00,11.00,11.00,11.00,7,77
30.10.2018,11.00,11.00,11.00,11.00,7,77
29.10.2018,11.00,11.00,10.20,11.00,184,1885
26.10.2018,10.50,10.50,9.65,10.50,157,1604
25.10.2018,9.70,10.40,9.70,10.30,222,2155
24.10.2018,10.70,10.70,9.70,9.70,14,145
23.10.2018,11.10,11.10,10.30,10.70,5,53
22.10.2018,10.50,10.50,9.95,10.50,541,5627
19.10.2018,10.50,10.50,9.90,10.50,18,182
18.10.2018,11.00,11.00,9.90,10.50,65,648
17.10.2018,11.30,11.30,10.40,10.40,101,1051
16.10.2018,10.60,10.60,9.65,10.60,16,164
15.10.2018,10.50,10.50,9.50,9.80,146,1517
12.10.2018,11.00,11.70,11.00,11.00,18,202
11.10.2018,12.20,12.20,11.00,11.00,33,377
10.10.2018,13.00,13.00,11.70,11.70,202,2374
09.10.2018,11.60,12.20,11.60,11.90,142,1665
08.10.2018,11.60,11.80,11.60,11.80,1826,21384
05.10.2018,11.90,11.90,11.30,11.90,164,1890
04.10.2018,12.10,12.10,12.10,12.10,3,36
03.10.2018,12.00,12.00,11.60,11.60,174,2020
02.10.2018,11.70,11.80,11.60,11.80,1649,19229
01.10.2018,11.70,11.70,11.70,11.70,1,12
28.09.2018,12.60,12.60,11.70,11.70,1958,23666
27.09.2018,13.60,13.60,12.20,12.20,1013,12367
26.09.2018,13.60,13.60,13.60,13.60,9,122
25.09.2018,13.60,13.60,13.60,13.60,7,95
24.09.2018,12.40,12.40,11.90,12.40,302,3613
21.09.2018,13.60,13.60,12.40,12.40,359,4605
20.09.2018,12.40,12.40,12.40,12.40,10,124
19.09.2018,12.60,12.60,11.80,11.80,35,421
18.09.2018,11.50,12.00,11.40,12.00,160,1847
17.09.2018,11.80,11.80,11.40,11.80,212,2448
14.09.2018,12.50,12.50,11.80,11.80,25,302
13.09.2018,12.50,12.50,12.10,12.50,105,1273
12.09.2018,12.50,12.50,11.80,11.80,13,158
11.09.2018,12.50,12.50,11.30,11.80,41,508
10.09.2018,14.00,14.00,12.60,12.60,123,1596
07.09.2018,15.50,15.50,12.80,14.30,317,4160
06.09.2018,14.80,14.80,14.00,14.60,75,1051
05.09.2018,14.40,14.70,13.10,14.70,559,8030
04.09.2018,15.00,15.00,14.90,15.00,314,4703
03.09.2018,16.10,16.10,15.10,15.10,14,216
31.08.2018,15.40,15.40,15.40,15.40,4,62
30.08.2018,15.40,15.40,15.40,15.40,7,108
29.08.2018,15.40,15.40,15.40,15.40,10,154
28.08.2018,15.00,15.40,15.00,15.40,10,154
27.08.2018,15.50,15.50,14.40,15.00,101,1472
24.08.2018,15.50,15.50,15.50,15.50,10,155
23.08.2018,15.50,15.50,15.10,15.50,20,306
22.08.2018,15.40,15.50,15.40,15.50,10,154
20.08.2018,15.50,15.50,14.50,15.50,7,105
17.08.2018,15.30,15.30,15.10,15.30,9,137
16.08.2018,15.30,15.30,15.30,15.30,7,107
14.08.2018,15.30,15.30,14.60,15.30,7,106
13.08.2018,15.50,15.50,15.30,15.30,3,46
10.08.2018,15.30,15.30,15.30,15.30,7,107
09.08.2018,15.30,15.30,14.60,15.30,17,254
08.08.2018,15.30,15.30,15.10,15.10,8,122
07.08.2018,15.30,15.30,14.60,14.90,24,355
06.08.2018,16.00,16.00,15.30,15.30,9,138
03.08.2018,15.90,16.00,14.80,15.50,116,1744
02.08.2018,15.30,15.40,14.80,15.30,137,2045
01.08.2018,16.00,16.00,15.00,15.40,10,152
31.07.2018,15.10,15.40,14.90,15.40,46,698
30.07.2018,15.30,15.50,14.80,15.40,671,10256
27.07.2018,15.30,15.30,15.00,15.30,23,350
26.07.2018,16.30,16.30,15.10,15.50,134,2043
25.07.2018,16.20,16.20,15.80,15.80,1107,17493
24.07.2018,16.20,16.20,16.20,16.20,13,211
23.07.2018,16.90,16.90,15.80,16.10,61,968
20.07.2018,16.90,16.90,15.80,16.50,32,514
19.07.2018,15.80,15.90,15.20,15.80,67,1027
18.07.2018,16.40,16.40,15.80,15.80,12,191
17.07.2018,16.90,16.90,15.90,15.90,5,82
16.07.2018,16.90,16.90,16.00,16.00,21,342
13.07.2018,16.50,16.50,16.50,16.50,11,182
12.07.2018,15.30,16.50,15.30,15.30,51,806
11.07.2018,16.50,16.50,15.30,15.30,15,245
10.07.2018,16.50,16.50,16.00,16.00,16,262
09.07.2018,16.90,16.90,15.30,15.40,272,4320
06.07.2018,14.80,15.70,14.80,15.70,133,2050
05.07.2018,15.10,15.30,14.80,15.30,35,530
04.07.2018,14.70,15.10,14.70,15.10,3666,54803
03.07.2018,15.50,15.50,14.70,15.50,15,231
02.07.2018,15.40,15.50,14.60,15.50,353,5222
29.06.2018,15.90,15.90,14.90,15.90,18,279
28.06.2018,16.50,16.50,14.90,15.90,631,9894
27.06.2018,16.50,16.50,16.50,16.50,13,215
26.06.2018,16.50,16.50,16.50,16.50,16,264
25.06.2018,16.50,16.50,15.90,16.50,31,506
22.06.2018,16.50,16.50,16.50,16.50,10,165
21.06.2018,17.00,17.00,15.90,16.50,551,9056
20.06.2018,17.00,17.00,17.00,17.00,19,323
19.06.2018,18.20,18.20,18.00,18.00,19,344
18.06.2018,18.20,18.20,17.10,18.00,39,697
15.06.2018,18.20,18.20,18.00,18.00,21,379
14.06.2018,18.20,18.20,16.50,18.20,895,15077
13.06.2018,18.20,18.20,17.60,17.60,57,1023
12.06.2018,18.00,18.00,17.00,18.00,78,1386
11.06.2018,18.00,18.00,18.00,18.00,77,1386
08.06.2018,18.20,18.20,17.30,18.00,283,4964
07.06.2018,18.20,18.20,16.80,18.20,58,1042
06.06.2018,17.50,17.50,17.50,17.50,46,805
05.06.2018,17.50,17.50,16.60,17.50,76,1325
04.06.2018,16.70,17.50,16.70,17.50,103,1800
01.06.2018,18.20,18.20,17.40,18.20,31,544
30.05.2018,18.40,18.40,16.60,18.40,658,11114
29.05.2018,18.40,18.40,17.20,17.20,107,1847
28.05.2018,16.50,17.00,16.50,17.00,8,136
25.05.2018,16.70,16.80,15.90,16.80,827,13473
24.05.2018,16.90,16.90,15.30,16.80,441,6789
23.05.2018,15.90,15.90,15.90,15.90,5,80
22.05.2018,15.90,15.90,15.90,15.90,11,175
21.05.2018,15.80,15.90,15.40,15.90,22,344
18.05.2018,14.70,15.80,14.70,15.80,142,2183
17.05.2018,15.80,15.80,15.40,15.80,108,1666
16.05.2018,15.80,15.80,14.70,15.80,19,291
15.05.2018,16.00,16.00,14.90,14.90,106,1651
14.05.2018,16.00,16.00,15.00,15.00,102,1532
11.05.2018,15.80,16.00,15.50,16.00,386,5984
10.05.2018,16.20,16.20,15.50,15.50,616,9618
09.05.2018,16.70,16.70,16.70,16.70,1,17
08.05.2018,16.10,16.30,16.10,16.30,12,193
07.05.2018,16.70,16.70,15.60,15.60,927,14844
04.05.2018,16.70,16.70,16.70,16.70,1,17
02.05.2018,16.10,16.70,16.10,16.10,28,456
30.04.2018,17.70,17.70,16.00,17.70,323,5346
27.04.2018,16.80,16.80,16.00,16.80,190,3121
26.04.2018,17.70,17.70,16.80,16.80,13,219
25.04.2018,16.80,16.80,16.00,16.70,618,10304
24.04.2018,17.60,17.60,16.90,16.90,52,880
23.04.2018,17.70,17.70,16.80,17.40,42,722
20.04.2018,16.50,17.00,16.40,17.00,526,8647
19.04.2018,16.50,16.50,16.20,16.50,26,425
18.04.2018,16.50,16.50,15.50,16.50,138,2203
17.04.2018,16.50,16.50,16.50,16.50,5,83
16.04.2018,16.50,16.50,15.80,16.50,91,1439
13.04.2018,16.50,16.80,16.00,16.00,367,5890
12.04.2018,16.80,16.80,16.10,16.80,188,3037
11.04.2018,16.80,16.80,16.80,16.80,9,151
10.04.2018,16.80,16.80,16.50,16.80,338,5588
09.04.2018,16.80,16.80,16.40,16.80,34,563
06.04.2018,16.80,16.80,16.40,16.40,69,1134
05.04.2018,16.80,16.80,16.20,16.80,49,810
