Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,1.76,1.76,1.76,1.76,1,2
27.09.2018,1.76,1.76,1.76,1.76,1,2
26.09.2018,1.76,1.76,1.65,1.76,9553,15763
25.09.2018,1.76,1.76,1.76,1.76,1,2
24.09.2018,1.76,1.76,1.76,1.76,1,2
21.09.2018,1.76,1.76,1.76,1.76,1,2
20.09.2018,1.70,1.75,1.65,1.75,2409,4065
19.09.2018,1.76,1.76,1.69,1.70,552,933
18.09.2018,1.76,1.76,1.76,1.76,1,2
17.09.2018,1.76,1.76,1.67,1.76,5061,8626
14.09.2018,1.75,1.75,1.75,1.75,1,2
13.09.2018,1.75,1.76,1.75,1.75,1611,2825
12.09.2018,1.75,1.75,1.75,1.75,902,1579
11.09.2018,1.75,1.75,1.75,1.75,1,2
10.09.2018,1.75,1.75,1.75,1.75,1,2
07.09.2018,1.69,1.69,1.65,1.65,901,1487
06.09.2018,1.75,1.75,1.75,1.75,1,2
05.09.2018,1.75,1.75,1.75,1.75,1,2
04.09.2018,1.75,1.75,1.75,1.75,1,2
03.09.2018,1.75,1.75,1.65,1.75,1336,2205
31.08.2018,1.75,1.75,1.75,1.75,1,2
30.08.2018,1.75,1.75,1.60,1.75,1679,2697
29.08.2018,1.75,1.75,1.62,1.75,602,976
28.08.2018,1.75,1.75,1.75,1.75,1,2
27.08.2018,1.75,1.75,1.75,1.75,1,2
24.08.2018,1.70,1.75,1.70,1.75,235,400
23.08.2018,1.60,1.76,1.60,1.76,710,1138
22.08.2018,1.76,1.76,1.64,1.64,1001,1642
21.08.2018,1.74,1.76,1.64,1.76,5964,9798
20.08.2018,1.76,1.76,1.76,1.76,1,2
17.08.2018,1.78,1.78,1.78,1.78,2,4
16.08.2018,1.78,1.78,1.78,1.78,2,4
14.08.2018,1.78,1.78,1.78,1.78,2,4
13.08.2018,1.78,1.78,1.78,1.78,2,4
10.08.2018,1.78,1.78,1.78,1.78,2,4
09.08.2018,1.78,1.78,1.78,1.78,2,4
08.08.2018,1.78,1.78,1.78,1.78,2,4
07.08.2018,1.78,1.78,1.78,1.78,2,4
06.08.2018,1.72,1.72,1.72,1.72,54,93
03.08.2018,1.73,1.73,1.73,1.73,41,71
02.08.2018,1.74,1.74,1.74,1.74,1,2
01.08.2018,1.72,1.72,1.72,1.72,1,2
31.07.2018,1.75,1.75,1.70,1.70,11315,19236
30.07.2018,1.79,1.79,1.73,1.75,2889,5015
27.07.2018,1.79,1.79,1.79,1.79,1,2
26.07.2018,1.79,1.79,1.75,1.75,1001,1752
25.07.2018,1.79,1.79,1.79,1.79,1,2
24.07.2018,1.79,1.79,1.79,1.79,2,4
23.07.2018,1.79,1.79,1.79,1.79,1,2
20.07.2018,1.79,1.79,1.71,1.79,902,1546
19.07.2018,1.80,1.80,1.80,1.80,1,2
18.07.2018,1.80,1.80,1.74,1.80,340,592
17.07.2018,1.80,1.80,1.80,1.80,1,2
16.07.2018,1.84,1.84,1.84,1.84,1,2
13.07.2018,1.81,1.81,1.81,1.81,1,2
12.07.2018,1.71,1.81,1.70,1.81,7481,12753
11.07.2018,1.81,1.81,1.81,1.81,1,2
10.07.2018,1.84,1.84,1.84,1.84,1,2
09.07.2018,1.84,1.84,1.84,1.84,1,2
06.07.2018,1.81,1.81,1.81,1.81,1,2
05.07.2018,1.81,1.81,1.81,1.81,1,2
04.07.2018,1.82,1.82,1.82,1.82,1,2
03.07.2018,1.82,1.82,1.82,1.82,1,2
02.07.2018,1.84,1.84,1.84,1.84,1,2
29.06.2018,1.83,1.83,1.83,1.83,1,2
28.06.2018,1.83,1.83,1.75,1.83,1537,2690
27.06.2018,1.84,1.84,1.84,1.84,1,2
26.06.2018,1.84,1.84,1.75,1.84,1802,3154
25.06.2018,1.84,1.84,1.84,1.84,1,2
22.06.2018,1.84,1.84,1.84,1.84,1,2
21.06.2018,1.85,1.85,1.85,1.85,1,2
20.06.2018,1.85,1.85,1.85,1.85,1,2
19.06.2018,1.80,1.85,1.70,1.85,350,595
18.06.2018,1.85,1.85,1.85,1.85,1,2
15.06.2018,1.85,1.85,1.85,1.85,541,1001
14.06.2018,1.82,1.85,1.82,1.85,541,987
13.06.2018,1.82,1.82,1.82,1.82,361,657
12.06.2018,1.82,1.82,1.73,1.82,2540,4481
11.06.2018,1.85,1.85,1.78,1.85,2002,3564
08.06.2018,1.87,1.87,1.76,1.87,4403,7750
07.06.2018,1.87,1.87,1.87,1.87,1,2
06.06.2018,1.87,1.87,1.87,1.87,1,2
05.06.2018,1.87,1.87,1.87,1.87,1,2
04.06.2018,1.89,1.89,1.89,1.89,2,4
01.06.2018,1.89,1.89,1.89,1.89,2,4
30.05.2018,1.89,1.89,1.89,1.89,1,2
29.05.2018,1.90,1.90,1.90,1.90,1,2
28.05.2018,1.90,1.90,1.90,1.90,1,2
25.05.2018,1.93,1.93,1.83,1.93,5698,10428
24.05.2018,1.93,1.93,1.93,1.93,1,2
23.05.2018,1.93,1.93,1.93,1.93,1,2
22.05.2018,1.93,1.93,1.93,1.93,1,2
21.05.2018,1.93,1.93,1.84,1.84,1760,3239
18.05.2018,1.93,1.93,1.84,1.93,2017,3724
17.05.2018,1.85,1.93,1.85,1.93,370,685
16.05.2018,1.85,2.03,1.83,1.85,13176,24742
15.05.2018,2.04,2.04,1.95,1.95,1281,2498
14.05.2018,2.00,2.00,2.00,2.00,1,2
11.05.2018,2.04,2.04,2.04,2.04,1,2
10.05.2018,2.04,2.04,2.04,2.04,1,2
09.05.2018,2.00,2.00,2.00,2.00,1,2
08.05.2018,2.00,2.00,2.00,2.00,1,2
07.05.2018,2.00,2.00,1.94,2.00,327,635
04.05.2018,2.04,2.04,2.04,2.04,1,2
02.05.2018,2.04,2.04,1.95,1.95,546,1065
30.04.2018,2.00,2.00,1.95,1.95,3100,6120
27.04.2018,2.04,2.04,2.04,2.04,1,2
26.04.2018,2.04,2.04,2.00,2.04,3102,6204
25.04.2018,2.04,2.04,2.00,2.04,5580,11160
24.04.2018,2.04,2.04,1.91,2.04,293,560
23.04.2018,2.04,2.04,2.04,2.04,1,2
20.04.2018,2.04,2.04,2.04,2.04,1,2
19.04.2018,2.04,2.04,2.04,2.04,51,104
18.04.2018,2.04,2.04,2.04,2.04,181,369
17.04.2018,2.04,2.04,2.04,2.04,1,2
16.04.2018,2.04,2.04,1.91,2.04,21,40
13.04.2018,2.04,2.04,2.04,2.04,1,2
12.04.2018,2.04,2.04,2.04,2.04,1,2
11.04.2018,2.04,2.04,2.04,2.04,1,2
10.04.2018,2.04,2.04,2.04,2.04,1,2
09.04.2018,2.04,2.04,2.04,2.04,1,2
06.04.2018,2.04,2.04,1.91,2.04,1002,1914
05.04.2018,2.04,2.04,2.04,2.04,1,2
04.04.2018,2.04,2.04,2.04,2.04,1,2
03.04.2018,2.04,2.04,2.04,2.04,1,2
29.03.2018,2.04,2.04,2.00,2.04,152,304
28.03.2018,2.04,2.04,2.04,2.04,1,2
27.03.2018,2.00,2.00,2.00,2.00,1,2
26.03.2018,2.00,2.00,1.94,2.00,3,6
23.03.2018,1.99,1.99,1.94,1.94,366,712
22.03.2018,1.97,2.04,1.97,1.99,273,541
21.03.2018,1.99,1.99,1.94,1.98,868,1685
20.03.2018,1.95,1.98,1.94,1.98,2398,4663
19.03.2018,1.99,1.99,1.99,1.99,1,2
16.03.2018,1.99,1.99,1.99,1.99,231,460
15.03.2018,2.00,2.00,1.93,2.00,1002,1958
14.03.2018,2.03,2.03,2.03,2.03,1,2
13.03.2018,2.02,2.04,1.96,1.96,619,1252
12.03.2018,2.02,2.02,2.02,2.02,1,2
09.03.2018,2.01,2.02,2.00,2.02,1359,2725
08.03.2018,2.02,2.02,1.92,2.02,1062,2075
07.03.2018,1.93,2.02,1.93,2.02,1061,2074
06.03.2018,2.00,2.00,1.92,2.00,2310,4464
05.03.2018,2.02,2.02,2.02,2.02,1,2
02.03.2018,2.02,2.02,2.02,2.02,1,2
01.03.2018,2.02,2.02,2.02,2.02,1,2
28.02.2018,2.02,2.02,2.02,2.02,1,2
27.02.2018,2.02,2.02,2.02,2.02,1,2
26.02.2018,2.02,2.02,1.91,2.02,252,493
23.02.2018,2.02,2.02,2.02,2.02,1,2
22.02.2018,2.02,2.02,2.02,2.02,1,2
21.02.2018,2.02,2.02,2.02,2.02,1,2
20.02.2018,2.04,2.04,1.97,2.02,607,1199
19.02.2018,2.04,2.04,2.04,2.04,1,2
16.02.2018,1.97,2.04,1.97,2.04,329,648
15.02.2018,2.04,2.04,1.95,1.95,1201,2342
14.02.2018,2.08,2.08,2.08,2.08,1,2
13.02.2018,2.10,2.10,2.10,2.10,1,2
12.02.2018,2.20,2.20,2.06,2.12,9603,20111
09.02.2018,2.20,2.20,2.20,2.20,1,2
08.02.2018,2.20,2.20,2.20,2.20,201,442
07.02.2018,2.20,2.20,2.15,2.15,377,811
06.02.2018,2.25,2.25,2.15,2.20,2500,5397
05.02.2018,2.25,2.25,2.25,2.25,352,792
02.02.2018,2.13,2.25,2.13,2.25,6870,14780
01.02.2018,2.24,2.24,2.13,2.13,11332,24254
31.01.2018,2.24,2.24,2.24,2.24,2,4
30.01.2018,2.22,2.24,2.22,2.24,456,1012
29.01.2018,2.22,2.22,2.22,2.22,5801,12878
26.01.2018,2.22,2.22,2.22,2.22,1,2
25.01.2018,2.24,2.24,2.24,2.24,2,4
24.01.2018,2.24,2.24,2.24,2.24,801,1794
23.01.2018,2.30,2.30,2.21,2.24,8330,18410
22.01.2018,2.30,2.30,2.22,2.29,702,1559
19.01.2018,2.19,2.20,2.19,2.20,702,1537
18.01.2018,2.19,2.19,2.19,2.19,2,4
17.01.2018,2.10,2.19,2.10,2.19,2047,4299
16.01.2018,2.19,2.19,2.15,2.15,3833,8241
15.01.2018,2.15,2.15,2.10,2.10,7582,15926
12.01.2018,2.09,2.19,2.09,2.15,7947,16738
11.01.2018,2.09,2.09,2.09,2.09,2,4
10.01.2018,2.09,2.09,2.01,2.01,101,203
09.01.2018,2.05,2.05,2.05,2.05,159,326
08.01.2018,2.09,2.09,2.09,2.09,1,2
05.01.2018,2.09,2.09,2.09,2.09,5,10
04.01.2018,2.03,2.03,2.03,2.03,1,2
03.01.2018,2.01,2.01,2.01,2.01,1,2
29.12.2017,1.99,2.00,1.95,2.00,3897,7724
28.12.2017,1.99,1.99,1.92,1.92,4500,8927
27.12.2017,2.03,2.03,1.91,1.91,10307,20302
22.12.2017,1.99,2.10,1.91,2.10,6302,12361
21.12.2017,1.99,1.99,1.99,1.99,1,2
20.12.2017,2.10,2.10,2.10,2.10,1,2
19.12.2017,2.10,2.10,2.10,2.10,1,2
18.12.2017,2.00,2.10,1.89,2.08,9904,19488
15.12.2017,1.85,1.97,1.85,1.97,548,1014
14.12.2017,1.86,2.00,1.86,1.95,4558,8621
13.12.2017,1.86,1.86,1.86,1.86,2001,3722
12.12.2017,1.78,1.78,1.78,1.78,1667,2967
11.12.2017,1.90,1.90,1.85,1.85,4674,8872
08.12.2017,1.95,1.95,1.81,1.88,170,308
07.12.2017,1.95,1.95,1.85,1.88,4713,8739
06.12.2017,1.90,1.90,1.90,1.90,1,2
05.12.2017,1.95,1.95,1.95,1.95,1,2
04.12.2017,1.95,1.95,1.95,1.95,651,1269
01.12.2017,1.95,1.95,1.86,1.95,4002,7459
30.11.2017,1.95,1.95,1.95,1.95,1,2
29.11.2017,2.04,2.04,2.04,2.04,2,4
28.11.2017,2.04,2.04,2.04,2.04,1,2
27.11.2017,2.04,2.04,1.88,2.04,1276,2504
24.11.2017,2.00,2.00,2.00,2.00,652,1304
23.11.2017,2.00,2.00,2.00,2.00,1,2
22.11.2017,2.00,2.00,1.87,2.00,170,318
21.11.2017,2.00,2.00,2.00,2.00,2,4
20.11.2017,2.00,2.00,2.00,2.00,2,4
17.11.2017,2.00,2.00,1.89,2.00,4081,7719
16.11.2017,2.00,2.00,2.00,2.00,2,4
15.11.2017,1.87,2.04,1.83,2.04,3668,6752
14.11.2017,1.87,1.87,1.87,1.87,2,4
13.11.2017,1.93,1.93,1.87,1.87,812,1567
10.11.2017,1.98,1.98,1.87,1.93,6018,11541
09.11.2017,2.03,2.03,2.01,2.01,184,373
08.11.2017,2.03,2.03,2.03,2.03,2,4
07.11.2017,2.10,2.10,2.10,2.10,2,4
06.11.2017,2.10,2.10,2.10,2.10,2,4
03.11.2017,2.13,2.13,2.13,2.13,2,4
02.11.2017,2.12,2.12,2.01,2.10,2798,5709
31.10.2017,2.13,2.13,2.13,2.13,2,4
30.10.2017,2.13,2.13,2.13,2.13,2,4
27.10.2017,1.99,2.14,1.99,2.10,10537,21815
26.10.2017,1.87,2.04,1.87,1.99,19389,37719
25.10.2017,1.84,1.84,1.84,1.84,2,4
24.10.2017,1.85,1.85,1.85,1.85,2,4
23.10.2017,1.84,1.84,1.84,1.84,2,4
20.10.2017,1.85,1.85,1.85,1.85,1352,2501
19.10.2017,1.85,1.85,1.85,1.85,2,4
18.10.2017,1.84,1.84,1.84,1.84,2,4
17.10.2017,1.85,1.85,1.85,1.85,2,4
16.10.2017,1.85,1.85,1.75,1.85,3903,6839
13.10.2017,1.84,1.84,1.84,1.84,3,6
12.10.2017,1.84,1.84,1.84,1.84,2,4
11.10.2017,1.84,1.84,1.84,1.84,2,4
10.10.2017,1.84,1.84,1.77,1.84,1357,2407
09.10.2017,1.84,1.84,1.84,1.84,1,2
06.10.2017,1.85,1.85,1.85,1.85,2,4
05.10.2017,1.85,1.85,1.76,1.85,1603,2839
04.10.2017,1.85,1.85,1.85,1.85,2,4
03.10.2017,1.85,1.85,1.85,1.85,2,4
02.10.2017,1.85,1.85,1.76,1.76,4302,7572
29.09.2017,1.85,1.85,1.76,1.85,2005,3529
28.09.2017,1.85,1.85,1.85,1.85,2,4
27.09.2017,1.85,1.85,1.76,1.85,4537,7998
26.09.2017,1.85,1.93,1.76,1.76,11546,20825
25.09.2017,2.05,2.05,1.84,1.84,631,1161
22.09.2017,2.05,2.05,1.84,2.00,3036,5602
21.09.2017,2.05,2.05,1.94,2.05,503,976
20.09.2017,2.05,2.05,2.05,2.05,1950,3998
19.09.2017,2.05,2.05,2.05,2.05,659,1351
15.09.2017,1.71,1.71,1.71,1.71,701,1199
14.09.2017,1.71,1.71,1.71,1.71,650,1112
13.09.2017,2.07,2.07,1.71,1.71,1512,2600
12.09.2017,2.07,2.07,2.07,2.07,2,4
11.09.2017,2.07,2.07,2.07,2.07,2,4
08.09.2017,2.07,2.07,2.07,2.07,1,2
07.09.2017,2.08,2.09,1.95,2.09,1282,2506
06.09.2017,2.07,2.07,2.07,2.07,25,52
05.09.2017,2.09,2.09,1.89,1.89,769,1454
04.09.2017,2.10,2.10,1.98,2.10,3803,7530
01.09.2017,2.09,2.09,1.98,2.09,3803,7530
31.08.2017,2.10,2.10,2.00,2.10,3064,6128
30.08.2017,2.14,2.14,2.14,2.14,1,2
29.08.2017,2.14,2.14,2.14,2.14,1,2
28.08.2017,2.14,2.14,2.05,2.14,203,416
25.08.2017,2.14,2.14,2.14,2.14,2,4
24.08.2017,2.14,2.14,2.14,2.14,1,2
23.08.2017,2.14,2.14,2.05,2.14,337,693
22.08.2017,2.14,2.14,2.06,2.06,200,412
21.08.2017,2.14,2.14,2.06,2.06,45,93
18.08.2017,2.14,2.14,2.14,2.14,2,4
17.08.2017,2.10,2.10,2.10,2.10,2,4
16.08.2017,2.14,2.14,2.14,2.14,22,47
14.08.2017,2.20,2.20,2.20,2.20,2,4
11.08.2017,2.20,2.20,2.20,2.20,44,97
10.08.2017,2.20,2.20,2.20,2.20,2,4
09.08.2017,2.20,2.20,1.99,2.19,1506,3143
08.08.2017,2.21,2.21,2.00,2.21,10911,21899
07.08.2017,2.22,2.22,2.21,2.21,4,9
04.08.2017,2.23,2.23,2.23,2.23,2,4
03.08.2017,2.23,2.23,2.23,2.23,2,4
02.08.2017,2.14,2.23,1.99,2.23,882,1828
01.08.2017,2.14,2.14,1.97,2.13,11367,22638
31.07.2017,2.23,2.23,1.93,2.10,1976,3888
28.07.2017,2.24,2.24,2.11,2.23,1758,3710
27.07.2017,2.25,2.25,2.25,2.25,2,5
26.07.2017,2.30,2.30,2.07,2.25,4519,10125
25.07.2017,2.30,2.30,2.30,2.30,62,143
24.07.2017,2.30,2.30,2.19,2.19,5572,12274
21.07.2017,2.30,2.30,2.30,2.30,2,5
20.07.2017,2.30,2.30,2.30,2.30,2,5
19.07.2017,2.28,2.35,2.28,2.35,1678,3826
18.07.2017,2.32,2.35,2.21,2.35,1416,3130
17.07.2017,2.40,2.40,2.25,2.35,718,1616
14.07.2017,2.40,2.40,2.32,2.40,4281,10031
13.07.2017,2.39,2.40,2.39,2.40,3782,9059
12.07.2017,2.32,2.45,2.32,2.40,6820,16268
11.07.2017,2.11,2.32,2.11,2.32,12737,28680
10.07.2017,2.06,2.11,2.06,2.11,3012,6255
07.07.2017,2.03,2.03,2.03,2.03,1002,2034
06.07.2017,1.95,2.01,1.95,2.01,4226,8409
05.07.2017,1.95,1.95,1.95,1.95,2,4
04.07.2017,1.97,1.97,1.95,1.95,3852,7511
03.07.2017,1.97,1.97,1.97,1.97,2,4
30.06.2017,1.97,1.97,1.97,1.97,2,4
29.06.2017,1.94,1.97,1.94,1.97,653,1269
28.06.2017,1.94,1.94,1.94,1.94,2,4
27.06.2017,1.90,1.90,1.90,1.90,738,1402
26.06.2017,1.94,1.94,1.94,1.94,1,2
23.06.2017,1.94,1.94,1.94,1.94,2,4
22.06.2017,1.97,1.97,1.97,1.97,2,4
21.06.2017,1.97,1.97,1.90,1.97,4004,7612
20.06.2017,1.95,1.95,1.90,1.95,5364,10260
19.06.2017,1.90,1.95,1.90,1.95,1607,3087
16.06.2017,1.91,1.92,1.91,1.92,372,712
14.06.2017,1.90,1.91,1.90,1.91,468,893
13.06.2017,1.90,1.90,1.82,1.90,4523,8262
12.06.2017,1.90,1.90,1.75,1.90,3508,6240
09.06.2017,1.80,1.81,1.80,1.81,2420,4364
08.06.2017,1.81,1.81,1.81,1.81,2,4
07.06.2017,1.81,1.81,1.81,1.81,2,4
06.06.2017,1.81,1.81,1.81,1.81,2,4
05.06.2017,1.81,1.81,1.81,1.81,1,2
02.06.2017,1.81,1.81,1.74,1.81,153,266
01.06.2017,1.81,1.81,1.81,1.81,2,4
31.05.2017,1.81,1.81,1.81,1.81,2,4
30.05.2017,1.73,1.81,1.73,1.81,2093,3717
29.05.2017,1.92,1.92,1.72,1.73,4816,8304
26.05.2017,1.91,1.91,1.91,1.91,2,4
25.05.2017,1.91,1.91,1.91,1.91,2,4
24.05.2017,1.80,1.91,1.80,1.91,183,330
