Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,68.60,69.50,67.36,68.46,199944,13597952
26.09.2018,68.00,71.42,68.00,68.62,272690,18967742
25.09.2018,68.90,69.20,67.66,67.86,65157,4476100
24.09.2018,68.22,70.48,67.22,68.32,142968,9799452
21.09.2018,68.68,69.90,68.00,68.72,1808627,124455398
20.09.2018,66.52,69.06,66.52,68.46,384657,26398834
19.09.2018,67.00,68.00,65.48,66.78,334358,22361330
18.09.2018,66.22,67.88,66.22,66.40,225248,15122589
17.09.2018,67.54,68.00,65.80,66.12,178499,11876754
14.09.2018,69.20,69.50,67.00,68.14,131860,8923951
13.09.2018,68.22,69.70,68.00,68.70,220258,15153975
12.09.2018,67.88,68.48,65.76,68.22,330785,22430739
11.09.2018,63.56,66.46,63.50,66.46,375371,24449731
10.09.2018,68.00,68.32,61.20,63.00,494461,31141051
07.09.2018,73.80,74.46,67.20,68.24,504539,35360103
06.09.2018,74.50,75.20,73.80,73.80,174409,12949789
05.09.2018,76.66,76.90,74.40,74.40,182947,13778138
04.09.2018,76.54,77.98,75.78,76.66,154036,11755052
03.09.2018,76.98,78.96,76.50,76.50,70191,5423866
31.08.2018,78.10,78.18,76.52,77.00,157672,12166206
30.08.2018,78.96,79.50,78.06,78.06,109930,8645476
29.08.2018,80.00,80.00,78.52,79.00,256834,20291236
28.08.2018,81.20,81.20,78.92,79.10,232012,18429444
27.08.2018,76.00,83.46,76.00,80.90,332601,26444401
24.08.2018,76.00,76.70,74.00,74.00,221679,16506042
23.08.2018,75.06,76.30,74.60,75.74,118281,8919474
22.08.2018,74.70,76.44,74.62,75.66,131183,9890672
21.08.2018,75.30,76.54,74.10,75.38,109956,8266290
20.08.2018,74.62,75.58,74.48,75.30,93573,7025375
17.08.2018,75.22,76.08,74.50,74.50,173036,12983718
16.08.2018,76.00,78.94,74.84,75.20,196799,14994500
14.08.2018,76.30,78.46,76.20,78.46,62163,4807738
13.08.2018,76.82,76.92,75.58,75.74,83696,6372956
10.08.2018,77.50,78.38,76.12,77.10,121454,9404107
09.08.2018,77.54,78.48,77.32,78.02,48932,3810969
08.08.2018,78.80,80.20,77.70,77.98,91493,7229871
07.08.2018,79.50,80.32,78.58,78.84,164324,13118309
06.08.2018,77.34,78.92,76.48,78.92,74881,5853179
03.08.2018,77.80,78.60,76.96,77.00,42021,3258290
02.08.2018,79.00,79.04,77.20,77.80,92157,7180897
01.08.2018,79.50,79.50,78.02,79.50,101826,8036651
31.07.2018,79.58,80.44,78.50,78.90,223295,17681923
30.07.2018,80.22,80.58,78.00,80.46,218945,17386694
27.07.2018,81.00,81.06,79.68,80.62,78525,6313437
26.07.2018,78.30,81.00,78.30,79.74,194659,15575975
25.07.2018,77.00,79.50,76.02,78.60,195956,15311230
24.07.2018,74.76,77.90,74.76,77.20,433830,33438804
23.07.2018,75.00,75.48,74.24,74.76,108301,8105174
20.07.2018,73.80,75.14,73.10,74.60,236041,17498153
19.07.2018,76.58,76.58,73.50,73.62,291094,21623584
18.07.2018,75.90,77.56,75.14,76.08,91943,7004669
17.07.2018,75.40,75.80,74.10,75.40,120578,9041196
16.07.2018,75.18,76.08,74.82,75.50,77169,5838891
13.07.2018,74.80,75.30,74.00,74.68,100463,7491030
12.07.2018,76.32,76.88,74.20,74.80,93009,7001014
11.07.2018,76.00,77.50,75.26,75.64,191126,14500309
10.07.2018,74.80,79.00,74.80,77.94,283814,21896929
09.07.2018,77.12,77.12,73.84,74.04,106728,7991852
06.07.2018,78.08,78.08,74.50,74.70,194262,14614809
05.07.2018,78.60,78.60,76.80,76.84,164260,12700897
04.07.2018,78.00,78.40,76.80,77.60,66428,5158364
03.07.2018,75.90,78.20,75.90,77.50,133206,10323118
02.07.2018,76.38,76.46,74.42,75.70,88866,6710716
29.06.2018,76.50,79.00,76.50,76.70,174612,13498048
28.06.2018,77.60,78.58,75.66,76.32,134885,10394801
27.06.2018,78.08,79.00,77.16,78.68,113251,8837637
26.06.2018,79.50,80.42,78.00,78.08,156804,12367995
25.06.2018,80.00,82.88,78.80,79.32,120112,9672113
22.06.2018,79.90,81.18,78.88,80.10,124991,9998413
21.06.2018,82.06,82.70,79.30,79.72,142846,11590940
20.06.2018,81.00,83.00,80.80,81.20,110156,8995453
19.06.2018,80.24,81.00,79.20,79.90,174333,13949127
18.06.2018,86.56,86.60,81.52,81.90,204703,17043870
15.06.2018,87.98,88.90,86.10,86.60,287386,24969259
14.06.2018,87.50,88.60,86.96,88.00,180026,15795199
13.06.2018,89.04,89.50,86.34,88.74,213223,18700297
12.06.2018,91.12,91.12,88.90,89.08,98705,8834337
11.06.2018,90.00,91.46,88.68,90.64,174907,15698161
08.06.2018,90.44,91.50,89.30,91.00,101603,9178697
07.06.2018,90.50,92.40,90.20,90.90,124684,11354909
06.06.2018,87.60,91.84,87.60,89.74,292636,26385242
05.06.2018,84.90,87.16,83.56,86.66,166891,14305621
04.06.2018,83.46,85.40,83.46,84.50,108819,9168994
01.06.2018,83.94,83.94,81.12,83.86,77931,6451945
30.05.2018,83.20,84.38,81.24,83.42,380722,31698451
29.05.2018,83.98,84.40,81.98,84.16,112299,9355505
28.05.2018,82.30,84.78,82.30,84.44,68688,5768796
25.05.2018,83.46,83.54,81.98,83.00,89628,7427989
24.05.2018,83.00,84.24,81.50,82.90,130267,10809734
23.05.2018,86.00,86.00,81.68,82.60,362046,30042719
22.05.2018,86.68,88.50,84.80,87.20,196970,17173940
21.05.2018,85.62,86.52,83.80,86.40,148025,12713541
18.05.2018,89.30,89.30,83.10,84.96,166474,14225098
17.05.2018,84.00,91.90,83.72,88.20,434794,38509951
16.05.2018,80.64,84.50,80.00,84.16,260199,21591222
15.05.2018,82.30,82.40,80.00,80.82,168052,13627480
14.05.2018,83.62,84.86,81.98,83.00,106582,8846572
11.05.2018,83.80,85.48,83.10,83.96,153148,12909859
10.05.2018,82.16,85.00,82.16,84.14,165792,13943298
09.05.2018,80.00,82.12,80.00,82.12,218581,17766545
08.05.2018,80.50,81.86,77.16,79.32,278197,21971412
07.05.2018,78.00,81.36,77.44,80.02,151669,12090935
04.05.2018,80.30,81.36,77.54,78.42,288139,22945320
02.05.2018,82.82,84.00,80.46,80.46,170226,13971612
30.04.2018,84.46,84.50,82.46,82.82,150630,12575152
27.04.2018,83.50,84.80,83.04,83.50,142477,11959765
26.04.2018,82.50,83.98,82.20,83.20,157879,13108896
25.04.2018,86.20,86.30,82.60,82.60,221205,18569855
24.04.2018,87.06,88.78,86.68,86.68,169304,14782372
23.04.2018,88.18,89.04,86.88,87.14,79353,6946786
20.04.2018,87.30,89.20,87.00,88.18,163047,14359059
19.04.2018,86.70,88.10,85.68,86.78,236978,20519612
18.04.2018,88.50,88.68,87.40,88.14,163780,14406817
17.04.2018,89.52,89.52,86.30,87.62,166499,14553979
16.04.2018,90.30,91.98,88.12,88.84,253751,22828536
13.04.2018,87.00,89.86,87.00,88.08,177546,15714625
12.04.2018,86.00,88.40,85.50,87.10,389839,34009796
11.04.2018,84.80,86.74,84.80,86.50,230469,19817608
10.04.2018,85.60,86.84,84.70,84.76,134138,11499718
09.04.2018,85.50,87.34,83.60,85.12,172975,14772745
06.04.2018,85.00,86.80,85.00,85.42,121971,10457189
05.04.2018,84.40,87.38,84.40,86.78,278074,23904802
04.04.2018,85.50,86.16,82.68,83.18,265787,22240270
03.04.2018,80.80,85.90,79.70,85.50,377789,31265284
29.03.2018,79.50,83.30,79.42,81.08,359845,29338814
28.03.2018,82.00,84.00,79.00,79.50,582739,47085804
27.03.2018,88.60,89.20,84.78,85.00,356127,30998210
26.03.2018,92.40,92.62,87.00,87.22,287911,25550630
23.03.2018,92.00,92.80,89.64,92.00,402237,36706524
22.03.2018,95.00,96.60,93.30,94.18,286848,27234724
21.03.2018,93.52,95.30,92.94,95.30,296854,28014318
20.03.2018,92.50,93.82,91.80,93.52,297565,27656018
19.03.2018,94.60,94.84,91.66,92.00,301522,28028762
16.03.2018,94.50,96.40,91.72,93.74,551731,51624872
15.03.2018,97.00,97.48,94.40,94.80,224211,21409594
14.03.2018,98.50,99.50,95.50,95.76,310718,30321256
13.03.2018,93.50,99.50,93.20,98.18,837375,80495016
12.03.2018,99.98,100.50,97.40,97.90,161321,15971509
