Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,1.35,1.35,1.25,1.25,10549,13386
25.09.2018,1.65,1.65,1.50,1.50,5221,8296
24.09.2018,1.61,1.65,1.61,1.65,6484,10630
21.09.2018,1.60,1.60,1.50,1.50,3373,5160
20.09.2018,1.60,1.60,1.60,1.60,3000,4800
12.09.2018,1.65,1.65,1.60,1.60,5526,9053
10.09.2018,1.60,1.65,1.60,1.65,6932,11424
28.08.2018,1.65,1.65,1.65,1.65,80,132
23.08.2018,1.65,1.65,1.65,1.65,13000,21450
21.08.2018,1.80,1.80,1.70,1.70,4812,8231
20.08.2018,1.76,1.80,1.76,1.80,2161,3806
17.08.2018,1.80,1.80,1.80,1.80,10433,18779
16.08.2018,1.85,1.85,1.85,1.85,2266,4192
14.08.2018,1.85,1.85,1.85,1.85,5063,9367
13.08.2018,1.90,1.90,1.85,1.85,7010,13207
10.08.2018,1.90,1.90,1.90,1.90,9755,18535
07.08.2018,1.95,1.95,1.95,1.95,1559,3040
06.08.2018,2.00,2.00,2.00,2.00,1000,2000
03.08.2018,2.00,2.00,2.00,2.00,5378,10756
02.08.2018,2.06,2.06,2.06,2.06,38,78
01.08.2018,2.06,2.06,2.06,2.06,3962,8162
31.07.2018,2.00,2.00,2.00,2.00,363,726
27.07.2018,1.75,1.75,1.75,1.75,678,1187
26.07.2018,1.85,1.85,1.85,1.85,33085,61207
24.07.2018,1.90,1.90,1.90,1.90,132,251
23.07.2018,2.00,2.00,1.96,1.96,9818,19593
20.07.2018,2.00,2.00,2.00,2.00,11000,22000
16.07.2018,2.42,2.42,2.42,2.42,14359,34749
13.07.2018,2.50,2.50,2.50,2.50,1000,2500
12.07.2018,2.50,2.50,2.50,2.50,500,1250
11.07.2018,2.44,2.44,2.44,2.44,200,488
09.07.2018,2.50,2.52,2.50,2.52,5000,12548
06.07.2018,2.66,2.66,2.50,2.60,6525,16890
05.07.2018,2.58,2.58,2.58,2.58,300,774
28.06.2018,2.50,2.50,2.50,2.50,1000,2500
27.06.2018,2.50,2.50,2.50,2.50,7911,19778
26.06.2018,2.90,2.90,2.90,2.90,300,870
25.06.2018,2.90,2.90,2.90,2.90,13600,39440
19.06.2018,2.80,3.00,2.58,2.90,2492,6435
18.06.2018,2.56,2.56,2.56,2.56,860,2202
15.06.2018,2.96,2.96,2.96,2.96,5,15
14.06.2018,2.96,2.96,2.70,2.70,10040,27109
13.06.2018,3.30,3.30,2.70,2.70,75683,205700
12.06.2018,3.60,3.60,3.60,3.60,2,7
11.06.2018,3.32,3.40,3.04,3.40,10379,31686
07.06.2018,3.04,3.32,3.04,3.32,5022,15973
05.06.2018,3.36,3.36,2.78,2.78,12100,34427
04.06.2018,3.40,3.40,3.40,3.40,6625,22525
01.06.2018,3.40,3.40,3.40,3.40,40000,136000
30.05.2018,3.40,3.40,3.40,3.40,88500,300900
29.05.2018,3.40,3.40,3.40,3.40,54350,184790
28.05.2018,3.40,3.40,3.36,3.38,35355,119316
23.05.2018,3.26,3.26,3.26,3.26,500,1630
22.05.2018,3.44,3.44,3.44,3.44,250,860
21.05.2018,3.44,3.44,3.44,3.44,1000,3440
17.05.2018,3.10,3.10,3.10,3.10,400,1240
16.05.2018,3.10,3.10,3.10,3.10,10000,31000
15.05.2018,2.98,3.14,2.98,3.14,326,1019
14.05.2018,3.26,3.26,3.26,3.26,10000,32600
07.05.2018,3.42,3.44,3.42,3.44,1903,6529
04.05.2018,3.94,3.94,3.90,3.94,7617,29981
02.05.2018,3.62,3.98,3.62,3.98,1315,5074
30.04.2018,3.20,3.30,3.20,3.30,1045,3384
27.04.2018,3.00,3.20,3.00,3.20,2829,8929
25.04.2018,3.00,3.00,3.00,3.00,380,1140
24.04.2018,2.90,2.90,2.90,2.90,200,580
23.04.2018,2.78,2.78,2.78,2.78,2249,6252
18.04.2018,2.70,2.70,2.70,2.70,1683,4544
17.04.2018,2.58,2.58,2.58,2.58,327,844
16.04.2018,2.50,2.50,2.50,2.50,331,828
13.04.2018,2.60,2.62,2.44,2.44,9512,24417
12.04.2018,2.70,2.78,2.44,2.56,19512,53078
11.04.2018,3.00,3.20,3.00,3.10,35671,107452
09.04.2018,3.20,3.28,3.00,3.00,1521,4578
06.04.2018,2.90,3.10,2.70,2.90,25223,73138
05.04.2018,3.02,3.36,3.02,3.36,28815,87544
04.04.2018,3.88,3.88,3.30,3.54,57191,190197
03.04.2018,3.70,3.80,3.70,3.80,14545,53819
28.03.2018,3.80,3.80,3.80,3.80,16250,61750
27.03.2018,3.80,3.80,3.80,3.80,270,1026
23.03.2018,3.86,3.86,3.86,3.86,5000,19300
22.03.2018,3.86,3.86,3.86,3.86,38622,149081
21.03.2018,3.90,3.90,3.90,3.90,200,780
19.03.2018,3.86,3.86,3.86,3.86,4159,16054
15.03.2018,3.86,3.86,3.86,3.86,600,2316
14.03.2018,3.74,3.88,3.74,3.88,32,121
13.03.2018,3.40,3.40,3.40,3.40,16296,55406
09.03.2018,3.40,3.40,3.40,3.40,262,891
05.03.2018,3.98,3.98,3.98,3.98,5025,20000
02.03.2018,4.00,4.00,4.00,4.00,1000,4000
01.03.2018,3.90,3.90,3.90,3.90,540,2106
28.02.2018,3.86,4.22,3.86,4.22,12605,49593
27.02.2018,3.90,4.26,3.90,4.26,13101,51112
26.02.2018,4.00,4.00,3.84,3.84,3410,13110
23.02.2018,4.20,4.20,4.20,4.20,500,2100
22.02.2018,4.30,4.30,4.30,4.30,1415,6085
21.02.2018,4.30,4.30,4.30,4.30,9,39
19.02.2018,4.16,4.16,4.16,4.16,2714,11290
16.02.2018,3.90,4.18,3.90,4.18,18125,70695
15.02.2018,4.30,4.30,4.30,4.30,15,65
14.02.2018,3.88,4.00,3.88,4.00,30287,117923
13.02.2018,4.28,4.36,4.28,4.36,15059,64841
12.02.2018,4.70,4.70,4.70,4.70,10,47
06.02.2018,4.70,4.80,4.70,4.80,219,1046
05.02.2018,4.50,4.50,4.28,4.28,8177,36357
02.02.2018,4.80,4.80,4.80,4.80,2100,10080
31.01.2018,4.70,4.76,4.70,4.76,2754,12995
30.01.2018,4.76,4.76,4.76,4.76,651,3099
29.01.2018,4.76,4.76,4.76,4.76,5,24
26.01.2018,4.48,4.60,4.48,4.60,5134,23579
25.01.2018,4.70,4.70,4.10,4.10,13052,58344
24.01.2018,4.76,4.76,4.76,4.76,15483,73699
23.01.2018,4.76,4.76,4.76,4.76,2,10
22.01.2018,4.74,4.74,4.72,4.72,6923,32703
17.01.2018,4.60,4.78,4.60,4.78,658,3143
16.01.2018,4.50,4.50,4.50,4.50,14,63
15.01.2018,4.00,4.10,4.00,4.10,17561,70338
12.01.2018,3.90,4.20,3.90,4.20,14687,57729
11.01.2018,4.00,4.00,3.90,3.90,12713,50530
10.01.2018,4.20,4.20,4.20,4.20,12713,53395
09.01.2018,4.20,4.50,4.20,4.50,9644,41001
08.01.2018,4.80,4.80,4.60,4.60,2994,14170
05.01.2018,4.00,4.40,4.00,4.40,31389,126220
04.01.2018,4.00,4.40,4.00,4.40,4082,16516
03.01.2018,3.94,4.32,3.94,4.32,34508,135977
29.12.2017,3.98,3.98,3.98,3.98,8194,32612
28.12.2017,3.98,3.98,3.95,3.95,73100,290151
27.12.2017,3.99,4.00,3.99,4.00,59400,237406
22.12.2017,3.99,3.99,3.99,3.99,700,2793
21.12.2017,4.00,4.00,4.00,4.00,4136,16544
20.12.2017,4.44,4.44,4.44,4.44,500,2220
19.12.2017,4.85,4.85,4.85,4.85,6,29
18.12.2017,4.50,4.50,4.50,4.50,3980,17910
15.12.2017,4.50,4.55,4.50,4.55,7000,31600
13.12.2017,4.44,4.90,4.44,4.90,3551,16020
12.12.2017,4.57,4.57,4.57,4.57,3000,13710
11.12.2017,4.45,4.45,4.45,4.45,1159,5158
07.12.2017,4.45,4.45,4.45,4.45,3149,14013
06.12.2017,4.97,4.97,4.97,4.97,10,50
05.12.2017,4.60,4.60,4.60,4.60,155,713
04.12.2017,4.10,4.44,4.10,4.44,4998,20495
01.12.2017,4.45,4.45,4.45,4.45,3100,13795
30.11.2017,4.45,4.45,4.45,4.45,800,3560
29.11.2017,4.50,4.50,4.50,4.50,1055,4748
28.11.2017,4.50,4.50,4.50,4.50,20,90
27.11.2017,4.40,4.60,4.40,4.60,2080,9400
14.11.2017,4.88,4.88,4.88,4.88,2758,13459
13.11.2017,4.88,4.88,4.88,4.88,2821,13766
03.11.2017,4.68,4.68,4.68,4.68,866,4053
02.11.2017,4.69,4.69,4.69,4.69,5150,24154
27.10.2017,4.69,4.69,4.69,4.69,430,2017
26.10.2017,4.69,4.69,4.69,4.69,800,3752
25.10.2017,4.50,4.50,4.50,4.50,1844,8298
19.10.2017,4.98,4.98,4.98,4.98,502,2500
17.10.2017,5.00,5.00,4.99,4.99,6400,31990
16.10.2017,5.00,5.00,5.00,5.00,276,1380
13.10.2017,5.20,5.20,5.20,5.20,1520,7904
09.10.2017,5.24,5.29,5.24,5.29,1478,7755
29.09.2017,5.35,5.35,5.35,5.35,2500,13375
26.09.2017,5.23,5.23,5.23,5.23,80,418
25.09.2017,5.37,5.37,5.37,5.37,1300,6981
21.09.2017,5.22,5.40,5.22,5.40,4090,21890
19.09.2017,5.40,5.40,5.40,5.40,1260,6804
11.09.2017,5.50,5.50,5.50,5.50,450,2475
08.09.2017,5.25,5.25,5.25,5.25,200,1050
07.09.2017,4.80,4.80,4.80,4.80,2503,12014
05.09.2017,4.20,4.20,4.20,4.20,1500,6300
04.09.2017,4.90,4.90,4.90,4.90,45,221
01.09.2017,3.49,4.00,3.49,4.00,3234,12882
31.08.2017,3.28,3.28,3.28,3.28,520,1706
30.08.2017,3.30,3.30,3.30,3.30,5,17
29.08.2017,3.10,3.10,3.10,3.10,300,930
24.08.2017,3.09,3.45,3.09,3.45,10,33
23.08.2017,3.27,3.27,3.27,3.27,5,16
18.08.2017,3.08,3.08,3.08,3.08,5,15
16.08.2017,3.20,3.20,3.09,3.09,70,222
14.08.2017,3.20,3.20,3.20,3.20,5300,16960
11.08.2017,3.20,3.20,3.20,3.20,125,400
10.08.2017,2.94,2.94,2.94,2.94,10,29
08.08.2017,2.89,2.94,2.89,2.94,4282,12389
07.08.2017,2.70,2.70,2.70,2.70,160,432
04.08.2017,2.70,2.70,2.70,2.70,890,2403
03.08.2017,2.72,2.72,2.72,2.72,5,14
02.08.2017,2.51,2.70,2.51,2.70,1475,3817
01.08.2017,2.68,2.69,2.68,2.69,3425,9213
31.07.2017,2.29,2.51,2.29,2.51,951,2220
27.07.2017,2.15,2.30,2.15,2.30,110,237
26.07.2017,2.49,2.49,2.49,2.49,5,12
25.07.2017,2.74,2.74,2.51,2.51,1419,3563
24.07.2017,2.74,2.74,2.74,2.74,5,14
21.07.2017,2.80,2.80,2.74,2.74,1613,4495
20.07.2017,2.80,2.80,2.80,2.80,855,2394
19.07.2017,3.98,3.98,2.85,2.85,1776,5322
24.04.2017,4.75,4.75,4.75,4.75,5,24
20.04.2017,4.75,4.75,4.75,4.75,5,24
10.04.2017,4.99,4.99,4.99,4.99,4,20
07.04.2017,5.00,5.00,5.00,5.00,50,250
06.04.2017,4.80,4.80,4.80,4.80,100,480
04.04.2017,4.77,5.00,4.36,5.00,1335,5991
03.04.2017,5.30,5.50,4.99,4.99,4121,21661
31.03.2017,5.00,5.20,5.00,5.20,2950,15140
30.03.2017,4.80,4.80,4.80,4.80,100,480
29.03.2017,4.50,4.50,4.50,4.50,2989,13451
28.03.2017,3.70,4.15,3.70,4.15,2611,10137
24.03.2017,3.69,3.69,3.69,3.69,5628,20767
23.03.2017,3.69,3.69,3.69,3.69,17307,63863
22.03.2017,3.69,3.69,3.69,3.69,465,1716
21.03.2017,4.00,4.00,4.00,4.00,293,1172
20.03.2017,4.20,4.20,4.20,4.20,1367,5741
17.03.2017,4.49,4.49,4.49,4.49,216,970
16.03.2017,4.39,4.50,4.39,4.50,167,741
15.03.2017,4.03,4.40,4.03,4.40,5757,23279
14.03.2017,4.08,4.08,4.03,4.03,2900,11812
13.03.2017,4.41,4.41,4.40,4.40,228,1004
10.03.2017,3.78,4.40,3.78,4.40,3508,13576
09.03.2017,4.64,4.64,4.20,4.20,1311,5665
08.03.2017,4.49,4.49,4.25,4.25,1007,4421
07.03.2017,5.15,5.15,4.11,4.11,871,4063
06.03.2017,5.45,5.45,5.08,5.08,391,2068
03.03.2017,5.50,5.50,5.50,5.50,2353,12942
02.03.2017,5.30,5.30,4.90,4.90,1200,5964
01.03.2017,5.50,5.50,5.50,5.50,2650,14575
28.02.2017,5.00,5.39,5.00,5.39,2212,11384
