Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,7.10,7.10,7.10,7.10,300,2130
25.09.2018,7.10,7.10,7.10,7.10,50,355
24.09.2018,6.95,7.20,6.95,7.20,1105,7681
14.09.2018,6.70,7.20,6.70,7.20,1200,8043
13.09.2018,6.70,6.70,6.70,6.70,5,34
12.09.2018,6.55,6.55,6.50,6.50,1400,9110
10.09.2018,6.70,6.70,6.70,6.70,1116,7477
07.09.2018,6.90,7.10,6.90,7.10,1100,7590
04.09.2018,7.15,7.15,7.15,7.15,200,1430
29.08.2018,7.20,7.20,7.20,7.20,2,14
24.08.2018,6.95,6.95,6.95,6.95,8500,59075
22.08.2018,6.95,6.95,6.95,6.95,14500,100775
21.08.2018,6.90,6.90,6.90,6.90,2,14
20.08.2018,7.00,7.20,6.95,7.20,7110,49422
17.08.2018,7.15,7.45,7.15,7.45,1052,7522
09.08.2018,7.25,7.80,7.25,7.80,1045,7579
01.08.2018,7.20,7.20,7.20,7.20,500,3600
27.07.2018,7.25,7.30,7.15,7.15,900,6523
26.07.2018,7.35,7.35,7.35,7.35,2,15
25.07.2018,7.20,7.20,7.00,7.00,2801,19807
24.07.2018,7.40,7.40,7.15,7.20,3213,23337
20.07.2018,8.00,8.00,8.00,8.00,3,24
19.07.2018,7.75,7.75,7.75,7.75,975,7556
18.07.2018,7.30,7.75,7.30,7.75,17243,126097
17.07.2018,7.40,7.40,7.40,7.40,400,2960
16.07.2018,7.20,7.25,7.20,7.25,193,1392
13.07.2018,7.30,7.50,7.30,7.50,13850,101145
12.07.2018,7.80,7.80,7.50,7.50,1253,9463
11.07.2018,7.70,7.85,7.70,7.85,7100,54700
10.07.2018,7.80,7.80,7.80,7.80,6000,46800
05.07.2018,7.80,7.85,7.80,7.85,3161,24660
27.06.2018,7.55,7.85,7.55,7.85,309,2358
22.06.2018,7.80,8.00,7.80,8.00,1200,9380
15.06.2018,7.90,8.10,7.90,8.10,1089,8605
13.06.2018,8.00,8.00,8.00,8.00,1001,8008
11.06.2018,8.10,8.10,8.10,8.10,490,3969
08.06.2018,8.05,8.10,7.90,7.90,3870,31058
07.06.2018,8.10,8.15,8.10,8.10,946,7666
06.06.2018,7.65,8.00,7.65,8.00,3779,29882
29.05.2018,7.40,8.05,7.40,8.05,1353,10014
24.05.2018,7.10,7.40,7.10,7.40,350,2545
22.05.2018,7.35,7.35,7.35,7.35,200,1470
15.05.2018,7.30,7.30,7.30,7.30,492,3592
14.05.2018,7.60,7.60,7.10,7.10,2568,18395
09.05.2018,7.45,7.45,7.45,7.45,883,6578
24.04.2018,7.70,8.05,7.70,8.05,497,3828
23.04.2018,8.00,8.00,8.00,8.00,5,40
20.04.2018,8.00,8.15,7.80,7.80,2639,21199
19.04.2018,7.85,7.85,7.85,7.85,1260,9891
17.04.2018,8.00,8.00,7.85,7.85,2100,16635
11.04.2018,8.15,8.15,8.15,8.15,5,41
10.04.2018,7.90,7.95,7.90,7.90,1701,13474
09.04.2018,7.90,7.90,7.90,7.90,299,2362
06.04.2018,8.10,8.10,8.00,8.00,3110,24891
04.04.2018,8.05,8.15,7.90,7.90,660,5296
29.03.2018,8.00,8.00,8.00,8.00,2000,16000
28.03.2018,7.95,7.95,7.95,7.95,130,1034
27.03.2018,8.00,8.00,8.00,8.00,13,104
23.03.2018,7.85,8.00,7.85,8.00,960,7538
21.03.2018,7.90,7.90,7.90,7.90,950,7505
20.03.2018,8.00,8.15,8.00,8.15,955,7641
19.03.2018,8.00,8.00,8.00,8.00,960,7680
14.03.2018,8.20,8.20,8.20,8.20,5,41
13.03.2018,8.20,8.40,8.20,8.20,938,7717
07.03.2018,8.20,8.20,8.20,8.20,5,41
01.03.2018,7.90,7.95,7.90,7.95,1650,13083
26.02.2018,7.90,7.90,7.90,7.90,54,427
21.02.2018,8.25,8.25,8.25,8.25,7,58
20.02.2018,8.25,8.25,8.05,8.05,1028,8280
19.02.2018,8.05,8.05,8.05,8.05,50,403
15.02.2018,8.25,8.25,8.05,8.25,1255,10164
14.02.2018,8.00,8.00,8.00,8.00,49,392
13.02.2018,7.60,8.25,7.60,8.25,1853,14417
08.02.2018,7.60,7.80,7.60,7.80,99,762
01.02.2018,8.15,8.15,8.15,8.15,3,24
31.01.2018,8.00,8.00,8.00,8.00,2851,22808
30.01.2018,8.00,8.00,8.00,8.00,500,4000
26.01.2018,7.60,8.00,7.60,8.00,6836,54275
25.01.2018,7.55,7.55,7.55,7.55,450,3398
24.01.2018,7.35,7.35,7.35,7.35,100,735
23.01.2018,7.30,7.30,7.30,7.30,268,1956
22.01.2018,7.30,7.30,7.30,7.30,99,723
16.01.2018,7.80,8.00,7.80,8.00,720,5714
15.01.2018,7.50,7.80,7.50,7.80,6904,53538
11.01.2018,7.35,7.35,7.35,7.35,300,2205
10.01.2018,7.40,7.40,7.40,7.40,312,2309
09.01.2018,7.40,7.40,7.40,7.40,556,4114
08.01.2018,7.15,7.85,7.15,7.85,102,731
04.01.2018,7.45,7.90,7.40,7.40,1210,8967
03.01.2018,8.00,8.00,7.35,7.45,487,3784
28.12.2017,7.60,7.80,7.60,7.80,1109,8617
27.12.2017,7.79,7.80,7.16,7.22,891,6827
21.12.2017,7.83,7.83,7.83,7.83,10,78
20.12.2017,7.08,7.08,7.07,7.07,591,4179
19.12.2017,7.08,7.65,7.08,7.10,299,2125
15.12.2017,7.08,7.70,7.08,7.70,699,5250
07.12.2017,7.50,7.84,7.50,7.84,105,789
29.11.2017,7.86,7.87,7.70,7.87,1835,14327
28.11.2017,7.06,7.41,6.36,7.41,3378,24249
24.11.2017,7.40,7.40,7.36,7.36,260,1924
22.11.2017,7.08,7.34,7.00,7.34,1448,10171
21.11.2017,7.08,7.08,7.08,7.08,200,1416
20.11.2017,7.34,7.34,7.34,7.34,640,4698
14.11.2017,7.50,7.50,7.34,7.34,452,3373
13.11.2017,7.60,7.60,7.60,7.60,200,1520
10.11.2017,7.60,7.60,7.60,7.60,600,4560
06.11.2017,7.80,7.80,7.50,7.80,906,6800
03.11.2017,7.50,7.50,7.50,7.50,435,3263
31.10.2017,7.51,7.55,7.50,7.55,500,3758
30.10.2017,8.00,8.00,8.00,8.00,5,40
27.10.2017,7.50,7.50,7.50,7.50,600,4500
26.10.2017,7.50,7.50,7.50,7.50,1,8
