Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,248.00,248.00,248.00,248.00,5,1240
27.09.2018,240.00,240.00,240.00,240.00,5,1200
26.09.2018,243.00,243.00,240.00,240.00,6,1443
25.09.2018,247.00,247.00,245.00,245.00,9,2217
24.09.2018,250.00,250.00,246.00,246.00,73,18050
14.09.2018,248.00,248.00,248.00,248.00,1,248
03.09.2018,251.00,251.00,251.00,251.00,1,251
31.08.2018,251.00,251.00,251.00,251.00,10,2510
10.08.2018,245.00,245.00,245.00,245.00,31,7595
02.08.2018,255.00,255.00,255.00,255.00,1,255
31.07.2018,256.00,256.00,255.00,255.00,32,8161
27.07.2018,256.00,256.00,256.00,256.00,1,256
18.07.2018,254.00,254.00,254.00,254.00,10,2540
17.07.2018,243.00,243.00,241.00,241.00,42,10124
10.07.2018,251.00,251.00,251.00,251.00,10,2510
05.07.2018,251.00,251.00,251.00,251.00,4,1004
04.07.2018,250.00,250.00,250.00,250.00,3,750
13.06.2018,254.00,254.00,254.00,254.00,4,1016
11.06.2018,255.00,255.00,255.00,255.00,32,8160
08.06.2018,255.00,256.00,255.00,256.00,2,511
01.06.2018,256.00,256.00,256.00,256.00,10,2560
30.05.2018,249.00,250.00,249.00,250.00,102,25498
29.05.2018,250.00,260.00,250.00,260.00,7,1790
16.05.2018,250.00,250.00,250.00,250.00,8,2000
08.05.2018,248.00,248.00,248.00,248.00,19,4712
04.05.2018,245.00,245.00,245.00,245.00,56,13720
25.04.2018,245.00,245.00,245.00,245.00,15,3675
17.04.2018,244.00,245.00,244.00,245.00,78,19055
12.04.2018,244.00,245.00,244.00,245.00,58,14160
05.04.2018,242.00,242.00,242.00,242.00,42,10164
04.04.2018,242.00,243.00,242.00,243.00,3,728
19.03.2018,243.00,243.00,243.00,243.00,54,13122
16.03.2018,243.00,243.00,243.00,243.00,2,486
15.03.2018,239.00,239.00,236.00,236.00,1320,315477
13.03.2018,238.00,238.00,235.00,235.00,24,5700
08.03.2018,244.00,244.00,244.00,244.00,4,976
02.03.2018,245.00,245.00,245.00,245.00,42,10290
01.03.2018,235.00,235.00,235.00,235.00,36,8460
27.02.2018,241.00,241.00,241.00,241.00,50,12050
21.02.2018,245.00,245.00,245.00,245.00,20,4900
16.01.2018,245.00,245.00,245.00,245.00,10,2450
15.01.2018,241.00,241.00,241.00,241.00,100,24100
12.01.2018,234.00,234.00,234.00,234.00,1,234
11.01.2018,239.00,239.00,239.00,239.00,5,1195
09.01.2018,239.00,239.00,239.00,239.00,4,956
08.01.2018,238.00,239.00,238.00,239.00,20,4772
05.01.2018,238.00,239.00,238.00,239.00,14,3339
