Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,186.20,187.70,180.50,185.30,49353,9118793
31.10.2018,180.20,187.10,180.20,184.60,72528,13387474
30.10.2018,186.00,187.10,177.40,178.10,34484,6231848
29.10.2018,195.50,198.00,183.20,185.00,34909,6604702
26.10.2018,196.60,199.50,193.80,194.10,15501,3039111
25.10.2018,198.00,198.00,191.10,196.30,30567,5956873
24.10.2018,196.50,201.00,195.10,200.60,9499,1889388
23.10.2018,200.60,200.60,193.00,195.90,35479,7013271
22.10.2018,200.00,202.00,198.30,200.80,45153,9062818
19.10.2018,202.00,204.00,197.70,200.00,47007,9409865
18.10.2018,202.20,204.00,200.00,203.00,23830,4836041
17.10.2018,198.00,205.00,197.00,202.40,139013,28254237
16.10.2018,192.00,197.70,191.90,196.40,98081,19046950
15.10.2018,200.00,200.00,191.50,193.00,46514,8977374
12.10.2018,199.00,200.80,195.90,198.10,32752,6487026
11.10.2018,191.10,200.00,190.00,200.00,64620,12627049
10.10.2018,197.80,202.00,195.00,201.00,53795,10665219
09.10.2018,194.00,196.90,191.40,194.50,11940,2312658
08.10.2018,196.40,196.40,191.00,194.40,11356,2190607
05.10.2018,199.70,199.80,192.10,194.30,36039,7052259
04.10.2018,202.00,202.00,196.10,200.80,14149,2816181
03.10.2018,200.20,207.00,200.20,203.00,26262,5351818
02.10.2018,199.80,202.80,198.00,200.00,26228,5238681
01.10.2018,200.40,208.40,199.70,200.20,21125,4321577
28.09.2018,199.70,204.80,199.00,201.20,41190,8344869
27.09.2018,200.00,205.80,198.20,200.40,51053,10204955
26.09.2018,204.00,206.00,199.40,200.00,24780,5007776
25.09.2018,204.00,206.80,201.20,202.20,26997,5489671
24.09.2018,200.00,209.80,199.50,204.60,33116,6789479
21.09.2018,198.00,201.80,196.60,200.00,252523,50498747
20.09.2018,197.40,200.80,196.10,198.00,37421,7418145
19.09.2018,192.90,198.80,190.80,197.00,51357,10035727
18.09.2018,184.30,195.10,182.60,192.90,46833,8973138
17.09.2018,187.70,187.70,183.20,183.60,107326,19881822
14.09.2018,185.30,187.80,179.00,187.80,50156,9297705
13.09.2018,181.60,189.60,176.20,187.00,79110,14338203
12.09.2018,185.00,186.60,180.40,181.40,84347,15480319
11.09.2018,189.00,190.80,181.30,185.00,97509,18025349
