Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,5.16,5.16,4.89,4.89,45778,228396
27.09.2018,5.58,5.58,5.00,5.00,6826,34966
26.09.2018,5.90,5.90,4.94,5.18,8628,45197
25.09.2018,5.64,5.64,5.48,5.60,2522,14011
24.09.2018,5.64,5.64,5.48,5.60,3902,21383
21.09.2018,5.60,5.60,5.60,5.60,1,6
20.09.2018,5.64,5.64,5.60,5.60,831,4666
19.09.2018,5.64,5.64,5.60,5.60,2,11
18.09.2018,5.64,5.64,5.64,5.64,2,11
17.09.2018,5.56,5.64,5.56,5.64,202,1139
14.09.2018,5.64,5.64,5.56,5.56,1301,7282
13.09.2018,5.62,5.66,5.62,5.62,2902,16364
12.09.2018,5.94,5.94,5.44,5.62,1610,9018
11.09.2018,5.50,5.52,5.48,5.48,6391,35172
10.09.2018,5.98,5.98,5.70,5.70,2,12
07.09.2018,5.98,5.98,5.98,5.98,1,6
06.09.2018,5.98,5.98,5.98,5.98,1,6
05.09.2018,5.98,5.98,5.98,5.98,1,6
04.09.2018,5.98,5.98,5.98,5.98,1,6
03.09.2018,5.98,5.98,5.98,5.98,1,6
31.08.2018,5.98,5.98,5.98,5.98,1,6
30.08.2018,5.98,5.98,5.98,5.98,2,12
29.08.2018,5.98,5.98,5.90,5.90,2,12
28.08.2018,5.98,5.98,5.78,5.98,602,3480
27.08.2018,5.98,5.98,5.60,5.98,314,1779
24.08.2018,5.98,5.98,5.80,5.98,502,2912
23.08.2018,6.00,6.00,5.62,5.98,2402,13500
22.08.2018,5.52,6.00,5.52,6.00,1430,8191
21.08.2018,6.04,6.04,5.60,5.62,22751,127581
20.08.2018,5.54,6.04,5.54,6.04,12400,74552
17.08.2018,6.06,6.06,6.04,6.04,2,12
16.08.2018,6.16,6.16,5.62,5.62,1351,7743
14.08.2018,5.88,6.08,5.70,6.08,14526,84725
13.08.2018,5.88,5.88,5.60,5.60,5101,28896
10.08.2018,5.88,5.88,5.88,5.88,1,6
09.08.2018,5.90,5.90,5.52,5.52,121,668
08.08.2018,5.82,5.90,5.50,5.50,681,3896
07.08.2018,5.82,5.82,5.48,5.48,1001,5486
06.08.2018,5.82,5.82,5.82,5.82,1,6
03.08.2018,5.82,5.82,5.82,5.82,2,12
02.08.2018,5.82,5.82,5.82,5.82,2,12
01.08.2018,5.84,5.84,5.84,5.84,1,6
31.07.2018,5.88,5.88,5.48,5.84,2642,14487
30.07.2018,5.88,5.88,5.88,5.88,2,12
27.07.2018,5.90,5.90,5.42,5.90,1402,7792
26.07.2018,5.66,5.66,5.56,5.56,759,4260
25.07.2018,5.86,5.90,5.58,5.58,332,1923
24.07.2018,5.86,5.86,5.66,5.66,319,1867
23.07.2018,5.88,5.88,5.46,5.46,500,2738
20.07.2018,5.88,5.88,5.88,5.88,1,6
19.07.2018,5.88,5.88,5.88,5.88,1,6
18.07.2018,5.88,5.88,5.88,5.88,1,6
17.07.2018,5.88,5.88,5.88,5.88,1,6
16.07.2018,5.88,5.88,5.56,5.58,121,675
13.07.2018,5.90,5.90,5.38,5.88,4592,24926
12.07.2018,5.94,5.94,5.94,5.94,1,6
11.07.2018,5.94,5.94,5.48,5.48,301,1650
10.07.2018,5.94,5.94,5.58,5.94,2325,12974
09.07.2018,5.94,5.94,5.38,5.94,6762,36669
06.07.2018,5.62,5.94,5.62,5.94,1111,6245
05.07.2018,5.94,5.94,5.62,5.94,182,1025
04.07.2018,5.94,5.94,5.94,5.94,1,6
03.07.2018,5.94,5.94,5.94,5.94,2,12
02.07.2018,5.94,5.94,5.94,5.94,2,12
29.06.2018,5.94,5.94,5.60,5.60,3,17
28.06.2018,5.94,5.94,5.42,5.42,601,3258
27.06.2018,5.94,5.94,5.60,5.94,1002,5628
26.06.2018,5.96,5.96,5.54,5.94,1503,8336
25.06.2018,5.92,6.00,5.52,5.64,5063,28513
22.06.2018,5.92,5.92,5.54,5.74,12197,68054
21.06.2018,5.92,5.92,5.54,5.92,4002,22212
20.06.2018,6.00,6.00,5.70,5.92,2382,13600
19.06.2018,5.96,5.96,5.76,5.76,285,1669
18.06.2018,5.96,5.96,5.96,5.96,1,6
15.06.2018,6.00,6.00,5.54,5.96,4671,26596
14.06.2018,6.00,6.00,6.00,6.00,1,6
13.06.2018,6.00,6.00,6.00,6.00,1,6
12.06.2018,5.82,5.98,5.74,5.78,2974,17200
11.06.2018,5.68,5.82,5.68,5.82,1846,10613
08.06.2018,5.80,5.80,5.68,5.68,101,574
07.06.2018,5.84,5.84,5.64,5.78,1202,6800
06.06.2018,5.84,5.84,5.66,5.66,101,572
05.06.2018,5.68,5.68,5.62,5.66,1241,7042
04.06.2018,5.88,5.88,5.88,5.88,1,6
01.06.2018,5.92,5.92,5.62,5.88,102,574
30.05.2018,5.88,5.92,5.88,5.92,2,12
29.05.2018,5.94,5.94,5.88,5.88,2,12
28.05.2018,5.76,5.94,5.76,5.94,554,3191
25.05.2018,5.94,5.94,5.68,5.88,4601,26296
24.05.2018,6.00,6.00,5.70,5.70,3502,20223
23.05.2018,6.00,6.00,6.00,6.00,201,1206
22.05.2018,6.00,6.00,6.00,6.00,401,2406
21.05.2018,5.96,6.00,5.74,6.00,7959,47507
18.05.2018,5.94,5.94,5.72,5.90,560,3228
17.05.2018,5.98,5.98,5.98,5.98,1,6
16.05.2018,5.98,5.98,5.92,5.92,402,2392
15.05.2018,6.00,6.00,5.98,5.98,402,2412
14.05.2018,6.00,6.00,5.96,5.96,882,5257
11.05.2018,6.14,6.14,5.96,6.14,12902,76896
10.05.2018,6.14,6.14,5.90,6.06,112902,676027
09.05.2018,6.14,6.14,6.14,6.14,1,6
08.05.2018,6.14,6.14,5.76,6.14,502,2892
07.05.2018,6.14,6.14,6.14,6.14,1,6
04.05.2018,6.14,6.14,6.14,6.14,2,12
02.05.2018,6.14,6.14,6.14,6.14,2,12
30.04.2018,6.14,6.14,5.96,5.96,401,2398
27.04.2018,6.14,6.14,6.10,6.10,2,12
26.04.2018,6.14,6.14,5.72,6.14,3742,21654
25.04.2018,6.14,6.14,6.08,6.08,202,1232
24.04.2018,6.14,6.14,5.88,5.88,601,3586
