Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,27.10,27.40,26.60,26.60,725,19570
31.10.2018,27.50,27.80,27.20,27.80,2100,58009
30.10.2018,27.20,27.80,27.20,27.70,1000,27690
29.10.2018,27.70,27.90,27.20,27.80,725,20101
26.10.2018,28.00,28.00,27.40,27.50,2601,71506
25.10.2018,28.00,28.00,27.00,28.00,1808,49829
24.10.2018,28.20,28.20,27.00,28.00,2601,72339
23.10.2018,28.40,28.40,27.50,28.00,1251,35029
22.10.2018,28.50,28.50,27.70,28.40,2277,64586
19.10.2018,28.50,28.50,28.00,28.40,1403,39490
18.10.2018,28.50,28.50,28.50,28.50,221,6299
17.10.2018,28.50,28.50,28.40,28.50,141,4016
16.10.2018,28.50,28.50,27.10,28.20,857,23988
15.10.2018,28.10,28.50,28.10,28.50,516,14544
12.10.2018,28.20,28.20,28.10,28.10,251,7053
11.10.2018,28.20,28.20,28.00,28.00,101,2828
10.10.2018,27.50,28.20,27.50,28.20,1390,39092
09.10.2018,28.00,28.00,27.50,28.00,835,23348
08.10.2018,28.40,28.40,28.20,28.20,361,10188
05.10.2018,28.20,28.20,27.90,27.90,509,14201
04.10.2018,27.50,28.40,27.40,28.20,2470,69015
03.10.2018,27.00,27.90,27.00,27.90,3273,90867
02.10.2018,28.50,28.50,27.90,27.90,1211,33794
01.10.2018,28.70,28.70,28.70,28.70,1,29
28.09.2018,28.50,28.90,28.00,28.50,5120,145591
27.09.2018,28.40,28.90,27.00,28.70,3134,87871
26.09.2018,27.20,28.10,26.70,28.10,2649,73893
25.09.2018,26.70,27.80,25.60,27.80,3891,106621
24.09.2018,26.40,26.70,26.40,26.70,1016,27119
21.09.2018,26.20,26.70,26.20,26.30,146,3878
20.09.2018,25.50,26.00,25.00,26.00,20951,524726
19.09.2018,25.70,25.70,25.70,25.70,1,26
18.09.2018,25.80,25.80,25.50,25.70,1987,51055
17.09.2018,25.40,25.80,24.70,25.80,1051,27017
14.09.2018,25.40,25.40,24.50,25.40,1006,25548
13.09.2018,25.60,25.60,24.60,25.40,3057,76919
12.09.2018,24.20,25.60,24.20,25.60,3003,76715
11.09.2018,24.60,25.60,24.00,25.60,1940,49365
10.09.2018,25.00,25.60,24.20,25.60,3459,86726
07.09.2018,25.60,25.80,24.60,25.60,3405,85602
06.09.2018,24.80,25.00,24.60,25.00,8489,209915
05.09.2018,24.70,24.70,23.70,24.50,145531,3449566
04.09.2018,24.80,24.80,24.80,24.80,1,25
03.09.2018,24.70,24.70,24.60,24.70,1301,32125
31.08.2018,24.90,24.90,23.50,24.70,5331,126020
30.08.2018,24.40,24.40,23.30,24.30,21851,512638
29.08.2018,24.80,24.80,24.30,24.40,148,3597
28.08.2018,24.80,24.80,23.60,23.60,11,264
27.08.2018,24.80,24.80,24.80,24.80,1,25
24.08.2018,24.70,24.70,24.50,24.50,151,3700
23.08.2018,24.40,24.90,23.70,24.00,776,18722
22.08.2018,24.80,24.80,24.00,24.30,511,12366
21.08.2018,25.00,26.00,24.20,24.50,1440,36045
20.08.2018,25.70,25.70,25.00,25.00,19,481
17.08.2018,26.00,26.00,25.70,25.70,6,155
16.08.2018,26.70,26.70,25.70,25.90,1434,37064
14.08.2018,24.90,26.70,24.90,25.70,1531,39274
13.08.2018,24.00,24.90,24.00,24.90,213,5171
10.08.2018,24.90,24.90,24.90,24.90,101,2515
09.08.2018,24.90,24.90,24.50,24.90,89,2193
08.08.2018,25.70,25.70,24.70,24.80,537,13356
07.08.2018,25.80,25.80,25.00,25.70,371,9358
06.08.2018,24.40,25.50,24.30,25.50,1857,45823
03.08.2018,24.00,24.20,23.60,24.20,46241,1091405
02.08.2018,24.00,24.00,23.80,23.80,11,262
01.08.2018,24.00,24.00,23.60,24.00,5090,120177
31.07.2018,24.40,24.40,23.50,23.50,5558,131871
30.07.2018,24.00,24.40,23.50,24.00,3279,77851
27.07.2018,23.70,24.10,23.70,24.00,2697,64206
26.07.2018,23.90,23.90,23.50,23.50,8140,191448
25.07.2018,24.70,24.70,23.90,23.90,1267,30579
24.07.2018,23.90,24.80,23.50,24.80,176435,4156734
23.07.2018,23.70,23.70,23.00,23.10,1367,31770
20.07.2018,23.10,23.10,23.10,23.10,143,3303
19.07.2018,23.00,23.50,22.20,23.00,12280,282292
18.07.2018,23.50,23.50,22.80,23.00,25061,577370
17.07.2018,23.00,23.50,22.00,23.40,13705,314994
16.07.2018,20.50,22.40,20.00,22.00,21197,433773
13.07.2018,20.30,21.50,19.65,20.00,37277,756511
12.07.2018,19.90,20.30,19.50,20.30,9977,195313
11.07.2018,19.85,19.90,19.30,19.60,17060,336987
10.07.2018,19.80,19.80,19.25,19.25,61979,1205299
09.07.2018,19.50,19.60,19.50,19.50,14265,278193
06.07.2018,20.90,20.90,19.35,19.50,43974,861464
05.07.2018,21.00,21.90,19.90,20.00,3257,65484
04.07.2018,20.90,20.90,19.90,20.00,11250,225511
03.07.2018,21.00,21.90,19.80,20.30,9468,191129
