Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,387.00,387.00,382.00,384.50,17204,6630621
27.09.2018,387.00,387.00,385.00,385.00,2093,808353
26.09.2018,384.00,389.00,380.00,384.00,3952,1521283
25.09.2018,380.00,383.50,377.00,382.00,4985,1895563
24.09.2018,378.00,384.50,378.00,378.00,206,78776
21.09.2018,377.50,390.00,377.50,379.50,2904,1121888
20.09.2018,388.00,388.00,378.00,387.50,5548,2133835
19.09.2018,376.50,388.00,376.50,388.00,393,150666
18.09.2018,377.00,381.00,372.50,377.00,1372,515831
17.09.2018,380.50,383.00,377.50,378.00,1245,471767
14.09.2018,377.50,388.50,377.50,386.00,2099,802865
13.09.2018,372.00,377.00,371.50,377.00,279,104163
12.09.2018,376.00,376.00,362.50,370.50,2042,745660
11.09.2018,362.00,367.50,362.00,363.50,297,108474
10.09.2018,360.00,365.00,358.00,365.00,354,127960
07.09.2018,367.00,380.00,358.50,360.00,1789,658725
06.09.2018,361.00,366.00,356.00,364.00,26793,9633621
05.09.2018,364.00,364.00,360.00,361.00,3347,1208119
04.09.2018,375.00,375.00,354.00,363.50,1950,715442
03.09.2018,388.00,390.00,374.00,375.00,14211,5385232
31.08.2018,383.00,388.00,383.00,387.50,2675,1034865
30.08.2018,390.00,390.00,382.00,390.00,944,366795
29.08.2018,382.50,390.00,381.00,390.00,1164,450011
28.08.2018,390.00,390.00,381.00,383.00,485,186950
27.08.2018,381.00,388.00,377.00,388.00,52693,19940582
24.08.2018,376.00,380.00,376.00,380.00,1535,580664
23.08.2018,381.00,381.00,378.50,380.50,22782,8635530
22.08.2018,373.00,380.50,373.00,380.50,7822,2957634
21.08.2018,366.00,377.00,366.00,373.00,37836,14191389
20.08.2018,377.00,377.00,371.50,375.00,1625,606410
17.08.2018,379.00,379.00,371.00,377.00,17091,6393529
16.08.2018,368.00,379.00,368.00,379.00,30349,11338604
14.08.2018,373.50,373.50,364.00,368.00,270,98748
13.08.2018,377.00,377.00,365.00,374.00,1303,482002
10.08.2018,373.00,377.00,365.50,377.00,26103,9736857
09.08.2018,360.00,376.50,360.00,375.00,24740,9199516
08.08.2018,343.00,365.00,340.50,361.00,14351,5163748
07.08.2018,333.50,335.00,330.00,331.00,678,225132
06.08.2018,332.00,334.50,328.00,334.00,372,123595
03.08.2018,328.50,332.50,328.00,330.00,968,319157
02.08.2018,320.50,328.00,320.50,327.00,756,244985
01.08.2018,320.50,321.50,320.50,321.50,319,102314
31.07.2018,320.50,321.00,315.50,320.50,706,225507
30.07.2018,319.00,320.50,319.00,320.50,124,39605
27.07.2018,320.00,320.50,317.50,319.00,785,250702
26.07.2018,318.50,320.00,316.50,320.00,505,160694
25.07.2018,315.50,317.00,315.50,316.00,178,56278
