Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,12.00,12.25,11.40,11.75,3641,42849
26.09.2018,12.50,12.85,12.20,12.20,11860,148798
25.09.2018,12.35,12.50,12.30,12.50,5093,62827
24.09.2018,12.30,12.35,12.30,12.30,1318,16213
21.09.2018,12.10,12.30,12.00,12.30,5414,66130
20.09.2018,11.80,12.10,11.80,12.05,4934,58733
19.09.2018,11.65,11.80,11.65,11.80,328,3837
18.09.2018,11.75,11.85,11.65,11.80,1006,11821
14.09.2018,11.60,11.70,11.60,11.70,60,697
13.09.2018,11.75,11.75,11.50,11.60,293,3404
12.09.2018,11.40,11.75,11.40,11.75,525,6100
11.09.2018,11.50,11.70,11.50,11.70,762,8763
10.09.2018,11.85,11.85,11.35,11.50,847,9692
07.09.2018,11.50,11.85,11.50,11.85,330,3800
06.09.2018,11.30,12.35,11.30,11.85,5301,61876
05.09.2018,11.45,11.90,11.35,11.50,12268,141465
04.09.2018,11.35,11.45,11.30,11.45,556,6293
03.09.2018,11.85,11.90,11.35,11.60,2699,31036
31.08.2018,11.90,11.95,11.55,11.90,613,7195
30.08.2018,11.80,12.00,11.70,11.95,1250,14672
29.08.2018,12.00,12.00,12.00,12.00,40,480
28.08.2018,11.55,12.45,11.55,12.00,9521,113957
27.08.2018,11.50,11.90,11.10,11.80,1345,15478
24.08.2018,11.10,11.85,11.00,11.40,4694,53377
23.08.2018,11.00,11.40,10.75,11.40,3450,38005
22.08.2018,11.40,11.40,11.20,11.30,3509,39528
21.08.2018,11.70,12.00,11.40,11.65,4258,50024
20.08.2018,10.80,11.70,10.80,11.70,18266,207624
17.08.2018,9.98,10.75,9.98,10.75,12433,127616
16.08.2018,10.50,10.50,9.90,9.90,33719,340133
14.08.2018,10.50,10.60,10.50,10.60,201,2118
13.08.2018,10.70,10.70,9.64,10.45,5583,57596
10.08.2018,10.60,10.70,10.60,10.70,357,3798
09.08.2018,10.80,10.80,10.30,10.60,5600,59296
08.08.2018,10.80,11.00,10.80,11.00,3029,33072
07.08.2018,10.80,10.95,10.75,10.95,906,9787
06.08.2018,11.05,11.10,10.80,11.00,1590,17416
03.08.2018,11.20,11.25,10.75,10.75,9402,103334
02.08.2018,11.15,11.20,11.15,11.20,2639,29545
01.08.2018,10.50,11.20,10.50,11.20,5144,56370
31.07.2018,11.00,11.00,10.30,10.75,4285,45891
30.07.2018,11.30,11.30,10.80,10.85,12053,133129
27.07.2018,11.45,11.45,11.20,11.30,3975,44761
26.07.2018,11.45,11.50,11.25,11.45,904,10296
25.07.2018,11.40,11.50,11.20,11.45,40785,459411
24.07.2018,11.50,11.60,11.30,11.50,45012,513750
23.07.2018,11.30,11.55,11.15,11.50,11520,130345
20.07.2018,11.25,11.40,11.25,11.40,1204,13552
19.07.2018,11.25,11.50,11.00,11.35,5879,65720
18.07.2018,11.55,11.55,11.25,11.30,52425,592946
18.07.2018,11.55,11.55,11.25,11.30,52425,592946
17.07.2018,11.60,11.60,11.25,11.60,5160,58318
16.07.2018,11.55,11.55,11.30,11.50,39366,451360
13.07.2018,11.75,11.75,11.40,11.65,23380,269229
12.07.2018,11.65,11.75,11.50,11.75,1910,22032
11.07.2018,11.40,11.65,11.40,11.40,25918,295821
10.07.2018,11.45,11.60,11.40,11.45,5381,61375
09.07.2018,11.75,11.90,11.40,11.70,7534,87278
06.07.2018,11.55,11.70,11.55,11.70,400,4628
05.07.2018,11.35,11.75,11.20,11.75,7930,91308
04.07.2018,11.85,12.05,11.40,11.50,22439,261441
03.07.2018,12.05,12.10,11.80,12.05,13893,165202
02.07.2018,12.00,12.10,11.90,12.10,5322,63826
29.06.2018,11.90,12.15,11.90,12.15,5945,70899
28.06.2018,12.25,12.25,11.80,12.15,3080,36874
27.06.2018,12.35,12.35,11.80,12.35,12355,146515
26.06.2018,11.75,12.50,11.75,12.15,10350,124394
25.06.2018,11.95,12.25,11.15,12.00,18175,213690
22.06.2018,12.00,12.20,11.75,11.95,2924,35046
21.06.2018,12.05,12.10,12.00,12.10,630,7569
20.06.2018,11.95,12.10,11.85,12.10,570,6789
19.06.2018,12.40,12.40,11.70,12.10,3708,44821
18.06.2018,12.60,12.65,12.40,12.40,2426,30418
15.06.2018,12.60,12.65,12.45,12.65,535,6704
14.06.2018,13.05,13.10,12.65,12.65,13976,178951
13.06.2018,13.00,13.00,12.75,12.75,360,4605
12.06.2018,12.95,12.95,12.75,12.85,485,6233
11.06.2018,12.95,12.95,12.95,12.95,77,997
08.06.2018,12.95,12.95,12.75,12.95,782,10079
