Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,7.22,7.24,7.08,7.24,3067,22017
27.09.2018,7.20,7.24,7.18,7.20,1011,7279
26.09.2018,7.10,7.28,7.10,7.22,881,6288
25.09.2018,7.28,7.28,7.02,7.18,5846,42106
24.09.2018,7.28,7.36,7.28,7.30,2062,15058
21.09.2018,7.40,7.40,7.10,7.30,2552,18299
20.09.2018,7.20,7.30,7.20,7.30,1341,9759
19.09.2018,7.38,7.42,7.22,7.22,8847,64808
18.09.2018,7.06,7.50,6.90,7.26,27748,198016
17.09.2018,7.18,7.18,6.96,6.96,16141,113055
14.09.2018,7.10,7.30,7.00,7.24,5901,41631
13.09.2018,7.16,7.30,6.98,7.30,19240,135628
12.09.2018,7.18,7.18,7.00,7.10,8668,60809
11.09.2018,7.04,7.20,7.00,7.16,12213,85916
10.09.2018,7.20,7.20,7.00,7.18,7116,50269
07.09.2018,7.24,7.24,7.06,7.20,5751,41051
06.09.2018,7.34,7.40,7.20,7.20,5451,39700
05.09.2018,7.20,7.36,7.10,7.34,3071,22154
04.09.2018,7.34,7.34,7.20,7.34,2262,16427
03.09.2018,7.30,7.40,7.28,7.38,1923,14055
31.08.2018,7.40,7.40,7.20,7.32,3269,23945
30.08.2018,7.40,7.44,7.36,7.44,3327,24613
29.08.2018,7.46,7.46,7.38,7.40,5163,38254
28.08.2018,7.42,7.50,7.40,7.40,1723,12807
27.08.2018,7.44,7.50,7.32,7.50,12855,95346
24.08.2018,7.50,7.50,7.48,7.48,274,2052
23.08.2018,7.60,7.60,7.46,7.50,2295,17332
22.08.2018,7.40,7.70,7.40,7.70,5636,42466
21.08.2018,7.40,7.50,7.38,7.48,9346,69728
20.08.2018,7.48,7.60,7.40,7.40,9396,70188
17.08.2018,7.60,7.70,7.50,7.50,7161,53782
16.08.2018,7.80,7.80,7.60,7.72,224,1716
14.08.2018,7.70,7.70,7.54,7.60,1338,10132
10.08.2018,7.62,7.70,7.62,7.70,3028,23168
09.08.2018,7.70,7.80,7.50,7.74,7851,59936
08.08.2018,7.80,7.80,7.70,7.74,1339,10366
07.08.2018,7.76,7.96,7.72,7.72,2413,18987
06.08.2018,7.80,7.80,7.80,7.80,130,1014
03.08.2018,7.94,7.94,7.78,7.94,323,2555
02.08.2018,7.92,7.94,7.80,7.94,1744,13758
01.08.2018,7.90,7.96,7.90,7.92,975,7715
31.07.2018,7.88,7.98,7.74,7.92,6955,55186
30.07.2018,7.90,7.96,7.86,7.96,4210,33300
27.07.2018,7.98,7.98,7.74,7.90,9745,76906
26.07.2018,7.96,7.98,7.70,7.88,6256,49088
25.07.2018,7.88,7.96,7.88,7.96,722,5701
24.07.2018,8.00,8.00,8.00,8.00,80,640
23.07.2018,7.50,8.00,7.50,8.00,9721,75757
20.07.2018,7.50,7.56,7.40,7.56,1537,11510
19.07.2018,7.48,7.56,7.48,7.56,20438,153223
18.07.2018,7.50,7.50,7.42,7.42,500,3730
17.07.2018,7.46,7.48,7.38,7.48,511,3800
16.07.2018,7.44,7.50,7.44,7.50,215,1606
13.07.2018,7.40,7.48,7.34,7.48,4346,32092
12.07.2018,7.44,7.50,7.40,7.46,2628,19546
11.07.2018,7.40,7.44,7.36,7.44,3885,28710
10.07.2018,7.48,7.48,7.32,7.40,4607,34031
09.07.2018,7.54,7.56,7.54,7.56,144,1087
06.07.2018,7.62,7.62,7.50,7.58,2561,19213
05.07.2018,7.46,7.66,7.46,7.50,2804,21102
04.07.2018,8.02,8.04,7.90,8.00,9730,77420
03.07.2018,8.04,8.06,8.00,8.04,90721,725777
02.07.2018,8.10,8.10,7.90,8.00,7006,56155
29.06.2018,7.80,7.90,7.80,7.86,18156,141677
28.06.2018,7.96,8.04,7.74,7.80,23965,187693
27.06.2018,8.02,8.02,7.94,8.00,2680,21429
26.06.2018,8.04,8.06,8.00,8.00,16666,133637
25.06.2018,8.02,8.10,8.02,8.02,3515,28286
22.06.2018,8.14,8.14,8.02,8.02,4710,37904
21.06.2018,8.10,8.14,8.10,8.14,1639,13305
20.06.2018,7.84,8.14,7.84,8.14,2087,16606
19.06.2018,7.82,7.82,7.70,7.80,7568,58598
18.06.2018,8.10,8.10,7.58,7.74,16998,133162
15.06.2018,8.18,8.18,8.06,8.14,731,5900
