Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,1.46,1.46,1.46,1.46,1,1
31.10.2018,1.46,1.46,1.46,1.46,1,1
30.10.2018,1.46,1.46,1.46,1.46,1,1
29.10.2018,1.46,1.46,1.36,1.36,401,545
26.10.2018,1.46,1.46,1.46,1.46,1,1
25.10.2018,1.46,1.46,1.46,1.46,1,1
24.10.2018,1.46,1.46,1.45,1.45,46,67
23.10.2018,1.47,1.47,1.47,1.47,1,1
22.10.2018,1.47,1.47,1.47,1.47,100,147
19.10.2018,1.47,1.47,1.47,1.47,2,3
18.10.2018,1.47,1.47,1.40,1.40,147,206
17.10.2018,1.48,1.48,1.34,1.39,3389,4651
16.10.2018,1.35,1.35,1.35,1.35,1,1
15.10.2018,1.34,1.34,1.34,1.34,350,469
12.10.2018,1.36,1.36,1.34,1.34,202,271
11.10.2018,1.26,1.29,1.26,1.29,7919,9982
10.10.2018,1.29,1.29,1.25,1.29,1302,1628
09.10.2018,1.29,1.29,1.29,1.29,2,3
08.10.2018,1.29,1.29,1.22,1.26,106,130
05.10.2018,1.22,1.26,1.22,1.26,165,202
04.10.2018,1.23,1.28,1.23,1.23,312,388
03.10.2018,1.32,1.32,1.22,1.23,5450,6660
02.10.2018,1.36,1.36,1.36,1.36,1,1
01.10.2018,1.34,1.34,1.29,1.34,5224,6989
28.09.2018,1.38,1.44,1.34,1.34,3976,5438
27.09.2018,1.49,1.49,1.41,1.41,1728,2437
26.09.2018,1.57,1.57,1.43,1.44,17252,24843
25.09.2018,1.57,1.57,1.51,1.51,801,1210
24.09.2018,1.52,1.57,1.45,1.57,102,148
21.09.2018,1.58,1.58,1.58,1.58,1,2
20.09.2018,1.45,1.48,1.44,1.48,12898,18684
19.09.2018,1.48,1.48,1.40,1.48,182,267
18.09.2018,1.45,1.45,1.40,1.45,154,216
17.09.2018,1.48,1.48,1.48,1.48,1,1
14.09.2018,1.36,1.48,1.36,1.48,1800,2488
13.09.2018,1.48,1.48,1.48,1.48,1,1
12.09.2018,1.48,1.48,1.36,1.48,103,140
11.09.2018,1.35,1.46,1.35,1.45,1586,2191
10.09.2018,1.50,1.50,1.40,1.40,9987,14862
07.09.2018,1.53,1.60,1.53,1.55,17609,27634
06.09.2018,1.74,1.74,1.63,1.63,13000,21960
05.09.2018,1.98,1.98,1.80,1.80,262,472
04.09.2018,1.84,1.84,1.84,1.84,1,2
03.09.2018,1.85,1.85,1.85,1.85,2,4
31.08.2018,1.96,1.96,1.77,1.77,39301,71413
30.08.2018,1.96,1.96,1.93,1.96,522,1008
29.08.2018,1.96,1.96,1.87,1.96,1973,3690
28.08.2018,1.95,1.96,1.86,1.96,188,350
27.08.2018,1.96,1.96,1.93,1.96,2482,4800
24.08.2018,1.96,1.96,1.96,1.96,1,2
23.08.2018,1.96,1.96,1.96,1.96,1,2
22.08.2018,1.96,1.96,1.96,1.96,2,4
21.08.2018,1.96,1.96,1.96,1.96,2,4
20.08.2018,1.93,1.93,1.93,1.93,1401,2704
17.08.2018,1.96,1.96,1.96,1.96,2,4
16.08.2018,1.86,1.93,1.86,1.93,77,143
14.08.2018,1.96,1.96,1.96,1.96,1,2
13.08.2018,1.96,1.96,1.96,1.96,2,4
10.08.2018,1.97,1.97,1.96,1.96,21,41
09.08.2018,1.97,1.97,1.89,1.89,2539,4807
08.08.2018,1.98,1.98,1.97,1.97,101,199
07.08.2018,1.98,1.98,1.98,1.98,101,200
06.08.2018,1.99,1.99,1.98,1.98,175,347
03.08.2018,2.04,2.04,2.04,2.04,1,2
02.08.2018,2.00,2.00,1.92,2.00,5101,9802
01.08.2018,2.00,2.00,1.98,2.00,2003,3976
31.07.2018,1.88,1.95,1.80,1.95,18647,35337
30.07.2018,1.86,1.88,1.85,1.88,20002,37354
27.07.2018,1.87,1.87,1.87,1.87,1,2
26.07.2018,1.80,1.80,1.72,1.80,5149,9053
25.07.2018,1.80,1.80,1.72,1.78,4901,8490
24.07.2018,1.94,1.94,1.75,1.78,20507,36633
23.07.2018,1.88,1.90,1.88,1.90,302,571
20.07.2018,1.93,1.93,1.93,1.93,1,2
19.07.2018,1.93,1.93,1.93,1.93,3,6
18.07.2018,1.90,1.93,1.90,1.93,101,192
17.07.2018,1.93,1.93,1.93,1.93,1,2
16.07.2018,1.94,1.94,1.94,1.94,1,2
13.07.2018,1.94,1.94,1.89,1.94,3763,7123
12.07.2018,1.95,1.95,1.95,1.95,3,6
11.07.2018,1.95,1.95,1.95,1.95,1,2
