Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,17.80,17.80,17.10,17.10,1017,17552
27.09.2018,17.80,17.80,17.80,17.80,1,18
26.09.2018,17.70,17.80,17.05,17.80,1027,17957
25.09.2018,17.60,17.60,17.60,17.60,697,12267
24.09.2018,17.50,17.50,17.00,17.00,1710,29093
21.09.2018,17.55,17.55,17.55,17.55,1,18
20.09.2018,17.55,17.55,17.55,17.55,1,18
19.09.2018,17.55,17.55,17.00,17.55,302,5140
18.09.2018,17.55,17.55,16.85,17.55,792,13753
17.09.2018,17.55,17.55,16.65,17.00,823,13921
14.09.2018,17.55,17.55,17.00,17.20,3591,61743
13.09.2018,17.60,17.60,17.20,17.20,901,15498
12.09.2018,17.60,17.60,17.60,17.60,1,18
11.09.2018,17.80,18.00,17.15,17.60,16942,297570
10.09.2018,16.50,17.00,16.50,17.00,861,14556
07.09.2018,17.15,17.15,16.55,16.85,20400,347814
06.09.2018,17.10,17.15,17.10,17.15,710,12171
05.09.2018,17.90,17.90,17.10,17.45,913,15645
04.09.2018,17.90,17.90,17.20,17.50,2506,43481
03.09.2018,18.00,18.00,18.00,18.00,1,18
31.08.2018,17.95,17.95,17.95,17.95,1,18
30.08.2018,18.00,18.00,17.50,17.95,39,683
29.08.2018,18.00,18.00,18.00,18.00,1,18
28.08.2018,17.60,18.05,17.55,18.05,5401,96751
27.08.2018,17.45,17.50,16.95,17.50,11820,205234
24.08.2018,17.30,17.45,17.30,17.45,2,35
23.08.2018,17.45,17.45,17.05,17.30,247,4214
22.08.2018,17.45,17.45,17.00,17.45,626,10877
21.08.2018,17.05,17.45,17.05,17.45,361,6241
20.08.2018,17.60,17.60,17.50,17.50,16,280
17.08.2018,17.60,17.60,17.60,17.60,1,18
16.08.2018,17.20,17.60,17.20,17.60,2,35
14.08.2018,17.20,17.20,17.20,17.20,1,17
13.08.2018,17.50,17.50,17.20,17.20,551,9498
10.08.2018,17.60,17.60,17.60,17.60,286,5034
09.08.2018,18.05,18.05,17.80,17.80,2,36
08.08.2018,17.95,17.95,17.75,17.80,29313,521719
07.08.2018,17.90,17.95,17.80,17.95,795,14151
06.08.2018,17.80,17.95,17.80,17.95,70,1246
03.08.2018,18.05,18.05,17.80,18.00,3004,53472
02.08.2018,18.10,18.10,17.80,18.05,52478,934125
01.08.2018,18.00,18.10,17.80,18.10,32781,586913
31.07.2018,17.80,18.05,17.80,18.05,1703,30519
30.07.2018,17.85,18.15,17.80,17.90,11645,208640
27.07.2018,17.90,17.90,17.80,17.80,86,1533
26.07.2018,17.80,17.90,17.75,17.90,212,3788
25.07.2018,18.00,18.00,17.65,18.00,5524,99351
24.07.2018,17.90,18.00,17.90,18.00,4956,88994
23.07.2018,17.95,17.95,17.50,17.95,1959,34378
20.07.2018,18.00,18.00,17.50,17.55,802,14036
19.07.2018,17.70,17.70,17.50,17.50,2497,43742
18.07.2018,18.00,18.00,17.70,17.70,61,1080
17.07.2018,18.00,18.00,17.80,18.00,266,4775
16.07.2018,18.10,18.10,17.80,18.00,322,5750
13.07.2018,17.80,18.00,17.70,17.80,15848,284499
12.07.2018,17.60,17.60,17.50,17.55,2347,41107
11.07.2018,17.80,17.80,17.35,17.50,44127,776635
10.07.2018,17.70,17.70,17.65,17.70,3765,66527
09.07.2018,17.50,17.65,17.45,17.65,3407,60034
06.07.2018,17.60,17.60,17.60,17.60,1,18
05.07.2018,17.50,17.60,17.15,17.60,968,16781
04.07.2018,17.50,17.50,17.50,17.50,377,6598
03.07.2018,17.50,17.50,17.40,17.50,309,5403
02.07.2018,17.50,17.50,17.10,17.50,362,6191
29.06.2018,17.40,17.40,17.00,17.40,7696,133896
28.06.2018,17.40,17.40,17.05,17.05,209,3594
