Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,17.10,18.50,17.10,18.00,594,10462
31.10.2018,17.30,17.88,16.60,17.00,1610,27677
30.10.2018,16.56,17.40,16.56,16.80,328,5497
29.10.2018,17.49,17.49,16.55,16.55,512,8556
26.10.2018,17.47,17.47,17.05,17.05,301,5216
25.10.2018,18.50,18.50,17.01,17.47,1846,31724
24.10.2018,18.39,18.39,17.40,18.30,221,3932
23.10.2018,18.39,18.39,17.50,18.39,4625,80944
22.10.2018,18.50,18.50,17.90,17.90,1025,18375
19.10.2018,18.50,18.50,18.10,18.50,6595,121819
18.10.2018,20.00,20.00,19.00,19.00,31,590
17.10.2018,20.00,20.00,18.89,19.50,620,11733
16.10.2018,20.00,20.00,18.49,19.01,316,5908
15.10.2018,20.80,20.89,19.00,20.00,822,15976
12.10.2018,18.70,19.98,18.00,19.98,1400,25586
11.10.2018,19.19,19.19,18.29,18.50,1438,26574
10.10.2018,19.88,19.88,19.00,19.00,1591,30465
09.10.2018,19.99,19.99,19.88,19.88,22,437
08.10.2018,19.50,19.99,19.11,19.11,1483,29047
05.10.2018,20.79,20.79,19.10,19.50,1217,23528
04.10.2018,20.24,20.24,20.07,20.08,194,3895
03.10.2018,20.80,20.80,20.24,20.24,380,7696
02.10.2018,20.25,20.25,19.90,20.00,647,12905
01.10.2018,20.80,20.80,19.90,19.90,1532,31095
28.09.2018,20.00,20.80,19.80,20.00,7257,145031
27.09.2018,19.10,20.00,19.10,20.00,1311,25590
26.09.2018,19.78,19.78,18.62,19.10,962,18070
25.09.2018,19.39,19.79,19.00,19.01,9561,181966
24.09.2018,20.00,20.20,18.51,18.51,4300,84162
21.09.2018,19.28,19.28,19.00,19.00,1012,19228
20.09.2018,19.20,19.40,19.00,19.00,323,6143
19.09.2018,19.98,19.98,19.42,19.42,161,3127
18.09.2018,19.25,19.93,19.00,19.00,3417,65544
17.09.2018,19.00,19.00,17.10,19.00,3972,74511
14.09.2018,19.00,19.00,18.80,19.00,4729,89827
13.09.2018,20.00,20.00,18.88,19.00,1267,24026
12.09.2018,21.00,22.00,18.90,19.00,13888,272668
11.09.2018,20.99,20.99,19.70,20.00,849,17191
10.09.2018,23.50,23.50,20.00,21.00,1085,21930
07.09.2018,25.80,25.80,21.20,22.50,6790,155445
06.09.2018,27.18,27.18,24.55,25.99,2243,57056
05.09.2018,28.25,28.25,26.10,27.18,165,4379
04.09.2018,28.75,28.75,27.25,27.25,971,26487
03.09.2018,28.45,28.45,27.25,28.45,128,3611
31.08.2018,28.45,28.45,28.30,28.30,2,57
30.08.2018,28.00,28.40,28.00,28.40,57,1607
29.08.2018,28.45,28.45,27.00,28.45,302,8157
28.08.2018,28.45,28.45,28.45,28.45,2,57
27.08.2018,28.80,28.80,27.20,28.45,105,2860
24.08.2018,28.80,28.80,28.70,28.70,146,4190
23.08.2018,28.80,28.80,28.80,28.80,2,58
22.08.2018,28.90,28.90,28.80,28.80,759,21859
21.08.2018,27.19,29.00,27.19,28.40,121276,3422444
20.08.2018,27.19,27.19,26.01,27.19,102,2655
17.08.2018,27.19,27.19,27.10,27.19,330,8943
16.08.2018,27.19,27.19,27.19,27.19,11,299
14.08.2018,27.29,27.29,26.80,27.19,81,2172
13.08.2018,26.00,27.30,26.00,26.70,883,23634
10.08.2018,28.00,28.00,26.00,26.00,863,22814
09.08.2018,28.24,28.26,27.50,27.50,1969,54216
08.08.2018,28.26,28.26,28.24,28.24,256,7233
07.08.2018,28.31,28.31,28.28,28.28,41,1160
06.08.2018,28.31,28.31,28.31,28.31,101,2859
03.08.2018,28.25,28.31,28.25,28.31,152,4302
02.08.2018,27.99,28.25,27.99,28.25,1031,28990
01.08.2018,28.48,28.48,27.60,27.99,5063,141285
31.07.2018,28.48,28.49,28.30,28.47,3213,91414
30.07.2018,27.37,28.50,26.00,27.80,3266,90115
27.07.2018,28.30,28.30,27.00,27.38,1242,33797
26.07.2018,28.37,28.37,28.00,28.00,88,2482
25.07.2018,28.24,28.24,27.80,28.24,1051,29469
24.07.2018,27.50,27.55,26.80,27.55,1566,43069
23.07.2018,28.25,28.25,26.34,26.34,3213,86507
20.07.2018,28.37,28.37,27.14,28.25,951,26246
19.07.2018,28.38,28.38,28.38,28.38,1,28
18.07.2018,28.39,28.39,28.00,28.38,52,1457
17.07.2018,28.47,28.47,28.39,28.39,21,596
16.07.2018,27.80,28.47,27.28,28.47,5813,161345
13.07.2018,28.48,28.48,27.00,27.90,16591,462301
12.07.2018,26.00,28.00,26.00,28.00,178211,4867006
11.07.2018,28.40,28.40,25.60,26.00,582,15398
10.07.2018,26.00,26.40,25.40,26.40,3331,87269
09.07.2018,28.48,28.48,25.70,26.00,2065,53496
06.07.2018,26.00,26.00,24.50,26.00,1292,31970
05.07.2018,25.50,25.50,25.50,25.50,30,765
04.07.2018,26.00,26.00,25.90,26.00,14,363
03.07.2018,26.00,28.60,25.75,26.50,2975,77209
02.07.2018,25.80,26.50,25.80,26.00,1791,46799
29.06.2018,25.00,26.39,25.00,25.50,3052,77883
28.06.2018,26.50,26.50,24.50,25.20,1977,49078
27.06.2018,28.50,28.50,24.70,25.70,2813,71461
26.06.2018,27.50,27.50,27.50,27.50,247,6793
25.06.2018,27.50,27.50,26.50,27.50,1036,27998
22.06.2018,28.98,28.98,27.63,27.63,2,57
21.06.2018,27.30,27.30,27.29,27.30,971,26506
20.06.2018,26.50,27.63,26.50,27.48,1181,32277
19.06.2018,26.07,27.29,26.07,27.29,1912,51618
18.06.2018,29.00,29.00,27.00,27.99,1664,45631
15.06.2018,29.40,29.40,27.60,27.98,4734,131548
14.06.2018,29.40,29.40,29.40,29.40,2,59
13.06.2018,28.79,29.40,28.79,29.40,3,87
12.06.2018,28.79,28.79,28.22,28.79,662,19032
11.06.2018,29.40,29.40,28.50,28.50,842,24043
08.06.2018,28.85,29.00,28.00,28.20,1697,48521
07.06.2018,28.90,28.90,28.00,28.00,1126,32131
06.06.2018,30.49,30.49,29.30,29.80,62,1850
05.06.2018,30.50,30.50,29.30,29.90,42,1232
04.06.2018,30.90,30.90,29.25,29.90,681,19972
01.06.2018,29.20,30.95,28.00,30.95,1912,54752
30.05.2018,28.00,29.00,27.00,28.50,3049,85606
29.05.2018,29.00,29.00,27.50,28.00,62,1714
28.05.2018,29.49,29.49,27.02,28.00,1526,42527
25.05.2018,29.50,29.50,28.50,28.50,106,3022
24.05.2018,29.50,29.50,28.00,29.50,14038,393097
23.05.2018,28.68,28.68,27.75,28.55,273,7693
22.05.2018,29.79,29.79,28.40,28.68,5587,159905
21.05.2018,29.25,29.89,29.00,29.57,2051,60242
18.05.2018,29.86,29.86,28.50,29.25,180,5245
17.05.2018,30.80,30.80,29.50,29.86,1205,36029
16.05.2018,29.99,32.80,29.56,30.80,10195,313998
15.05.2018,28.49,29.89,26.94,29.89,15122,436854
14.05.2018,26.68,28.50,26.61,27.20,114489,3092628
11.05.2018,26.97,26.97,26.69,26.69,863,23068
10.05.2018,26.77,27.00,26.20,27.00,645,17155
09.05.2018,26.79,26.79,26.77,26.77,82,2196
08.05.2018,26.91,26.91,26.50,26.50,448,11919
07.05.2018,26.97,27.00,26.96,27.00,627,16916
04.05.2018,27.10,27.10,25.85,27.00,244,6539
02.05.2018,25.01,27.10,25.01,26.30,1520,40600
30.04.2018,27.00,28.60,25.00,25.00,1955,53163
27.04.2018,28.85,28.85,26.90,27.00,982,26572
26.04.2018,28.85,28.85,27.00,27.00,331,8948
25.04.2018,27.70,28.85,26.95,27.13,1576,42795
24.04.2018,28.85,28.85,27.11,27.90,1863,51417
23.04.2018,28.99,28.99,28.85,28.85,1092,31647
20.04.2018,29.00,29.00,28.50,28.99,2489,71875
19.04.2018,30.90,32.00,27.20,29.00,18751,540143
