Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,0.47,0.47,0.44,0.46,10075,4581
27.09.2018,0.45,0.46,0.42,0.46,93336,41780
26.09.2018,0.46,0.46,0.45,0.45,9665,4372
25.09.2018,0.48,0.48,0.44,0.46,68581,31021
24.09.2018,0.45,0.50,0.45,0.48,70460,33421
21.09.2018,0.42,0.45,0.40,0.45,76472,33420
20.09.2018,0.45,0.45,0.38,0.42,69225,28517
19.09.2018,0.37,0.45,0.37,0.45,125842,52434
18.09.2018,0.38,0.39,0.35,0.37,62103,22342
17.09.2018,0.42,0.44,0.38,0.38,100614,40289
14.09.2018,0.34,0.41,0.34,0.41,196847,75554
13.09.2018,0.34,0.34,0.31,0.33,55555,17797
12.09.2018,0.35,0.35,0.32,0.34,59118,19893
11.09.2018,0.35,0.35,0.33,0.35,56217,19371
10.09.2018,0.33,0.35,0.33,0.34,29821,10151
07.09.2018,0.36,0.36,0.33,0.33,77671,27007
06.09.2018,0.39,0.39,0.33,0.33,110799,37498
05.09.2018,0.40,0.40,0.34,0.37,173104,63161
04.09.2018,0.41,0.41,0.40,0.40,162912,66237
03.09.2018,0.41,0.42,0.40,0.41,48231,19662
31.08.2018,0.44,0.44,0.40,0.40,46790,18947
30.08.2018,0.44,0.46,0.41,0.43,125399,54266
29.08.2018,0.46,0.46,0.42,0.43,77564,33413
28.08.2018,0.47,0.50,0.43,0.46,229294,105354
27.08.2018,0.41,0.52,0.41,0.45,214737,96773
24.08.2018,0.39,0.45,0.39,0.40,119794,50026
23.08.2018,0.44,0.44,0.32,0.41,628566,222041
22.08.2018,0.46,0.48,0.43,0.43,97023,43131
21.08.2018,0.55,0.55,0.45,0.45,176413,84958
20.08.2018,0.57,0.58,0.56,0.56,37500,21605
17.08.2018,0.58,0.61,0.56,0.57,45074,25941
16.08.2018,0.61,0.61,0.57,0.57,21545,12500
14.08.2018,0.57,0.61,0.57,0.61,35733,21025
13.08.2018,0.55,0.55,0.55,0.55,2000,1100
10.08.2018,0.57,0.57,0.55,0.55,49070,27621
09.08.2018,0.60,0.63,0.58,0.58,68941,41158
08.08.2018,0.63,0.63,0.59,0.60,53909,32751
07.08.2018,0.67,0.67,0.63,0.63,39012,24619
06.08.2018,0.68,0.69,0.65,0.67,25625,17059
03.08.2018,0.68,0.69,0.66,0.69,14589,9851
02.08.2018,0.68,0.68,0.66,0.68,35812,23992
01.08.2018,0.70,0.73,0.68,0.68,76570,52718
31.07.2018,0.67,0.77,0.67,0.68,229973,165408
30.07.2018,0.65,0.65,0.65,0.65,3000,1950
27.07.2018,0.65,0.66,0.61,0.65,19153,11896
26.07.2018,0.65,0.65,0.64,0.64,11364,7339
25.07.2018,0.65,0.65,0.64,0.65,6400,4145
24.07.2018,0.62,0.62,0.56,0.62,25754,15279
23.07.2018,0.65,0.65,0.59,0.62,40811,24420
20.07.2018,0.63,0.65,0.63,0.65,300,191
19.07.2018,0.63,0.65,0.63,0.65,1600,1020
18.07.2018,0.62,0.66,0.62,0.65,1110,696
17.07.2018,0.66,0.66,0.66,0.66,1000,660
