Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,4.36,4.45,4.34,4.40,1731207,7640044
31.10.2018,4.44,4.46,4.33,4.34,3124773,13698281
30.10.2018,4.38,4.44,4.38,4.44,1097147,4828503
29.10.2018,4.49,4.49,4.37,4.37,880771,3895999
26.10.2018,4.60,4.60,4.44,4.45,1113733,4989911
25.10.2018,4.55,4.66,4.53,4.60,2884007,13213047
24.10.2018,4.60,4.62,4.53,4.57,1506545,6882517
23.10.2018,4.55,4.64,4.54,4.60,892151,4102610
22.10.2018,4.64,4.68,4.56,4.58,767140,3547002
19.10.2018,4.55,4.61,4.52,4.58,1102836,5038239
18.10.2018,4.49,4.58,4.46,4.55,1364146,6216644
17.10.2018,4.47,4.54,4.45,4.48,2637036,11852294
16.10.2018,4.41,4.49,4.41,4.45,1779249,7915256
15.10.2018,4.45,4.47,4.41,4.41,1665609,7378234
12.10.2018,4.43,4.49,4.40,4.45,3175190,14101229
11.10.2018,4.38,4.46,4.35,4.41,3135748,13900908
10.10.2018,4.47,4.47,4.44,4.44,1565269,6954983
09.10.2018,4.45,4.47,4.44,4.45,1480251,6587422
08.10.2018,4.56,4.56,4.44,4.45,1102357,4931221
05.10.2018,4.45,4.62,4.45,4.59,1159261,5247427
04.10.2018,4.49,4.50,4.45,4.47,745571,3328099
03.10.2018,4.58,4.58,4.48,4.50,623519,2810354
02.10.2018,4.49,4.56,4.45,4.56,738645,3328091
01.10.2018,4.46,4.56,4.45,4.50,741766,3356082
28.09.2018,4.57,4.61,4.44,4.44,2497349,11162380
27.09.2018,4.57,4.66,4.53,4.65,891062,4117155
26.09.2018,4.50,4.60,4.50,4.58,665244,3037161
25.09.2018,4.48,4.55,4.48,4.50,843394,3810948
24.09.2018,4.48,4.54,4.45,4.47,1828504,8227013
21.09.2018,4.44,4.53,4.39,4.45,13507224,60170659
20.09.2018,4.37,4.55,4.36,4.43,1499667,6670950
19.09.2018,4.34,4.41,4.30,4.35,1389713,6029852
18.09.2018,4.26,4.38,4.23,4.35,1920332,8319177
17.09.2018,4.37,4.37,4.25,4.26,2694470,11603986
14.09.2018,4.42,4.44,4.39,4.39,1915302,8423043
13.09.2018,4.42,4.48,4.39,4.39,2872723,12729838
12.09.2018,4.52,4.57,4.38,4.42,4870477,21716246
11.09.2018,4.58,4.62,4.54,4.55,1633399,7488747
10.09.2018,4.51,4.59,4.50,4.58,1399145,6372074
07.09.2018,4.62,4.63,4.51,4.51,2664258,12137252
06.09.2018,4.66,4.66,4.54,4.60,1497043,6894174
05.09.2018,4.73,4.78,4.64,4.65,1751299,8184732
04.09.2018,4.90,4.93,4.74,4.74,1589391,7693645
03.09.2018,4.85,4.91,4.83,4.90,1451391,7076490
31.08.2018,4.84,4.87,4.81,4.86,1229897,5967311
30.08.2018,4.95,4.97,4.84,4.84,1553084,7579330
29.08.2018,5.04,5.05,4.94,4.98,1428822,7120856
28.08.2018,5.01,5.07,4.95,5.07,905903,4552996
27.08.2018,4.88,5.01,4.88,5.01,1009461,4995803
24.08.2018,4.95,4.95,4.83,4.86,1216840,5919470
23.08.2018,4.90,4.95,4.85,4.94,795404,3898546
22.08.2018,4.81,4.99,4.80,4.89,1435372,7024651
21.08.2018,4.81,4.87,4.79,4.83,922689,4452587
20.08.2018,4.88,4.90,4.76,4.80,1485057,7181070
17.08.2018,4.84,4.89,4.84,4.87,2200167,10718164
16.08.2018,4.90,4.92,4.82,4.86,1689011,8209416
14.08.2018,4.84,4.95,4.84,4.95,705073,3456016
13.08.2018,4.84,4.86,4.78,4.82,905744,4356233
10.08.2018,4.99,4.99,4.84,4.84,2269868,11099586
09.08.2018,4.98,5.04,4.98,5.00,853806,4275497
08.08.2018,5.00,5.03,4.96,5.03,2545414,12739195
07.08.2018,5.00,5.03,4.98,5.01,1005603,5041363
06.08.2018,4.94,5.05,4.94,5.01,1112455,5544332
03.08.2018,4.97,4.98,4.92,4.96,1977850,9822597
02.08.2018,4.98,5.06,4.95,4.95,2629009,13142314
01.08.2018,4.97,5.03,4.97,5.01,1035441,5184567
31.07.2018,5.10,5.10,4.97,4.98,2576328,12935855
30.07.2018,4.93,5.12,4.93,5.10,1787370,9041863
27.07.2018,4.95,4.96,4.93,4.96,779574,3860049
26.07.2018,5.00,5.00,4.92,4.95,4776497,23787503
25.07.2018,4.81,5.07,4.81,4.97,3045946,15095355
24.07.2018,4.62,4.74,4.54,4.72,2589470,11891711
23.07.2018,4.46,4.66,4.42,4.58,2531135,11541232
20.07.2018,4.36,4.45,4.34,4.43,1822025,8021040
19.07.2018,4.47,4.47,4.31,4.32,5124258,22276041
18.07.2018,4.50,4.53,4.42,4.45,1314478,5889118
17.07.2018,4.55,4.55,4.49,4.49,1718095,7743421
16.07.2018,4.58,4.58,4.54,4.54,1051210,4782307
13.07.2018,4.56,4.60,4.52,4.58,774914,3548025
12.07.2018,4.58,4.63,4.52,4.52,1136143,5180435
11.07.2018,4.56,4.60,4.55,4.60,589412,2705745
10.07.2018,4.64,4.66,4.55,4.55,1424593,6543202
09.07.2018,4.66,4.73,4.60,4.62,645234,2991903
06.07.2018,4.73,4.74,4.64,4.65,922739,4299254
05.07.2018,4.70,4.82,4.70,4.72,736410,3518939
04.07.2018,4.62,4.75,4.62,4.74,585077,2755457
03.07.2018,4.68,4.68,4.62,4.62,698547,3239585
02.07.2018,4.64,4.65,4.57,4.63,945943,4366023
29.06.2018,4.55,4.67,4.53,4.64,1264963,5839472
28.06.2018,4.60,4.65,4.51,4.51,1792964,8171553
27.06.2018,4.64,4.70,4.58,4.61,1435582,6677003
26.06.2018,4.78,4.83,4.58,4.66,1306977,6112650
25.06.2018,4.73,4.85,4.73,4.76,1415978,6771839
22.06.2018,4.69,4.83,4.66,4.76,2494635,11854825
21.06.2018,4.69,4.72,4.60,4.65,2208536,10300889
20.06.2018,4.59,4.68,4.56,4.65,1678637,7798707
19.06.2018,4.75,4.75,4.52,4.56,3054777,14124595
18.06.2018,4.85,4.90,4.75,4.80,1038586,5006180
15.06.2018,5.11,5.11,4.86,4.86,4273146,20983500
14.06.2018,5.01,5.12,4.97,5.12,1155341,5850271
13.06.2018,5.02,5.05,4.95,5.00,1239271,6200830
12.06.2018,5.03,5.07,5.01,5.03,1260300,6355675
11.06.2018,4.97,5.03,4.91,5.03,1299581,6476700
08.06.2018,5.00,5.01,4.94,4.97,1138906,5659074
