Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,113.00,113.00,113.00,113.00,12,1356
30.10.2018,110.00,110.00,110.00,110.00,73,8030
24.10.2018,109.00,109.00,109.00,109.00,1108,120772
22.10.2018,103.00,109.00,103.00,109.00,153,16069
15.10.2018,108.00,108.00,108.00,108.00,15,1620
12.10.2018,108.00,108.00,108.00,108.00,250,27000
05.10.2018,104.00,104.00,104.00,104.00,8,832
03.10.2018,103.00,103.00,103.00,103.00,5000,515000
28.09.2018,102.00,102.00,102.00,102.00,81,8262
27.09.2018,102.00,102.00,102.00,102.00,7,714
26.09.2018,102.00,102.00,102.00,102.00,9,918
19.09.2018,101.00,101.00,101.00,101.00,39,3939
18.09.2018,104.00,104.00,100.00,101.00,1546,155824
13.09.2018,101.00,102.00,101.00,102.00,1012,102224
12.09.2018,101.00,101.00,101.00,101.00,21,2121
30.08.2018,98.00,98.00,98.00,98.00,28,2744
27.08.2018,97.00,97.00,97.00,97.00,1,97
21.08.2018,97.50,97.50,97.50,97.50,11,1073
10.08.2018,98.00,98.00,98.00,98.00,100,9800
02.08.2018,98.00,98.00,98.00,98.00,61,5978
31.07.2018,98.00,98.00,98.00,98.00,5,490
30.07.2018,99.00,100.00,99.00,100.00,540,53991
25.07.2018,98.00,98.00,98.00,98.00,2060,201880
16.07.2018,96.00,96.00,96.00,96.00,20,1920
09.07.2018,97.50,97.50,97.50,97.50,10,975
29.06.2018,98.00,98.00,98.00,98.00,20,1960
26.06.2018,96.50,96.50,95.50,95.50,10,956
07.06.2018,96.50,96.50,96.50,96.50,5,483
25.05.2018,97.00,97.00,97.00,97.00,128,12416
22.05.2018,99.00,99.00,99.00,99.00,600,59400
18.05.2018,96.50,98.50,96.50,98.50,224,22016
15.05.2018,96.00,98.00,96.00,98.00,150,14600
04.05.2018,95.00,95.00,95.00,95.00,25,2375
02.05.2018,95.00,95.00,95.00,95.00,5,475
25.04.2018,95.00,95.00,95.00,95.00,153,14535
09.04.2018,94.00,94.00,94.00,94.00,10,940
27.03.2018,94.00,94.00,93.00,93.00,10001,940093
15.03.2018,94.00,94.00,94.00,94.00,390693,36725144
14.03.2018,94.00,94.00,94.00,94.00,10,940
08.03.2018,94.00,94.00,94.00,94.00,315,29610
07.03.2018,94.00,94.00,94.00,94.00,30,2820
27.02.2018,94.00,94.00,94.00,94.00,804,75576
26.02.2018,93.50,93.50,93.50,93.50,6,561
23.02.2018,96.50,96.50,96.50,96.50,65,6273
22.02.2018,95.00,96.50,95.00,96.50,45,4328
15.02.2018,94.00,94.00,94.00,94.00,500,47000
13.02.2018,94.00,94.00,94.00,94.00,300,28200
05.02.2018,95.50,95.50,95.50,95.50,400,38200
02.02.2018,96.00,96.00,96.00,96.00,510,48960
31.01.2018,100.00,100.00,99.00,99.00,1855,185423
30.01.2018,99.00,99.00,99.00,99.00,8,792
26.01.2018,98.00,99.00,98.00,99.00,85,8343
25.01.2018,98.00,98.00,98.00,98.00,3,294
22.01.2018,96.50,96.50,95.00,96.50,2253,217296
17.01.2018,94.00,94.00,94.00,94.00,40,3760
15.01.2018,93.00,93.50,92.50,92.50,3692,343692
08.01.2018,92.00,92.50,92.00,92.50,33,3048
05.01.2018,91.50,92.00,91.50,92.00,70,6415
04.01.2018,91.50,92.50,91.50,92.00,112,10287
