Date,Open,Max,Min,Close,Volume,TradeSize
27.09.2018,0.89,0.91,0.89,0.89,3368,3030
26.09.2018,0.91,0.91,0.88,0.88,16140,14455
25.09.2018,0.91,0.95,0.91,0.95,1030,939
20.09.2018,0.92,0.95,0.92,0.95,1860,1741
18.09.2018,0.91,0.95,0.91,0.95,1583,1442
17.09.2018,0.95,0.96,0.95,0.95,518,492
14.09.2018,0.91,0.96,0.91,0.91,11930,10858
12.09.2018,0.96,0.96,0.96,0.96,20,19
11.09.2018,0.96,0.97,0.94,0.96,91640,88465
10.09.2018,0.98,0.98,0.93,0.96,5184,4826
07.09.2018,0.88,0.95,0.88,0.95,80261,75594
06.09.2018,0.95,0.95,0.92,0.93,10215,9434
05.09.2018,0.97,0.97,0.97,0.97,20,19
04.09.2018,0.95,0.97,0.95,0.97,4983,4751
03.09.2018,0.90,0.95,0.90,0.95,11556,10692
31.08.2018,0.90,0.94,0.90,0.91,15059,13717
30.08.2018,0.90,0.90,0.90,0.90,1500,1350
28.08.2018,0.88,0.88,0.88,0.88,2000,1760
27.08.2018,0.87,0.88,0.87,0.88,10189,8865
23.08.2018,0.86,0.87,0.86,0.87,891,770
22.08.2018,0.87,0.87,0.87,0.87,30,26
21.08.2018,0.87,0.87,0.87,0.87,1584,1378
17.08.2018,0.87,0.87,0.87,0.87,1112,967
16.08.2018,0.86,0.86,0.84,0.84,1111,942
14.08.2018,0.87,0.87,0.84,0.84,3000,2565
13.08.2018,0.86,0.87,0.86,0.87,5996,5215
10.08.2018,0.86,0.86,0.83,0.86,6030,5066
09.08.2018,0.86,0.86,0.86,0.86,500,430
08.08.2018,0.83,0.83,0.83,0.83,1000,830
02.08.2018,0.84,0.87,0.84,0.87,11040,9366
01.08.2018,0.84,0.84,0.84,0.84,2500,2100
31.07.2018,0.82,0.84,0.74,0.84,63300,49787
30.07.2018,0.87,0.87,0.87,0.87,501,436
27.07.2018,0.82,0.88,0.82,0.86,13139,11106
26.07.2018,0.82,0.82,0.82,0.82,1130,927
25.07.2018,0.81,0.81,0.78,0.78,5000,3971
24.07.2018,0.77,0.77,0.77,0.77,5050,3889
18.07.2018,0.80,0.81,0.80,0.81,4000,3235
11.07.2018,0.80,0.80,0.80,0.80,2000,1600
10.07.2018,0.76,0.77,0.75,0.75,19858,15204
09.07.2018,0.72,0.72,0.72,0.72,2471,1779
04.07.2018,0.72,0.76,0.72,0.76,2020,1455
28.06.2018,0.73,0.76,0.73,0.76,2129,1575
27.06.2018,0.72,0.75,0.72,0.75,10300,7716
25.06.2018,0.75,0.75,0.75,0.75,135,101
21.06.2018,0.70,0.75,0.70,0.75,14000,10110
20.06.2018,0.73,0.73,0.70,0.70,15000,10717
19.06.2018,0.75,0.77,0.73,0.75,18691,14038
18.06.2018,0.82,0.84,0.78,0.80,23740,18983
15.06.2018,0.84,0.84,0.84,0.84,1000,840
13.06.2018,0.82,0.82,0.82,0.82,2000,1640
12.06.2018,0.84,0.84,0.84,0.84,3000,2520
07.06.2018,0.80,0.85,0.80,0.85,1750,1401
05.06.2018,0.82,0.85,0.82,0.85,4502,3712
01.06.2018,0.87,0.87,0.87,0.87,200,174
29.05.2018,0.88,0.88,0.86,0.87,7020,6097
28.05.2018,0.90,0.90,0.90,0.90,40,36
25.05.2018,0.90,0.91,0.88,0.88,7900,7076
23.05.2018,0.89,0.90,0.89,0.90,4910,4371
22.05.2018,0.89,0.89,0.89,0.89,40,36
21.05.2018,0.87,0.89,0.87,0.89,1230,1071
18.05.2018,0.89,0.89,0.89,0.89,1108,986
17.05.2018,0.90,0.91,0.90,0.91,1420,1284
16.05.2018,0.87,0.91,0.87,0.91,8090,7223
15.05.2018,0.89,0.95,0.84,0.91,56946,50683
14.05.2018,0.83,0.88,0.83,0.88,22,19
11.05.2018,0.88,0.88,0.88,0.88,115,101
10.05.2018,0.83,0.87,0.83,0.87,11120,9547
08.05.2018,0.85,0.85,0.85,0.85,1150,978
07.05.2018,0.83,0.85,0.83,0.85,3107,2601
04.05.2018,0.83,0.83,0.82,0.82,5621,4617
02.05.2018,0.85,0.85,0.85,0.85,1925,1636
30.04.2018,0.85,0.85,0.85,0.85,1570,1335
26.04.2018,0.85,0.87,0.81,0.87,19400,16356
25.04.2018,0.86,0.86,0.86,0.86,9000,7740
24.04.2018,0.87,0.87,0.86,0.87,5315,4591
23.04.2018,0.87,0.90,0.87,0.90,696,606
20.04.2018,0.90,0.90,0.90,0.90,20,18
19.04.2018,0.88,0.88,0.88,0.88,820,722
17.04.2018,0.90,0.90,0.90,0.90,370,333
16.04.2018,0.88,0.90,0.88,0.90,4035,3551
13.04.2018,0.88,0.88,0.88,0.88,4245,3736
09.04.2018,0.91,0.91,0.90,0.91,7342,6624
06.04.2018,0.91,0.91,0.91,0.91,2445,2225
05.04.2018,0.90,0.91,0.90,0.91,15826,14249
04.04.2018,0.91,0.92,0.89,0.92,26685,24208
03.04.2018,0.94,0.98,0.89,0.94,25271,23508
29.03.2018,0.96,0.99,0.96,0.99,2000,1927
28.03.2018,0.98,0.99,0.94,0.99,17000,16216
27.03.2018,1.00,1.00,0.99,1.00,5178,5137
26.03.2018,1.02,1.02,0.95,1.00,17623,17375
23.03.2018,1.06,1.09,1.00,1.05,42801,43672
21.03.2018,1.11,1.11,1.06,1.10,8965,9702
20.03.2018,1.11,1.11,1.08,1.10,1531,1654
19.03.2018,1.09,1.11,1.08,1.08,3912,4260
16.03.2018,1.09,1.09,1.08,1.08,923,1002
14.03.2018,1.09,1.09,1.09,1.09,80,87
13.03.2018,1.06,1.06,1.06,1.06,730,774
12.03.2018,1.08,1.10,1.08,1.10,2000,2197
09.03.2018,1.05,1.08,1.04,1.08,4010,4181
08.03.2018,1.08,1.08,1.08,1.08,1000,1080
07.03.2018,1.04,1.08,1.04,1.08,1077,1121
06.03.2018,1.07,1.08,1.04,1.08,7483,7982
05.03.2018,1.04,1.07,1.04,1.07,15398,16341
02.03.2018,1.08,1.08,1.04,1.08,3272,3523
01.03.2018,1.09,1.09,1.09,1.09,600,654
28.02.2018,1.09,1.09,1.06,1.08,2000,2155
27.02.2018,1.08,1.10,1.08,1.10,2260,2451
26.02.2018,1.05,1.09,1.05,1.09,1693,1779
23.02.2018,1.08,1.09,1.05,1.09,6712,7178
22.02.2018,1.04,1.07,1.04,1.07,474,494
21.02.2018,1.06,1.07,1.06,1.07,189,201
20.02.2018,1.06,1.07,1.06,1.07,1031,1093
19.02.2018,1.06,1.08,1.06,1.08,5200,5516
16.02.2018,1.06,1.08,1.06,1.08,1879,2009
15.02.2018,1.13,1.13,1.04,1.09,17248,18380
14.02.2018,1.11,1.13,1.11,1.13,2010,2231
13.02.2018,1.13,1.13,1.13,1.13,1330,1503
12.02.2018,1.08,1.14,1.08,1.13,35426,39111
09.02.2018,1.06,1.08,1.05,1.07,6249,6626
08.02.2018,1.10,1.10,1.10,1.10,313,344
07.02.2018,1.08,1.08,1.04,1.08,22897,23966
06.02.2018,1.10,1.10,1.02,1.08,18403,19623
05.02.2018,1.17,1.17,1.09,1.15,36157,40528
02.02.2018,1.10,1.18,1.10,1.10,116423,131341
01.02.2018,1.05,1.14,1.05,1.08,94796,102282
31.01.2018,1.04,1.05,0.98,1.00,17044,17177
30.01.2018,1.01,1.05,1.00,1.00,28890,29623
29.01.2018,1.02,1.02,1.02,1.02,600,612
26.01.2018,1.00,1.02,1.00,1.01,4000,4030
25.01.2018,1.01,1.06,0.97,1.00,35771,36507
24.01.2018,1.00,1.02,1.00,1.02,11204,11253
23.01.2018,1.01,1.05,1.00,1.00,125905,127349
22.01.2018,1.02,1.05,1.02,1.02,5524,5635
19.01.2018,1.04,1.04,1.03,1.03,2720,2818
18.01.2018,1.06,1.07,1.06,1.06,5080,5388
17.01.2018,1.08,1.08,1.08,1.08,3902,4214
16.01.2018,1.03,1.08,1.02,1.08,4025,4127
15.01.2018,1.09,1.09,1.09,1.09,1200,1308
12.01.2018,1.07,1.08,1.07,1.07,5000,5363
11.01.2018,1.05,1.07,1.05,1.06,10044,10607
10.01.2018,1.05,1.07,1.04,1.06,17780,18662
09.01.2018,1.02,1.09,1.02,1.07,22370,23349
08.01.2018,0.98,1.02,0.96,1.02,21310,21077
05.01.2018,0.98,0.99,0.96,0.99,12091,11697
04.01.2018,0.96,0.98,0.96,0.98,1423,1377
03.01.2018,0.96,0.98,0.96,0.98,41261,39686
29.12.2017,1.02,1.02,1.02,1.02,3000,3060
28.12.2017,1.01,1.02,0.99,1.02,1752,1757
27.12.2017,1.00,1.01,1.00,1.01,950,950
22.12.2017,1.01,1.02,0.98,1.01,11532,11574
20.12.2017,1.00,1.02,1.00,1.02,2886,2886
19.12.2017,0.98,0.99,0.98,0.99,3280,3224
18.12.2017,0.96,1.03,0.96,1.03,10447,10156
15.12.2017,0.94,0.97,0.94,0.97,60,58
14.12.2017,0.98,0.98,0.94,0.97,11998,11612
13.12.2017,0.98,0.99,0.98,0.99,9402,9228
11.12.2017,1.01,1.01,1.01,1.01,20,20
07.12.2017,1.00,1.00,1.00,1.00,400,400
05.12.2017,1.02,1.03,1.02,1.03,4833,4942
04.12.2017,1.02,1.02,1.02,1.02,2514,2564
01.12.2017,0.95,1.01,0.93,1.01,14680,14440
29.11.2017,0.92,0.95,0.90,0.95,11973,10976
28.11.2017,1.00,1.00,0.95,0.97,24560,23922
27.11.2017,1.01,1.04,1.00,1.02,18055,18174
24.11.2017,1.01,1.05,1.01,1.05,6525,6639
23.11.2017,1.07,1.09,1.02,1.09,40025,41243
22.11.2017,1.07,1.07,1.07,1.07,1000,1070
21.11.2017,1.08,1.09,1.07,1.07,10320,11143
20.11.2017,1.10,1.11,1.10,1.10,5480,6067
17.11.2017,1.11,1.11,1.11,1.11,50,56
16.11.2017,1.08,1.11,1.03,1.10,13613,14695
15.11.2017,1.08,1.09,1.08,1.09,2687,2909
14.11.2017,1.02,1.09,1.02,1.09,13541,14482
13.11.2017,1.07,1.08,1.06,1.07,17132,18458
10.11.2017,1.03,1.07,1.03,1.05,12846,13499
09.11.2017,1.06,1.07,1.05,1.06,5989,6345
08.11.2017,1.03,1.08,1.02,1.05,22441,23562
07.11.2017,1.00,1.04,0.98,1.03,36813,36777
06.11.2017,1.00,1.00,0.99,0.99,2034,2024
03.11.2017,1.00,1.00,0.97,1.00,8906,8808
02.11.2017,1.02,1.02,1.00,1.00,3640,3664
31.10.2017,1.05,1.05,0.97,0.98,16100,15754
30.10.2017,1.04,1.05,1.04,1.05,1000,1041
27.10.2017,1.03,1.04,1.03,1.04,1506,1551
26.10.2017,1.05,1.05,1.00,1.01,14448,14582
25.10.2017,1.05,1.05,1.05,1.05,3500,3675
24.10.2017,1.05,1.05,1.05,1.05,1600,1680
20.10.2017,1.01,1.05,1.01,1.05,4014,4095
19.10.2017,1.05,1.05,1.02,1.02,8704,9054
18.10.2017,1.05,1.07,1.05,1.07,3346,3514
17.10.2017,1.05,1.07,1.05,1.07,3077,3231
16.10.2017,1.07,1.07,1.07,1.07,1005,1075
12.10.2017,1.08,1.09,1.05,1.09,4015,4305
11.10.2017,0.99,1.08,0.99,1.08,1337,1416
10.10.2017,0.99,1.04,0.99,1.04,4846,5016
06.10.2017,1.03,1.04,1.00,1.04,6577,6633
05.10.2017,1.09,1.09,1.00,1.05,6442,6526
04.10.2017,1.02,1.08,1.02,1.02,4777,4930
03.10.2017,1.09,1.10,1.05,1.10,24054,25693
02.10.2017,1.12,1.13,1.06,1.10,9156,10119
29.09.2017,1.06,1.10,1.06,1.10,37,40
19.09.2017,1.14,1.14,1.09,1.13,2372,2678
18.09.2017,1.06,1.06,1.06,1.06,7789,8256
13.09.2017,1.08,1.15,1.07,1.15,2619,2814
12.09.2017,1.15,1.15,1.15,1.15,20,23
11.09.2017,1.11,1.14,1.10,1.10,17020,18833
08.09.2017,1.16,1.17,1.10,1.11,9184,10188
07.09.2017,1.12,1.15,1.09,1.09,3000,3288
06.09.2017,1.15,1.15,1.12,1.12,19755,22245
05.09.2017,1.16,1.16,1.15,1.15,9866,11361
04.09.2017,1.15,1.18,1.15,1.18,2119,2470
01.09.2017,1.17,1.18,1.15,1.18,16398,19042
30.08.2017,1.24,1.24,1.20,1.23,7298,8838
29.08.2017,1.24,1.24,1.24,1.24,2500,3100
28.08.2017,1.20,1.20,1.19,1.20,3022,3616
25.08.2017,1.11,1.24,1.11,1.24,33566,38747
22.08.2017,1.11,1.14,1.10,1.14,4639,5134
21.08.2017,1.15,1.15,1.15,1.15,25,29
18.08.2017,1.13,1.13,1.13,1.13,15000,16950
17.08.2017,1.10,1.15,1.10,1.15,45650,51590
16.08.2017,1.21,1.22,1.13,1.13,14980,17118
14.08.2017,1.14,1.20,1.14,1.20,3326,3905
11.08.2017,1.18,1.18,1.09,1.11,35900,40307
10.08.2017,1.18,1.18,1.18,1.18,1000,1180
09.08.2017,1.17,1.24,1.17,1.24,23981,28713
08.08.2017,1.17,1.17,1.17,1.17,100,117
07.08.2017,1.17,1.17,1.17,1.17,2000,2340
04.08.2017,1.16,1.17,1.16,1.17,3000,3500
03.08.2017,1.16,1.17,1.16,1.17,1000,1168
02.08.2017,1.15,1.17,1.15,1.16,5925,6861
01.08.2017,1.14,1.15,1.14,1.15,2020,2305
31.07.2017,1.11,1.11,1.11,1.11,2590,2875
28.07.2017,1.11,1.11,1.11,1.11,53,59
27.07.2017,1.15,1.15,1.05,1.14,42641,47004
26.07.2017,1.16,1.16,1.12,1.16,15106,17002
25.07.2017,1.16,1.17,1.13,1.16,2061,2333
24.07.2017,1.20,1.20,1.14,1.16,2456,2895
21.07.2017,1.21,1.21,1.13,1.20,38500,45610
20.07.2017,1.15,1.23,1.09,1.21,86399,99180
19.07.2017,1.14,1.14,1.09,1.14,17857,19777
18.07.2017,1.12,1.23,1.09,1.13,108351,125913
17.07.2017,1.01,1.10,1.01,1.10,78000,82749
14.07.2017,0.93,1.01,0.93,1.00,46319,45414
13.07.2017,0.93,0.95,0.91,0.95,24725,23088
12.07.2017,0.95,0.95,0.93,0.93,3320,3088
11.07.2017,0.92,0.93,0.92,0.93,5747,5336
10.07.2017,0.93,0.93,0.93,0.93,113,105
07.07.2017,0.95,0.95,0.90,0.90,5837,5319
06.07.2017,0.97,0.99,0.90,0.95,64906,61613
05.07.2017,0.94,0.98,0.93,0.97,50826,48164
