Date,Open,Max,Min,Close,Volume,TradeSize
03.10.2017,1.16,1.17,1.16,1.17,842,980
28.09.2017,1.45,1.45,1.45,1.45,16,23
27.09.2017,1.45,1.45,1.45,1.45,5,7
25.09.2017,1.35,1.35,1.35,1.35,410,554
22.09.2017,1.13,1.35,1.13,1.35,344,424
21.09.2017,1.35,1.35,1.35,1.35,6000,8100
20.09.2017,1.05,1.05,1.05,1.05,278,292
19.09.2017,1.35,1.35,1.35,1.35,270,365
18.09.2017,1.47,1.47,1.40,1.40,449,629
15.09.2017,1.44,1.44,1.44,1.44,1503,2164
14.09.2017,1.44,1.44,1.44,1.44,7,10
13.09.2017,1.47,1.47,1.44,1.44,485,713
12.09.2017,1.45,1.45,1.45,1.45,548,795
11.09.2017,1.49,1.49,1.49,1.49,5,7
08.09.2017,1.36,1.36,1.36,1.36,343,466
07.09.2017,1.48,1.48,1.35,1.35,7,10
06.09.2017,1.35,1.35,1.35,1.35,779,1052
05.09.2017,1.45,1.45,1.35,1.35,4296,6116
04.09.2017,1.22,1.32,1.22,1.32,8595,10670
01.09.2017,1.09,1.20,1.09,1.20,3866,4425
31.08.2017,1.01,1.09,1.01,1.09,3287,3402
30.08.2017,0.90,0.97,0.90,0.97,3442,3212
29.08.2017,1.01,1.01,1.01,1.01,9687,9784
28.08.2017,1.25,1.25,1.11,1.11,3481,3962
22.08.2017,1.30,1.30,1.25,1.25,1560,2026
21.08.2017,1.30,1.30,1.30,1.30,433,563
18.08.2017,1.49,1.49,1.32,1.32,1922,2551
17.08.2017,1.49,1.49,1.49,1.49,10,15
14.08.2017,1.49,1.49,1.49,1.49,2,3
11.08.2017,1.49,1.49,1.49,1.49,2,3
10.08.2017,1.40,1.40,1.40,1.40,1177,1648
08.08.2017,1.40,1.40,1.40,1.40,366,512
07.08.2017,1.50,1.50,1.49,1.49,409,613
04.08.2017,1.50,1.50,1.50,1.50,299,449
03.08.2017,1.50,1.50,1.50,1.50,555,833
02.08.2017,1.63,1.63,1.59,1.59,989,1581
01.08.2017,1.63,1.63,1.63,1.63,4670,7612
31.07.2017,1.63,1.63,1.63,1.63,1992,3247
28.07.2017,1.59,1.59,1.59,1.59,1408,2239
27.07.2017,1.62,1.62,1.62,1.62,1597,2587
26.07.2017,1.65,1.65,1.62,1.62,3072,5038
24.07.2017,1.67,1.67,1.61,1.61,2333,3864
21.07.2017,1.80,1.80,1.80,1.80,739,1330
20.07.2017,1.90,1.90,1.90,1.90,3330,6327
19.07.2017,1.91,1.91,1.91,1.91,662,1264
18.07.2017,2.00,2.00,2.00,2.00,290,580
17.07.2017,2.01,2.01,2.01,2.01,1611,3238
14.07.2017,2.02,2.02,2.00,2.00,480,962
13.07.2017,2.20,2.20,2.02,2.02,34,70
12.07.2017,2.00,2.02,2.00,2.02,1054,2111
11.07.2017,2.00,2.00,2.00,2.00,1173,2346
10.07.2017,2.00,2.00,2.00,2.00,900,1800
07.07.2017,2.02,2.02,2.02,2.02,1140,2303
06.07.2017,2.10,2.10,2.10,2.10,4617,9696
05.07.2017,2.22,2.22,2.22,2.22,1070,2375
04.07.2017,2.52,2.52,2.50,2.50,2420,6077
03.07.2017,2.74,2.74,2.74,2.74,281,770
19.06.2017,0.15,0.16,0.15,0.16,57726,9036
16.06.2017,0.15,0.15,0.15,0.15,16777,2517
14.06.2017,0.15,0.15,0.15,0.15,34759,5214
13.06.2017,0.15,0.15,0.15,0.15,50419,7563
