Date,Open,Max,Min,Close,Volume,TradeSize
14.09.2018,0.86,0.86,0.86,0.86,804,691
31.08.2018,0.86,0.86,0.86,0.86,301,259
26.07.2018,0.89,0.89,0.89,0.89,500,445
23.07.2018,0.88,0.88,0.88,0.88,1210,1065
12.07.2018,0.96,0.96,0.96,0.96,10,10
11.07.2018,0.88,0.88,0.88,0.88,20500,18040
10.07.2018,0.88,0.88,0.88,0.88,8785,7731
09.07.2018,0.88,0.88,0.88,0.88,38167,33587
05.07.2018,0.87,0.87,0.87,0.87,5700,4959
03.07.2018,0.88,0.88,0.88,0.88,1500,1320
20.06.2018,0.88,0.88,0.88,0.88,2950,2596
19.06.2018,0.87,0.87,0.87,0.87,619,539
18.06.2018,0.88,0.88,0.88,0.88,10250,9020
15.06.2018,0.87,0.87,0.87,0.87,46100,40107
13.06.2018,0.88,0.88,0.88,0.88,1900,1672
07.06.2018,0.88,0.88,0.88,0.88,71687,63085
06.06.2018,0.87,0.87,0.87,0.87,600,522
05.06.2018,0.89,0.89,0.89,0.89,50,45
04.06.2018,0.87,0.87,0.87,0.87,1000,870
01.06.2018,0.87,0.87,0.87,0.87,2500,2175
28.05.2018,0.88,0.88,0.88,0.88,84567,74419
25.05.2018,0.89,0.89,0.89,0.89,3875,3449
24.05.2018,0.89,0.89,0.88,0.88,31593,27915
22.05.2018,0.87,0.87,0.87,0.87,50,44
21.05.2018,0.82,0.82,0.82,0.82,1100,902
09.05.2018,0.89,0.89,0.89,0.89,2,2
08.05.2018,0.89,0.89,0.89,0.89,3,3
04.05.2018,0.89,0.89,0.89,0.89,400,356
02.05.2018,0.89,0.89,0.89,0.89,2,2
27.04.2018,0.89,0.89,0.89,0.89,1,1
26.04.2018,0.87,0.87,0.87,0.87,1999,1739
25.04.2018,0.89,0.89,0.89,0.89,2,2
24.04.2018,0.89,0.89,0.89,0.89,2,2
23.04.2018,0.89,0.89,0.89,0.89,2,2
20.04.2018,0.89,0.89,0.89,0.89,5,4
18.04.2018,0.86,0.89,0.86,0.89,1505,1294
16.04.2018,0.89,0.89,0.89,0.89,5,4
13.04.2018,0.89,0.89,0.85,0.85,502,427
12.04.2018,0.88,0.89,0.88,0.89,588,517
11.04.2018,0.89,0.89,0.89,0.89,2,2
09.04.2018,0.89,0.89,0.89,0.89,5,4
05.04.2018,0.89,0.89,0.89,0.89,5,4
29.03.2018,0.89,0.89,0.89,0.89,2,2
27.03.2018,0.85,0.88,0.85,0.88,1600,1363
22.03.2018,0.89,0.89,0.89,0.89,1,1
21.03.2018,0.89,0.89,0.89,0.89,2,2
20.03.2018,0.89,0.89,0.89,0.89,1,1
19.03.2018,0.89,0.89,0.89,0.89,2,2
16.03.2018,0.85,0.89,0.85,0.89,155,132
14.03.2018,0.89,0.89,0.89,0.89,5,4
13.03.2018,0.89,0.89,0.86,0.86,502,432
12.03.2018,0.89,0.89,0.89,0.89,2,2
09.03.2018,0.89,0.89,0.89,0.89,503,448
08.03.2018,0.89,0.89,0.89,0.89,2,2
07.03.2018,0.89,0.89,0.89,0.89,2,2
06.03.2018,0.89,0.89,0.89,0.89,20,18
05.03.2018,0.87,0.87,0.87,0.87,501,436
26.02.2018,0.89,0.89,0.89,0.89,787,700
23.02.2018,0.88,0.88,0.87,0.87,3922,3432
22.02.2018,0.83,0.88,0.83,0.88,5500,4690
21.02.2018,0.87,0.87,0.87,0.87,2,2
20.02.2018,0.87,0.87,0.87,0.87,2,2
19.02.2018,0.85,0.87,0.85,0.87,150,128
16.02.2018,0.87,0.87,0.87,0.87,2,2
15.02.2018,0.87,0.87,0.87,0.87,2,2
14.02.2018,0.87,0.87,0.87,0.87,2,2
13.02.2018,0.87,0.87,0.87,0.87,2,2
12.02.2018,0.87,0.87,0.87,0.87,2,2
09.02.2018,0.87,0.87,0.87,0.87,5,4
08.02.2018,0.87,0.87,0.87,0.87,5,4
07.02.2018,0.87,0.87,0.87,0.87,5,4
06.02.2018,0.87,0.87,0.87,0.87,5,4
05.02.2018,0.87,0.87,0.87,0.87,5,4
02.02.2018,0.80,0.87,0.80,0.87,988,792
01.02.2018,0.86,0.86,0.86,0.86,1190,1023
31.01.2018,0.87,0.87,0.87,0.87,10,9
30.01.2018,0.80,0.86,0.80,0.86,30,25
29.01.2018,0.73,0.73,0.73,0.73,10,7
26.01.2018,0.70,0.70,0.70,0.70,1600,1120
25.01.2018,0.73,0.73,0.73,0.73,3100,2263
24.01.2018,0.80,0.80,0.80,0.80,1000,800
19.01.2018,0.87,0.87,0.87,0.87,5,4
18.01.2018,0.87,0.87,0.87,0.87,5,4
17.01.2018,0.87,0.87,0.87,0.87,5,4
16.01.2018,0.87,0.87,0.87,0.87,5,4
15.01.2018,0.87,0.87,0.87,0.87,5,4
12.01.2018,0.87,0.87,0.87,0.87,5,4
11.01.2018,0.87,0.87,0.87,0.87,5,4
10.01.2018,0.87,0.87,0.87,0.87,2,2
09.01.2018,0.87,0.87,0.87,0.87,101,88
08.01.2018,0.87,0.87,0.87,0.87,5,4
05.01.2018,0.83,0.87,0.83,0.87,50,42
04.01.2018,0.76,0.76,0.76,0.76,10600,8056
03.01.2018,0.88,0.88,0.88,0.88,20,18
29.12.2017,0.84,0.84,0.84,0.84,5,4
28.12.2017,0.84,0.84,0.84,0.84,5,4
27.12.2017,0.84,0.84,0.84,0.84,2106,1769
22.12.2017,0.80,0.80,0.80,0.80,40,32
21.12.2017,0.77,0.77,0.77,0.77,20,15
20.12.2017,0.70,0.70,0.70,0.70,4200,2940
19.12.2017,0.70,0.70,0.70,0.70,1105,774
18.12.2017,0.72,0.79,0.72,0.79,2079,1505
14.12.2017,0.85,0.85,0.85,0.85,206,175
13.12.2017,0.85,0.85,0.85,0.85,5,4
12.12.2017,0.85,0.85,0.85,0.85,30,26
11.12.2017,0.87,0.87,0.78,0.78,521,408
08.12.2017,0.86,0.86,0.80,0.80,105,84
07.12.2017,0.85,0.85,0.85,0.85,100,85
06.12.2017,0.86,0.86,0.86,0.86,1,1
05.12.2017,0.86,0.86,0.86,0.86,1288,1108
30.11.2017,0.86,0.86,0.86,0.86,800,688
29.11.2017,0.82,0.82,0.82,0.82,100,82
28.11.2017,0.73,0.73,0.73,0.73,1000,730
27.11.2017,0.84,0.84,0.84,0.84,1,1
24.11.2017,0.81,0.84,0.81,0.84,201,164
23.11.2017,0.72,0.72,0.72,0.72,3807,2741
21.11.2017,0.77,0.77,0.77,0.77,1,1
20.11.2017,0.77,0.77,0.77,0.77,5,4
17.11.2017,0.78,0.78,0.78,0.78,2,2
15.11.2017,0.78,0.78,0.78,0.78,1,1
14.11.2017,0.78,0.78,0.78,0.78,320,250
13.11.2017,0.79,0.79,0.79,0.79,5,4
10.11.2017,0.75,0.75,0.75,0.75,1000,750
07.11.2017,0.85,0.85,0.85,0.85,1625,1381
06.11.2017,0.85,0.85,0.85,0.85,50,43
02.11.2017,0.83,0.83,0.83,0.83,2,2
26.10.2017,0.83,0.83,0.83,0.83,5,4
25.10.2017,0.83,0.83,0.83,0.83,5,4
24.10.2017,0.82,0.82,0.82,0.82,3010,2468
23.10.2017,0.85,0.85,0.85,0.85,5,4
20.10.2017,0.76,0.85,0.76,0.85,318,251
19.10.2017,0.73,0.85,0.73,0.85,2562,1936
18.10.2017,0.83,0.83,0.83,0.83,1350,1121
17.10.2017,0.80,0.83,0.80,0.83,1650,1324
16.10.2017,0.80,0.80,0.80,0.80,50,40
13.10.2017,0.74,0.75,0.74,0.75,64093,47805
12.10.2017,0.67,0.67,0.67,0.67,11473,7687
