Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,3.90,4.00,3.72,3.72,2650,10270
27.09.2018,3.86,3.86,3.77,3.77,171,649
25.09.2018,4.21,4.21,3.86,3.86,252,987
24.09.2018,4.19,4.19,4.19,4.19,37,155
21.09.2018,4.32,4.32,3.86,3.86,1703,6772
19.09.2018,5.00,5.00,4.20,4.20,825,3833
18.09.2018,4.99,5.00,4.99,5.00,948,4739
17.09.2018,5.00,5.00,4.99,4.99,44,220
14.09.2018,5.00,5.00,5.00,5.00,18,90
13.09.2018,5.00,5.00,5.00,5.00,45,225
12.09.2018,5.00,5.00,5.00,5.00,57,285
11.09.2018,5.00,5.00,5.00,5.00,43,215
10.09.2018,5.00,5.00,5.00,5.00,42,210
07.09.2018,5.00,5.00,5.00,5.00,43,215
06.09.2018,5.00,5.00,5.00,5.00,57,285
05.09.2018,5.00,5.00,5.00,5.00,10,50
04.09.2018,5.00,5.00,5.00,5.00,400,2000
31.08.2018,5.00,5.02,5.00,5.00,873,4369
30.08.2018,4.90,4.91,4.90,4.91,61,299
28.08.2018,4.68,4.70,4.68,4.70,563,2643
27.08.2018,4.10,4.68,4.10,4.68,3009,12972
24.08.2018,3.80,4.48,3.80,4.48,4105,16315
23.08.2018,3.69,4.00,3.40,4.00,3199,11256
22.08.2018,3.69,3.69,3.69,3.69,21,77
21.08.2018,3.47,3.47,3.47,3.47,2,7
20.08.2018,3.49,3.49,3.47,3.47,15,52
17.08.2018,3.49,3.49,3.49,3.49,12,42
16.08.2018,3.68,3.68,3.41,3.41,2215,7796
14.08.2018,3.68,3.68,3.68,3.68,27,99
13.08.2018,3.68,3.68,3.68,3.68,11,40
10.08.2018,3.68,3.68,3.68,3.68,17,63
09.08.2018,3.72,3.72,3.68,3.68,17,63
08.08.2018,3.81,3.81,3.56,3.56,592,2128
07.08.2018,3.81,3.81,3.81,3.81,19,72
06.08.2018,3.81,3.81,3.81,3.81,14,53
03.08.2018,3.81,3.81,3.81,3.81,19,72
02.08.2018,3.81,3.81,3.81,3.81,32,122
01.08.2018,3.70,3.70,3.70,3.70,1000,3700
31.07.2018,3.78,3.78,3.60,3.60,4362,15883
30.07.2018,3.60,3.68,3.59,3.68,2034,7425
27.07.2018,3.60,3.60,3.31,3.60,1045,3563
26.07.2018,3.67,3.67,3.41,3.41,62,221
25.07.2018,3.58,3.58,3.40,3.40,139,478
24.07.2018,3.22,3.38,3.22,3.38,205,676
23.07.2018,3.40,3.40,3.31,3.31,54,182
20.07.2018,3.30,3.59,3.30,3.40,109,376
19.07.2018,3.67,3.67,3.64,3.64,42,153
18.07.2018,3.51,3.60,3.34,3.60,327,1108
17.07.2018,3.68,3.68,3.68,3.68,1235,4545
16.07.2018,3.80,3.80,3.66,3.66,2172,7966
13.07.2018,3.99,3.99,3.99,3.99,21,84
12.07.2018,3.99,3.99,3.99,3.99,10,40
11.07.2018,3.99,3.99,3.99,3.99,17,68
10.07.2018,3.99,3.99,3.99,3.99,23,92
09.07.2018,3.99,3.99,3.99,3.99,17,68
06.07.2018,4.00,4.00,3.99,3.99,17,68
05.07.2018,4.00,4.00,4.00,4.00,12,48
04.07.2018,4.00,4.00,4.00,4.00,14,56
03.07.2018,4.20,4.20,4.00,4.00,712,2848
02.07.2018,4.20,4.20,4.20,4.20,14,59
28.06.2018,4.20,4.20,4.00,4.00,2120,8529
27.06.2018,4.00,4.00,4.00,4.00,3450,13800
26.06.2018,4.20,4.20,4.20,4.20,14,59
25.06.2018,4.25,4.25,4.25,4.25,5108,21709
22.06.2018,4.46,4.46,4.46,4.46,13,58
21.06.2018,4.46,4.46,4.46,4.46,500,2230
20.06.2018,4.65,4.65,4.46,4.46,472,2107
19.06.2018,4.65,4.65,4.65,4.65,12,56
18.06.2018,4.65,4.65,4.65,4.65,11,51
15.06.2018,4.65,4.65,4.65,4.65,12,56
14.06.2018,4.65,4.65,4.65,4.65,18,84
13.06.2018,4.65,4.65,4.46,4.46,83,372
12.06.2018,4.65,4.65,4.65,4.65,15,70
11.06.2018,4.65,4.65,4.65,4.65,10,47
07.06.2018,4.65,4.65,4.65,4.65,1,5
06.06.2018,4.65,4.65,4.65,4.65,22,102
05.06.2018,4.65,4.65,4.65,4.65,20,93
04.06.2018,4.65,4.65,4.65,4.65,10,47
01.06.2018,4.68,4.68,4.68,4.68,10,47
30.05.2018,4.68,4.68,4.68,4.68,50,234
29.05.2018,4.68,4.68,4.68,4.68,16,75
28.05.2018,4.68,4.68,4.68,4.68,17,80
25.05.2018,4.50,4.50,4.50,4.50,11,50
24.05.2018,4.09,4.47,4.09,4.47,3261,14175
22.05.2018,4.50,4.50,4.50,4.50,11,50
21.05.2018,4.36,4.36,4.36,4.36,12,52
18.05.2018,4.50,4.50,4.36,4.36,222,968
17.05.2018,4.50,4.50,4.50,4.50,11,50
16.05.2018,4.50,4.50,4.50,4.50,11,50
15.05.2018,4.50,4.50,4.50,4.50,10,45
14.05.2018,4.68,4.68,4.50,4.50,11,50
11.05.2018,4.48,4.48,4.48,4.48,10,45
10.05.2018,4.48,4.48,4.48,4.48,11,49
09.05.2018,4.36,4.48,4.36,4.48,74,324
04.05.2018,4.68,4.68,4.34,4.55,153,688
02.05.2018,4.68,4.68,4.55,4.68,12,56
30.04.2018,4.59,4.59,4.59,4.59,33,151
27.04.2018,4.59,4.59,4.59,4.59,10,46
26.04.2018,4.59,4.59,4.51,4.59,278,1254
25.04.2018,4.50,4.50,4.50,4.50,10,45
24.04.2018,4.50,4.50,4.50,4.50,10,45
23.04.2018,4.50,4.50,4.50,4.50,10,45
20.04.2018,4.50,4.50,4.30,4.49,623,2738
19.04.2018,4.50,4.50,4.40,4.40,19,84
18.04.2018,4.50,4.50,4.40,4.40,10,44
17.04.2018,4.50,4.50,4.45,4.45,12,53
16.04.2018,4.50,4.50,4.40,4.40,13,57
13.04.2018,4.05,4.49,4.05,4.49,371,1661
12.04.2018,4.50,4.50,4.49,4.49,12,54
11.04.2018,4.50,4.50,4.50,4.50,13,59
10.04.2018,4.50,4.50,4.50,4.50,20,90
09.04.2018,4.50,4.50,4.41,4.50,72,319
06.04.2018,4.50,4.50,4.50,4.50,16,72
05.04.2018,4.58,4.58,4.50,4.50,12,54
04.04.2018,4.42,4.58,4.42,4.58,306,1354
03.04.2018,4.68,4.68,4.42,4.42,32,142
29.03.2018,4.60,4.60,4.60,4.60,32,147
28.03.2018,4.60,4.60,4.60,4.60,15,69
27.03.2018,4.60,4.60,4.60,4.60,37,170
26.03.2018,4.60,4.60,4.42,4.60,193,888
23.03.2018,4.60,4.60,4.60,4.60,2,9
22.03.2018,4.60,4.60,4.60,4.60,22,101
21.03.2018,4.60,4.60,4.60,4.60,26,120
20.03.2018,4.65,4.65,4.60,4.60,29,134
19.03.2018,4.62,4.65,4.41,4.65,1008,4683
16.03.2018,4.62,4.62,4.62,4.62,36,166
15.03.2018,4.62,4.62,4.62,4.62,27,125
14.03.2018,4.62,4.62,4.62,4.62,30,139
13.03.2018,4.60,4.60,4.57,4.57,562,2569
12.03.2018,4.60,4.60,4.60,4.60,22,101
09.03.2018,4.64,4.64,4.64,4.64,48,223
08.03.2018,4.68,4.68,4.44,4.65,8428,38182
07.03.2018,4.68,4.68,4.68,4.68,55,257
06.03.2018,4.68,4.68,4.68,4.68,10,47
05.03.2018,4.68,4.68,4.68,4.68,26,122
02.03.2018,4.41,4.68,4.41,4.68,34,154
01.03.2018,4.68,4.68,4.68,4.68,16,75
28.02.2018,4.62,4.65,4.62,4.65,38,177
27.02.2018,4.61,4.61,4.61,4.61,18,83
26.02.2018,4.20,4.62,4.20,4.61,3194,14213
23.02.2018,4.65,4.65,4.65,4.65,17,79
22.02.2018,4.65,4.65,4.65,4.65,10,47
21.02.2018,4.65,4.65,4.65,4.65,14,65
20.02.2018,4.65,4.65,4.65,4.65,10,47
19.02.2018,4.65,4.65,4.65,4.65,15,70
15.02.2018,4.50,4.65,4.40,4.65,4599,20625
14.02.2018,4.65,4.65,4.65,4.65,43,200
13.02.2018,4.67,4.67,4.67,4.67,100,467
09.02.2018,4.68,4.68,4.68,4.68,12,56
08.02.2018,4.67,4.67,4.67,4.67,11,51
07.02.2018,4.68,4.68,4.67,4.67,23,108
06.02.2018,4.14,4.60,4.14,4.60,3725,15798
05.02.2018,4.60,4.60,4.60,4.60,13,60
02.02.2018,4.70,4.70,4.60,4.60,902,4149
01.02.2018,4.70,4.70,4.70,4.70,20,94
31.01.2018,4.70,4.70,4.70,4.70,500,2350
30.01.2018,4.70,4.70,4.70,4.70,10,47
29.01.2018,4.70,4.70,4.70,4.70,10,47
26.01.2018,4.70,4.70,4.70,4.70,27,127
25.01.2018,4.70,4.70,4.70,4.70,35,165
24.01.2018,5.00,5.00,5.00,5.00,36,180
22.01.2018,5.00,5.00,5.00,5.00,75,375
19.01.2018,5.00,5.00,5.00,5.00,10,50
18.01.2018,5.00,5.00,5.00,5.00,10,50
17.01.2018,5.00,5.00,5.00,5.00,10,50
16.01.2018,5.00,5.00,5.00,5.00,10,50
12.01.2018,5.00,5.00,5.00,5.00,10,50
10.01.2018,4.73,4.73,4.73,4.73,10,47
09.01.2018,4.73,4.73,4.73,4.73,100,473
08.01.2018,4.66,4.66,4.66,4.66,2610,12163
05.01.2018,4.72,5.00,4.66,4.66,469,2216
04.01.2018,5.00,5.00,5.00,5.00,20,100
29.12.2017,4.98,5.00,4.85,5.00,6107,30242
28.12.2017,4.75,5.00,4.75,5.00,1683,8019
27.12.2017,4.55,4.80,4.55,4.80,1381,6629
22.12.2017,4.30,4.80,4.30,4.80,3786,18136
21.12.2017,4.69,4.69,4.69,4.69,10,47
20.12.2017,4.79,4.79,4.33,4.70,5955,27709
19.12.2017,4.40,4.80,4.21,4.80,2267,10426
18.12.2017,4.84,4.84,4.84,4.84,10,48
15.12.2017,4.84,4.84,4.84,4.84,25,121
14.12.2017,4.84,4.84,4.84,4.84,48,232
13.12.2017,4.84,4.84,4.84,4.84,15,73
11.12.2017,4.84,4.84,4.84,4.84,11,53
07.12.2017,4.84,4.84,4.84,4.84,10,48
06.12.2017,4.84,4.84,4.84,4.84,10,48
05.12.2017,4.59,4.59,4.59,4.59,1,5
04.12.2017,4.84,4.84,4.84,4.84,12,58
01.12.2017,4.84,4.84,4.84,4.84,10,48
30.11.2017,4.84,4.84,4.84,4.84,15,73
29.11.2017,4.84,4.84,4.84,4.84,2,10
28.11.2017,4.84,4.84,4.84,4.84,10,48
27.11.2017,4.84,4.84,4.84,4.84,10,48
24.11.2017,4.59,4.59,4.59,4.59,4,18
23.11.2017,4.72,4.72,4.50,4.50,1662,7479
22.11.2017,4.83,4.83,4.49,4.49,4155,19116
21.11.2017,4.84,4.84,4.68,4.83,84,396
20.11.2017,4.84,4.84,4.84,4.84,22,106
16.11.2017,4.85,4.85,4.85,4.85,20,97
15.11.2017,4.85,4.85,4.85,4.85,20,97
14.11.2017,4.89,4.89,4.50,4.84,5502,25780
13.11.2017,4.99,4.99,4.45,4.87,17041,78767
10.11.2017,5.00,5.00,4.99,4.99,19,95
09.11.2017,5.09,5.09,5.09,5.09,11,56
08.11.2017,5.10,5.10,4.91,5.09,2958,14651
07.11.2017,5.10,5.10,5.10,5.10,13,66
06.11.2017,5.10,5.10,5.10,5.10,15,77
03.11.2017,5.10,5.10,5.10,5.10,24,122
02.11.2017,5.14,5.14,5.10,5.10,14,72
31.10.2017,5.15,5.15,5.14,5.14,20,103
30.10.2017,5.15,5.15,5.15,5.15,16,82
27.10.2017,5.20,5.20,5.15,5.15,118,608
26.10.2017,5.20,5.20,5.20,5.20,24,125
25.10.2017,5.20,5.20,5.20,5.20,15,78
24.10.2017,5.20,5.20,5.20,5.20,11,57
23.10.2017,4.99,5.20,4.99,5.20,1936,9788
20.10.2017,5.00,5.20,5.00,5.20,2017,10148
19.10.2017,5.20,5.20,5.20,5.20,21,109
18.10.2017,5.04,5.04,5.04,5.04,34,171
17.10.2017,5.04,5.04,5.04,5.04,32,161
16.10.2017,5.04,5.04,5.04,5.04,815,4108
11.10.2017,4.82,5.20,4.82,5.20,2000,9807
06.10.2017,5.20,5.20,5.20,5.20,11,57
05.10.2017,5.20,5.20,5.20,5.20,17,88
04.10.2017,5.20,5.20,5.20,5.20,20,104
03.10.2017,4.76,4.90,4.76,4.90,1509,7184
02.10.2017,4.98,4.98,4.98,4.98,24,120
29.09.2017,4.76,4.99,4.76,4.98,1501,7480
28.09.2017,5.21,5.21,5.21,5.21,5,26
27.09.2017,4.90,4.90,4.90,4.90,900,4410
26.09.2017,4.90,4.90,4.90,4.90,15,74
25.09.2017,5.19,5.19,4.90,4.90,2749,13551
22.09.2017,5.18,5.19,5.18,5.19,44,228
21.09.2017,5.19,5.19,5.19,5.19,29,151
20.09.2017,5.20,5.20,5.20,5.20,30,156
19.09.2017,5.20,5.20,5.20,5.20,20,104
18.09.2017,5.20,5.20,5.20,5.20,10,52
15.09.2017,5.21,5.21,5.21,5.21,1674,8722
14.09.2017,5.42,5.42,5.21,5.41,63,339
13.09.2017,5.46,5.46,5.43,5.43,246,1337
12.09.2017,5.40,5.49,5.05,5.30,3957,20940
11.09.2017,5.49,5.49,5.49,5.49,46,253
08.09.2017,5.50,5.50,5.50,5.50,48,264
07.09.2017,5.32,5.50,5.32,5.50,836,4484
05.09.2017,5.50,5.50,5.50,5.50,120,660
04.09.2017,5.50,5.50,5.50,5.50,30,165
01.09.2017,5.50,5.50,5.50,5.50,120,660
31.08.2017,5.58,5.58,5.58,5.58,120,670
30.08.2017,5.36,5.58,5.36,5.58,28047,152178
29.08.2017,5.36,5.60,5.36,5.60,140,779
28.08.2017,5.60,5.60,5.60,5.60,20,112
25.08.2017,5.60,5.60,5.60,5.60,36,202
24.08.2017,5.60,5.60,5.60,5.60,22,123
23.08.2017,5.07,5.60,5.07,5.60,2134,11943
22.08.2017,5.60,5.60,5.60,5.60,20,112
21.08.2017,5.60,5.60,5.60,5.60,34,190
18.08.2017,5.60,5.60,5.60,5.60,30,168
17.08.2017,5.60,5.60,5.60,5.60,20,112
16.08.2017,5.60,5.60,5.60,5.60,28,157
14.08.2017,5.36,5.59,5.36,5.59,84,459
10.08.2017,5.59,5.59,5.59,5.59,36,201
09.08.2017,5.59,5.59,5.59,5.59,31,173
08.08.2017,5.20,5.62,5.20,5.61,406,2226
07.08.2017,5.66,5.66,5.36,5.65,3198,17656
04.08.2017,5.40,5.66,5.40,5.66,520,2938
03.08.2017,5.90,5.90,5.90,5.90,24,142
02.08.2017,5.63,5.68,5.63,5.68,1373,7731
01.08.2017,5.89,5.89,5.83,5.83,58,340
31.07.2017,5.90,5.90,5.90,5.90,46,271
28.07.2017,5.83,5.83,5.83,5.83,16,93
27.07.2017,5.83,5.83,5.83,5.83,19,111
25.07.2017,5.83,5.83,5.83,5.83,48,280
24.07.2017,5.85,5.85,5.81,5.81,63,367
21.07.2017,5.81,5.81,5.81,5.81,45,261
20.07.2017,5.87,5.87,5.87,5.87,45,264
19.07.2017,5.87,5.87,5.84,5.84,45,264
18.07.2017,5.84,5.90,5.84,5.87,52,305
14.07.2017,5.90,5.90,5.85,5.85,79,464
13.07.2017,5.85,5.85,5.85,5.85,36,211
12.07.2017,5.90,5.90,5.90,5.90,48,283
11.07.2017,5.90,5.90,5.90,5.90,35,207
10.07.2017,5.90,5.90,5.90,5.90,48,283
06.07.2017,5.90,5.90,5.90,5.90,22,130
30.06.2017,6.00,6.00,5.60,5.90,8336,48932
29.06.2017,6.00,6.15,5.85,6.00,4464,26638
28.06.2017,6.50,6.50,5.95,6.00,94006,564712
27.06.2017,6.00,6.01,6.00,6.01,1109,6657
26.06.2017,6.00,6.01,6.00,6.01,1570,9431
22.06.2017,5.93,5.93,5.90,5.90,3702,21852
21.06.2017,6.18,6.18,5.89,5.89,2920,17220
20.06.2017,6.18,6.18,6.17,6.17,350,2161
16.06.2017,6.17,6.18,5.89,6.18,949,5735
13.06.2017,5.91,5.91,5.90,5.90,383,2262
12.06.2017,5.90,5.90,5.90,5.90,17,100
08.06.2017,5.89,5.89,5.89,5.89,2000,11780
06.06.2017,5.90,5.93,5.89,5.89,6546,38619
05.06.2017,6.00,6.00,6.00,6.00,800,4800
02.06.2017,6.00,6.00,6.00,6.00,20,120
01.06.2017,6.05,6.05,5.89,6.00,18395,109649
31.05.2017,6.14,6.14,6.00,6.08,39525,239962
30.05.2017,6.14,6.29,6.00,6.08,89667,545493
29.05.2017,6.16,6.24,6.16,6.17,11230,69255
26.05.2017,6.00,6.05,6.00,6.05,2548,15290
25.05.2017,6.00,6.10,6.00,6.09,9538,57881
24.05.2017,6.00,6.11,6.00,6.11,9028,54718
23.05.2017,6.00,6.12,6.00,6.12,5017,30704
19.05.2017,6.00,6.00,6.00,6.00,14014,84084
18.05.2017,6.24,6.24,6.00,6.00,10764,64587
17.05.2017,6.24,6.24,6.24,6.24,12,75
16.05.2017,6.24,6.24,6.24,6.24,26,162
15.05.2017,6.24,6.24,6.24,6.24,26,162
12.05.2017,6.24,6.24,6.24,6.24,69,431
11.05.2017,6.24,6.24,6.24,6.24,13,81
10.05.2017,6.20,6.24,6.20,6.24,540,3353
09.05.2017,6.24,6.24,6.24,6.24,22,137
08.05.2017,6.01,6.24,6.01,6.24,1380,8524
05.05.2017,6.24,6.24,6.24,6.24,500,3120
04.05.2017,6.00,6.24,6.00,6.24,2414,14947
28.04.2017,5.83,6.23,5.83,6.23,7288,45129
27.04.2017,6.23,6.23,6.00,6.00,6328,38109
26.04.2017,6.22,6.23,6.22,6.23,40,249
25.04.2017,6.12,6.23,6.00,6.10,25375,154836
24.04.2017,6.19,6.25,6.19,6.25,5713,35558
21.04.2017,5.87,6.20,5.87,6.20,572,3509
20.04.2017,6.20,6.20,5.97,6.20,1605,9744
19.04.2017,6.19,6.19,6.19,6.19,20,124
18.04.2017,6.20,6.20,6.20,6.20,20,124
13.04.2017,6.20,6.20,6.20,6.20,22,136
12.04.2017,6.20,6.20,6.20,6.20,10,62
11.04.2017,6.20,6.20,6.20,6.20,18,112
10.04.2017,6.20,6.20,6.20,6.20,22,136
07.04.2017,6.20,6.20,6.20,6.20,185,1147
06.04.2017,5.99,6.19,5.99,6.19,67,407
05.04.2017,5.99,6.20,5.99,6.20,2050,12700
04.04.2017,6.11,6.11,6.11,6.11,4235,25876
03.04.2017,6.14,6.39,6.14,6.31,5725,35957
31.03.2017,6.30,6.30,6.30,6.30,10,63
30.03.2017,6.27,6.30,6.27,6.30,500,3146
29.03.2017,6.20,6.30,6.20,6.30,1045,6564
28.03.2017,6.30,6.30,6.30,6.30,42,265
27.03.2017,6.27,6.27,6.27,6.27,47,295
24.03.2017,6.07,6.27,6.00,6.27,1471,9094
23.03.2017,6.25,6.25,6.25,6.25,51,319
22.03.2017,6.30,6.30,6.07,6.25,695,4332
21.03.2017,6.30,6.30,6.30,6.30,25,158
20.03.2017,6.30,6.30,6.30,6.30,49,309
17.03.2017,6.30,6.30,6.30,6.30,49,309
16.03.2017,6.59,6.59,6.30,6.30,33062,208317
15.03.2017,5.95,6.34,5.95,6.34,2108,13135
14.03.2017,6.10,6.10,6.10,6.10,10,61
13.03.2017,6.10,6.10,6.10,6.10,40,244
10.03.2017,6.10,6.10,6.00,6.10,6330,38406
09.03.2017,6.10,6.10,6.10,6.10,41,250
08.03.2017,6.10,6.10,6.10,6.10,14,85
07.03.2017,6.10,6.10,6.10,6.10,47,287
06.03.2017,6.10,6.10,6.10,6.10,43,262
03.03.2017,6.05,6.05,6.05,6.05,20,121
02.03.2017,6.05,6.05,5.80,6.05,4011,24074
01.03.2017,6.10,6.10,6.10,6.10,20,122
28.02.2017,5.91,6.10,5.91,6.10,15019,91615
27.02.2017,6.05,6.35,6.05,6.10,6008,37263
24.02.2017,6.10,6.30,5.81,6.30,3069,19053
23.02.2017,5.90,6.30,5.90,6.30,4641,28726
22.02.2017,6.10,6.10,6.10,6.10,14,85
21.02.2017,6.00,6.00,6.00,6.00,22,132
20.02.2017,6.10,6.10,6.10,6.10,15,92
17.02.2017,6.10,6.10,6.10,6.10,11,67
16.02.2017,5.67,6.10,5.11,6.10,5560,31003
15.02.2017,5.67,5.67,5.67,5.67,12,68
14.02.2017,5.67,5.67,5.67,5.67,316,1792
13.02.2017,5.45,5.67,5.45,5.67,5510,31131
10.02.2017,5.50,5.50,5.50,5.50,322,1771
09.02.2017,5.67,5.67,5.67,5.67,10,57
08.02.2017,5.68,5.68,5.67,5.67,348,1976
07.02.2017,5.71,5.71,5.33,5.67,3059,17352
06.02.2017,5.89,5.89,5.89,5.89,24,141
03.02.2017,5.89,5.89,5.80,5.80,4895,28516
02.02.2017,6.00,6.00,6.00,6.00,424,2544
01.02.2017,6.10,6.10,6.00,6.00,5011,30067
31.01.2017,6.15,6.17,6.00,6.00,14662,88484
30.01.2017,6.00,6.15,6.00,6.15,198,1211
27.01.2017,6.20,6.20,6.15,6.20,724,4469
26.01.2017,6.15,6.20,6.15,6.20,66,406
25.01.2017,5.92,6.20,5.92,6.20,479,2900
24.01.2017,6.20,6.20,6.20,6.20,18,112
23.01.2017,6.20,6.20,6.20,6.20,28,174
20.01.2017,6.20,6.20,5.93,5.93,325,1934
19.01.2017,6.20,6.20,6.20,6.20,236,1463
18.01.2017,6.20,6.20,6.20,6.20,318,1972
17.01.2017,6.20,6.20,6.20,6.20,22,136
16.01.2017,5.92,6.20,5.92,6.20,44,263
13.01.2017,6.00,6.20,6.00,6.20,20,123
12.01.2017,6.00,6.00,6.00,6.00,12,72
11.01.2017,6.00,6.00,6.00,6.00,22,132
10.01.2017,6.20,6.20,6.20,6.20,119,738
09.01.2017,6.18,6.20,5.92,5.92,25,152
05.01.2017,6.18,6.20,6.18,6.20,166,1026
04.01.2017,6.20,6.20,6.20,6.20,25,155
03.01.2017,6.20,6.20,6.20,6.20,22,136
02.01.2017,6.00,6.00,5.92,5.92,331,1972
30.12.2016,6.00,6.18,5.99,5.99,9001,54516
29.12.2016,5.99,6.17,5.99,6.17,1994,12070
28.12.2016,6.00,6.00,5.90,5.90,3233,19299
27.12.2016,6.25,6.25,6.00,6.15,3125,19021
23.12.2016,6.16,6.16,6.16,6.16,51,314
22.12.2016,6.18,6.18,5.95,6.16,542,3327
20.12.2016,5.99,6.18,5.90,6.18,2021,12203
19.12.2016,6.00,6.00,6.00,6.00,120,720
16.12.2016,6.00,6.00,6.00,6.00,1250,7500
15.12.2016,6.21,6.21,6.21,6.21,1,6
14.12.2016,6.03,6.23,6.03,6.23,1755,10682
13.12.2016,6.00,6.00,6.00,6.00,10,60
12.12.2016,6.00,6.00,6.00,6.00,10,60
09.12.2016,6.00,6.00,6.00,6.00,16,96
08.12.2016,6.00,6.00,6.00,6.00,10,60
07.12.2016,6.00,6.00,6.00,6.00,101,606
06.12.2016,5.99,6.00,5.99,6.00,16,96
05.12.2016,6.00,6.00,6.00,6.00,11,66
02.12.2016,6.00,6.00,6.00,6.00,10,60
01.12.2016,6.00,6.00,6.00,6.00,4127,24762
30.11.2016,6.10,6.20,6.00,6.20,18105,111589
29.11.2016,6.10,6.10,6.10,6.10,11,67
28.11.2016,6.09,6.09,6.09,6.09,52,317
25.11.2016,6.10,6.10,6.10,6.10,29,177
