Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,4.60,4.75,4.60,4.75,51,235
31.10.2018,4.74,4.75,4.74,4.75,4406,20914
30.10.2018,4.74,4.74,4.74,4.74,1,5
29.10.2018,4.74,4.75,4.74,4.75,1600,7585
26.10.2018,4.74,4.74,4.55,4.70,6502,29994
25.10.2018,4.61,4.77,4.61,4.65,3108,14433
24.10.2018,4.74,4.77,4.73,4.75,10159,48289
23.10.2018,4.68,4.68,4.60,4.60,1467,6833
22.10.2018,4.78,4.78,4.51,4.74,131,592
19.10.2018,4.60,4.79,4.50,4.78,6716,30673
18.10.2018,4.61,4.78,4.40,4.70,4792,21917
17.10.2018,4.80,4.93,4.80,4.90,6176,30031
16.10.2018,4.80,4.87,4.64,4.70,1064,4965
15.10.2018,4.79,4.90,4.79,4.90,4210,20351
12.10.2018,4.85,4.91,4.43,4.79,45531,215992
11.10.2018,4.80,4.95,4.80,4.95,241223,1192867
10.10.2018,4.82,4.95,4.82,4.95,70452,348336
09.10.2018,4.95,4.95,4.78,4.95,78562,388740
08.10.2018,4.95,4.96,4.94,4.95,100402,496963
05.10.2018,4.90,4.93,4.77,4.93,39528,193546
04.10.2018,4.92,4.92,4.88,4.88,2021,9885
03.10.2018,4.55,4.93,4.55,4.90,120030,571058
02.10.2018,4.49,4.49,4.40,4.49,4113,18452
01.10.2018,4.45,4.49,4.40,4.45,3545,15763
28.09.2018,4.49,4.49,4.49,4.49,10,45
27.09.2018,4.49,4.49,4.49,4.49,10,45
26.09.2018,4.50,4.50,4.40,4.48,1900,8386
25.09.2018,4.49,4.50,4.49,4.50,1854,8325
24.09.2018,4.49,4.50,4.49,4.49,15491,69555
21.09.2018,4.44,4.50,4.44,4.49,3649,16280
20.09.2018,4.44,4.44,4.40,4.44,8007,35268
19.09.2018,4.44,4.44,4.44,4.44,1009,4480
18.09.2018,4.44,4.44,4.32,4.32,5452,23827
17.09.2018,4.40,4.44,4.40,4.42,4832,21267
14.09.2018,4.49,4.49,4.40,4.49,1009,4440
13.09.2018,4.41,4.50,4.37,4.50,11458,50660
12.09.2018,4.40,4.41,4.31,4.41,18257,79932
