Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,2.87,2.87,2.68,2.73,9110,24726
31.10.2018,2.70,2.87,2.70,2.72,3630,9863
30.10.2018,2.58,2.70,2.58,2.67,6086,15991
29.10.2018,2.60,2.65,2.52,2.58,6447,16589
26.10.2018,2.66,2.70,2.66,2.69,1195,3196
25.10.2018,2.60,2.70,2.60,2.70,4814,12543
24.10.2018,2.73,2.73,2.65,2.70,2067,5522
23.10.2018,2.70,2.80,2.67,2.75,2006,5494
22.10.2018,2.80,2.80,2.66,2.66,8126,21895
19.10.2018,2.95,2.95,2.67,2.80,30412,83732
18.10.2018,2.80,2.90,2.60,2.90,30506,84966
17.10.2018,2.74,2.85,2.73,2.82,4407,12267
16.10.2018,2.82,2.82,2.82,2.82,2000,5640
15.10.2018,2.87,2.90,2.82,2.85,5915,16892
12.10.2018,2.94,2.95,2.70,2.81,14880,41850
11.10.2018,2.90,2.95,2.88,2.95,7992,23179
10.10.2018,2.95,2.95,2.90,2.90,743,2169
09.10.2018,2.95,2.95,2.90,2.90,11348,33218
08.10.2018,2.93,2.95,2.93,2.95,17660,52066
05.10.2018,2.93,2.95,2.93,2.95,2500,7371
04.10.2018,2.97,2.97,2.92,2.92,9326,27385
03.10.2018,3.00,3.00,2.95,2.99,12060,36106
02.10.2018,3.04,3.11,3.03,3.10,6764,20865
01.10.2018,3.01,3.04,3.01,3.03,21039,63746
28.09.2018,3.18,3.18,3.10,3.10,1653,5142
27.09.2018,3.18,3.20,3.18,3.20,1560,4988
26.09.2018,3.13,3.28,3.11,3.19,38746,123386
25.09.2018,3.14,3.17,3.00,3.10,14930,45339
24.09.2018,3.15,3.15,3.00,3.00,4620,13952
21.09.2018,3.10,3.10,2.97,3.10,2642,7956
20.09.2018,3.05,3.15,3.04,3.10,3339,10337
19.09.2018,3.05,3.05,2.84,3.05,2454,7267
18.09.2018,3.08,3.10,3.05,3.10,2613,8069
17.09.2018,3.10,3.10,3.09,3.09,2163,6694
14.09.2018,3.16,3.16,3.05,3.10,1820,5687
13.09.2018,3.18,3.18,3.00,3.16,1703,5413
12.09.2018,3.00,3.18,2.99,3.18,12094,36283
11.09.2018,3.00,3.02,3.00,3.00,5940,17836
10.09.2018,3.10,3.10,3.00,3.00,42505,127723
07.09.2018,2.99,3.10,2.95,3.10,12252,37060
06.09.2018,2.94,3.00,2.74,3.00,235947,679375
05.09.2018,3.02,3.02,2.89,3.00,14833,43463
04.09.2018,2.96,2.99,2.82,2.99,50785,147541
03.09.2018,3.18,3.18,3.00,3.00,16054,48704
31.08.2018,3.12,3.18,2.98,3.18,29086,88661
30.08.2018,3.06,3.23,3.06,3.12,15375,48407
29.08.2018,3.47,3.47,3.21,3.32,24659,83346
28.08.2018,3.44,3.50,3.44,3.46,10544,36673
27.08.2018,3.55,3.55,3.48,3.50,46511,162767
24.08.2018,3.50,3.50,3.49,3.50,74485,260696
23.08.2018,3.70,3.70,3.48,3.50,35515,126117
22.08.2018,3.47,3.52,3.45,3.50,27006,94567
21.08.2018,3.50,3.52,3.47,3.50,34224,119760
20.08.2018,3.50,3.51,3.47,3.50,43801,153016
17.08.2018,3.50,3.50,3.40,3.50,53660,187640
16.08.2018,3.40,3.50,3.40,3.50,20872,71075
14.08.2018,3.43,3.46,3.43,3.45,6511,22440
13.08.2018,3.43,3.43,3.40,3.42,31198,106677
10.08.2018,3.49,3.55,3.42,3.43,22215,76321
09.08.2018,3.60,3.60,3.40,3.49,68656,239854
08.08.2018,3.52,3.55,3.50,3.50,14501,50926
07.08.2018,3.59,3.75,3.52,3.52,38326,139389
06.08.2018,3.58,3.60,3.46,3.50,92846,325400
03.08.2018,3.46,3.46,3.40,3.46,30162,102671
02.08.2018,3.45,3.49,3.35,3.40,85163,289546
01.08.2018,3.40,3.58,3.40,3.40,67275,230059
31.07.2018,3.45,3.47,3.30,3.40,49494,167893
30.07.2018,3.48,3.49,3.40,3.47,42807,146395
27.07.2018,3.38,3.54,3.37,3.48,108791,372834
26.07.2018,3.37,3.41,3.31,3.38,14040,47478
25.07.2018,3.27,3.36,3.27,3.36,2685,8965
24.07.2018,3.36,3.48,3.21,3.36,24637,82695
23.07.2018,3.39,3.39,3.21,3.35,6833,22817
20.07.2018,3.40,3.40,3.15,3.21,10536,33676
19.07.2018,3.40,3.50,3.20,3.29,21954,72997
18.07.2018,3.43,3.60,3.38,3.40,65056,226132
17.07.2018,3.10,3.41,3.10,3.25,137522,450680
16.07.2018,3.10,3.15,3.05,3.10,64069,198385
13.07.2018,3.00,3.07,2.99,3.07,6408,19427
12.07.2018,3.04,3.04,2.95,2.96,47966,141610
11.07.2018,3.00,3.00,2.91,2.95,122355,360900
10.07.2018,2.91,2.98,2.91,2.95,26272,76631
09.07.2018,3.07,3.07,2.91,2.91,23620,69614
06.07.2018,2.86,2.90,2.84,2.90,32602,93188
05.07.2018,2.88,2.92,2.81,2.86,17625,50451
04.07.2018,2.97,2.97,2.84,2.87,57516,164646
03.07.2018,2.99,2.99,2.95,2.95,12970,38650
02.07.2018,3.10,3.10,2.95,2.95,12055,36308
29.06.2018,2.99,3.14,2.96,3.00,34353,104352
28.06.2018,2.98,2.99,2.94,2.97,13903,41217
27.06.2018,2.92,2.92,2.90,2.90,35682,103753
26.06.2018,3.00,3.00,2.90,2.92,8828,25795
25.06.2018,3.05,3.05,2.90,2.90,13930,40776
22.06.2018,2.95,2.98,2.93,2.97,42648,126059
21.06.2018,2.94,2.95,2.93,2.95,6000,17630
20.06.2018,2.98,2.98,2.92,2.92,2504,7318
19.06.2018,3.00,3.00,2.92,2.95,11098,32523
18.06.2018,3.00,3.02,2.94,3.00,14942,44675
15.06.2018,3.02,3.02,2.99,2.99,140252,420790
14.06.2018,3.08,3.08,2.95,3.00,28715,85926
13.06.2018,3.05,3.05,2.91,3.02,73121,217712
12.06.2018,3.14,3.14,3.03,3.10,21966,67813
11.06.2018,3.17,3.19,3.10,3.15,19317,60471
08.06.2018,3.16,3.18,3.01,3.15,57007,175430
