Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,16.50,16.50,16.24,16.50,69,1121
31.10.2018,16.50,16.50,16.50,16.50,2,33
30.10.2018,16.50,16.50,16.50,16.50,1,17
29.10.2018,15.84,16.24,15.84,16.24,20889,334117
26.10.2018,16.24,16.24,15.50,16.24,57,885
25.10.2018,16.50,16.50,15.40,15.82,792,12284
24.10.2018,16.50,16.50,15.60,16.22,281,4452
23.10.2018,16.50,16.50,16.50,16.50,1,17
22.10.2018,15.98,16.50,15.98,16.50,295,4728
19.10.2018,16.00,16.00,15.96,15.98,4,64
18.10.2018,16.00,16.00,16.00,16.00,2,32
17.10.2018,16.04,16.04,15.62,16.00,432,6756
16.10.2018,15.62,15.94,15.62,15.66,323,5088
15.10.2018,16.10,16.10,15.62,16.06,7,110
12.10.2018,16.50,16.50,15.60,16.10,165,2582
11.10.2018,16.00,16.00,15.90,16.00,1130,18030
10.10.2018,17.54,17.54,16.10,16.50,811,13063
09.10.2018,17.54,17.54,16.70,16.88,552,9219
08.10.2018,17.80,17.80,16.80,17.54,2273,38517
05.10.2018,17.36,17.80,17.28,17.80,1265,21883
04.10.2018,17.80,17.80,17.80,17.80,1,18
03.10.2018,17.96,17.96,16.40,16.98,2979,49526
02.10.2018,18.20,18.20,16.80,16.80,2017,34224
01.10.2018,18.00,18.00,18.00,18.00,446,8028
28.09.2018,18.00,18.00,18.00,18.00,42,756
27.09.2018,18.24,18.24,17.50,18.00,368,6464
26.09.2018,16.50,18.00,16.50,18.00,52416,865936
25.09.2018,16.42,16.50,16.10,16.50,1363,22278
24.09.2018,16.50,16.50,16.00,16.44,17222,275857
21.09.2018,15.86,16.00,15.86,15.90,57574,921016
20.09.2018,17.30,17.30,15.86,15.86,141715,2268969
19.09.2018,17.30,17.30,16.86,17.08,2117,36179
18.09.2018,18.00,18.00,16.70,16.86,518,8837
17.09.2018,17.24,17.78,17.10,17.22,1811,31168
14.09.2018,17.78,17.90,17.14,17.90,43,758
13.09.2018,18.00,18.00,17.78,17.78,11,196
12.09.2018,17.76,18.00,17.16,18.00,6,104
11.09.2018,18.00,18.00,17.12,17.78,104,1834
10.09.2018,17.90,17.90,17.90,17.90,10,179
07.09.2018,17.94,17.94,17.94,17.94,12,215
06.09.2018,17.50,17.94,17.20,17.94,37,644
05.09.2018,17.90,17.90,17.00,17.50,1116,19288
04.09.2018,18.10,18.18,17.30,17.88,1563,27909
03.09.2018,19.18,19.18,17.38,17.38,4391,80493
31.08.2018,19.28,19.28,18.84,19.16,5421,103632
30.08.2018,19.40,19.40,18.76,19.30,24887,471998
29.08.2018,18.40,19.40,18.40,19.40,30601,578247
28.08.2018,19.46,19.46,19.46,19.46,1601,31155
27.08.2018,19.18,19.40,19.18,19.40,1222,23686
24.08.2018,19.50,19.50,18.00,19.20,3033,58628
23.08.2018,19.90,19.90,19.46,19.50,1183,23152
22.08.2018,19.50,19.50,18.68,19.50,464,8965
21.08.2018,19.36,19.40,19.36,19.40,351,6797
20.08.2018,19.40,19.40,19.40,19.40,2,39
17.08.2018,19.40,19.40,18.98,19.40,1432,27603
16.08.2018,19.40,19.40,19.40,19.40,2,39
14.08.2018,19.00,19.40,19.00,19.40,441,8379
13.08.2018,18.60,19.00,18.60,19.00,86,1625
10.08.2018,19.00,19.40,19.00,19.40,1348,26012
09.08.2018,19.00,19.40,19.00,19.40,42,798
08.08.2018,19.40,19.40,18.20,19.00,100272,1825116
07.08.2018,19.40,19.40,19.40,19.40,1,19
06.08.2018,19.40,19.40,19.00,19.00,2,38
03.08.2018,19.28,19.50,19.08,19.40,2881,55469
02.08.2018,19.28,19.28,19.28,19.28,2,39
01.08.2018,18.30,19.28,18.30,19.28,1996,38102
31.07.2018,18.24,19.24,18.24,19.24,3422,64498
30.07.2018,17.78,18.24,17.78,18.24,116,2109
27.07.2018,18.26,18.26,17.60,18.00,100864,1785370
26.07.2018,18.26,18.26,17.80,18.26,30253,538555
25.07.2018,18.28,18.28,17.90,18.26,514,9207
24.07.2018,18.50,18.50,18.30,18.30,66,1220
23.07.2018,18.50,18.50,18.50,18.50,2,37
20.07.2018,19.00,19.00,17.82,18.80,509,9145
19.07.2018,18.20,18.20,17.58,18.20,523,9365
18.07.2018,19.00,19.00,17.60,17.60,2736,48543
17.07.2018,19.00,19.00,19.00,19.00,1,19
16.07.2018,18.78,18.80,18.10,18.80,820,15228
13.07.2018,18.80,18.80,18.78,18.78,2,38
12.07.2018,18.80,18.80,18.80,18.80,1,19
11.07.2018,18.80,18.80,18.80,18.80,1,19
10.07.2018,19.00,19.00,19.00,19.00,1,19
09.07.2018,18.50,18.50,18.02,18.02,83,1503
06.07.2018,19.00,19.00,18.58,18.58,2,38
05.07.2018,18.50,18.50,18.20,18.50,572,10552
04.07.2018,19.28,19.28,18.50,18.50,159,2950
03.07.2018,19.28,19.28,18.60,19.10,725,13645
02.07.2018,19.28,19.28,19.28,19.28,1,19
29.06.2018,19.28,19.28,19.20,19.20,51,979
28.06.2018,19.00,19.00,19.00,19.00,55,1045
27.06.2018,19.30,19.30,19.00,19.00,101,1919
26.06.2018,18.96,19.00,18.50,19.00,5527,103241
25.06.2018,18.68,19.00,18.68,19.00,435,8260
22.06.2018,19.00,19.50,19.00,19.00,1252,23805
21.06.2018,19.20,19.20,18.68,19.00,913,17296
20.06.2018,19.00,19.00,18.50,19.00,1087,20616
19.06.2018,19.00,19.00,18.00,19.00,3810,71149
18.06.2018,19.00,19.00,19.00,19.00,12,228
15.06.2018,19.20,19.30,19.00,19.00,391,7517
14.06.2018,19.48,19.48,19.10,19.10,440,8474
13.06.2018,19.90,19.90,18.64,18.64,165,3089
12.06.2018,19.38,19.38,18.60,19.30,1326,25327
11.06.2018,19.50,19.50,18.54,19.20,1052,20197
08.06.2018,19.36,19.36,19.20,19.20,34,653
07.06.2018,19.40,19.40,18.50,19.20,3040,57537
06.06.2018,19.50,19.50,19.50,19.50,154,3003
05.06.2018,20.30,20.30,19.12,19.40,106,2048
04.06.2018,19.50,19.50,19.10,19.50,649,12641
01.06.2018,20.00,20.00,19.18,19.50,2506,48877
30.05.2018,19.80,20.00,19.20,20.00,6550,130369
29.05.2018,19.30,19.80,19.02,19.80,2865,56678
28.05.2018,19.30,20.00,19.30,19.50,35234,687603
25.05.2018,19.30,19.50,17.52,19.40,56193,997516
24.05.2018,19.80,19.80,17.86,19.20,51999,963604
23.05.2018,19.96,19.96,19.20,19.20,1025,19952
22.05.2018,19.32,20.40,19.02,19.16,2100,40947
21.05.2018,19.36,19.36,18.64,19.34,39,740
18.05.2018,19.40,19.40,19.08,19.36,892,17049
17.05.2018,19.40,19.40,18.62,19.18,1548,29099
16.05.2018,19.40,19.40,18.80,19.40,505,9776
15.05.2018,18.70,19.40,18.70,19.40,650,12526
14.05.2018,19.40,19.70,18.60,19.42,2357,44477
11.05.2018,19.40,19.40,18.78,19.40,372,7137
10.05.2018,19.50,19.50,19.20,19.40,491,9448
09.05.2018,19.96,19.96,18.88,19.50,803,15472
08.05.2018,19.96,19.96,18.62,19.68,1486,28498
07.05.2018,20.00,20.00,19.90,19.96,442,8816
04.05.2018,21.00,21.00,19.52,20.00,2313,46006
02.05.2018,21.00,21.00,20.20,20.20,171,3579
30.04.2018,20.50,20.80,20.00,20.80,9102,188895
27.04.2018,20.20,20.70,19.80,20.00,203700,4073925
26.04.2018,20.10,20.20,19.72,20.20,952,19072
25.04.2018,20.30,20.30,19.60,20.30,496,9834
24.04.2018,20.90,20.90,19.70,20.35,505,9965
23.04.2018,20.55,20.55,20.00,20.55,83,1662
20.04.2018,20.65,20.65,19.68,20.00,2639,52575
19.04.2018,20.60,21.00,20.00,20.00,3011,60931
18.04.2018,22.00,22.00,20.65,20.80,1533,32344
17.04.2018,22.00,22.00,21.25,21.65,19958,426398
16.04.2018,22.00,22.40,21.20,22.20,2770,60581
13.04.2018,20.50,22.40,20.10,21.85,45339,934233
12.04.2018,20.30,20.50,20.00,20.50,133345,2668992
11.04.2018,20.45,20.45,19.72,20.30,25,494
10.04.2018,20.50,20.50,19.70,19.82,1584,31836
09.04.2018,20.25,20.55,20.00,20.55,1118,22747
06.04.2018,20.00,20.25,20.00,20.25,42,841
05.04.2018,20.30,20.30,20.00,20.25,153,3072
04.04.2018,20.40,20.40,19.66,20.30,49,985
03.04.2018,19.56,20.40,19.02,20.25,4131,81932
29.03.2018,19.40,19.60,18.80,19.60,21055,409614
28.03.2018,19.36,19.40,19.00,19.40,10452,202347
27.03.2018,19.10,19.36,19.10,19.36,75,1434
26.03.2018,19.36,19.36,19.36,19.36,8,155
23.03.2018,19.30,19.40,19.20,19.36,713,13741
22.03.2018,19.40,19.40,19.30,19.30,1288,24909
21.03.2018,19.30,19.50,19.30,19.40,1257,24367
20.03.2018,18.80,19.30,18.80,19.30,1022,19378
19.03.2018,19.10,19.10,18.92,19.00,172,3266
16.03.2018,19.20,19.20,19.10,19.10,24,459
15.03.2018,19.30,19.30,19.30,19.30,51,984
14.03.2018,19.70,19.70,19.30,19.30,471,9121
13.03.2018,19.70,19.70,19.30,19.30,544,10548
12.03.2018,19.98,19.98,19.20,19.58,2055,40069
09.03.2018,19.40,19.98,19.40,19.98,14519,281758
08.03.2018,19.52,19.68,19.40,19.50,3363,65546
07.03.2018,19.94,19.94,19.50,19.80,542,10614
06.03.2018,19.40,20.00,19.40,19.98,6821,132842
05.03.2018,19.60,19.60,19.10,19.40,371,7193
02.03.2018,19.30,19.48,18.86,19.40,2851,54660
01.03.2018,19.70,19.98,19.20,19.20,1105,21540
28.02.2018,19.56,19.90,19.06,19.90,2220,43663
27.02.2018,20.00,20.00,20.00,20.00,7,140
26.02.2018,19.70,20.20,19.70,20.00,2296,45609
23.02.2018,20.15,20.15,19.26,19.50,3851,76473
22.02.2018,20.45,20.45,19.20,20.30,6416,128285
21.02.2018,20.70,20.70,20.00,20.30,2461,50007
20.02.2018,20.80,20.80,20.40,20.80,596,12316
19.02.2018,20.50,20.95,20.50,20.80,82863,1704415
16.02.2018,20.45,20.50,20.20,20.40,3808,77803
15.02.2018,20.35,20.45,20.25,20.45,3202,65278
14.02.2018,20.10,20.30,20.00,20.20,5379,108783
13.02.2018,19.56,20.40,19.56,19.82,9303,185511
12.02.2018,19.48,19.50,19.46,19.50,11478,223766
09.02.2018,19.02,19.44,18.70,19.40,1894,36227
08.02.2018,19.28,19.50,18.50,19.50,1658,32094
07.02.2018,19.90,19.90,19.30,19.48,190,3682
06.02.2018,19.00,19.30,17.50,19.30,29926,560581
05.02.2018,19.50,19.88,18.80,19.50,13296,255791
02.02.2018,20.00,20.00,20.00,20.00,34,680
01.02.2018,19.82,20.00,19.38,20.00,3713,74030
31.01.2018,19.18,19.84,19.18,19.40,9897,192827
30.01.2018,19.68,19.68,19.08,19.40,20474,396128
29.01.2018,19.08,19.60,19.08,19.60,6525,127552
