Date,Open,Max,Min,Close,Volume,TradeSize
29.03.2018,0.10,0.10,0.10,0.10,41764,4176
28.03.2018,0.12,0.12,0.12,0.12,100,12
27.03.2018,0.12,0.12,0.12,0.12,10,1
26.03.2018,0.12,0.12,0.12,0.12,478,57
23.03.2018,0.14,0.14,0.14,0.14,200,28
22.03.2018,0.14,0.14,0.14,0.14,450,63
20.03.2018,0.16,0.16,0.16,0.16,1808,289
19.03.2018,0.14,0.14,0.14,0.14,888,124
16.03.2018,0.14,0.14,0.14,0.14,8782,1229
13.03.2018,0.15,0.15,0.15,0.15,8184,1228
08.03.2018,0.17,0.17,0.17,0.17,585,99
07.03.2018,0.17,0.17,0.17,0.17,500,85
06.03.2018,0.15,0.15,0.15,0.15,276,41
05.03.2018,0.17,0.17,0.17,0.17,8598,1462
02.03.2018,0.17,0.17,0.17,0.17,500,85
01.03.2018,0.17,0.17,0.17,0.17,1759,299
28.02.2018,0.15,0.15,0.15,0.15,1485,223
26.02.2018,0.15,0.15,0.15,0.15,2414,362
23.02.2018,0.15,0.15,0.15,0.15,8067,1210
22.02.2018,0.17,0.17,0.17,0.17,7755,1318
20.02.2018,0.19,0.19,0.18,0.18,9112,1660
19.02.2018,0.20,0.20,0.19,0.19,18,4
16.02.2018,0.20,0.20,0.20,0.20,7000,1400
15.02.2018,0.19,0.20,0.19,0.20,30959,5948
14.02.2018,0.15,0.16,0.15,0.16,27572,4405
13.02.2018,0.13,0.14,0.13,0.14,18110,2450
09.02.2018,0.13,0.13,0.13,0.13,10880,1414
07.02.2018,0.09,0.09,0.09,0.09,29948,2695
05.02.2018,0.12,0.12,0.12,0.12,2101,252
02.02.2018,0.13,0.13,0.13,0.13,5500,715
01.02.2018,0.12,0.12,0.12,0.12,16709,2005
31.01.2018,0.13,0.13,0.13,0.13,4349,565
29.01.2018,0.15,0.15,0.14,0.14,16452,2304
26.01.2018,0.15,0.15,0.15,0.15,3250,488
24.01.2018,0.15,0.15,0.15,0.15,2303,345
22.01.2018,0.17,0.17,0.17,0.17,1500,255
19.01.2018,0.15,0.15,0.15,0.15,21498,3225
18.01.2018,0.17,0.17,0.15,0.15,2172,329
17.01.2018,0.17,0.17,0.17,0.17,10,2
16.01.2018,0.16,0.16,0.15,0.15,41023,6378
15.01.2018,0.19,0.19,0.19,0.19,10,2
12.01.2018,0.17,0.17,0.17,0.17,3500,595
11.01.2018,0.19,0.19,0.19,0.19,7610,1446
10.01.2018,0.18,0.18,0.18,0.18,7130,1283
09.01.2018,0.19,0.19,0.16,0.16,43621,7072
08.01.2018,0.18,0.20,0.18,0.20,9203,1785
05.01.2018,0.18,0.18,0.18,0.18,26646,4796
29.12.2017,0.20,0.20,0.20,0.20,4350,870
28.12.2017,0.19,0.19,0.19,0.19,5200,988
27.12.2017,0.18,0.18,0.18,0.18,963,173
21.12.2017,0.15,0.15,0.15,0.15,1100,165
20.12.2017,0.20,0.20,0.20,0.20,8373,1675
19.12.2017,0.24,0.25,0.24,0.25,2560,629
18.12.2017,0.24,0.24,0.24,0.24,6350,1524
15.12.2017,0.20,0.22,0.20,0.22,1819,399
14.12.2017,0.19,0.20,0.19,0.20,818,163
13.12.2017,0.19,0.19,0.19,0.19,8150,1549
12.12.2017,0.23,0.23,0.21,0.21,2136,450
11.12.2017,0.24,0.24,0.24,0.24,164,39
07.12.2017,0.26,0.26,0.26,0.26,1500,390
05.12.2017,0.22,0.22,0.22,0.22,2261,497
01.12.2017,0.22,0.22,0.22,0.22,7080,1558
30.11.2017,0.26,0.26,0.26,0.26,7354,1912
29.11.2017,0.23,0.23,0.23,0.23,2010,462
28.11.2017,0.23,0.23,0.23,0.23,7544,1735
27.11.2017,0.27,0.27,0.27,0.27,3620,977
24.11.2017,0.27,0.27,0.27,0.27,5340,1442
22.11.2017,0.32,0.32,0.32,0.32,12,4
20.11.2017,0.29,0.29,0.29,0.29,7725,2240
16.11.2017,0.30,0.30,0.30,0.30,3764,1129
02.10.2017,0.36,0.36,0.36,0.36,1000,360
28.09.2017,0.33,0.33,0.33,0.33,1690,558
27.09.2017,0.30,0.30,0.30,0.30,28,8
25.09.2017,0.33,0.33,0.33,0.33,2865,945
22.09.2017,0.31,0.31,0.31,0.31,1000,310
21.09.2017,0.30,0.30,0.30,0.30,200,60
19.09.2017,0.30,0.30,0.30,0.30,100,30
18.09.2017,0.29,0.30,0.29,0.30,1029,306
14.09.2017,0.30,0.30,0.30,0.30,999,300
13.09.2017,0.30,0.30,0.30,0.30,13,4
06.09.2017,0.29,0.29,0.29,0.29,90,26
31.08.2017,0.29,0.29,0.29,0.29,224,65
29.08.2017,0.29,0.29,0.29,0.29,300,87
25.08.2017,0.29,0.29,0.29,0.29,580,168
23.08.2017,0.31,0.31,0.31,0.31,67,21
22.08.2017,0.31,0.31,0.31,0.31,1,0
21.08.2017,0.31,0.31,0.31,0.31,7010,2173
18.08.2017,0.31,0.31,0.31,0.31,10,3
17.08.2017,0.31,0.31,0.31,0.31,2400,744
16.08.2017,0.30,0.30,0.30,0.30,500,150
14.08.2017,0.29,0.29,0.29,0.29,500,145
11.08.2017,0.28,0.28,0.28,0.28,40,11
10.08.2017,0.29,0.29,0.29,0.29,500,145
09.08.2017,0.28,0.28,0.28,0.28,150,42
08.08.2017,0.28,0.28,0.28,0.28,1017,285
07.08.2017,0.30,0.30,0.30,0.30,300,90
04.08.2017,0.31,0.31,0.31,0.31,700,217
02.08.2017,0.28,0.28,0.28,0.28,200,56
28.07.2017,0.27,0.27,0.27,0.27,100,27
27.07.2017,0.25,0.27,0.25,0.27,4276,1073
17.07.2017,0.31,0.31,0.31,0.31,2170,673
13.07.2017,0.31,0.31,0.31,0.31,300,93
12.07.2017,0.31,0.31,0.31,0.31,613,190
07.07.2017,0.31,0.31,0.31,0.31,3500,1085
