Date,Open,Max,Min,Close,Volume,TradeSize
26.09.2018,0.28,0.28,0.28,0.28,1499,420
25.09.2018,0.27,0.27,0.27,0.27,3241,875
24.09.2018,0.29,0.29,0.26,0.26,15,4
18.09.2018,0.30,0.30,0.30,0.30,350,105
11.09.2018,0.30,0.30,0.30,0.30,220,66
07.09.2018,0.29,0.29,0.29,0.29,1472,427
06.09.2018,0.29,0.30,0.29,0.30,10010,2903
05.09.2018,0.31,0.31,0.30,0.30,10128,3138
30.08.2018,0.32,0.32,0.32,0.32,100,32
29.08.2018,0.32,0.32,0.32,0.32,10,3
28.08.2018,0.31,0.31,0.31,0.31,1655,513
27.08.2018,0.32,0.32,0.32,0.32,10,3
20.08.2018,0.32,0.32,0.32,0.32,30,10
17.08.2018,0.31,0.31,0.30,0.30,159,48
16.08.2018,0.30,0.30,0.30,0.30,7000,2100
14.08.2018,0.32,0.33,0.32,0.33,10897,3576
13.08.2018,0.33,0.33,0.33,0.33,10,3
10.08.2018,0.29,0.32,0.29,0.32,11053,3485
09.08.2018,0.28,0.28,0.28,0.28,1720,482
07.08.2018,0.30,0.30,0.29,0.29,4345,1263
06.08.2018,0.30,0.30,0.30,0.30,960,288
03.08.2018,0.30,0.30,0.30,0.30,1860,558
02.08.2018,0.30,0.30,0.30,0.30,8020,2406
01.08.2018,0.29,0.29,0.29,0.29,6150,1784
30.07.2018,0.29,0.29,0.29,0.29,300,87
27.07.2018,0.29,0.29,0.29,0.29,50,15
26.07.2018,0.26,0.27,0.26,0.27,5536,1442
25.07.2018,0.27,0.27,0.27,0.27,4500,1215
24.07.2018,0.29,0.29,0.29,0.29,4500,1305
23.07.2018,0.29,0.29,0.29,0.29,10,3
20.07.2018,0.30,0.30,0.29,0.29,1927,571
19.07.2018,0.29,0.29,0.29,0.29,1200,348
17.07.2018,0.30,0.30,0.30,0.30,22971,6891
16.07.2018,0.28,0.29,0.28,0.29,17401,5007
13.07.2018,0.26,0.28,0.26,0.28,6216,1628
12.07.2018,0.27,0.27,0.27,0.27,10,3
11.07.2018,0.26,0.26,0.26,0.26,7078,1840
10.07.2018,0.27,0.27,0.26,0.26,4821,1276
09.07.2018,0.29,0.29,0.29,0.29,2000,580
04.07.2018,0.30,0.30,0.30,0.30,10,3
03.07.2018,0.27,0.27,0.27,0.27,400,108
29.06.2018,0.30,0.30,0.30,0.30,20,6
28.06.2018,0.30,0.30,0.30,0.30,10300,3090
27.06.2018,0.29,0.30,0.29,0.30,8363,2437
26.06.2018,0.28,0.28,0.28,0.28,95554,26755
