Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,7.00,7.00,6.96,6.96,1030,7207
29.10.2018,7.00,7.00,7.00,7.00,230,1610
26.10.2018,7.12,7.12,6.90,7.00,1987,13906
25.10.2018,7.18,7.18,7.16,7.16,1268,9086
24.10.2018,7.16,7.16,7.16,7.16,7,50
23.10.2018,7.16,7.16,7.16,7.16,277,1983
22.10.2018,7.36,7.50,7.16,7.16,1410,10207
19.10.2018,7.20,7.26,7.20,7.26,604,4355
18.10.2018,7.18,7.20,7.18,7.20,1090,7845
17.10.2018,7.10,7.10,7.08,7.08,590,4187
16.10.2018,6.90,7.00,6.90,7.00,2970,20735
15.10.2018,6.64,6.82,6.64,6.80,807,5465
12.10.2018,6.82,6.82,6.52,6.82,1717,11342
11.10.2018,6.76,6.76,6.76,6.76,7,47
10.10.2018,6.76,6.76,6.76,6.76,175,1183
09.10.2018,6.54,6.70,6.54,6.70,2066,13513
05.10.2018,6.80,6.80,6.70,6.70,130,872
04.10.2018,6.70,6.70,6.70,6.70,380,2546
03.10.2018,6.64,6.80,6.64,6.80,375,2510
02.10.2018,6.70,6.70,6.68,6.68,888,5936
01.10.2018,6.72,6.72,6.72,6.72,1117,7506
28.09.2018,6.70,6.72,6.64,6.72,3057,20389
27.09.2018,6.68,6.68,6.68,6.68,1000,6680
26.09.2018,6.72,6.72,6.72,6.72,40,269
25.09.2018,6.60,6.72,6.54,6.72,2125,14028
24.09.2018,6.70,6.80,6.60,6.60,7528,50525
21.09.2018,6.60,6.70,6.60,6.70,380,2528
20.09.2018,6.52,6.60,6.50,6.60,4620,30106
19.09.2018,6.68,6.68,6.52,6.52,6035,39565
18.09.2018,6.70,6.74,6.70,6.74,746,4998
17.09.2018,6.70,6.80,6.70,6.80,589,3951
14.09.2018,6.68,6.70,6.44,6.70,5299,34625
13.09.2018,6.80,6.80,6.68,6.68,508,3437
12.09.2018,6.80,6.80,6.70,6.80,325,2190
11.09.2018,6.88,6.88,6.88,6.88,100,688
10.09.2018,6.90,6.90,6.70,6.88,89,612
07.09.2018,6.90,6.90,6.70,6.90,3897,26741
06.09.2018,7.00,7.18,6.66,6.90,9129,62039
05.09.2018,6.96,7.20,6.96,7.20,3356,23527
04.09.2018,7.48,7.48,6.94,6.96,2222,15559
03.09.2018,7.68,7.68,7.24,7.24,10039,74032
31.08.2018,7.70,7.70,7.68,7.68,1159,8921
30.08.2018,7.80,7.80,7.80,7.80,1935,15093
29.08.2018,8.02,8.02,8.00,8.00,677,5417
28.08.2018,8.00,8.04,7.88,8.02,2322,18587
27.08.2018,7.90,8.00,7.90,7.98,876,6973
24.08.2018,7.62,7.98,7.62,7.90,7041,54719
23.08.2018,7.50,7.60,7.50,7.60,185,1406
22.08.2018,7.40,7.50,7.40,7.50,604,4515
21.08.2018,7.50,7.50,7.50,7.50,60,450
20.08.2018,7.54,7.68,7.54,7.68,273,2064
17.08.2018,7.42,7.54,7.42,7.54,241,1799
16.08.2018,7.42,7.42,7.42,7.42,10,74
14.08.2018,7.32,7.32,7.32,7.32,277,2028
13.08.2018,7.30,7.30,7.30,7.30,1100,8030
10.08.2018,7.30,7.30,7.26,7.28,360,2623
09.08.2018,7.30,7.30,7.14,7.14,916,6622
07.08.2018,7.28,7.32,7.28,7.32,1383,10100
06.08.2018,7.58,7.58,7.30,7.30,1200,8808
03.08.2018,7.50,7.80,7.50,7.62,8129,62563
02.08.2018,7.56,7.56,7.50,7.50,3578,26840
01.08.2018,7.46,7.58,7.44,7.48,792,5944
31.07.2018,7.54,7.54,7.26,7.26,10528,77204
30.07.2018,7.60,7.60,7.32,7.56,339,2521
27.07.2018,7.58,7.60,7.58,7.60,700,5318
26.07.2018,7.52,7.60,7.52,7.60,230,1738
25.07.2018,7.56,7.60,7.52,7.60,1901,14353
24.07.2018,7.46,7.54,7.46,7.54,936,7020
23.07.2018,7.36,7.46,7.36,7.46,345,2546
20.07.2018,7.20,7.36,7.20,7.36,818,5898
19.07.2018,7.34,7.34,7.12,7.20,1913,13945
18.07.2018,7.30,7.30,7.30,7.30,250,1825
17.07.2018,7.18,7.20,7.10,7.20,1511,10824
16.07.2018,7.18,7.20,6.86,7.18,740,5321
13.07.2018,7.04,7.28,6.58,7.28,8182,56066
12.07.2018,7.22,7.22,7.00,7.20,1003,7121
11.07.2018,7.38,7.38,7.22,7.28,3213,23438
10.07.2018,7.36,7.38,7.34,7.38,2068,15200
09.07.2018,7.60,7.60,7.52,7.58,392,2964
06.07.2018,7.60,7.60,7.60,7.60,38,289
05.07.2018,7.78,7.78,7.78,7.78,44,342
03.07.2018,7.58,7.80,7.58,7.80,1066,8100
02.07.2018,7.60,7.76,7.52,7.60,1667,12602
29.06.2018,7.60,7.60,7.60,7.60,800,6080
27.06.2018,7.58,7.76,7.58,7.76,2,15
26.06.2018,7.70,7.84,7.70,7.84,65,501
22.06.2018,7.86,7.86,7.86,7.86,13,102
21.06.2018,7.86,7.86,7.86,7.86,520,4087
19.06.2018,7.58,7.86,7.58,7.86,401,3040
18.06.2018,7.84,7.84,7.84,7.84,5,39
15.06.2018,7.84,7.84,7.56,7.84,555,4224
14.06.2018,7.80,7.84,7.66,7.84,315,2433
13.06.2018,7.86,7.86,7.62,7.86,771,5900
12.06.2018,7.80,7.88,7.80,7.88,501,3908
08.06.2018,7.90,7.90,7.90,7.90,1,8
06.06.2018,7.80,7.80,7.66,7.80,1132,8829
05.06.2018,7.62,8.00,7.62,7.80,1164,9065
04.06.2018,8.00,8.00,7.62,7.62,3525,27512
01.06.2018,7.96,8.00,7.96,8.00,751,5978
30.05.2018,8.00,8.00,8.00,8.00,400,3200
28.05.2018,8.02,8.02,8.02,8.02,167,1339
25.05.2018,8.02,8.02,8.00,8.00,295,2363
21.05.2018,8.10,8.10,8.00,8.00,1367,11010
18.05.2018,7.90,8.08,7.74,8.08,1600,12530
17.05.2018,8.00,8.10,7.82,8.10,2626,21144
16.05.2018,7.74,7.98,7.74,7.98,340,2680
15.05.2018,7.74,7.98,7.72,7.98,653,5146
14.05.2018,8.00,8.00,8.00,8.00,120,960
11.05.2018,8.02,8.06,8.02,8.06,560,4503
10.05.2018,8.00,8.02,8.00,8.02,235,1881
08.05.2018,7.90,8.08,7.90,8.08,668,5337
07.05.2018,8.00,8.00,8.00,8.00,1,8
02.05.2018,8.00,8.00,8.00,8.00,163,1304
30.04.2018,7.74,8.00,7.72,8.00,1941,15331
27.04.2018,7.76,8.00,7.72,8.00,2873,22694
26.04.2018,8.00,8.00,8.00,8.00,926,7408
25.04.2018,8.00,8.10,7.74,8.10,8284,65837
24.04.2018,7.94,8.08,7.94,8.08,2746,21976
