Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,14.70,14.70,14.50,14.60,110,1613
27.09.2018,14.70,14.70,14.70,14.70,15,221
26.09.2018,15.60,15.60,14.70,14.70,636,9418
25.09.2018,15.80,15.80,15.60,15.60,10,157
24.09.2018,15.80,15.80,15.80,15.80,7,111
21.09.2018,15.80,15.80,15.80,15.80,28,442
20.09.2018,15.80,15.80,15.80,15.80,10,158
19.09.2018,15.90,15.90,15.90,15.90,10,159
18.09.2018,15.90,15.90,15.90,15.90,5,80
17.09.2018,15.90,15.90,15.90,15.90,5,80
13.09.2018,15.90,15.90,15.90,15.90,5,80
12.09.2018,15.90,15.90,15.90,15.90,10,159
11.09.2018,16.00,16.00,16.00,16.00,10,160
10.09.2018,16.00,16.00,16.00,16.00,5,80
27.08.2018,16.00,16.00,16.00,16.00,15,240
17.08.2018,16.40,16.40,16.40,16.40,10,164
16.08.2018,16.30,16.30,16.30,16.30,38,619
10.08.2018,16.20,16.90,16.20,16.90,468,7585
09.08.2018,16.90,16.90,16.90,16.90,10,169
08.08.2018,16.20,16.20,15.80,15.80,33,531
07.08.2018,17.00,17.00,16.50,16.50,492,8260
01.08.2018,17.40,17.40,17.40,17.40,6,104
31.07.2018,17.00,17.50,17.00,17.50,5,86
27.07.2018,17.80,17.80,17.80,17.80,10,178
26.07.2018,18.70,18.70,17.90,17.90,95,1717
25.07.2018,18.80,18.80,18.80,18.80,28,526
20.07.2018,18.90,18.90,18.90,18.90,2,38
10.07.2018,17.40,19.00,17.40,19.00,210,3766
02.07.2018,18.60,19.30,18.60,19.30,55,1055
22.06.2018,19.30,19.40,19.30,19.40,30,581
19.06.2018,19.00,19.40,19.00,19.40,167,3234
08.06.2018,19.70,19.80,19.70,19.80,40,789
29.05.2018,19.40,19.80,19.40,19.80,160,3115
28.05.2018,19.30,19.50,19.30,19.50,50,967
24.05.2018,19.30,19.30,19.30,19.30,10,193
23.05.2018,19.50,19.50,19.50,19.50,100,1950
22.05.2018,19.40,19.40,19.40,19.40,45,873
18.05.2018,19.90,19.90,19.90,19.90,5,100
15.05.2018,19.90,20.20,19.90,19.90,42,839
11.05.2018,19.90,20.80,19.50,19.50,51,1009
09.05.2018,19.60,19.90,17.70,19.90,139,2629
07.05.2018,20.00,20.00,20.00,20.00,3,60
30.04.2018,20.20,20.20,20.00,20.00,34,685
27.04.2018,21.00,21.40,21.00,21.40,20,424
26.04.2018,20.80,20.80,19.80,20.60,260,5302
25.04.2018,20.00,21.80,19.80,20.60,41,854
24.04.2018,18.60,19.60,18.60,19.50,510,9604
19.04.2018,18.90,18.90,18.90,18.90,10,189
18.04.2018,19.00,19.00,19.00,19.00,5,95
17.04.2018,19.00,19.00,19.00,19.00,25,475
09.04.2018,19.20,19.20,19.20,19.20,40,768
06.04.2018,19.20,19.20,19.20,19.20,10,192
03.04.2018,19.40,19.40,19.40,19.40,10,194
27.03.2018,17.70,19.40,17.70,19.40,65,1193
21.03.2018,19.50,19.50,19.50,19.50,100,1950
20.03.2018,19.00,19.00,19.00,19.00,100,1900
16.03.2018,21.00,21.00,19.50,19.50,6945,139103
15.03.2018,20.00,21.40,20.00,21.40,1878,38621
14.03.2018,20.00,20.00,20.00,20.00,390,7800
13.03.2018,20.20,20.20,20.20,20.20,30,606
12.03.2018,20.40,20.40,20.40,20.40,458,9343
08.03.2018,20.40,20.40,20.40,20.40,60,1224
02.03.2018,21.20,21.20,19.30,20.60,1670,34743
01.03.2018,21.60,21.60,21.40,21.40,185,3976
23.02.2018,21.80,21.80,21.80,21.80,859,18726
22.02.2018,21.80,21.80,21.80,21.80,9,196
21.02.2018,21.80,21.80,21.80,21.80,632,13778
20.02.2018,22.20,22.20,21.80,21.80,504,11148
16.02.2018,22.20,22.20,22.20,22.20,101,2242
15.02.2018,22.20,22.20,20.00,22.20,1328,29153
12.02.2018,22.40,22.40,22.40,22.40,1495,33488
09.02.2018,22.60,22.60,22.40,22.40,294,6631
08.02.2018,22.40,22.40,22.40,22.40,14,314
07.02.2018,22.40,22.40,22.40,22.40,798,17875
06.02.2018,22.40,22.40,22.40,22.40,1928,43187
05.02.2018,22.40,22.40,22.40,22.40,397,8893
02.02.2018,22.40,22.40,22.40,22.40,833,18659
01.02.2018,22.40,22.40,22.40,22.40,1007,22557
31.01.2018,22.40,22.40,22.40,22.40,225,5040
26.01.2018,22.40,22.40,22.40,22.40,15,336
25.01.2018,22.40,22.40,22.40,22.40,100,2240
24.01.2018,22.40,22.40,22.40,22.40,1044,23386
23.01.2018,22.40,22.60,22.40,22.60,329,7386
22.01.2018,22.20,22.20,22.20,22.20,100,2220
19.01.2018,22.20,22.20,22.20,22.20,110,2442
17.01.2018,22.20,22.20,22.20,22.20,100,2220
16.01.2018,22.20,22.20,22.20,22.20,610,13542
15.01.2018,22.20,22.20,22.20,22.20,1330,29526
12.01.2018,22.20,22.20,22.20,22.20,1741,38650
10.01.2018,22.20,22.20,22.20,22.20,387,8591
09.01.2018,22.20,22.20,22.20,22.20,240,5328
08.01.2018,22.20,22.20,22.20,22.20,801,17782
04.01.2018,22.20,22.20,22.20,22.20,45,999
03.01.2018,22.20,22.20,22.20,22.20,25,555
29.12.2017,22.20,22.20,22.20,22.20,112,2486
28.12.2017,22.20,22.20,22.20,22.20,120,2664
27.12.2017,22.19,22.21,22.19,22.21,177,3928
22.12.2017,22.06,22.34,22.06,22.34,246,5475
21.12.2017,22.17,22.19,22.17,22.19,1357,30092
20.12.2017,22.12,22.28,22.12,22.28,1346,29828
19.12.2017,22.35,22.35,22.25,22.28,675,15040
18.12.2017,22.31,22.36,22.27,22.35,3220,71810
15.12.2017,20.70,21.00,20.70,21.00,386,8014
14.12.2017,20.70,20.70,20.70,20.70,6,124
13.12.2017,21.00,21.00,20.81,20.81,213,4461
11.12.2017,21.23,21.45,21.00,21.00,1682,35960
07.12.2017,19.22,21.00,18.00,21.00,3922,76915
06.12.2017,20.43,20.68,20.43,20.68,658,13550
29.11.2017,20.20,20.43,20.20,20.43,36,730
28.11.2017,20.20,20.20,20.20,20.20,43,869
27.11.2017,20.25,20.39,20.25,20.39,1471,29928
23.11.2017,19.40,19.40,19.40,19.40,140,2716
22.11.2017,19.40,19.45,19.40,19.45,110,2139
21.11.2017,20.43,20.43,20.30,20.30,374,7599
16.11.2017,20.43,20.43,20.43,20.43,190,3882
14.11.2017,20.65,20.65,20.65,20.65,50,1033
13.11.2017,20.80,20.80,20.80,20.80,793,16494
10.11.2017,20.70,20.70,20.70,20.70,185,3830
09.11.2017,20.70,20.70,20.70,20.70,540,11178
02.11.2017,20.75,20.75,20.75,20.75,450,9338
30.10.2017,20.73,20.75,20.73,20.75,153,3172
27.10.2017,20.75,20.75,20.75,20.75,235,4876
26.10.2017,20.69,20.75,20.69,20.75,1141,23615
25.10.2017,20.61,20.61,20.61,20.61,300,6183
23.10.2017,21.48,21.48,20.90,20.90,480,10133
20.10.2017,21.00,21.00,21.00,21.00,670,14070
19.10.2017,21.00,21.00,21.00,21.00,150,3150
18.10.2017,21.54,21.54,21.00,21.00,504,10588
17.10.2017,20.40,21.63,20.40,21.63,1099,22788
