Date,Open,Max,Min,Close,Volume,TradeSize
31.10.2018,28.80,30.00,28.80,30.00,421,12336
30.10.2018,28.80,28.80,28.80,28.80,2,58
29.10.2018,28.80,28.80,28.80,28.80,2,58
26.10.2018,29.00,29.00,29.00,29.00,3,87
24.10.2018,29.00,29.00,29.00,29.00,600,17400
23.10.2018,30.00,30.00,30.00,30.00,1,30
19.10.2018,30.20,30.20,30.20,30.20,20,604
17.10.2018,30.20,30.20,30.20,30.20,3,91
16.10.2018,29.60,29.60,29.00,29.00,521,15404
12.10.2018,30.20,30.20,30.20,30.20,102,3080
11.10.2018,30.00,30.00,30.00,30.00,1,30
10.10.2018,30.00,30.40,30.00,30.00,73,2191
09.10.2018,29.60,29.60,29.60,29.60,1,30
08.10.2018,30.00,30.00,29.60,29.60,9,267
05.10.2018,30.20,30.20,30.00,30.00,97,2917
04.10.2018,30.00,30.00,30.00,30.00,7,210
03.10.2018,31.80,31.80,30.00,30.00,181,5432
02.10.2018,31.00,31.00,31.00,31.00,3,93
01.10.2018,31.00,31.00,31.00,31.00,7,217
28.09.2018,31.00,31.00,31.00,31.00,12,372
27.09.2018,30.80,30.80,30.80,30.80,2,62
26.09.2018,29.60,30.00,29.60,30.00,272,8055
24.09.2018,30.00,30.00,30.00,30.00,10,300
21.09.2018,31.80,31.80,30.00,30.00,8,242
20.09.2018,31.00,31.00,30.00,30.00,15,455
19.09.2018,33.60,33.60,30.00,31.20,60,1824
14.09.2018,31.60,31.60,31.60,31.60,632,19971
13.09.2018,28.80,31.60,28.40,31.60,209,6383
12.09.2018,31.20,31.20,28.40,28.40,86,2581
10.09.2018,33.00,33.00,33.00,33.00,21,693
07.09.2018,33.00,33.00,33.00,33.00,28,924
06.09.2018,34.00,34.00,33.00,34.00,434,14721
05.09.2018,30.00,30.00,28.20,28.60,1271,37649
04.09.2018,33.00,33.00,33.00,33.00,35,1155
03.09.2018,34.00,34.00,33.00,34.00,1621,55098
31.08.2018,35.00,35.00,34.00,34.00,454,15739
30.08.2018,35.20,35.20,32.00,34.80,138,4530
29.08.2018,37.40,39.00,36.00,36.00,967,35855
28.08.2018,31.80,38.20,31.80,37.20,4327,152177
27.08.2018,25.40,29.00,25.40,29.00,512,14600
24.08.2018,23.80,23.80,23.80,23.80,1,24
23.08.2018,24.00,24.00,23.80,23.80,505,12119
22.08.2018,24.00,24.00,24.00,24.00,500,12000
21.08.2018,24.00,24.00,24.00,24.00,78,1872
20.08.2018,24.00,24.00,23.40,23.40,581,13895
17.08.2018,25.60,25.60,25.40,25.40,300,7660
16.08.2018,25.40,25.60,25.40,25.60,648,16483
14.08.2018,22.60,27.00,22.60,27.00,1180,28025
13.08.2018,20.00,21.00,20.00,21.00,650,13108
07.08.2018,20.00,20.00,20.00,20.00,30,600
06.08.2018,20.80,20.80,20.80,20.80,50,1040
02.08.2018,21.00,21.00,21.00,21.00,2,42
30.07.2018,20.40,20.40,20.00,20.00,870,17548
27.07.2018,21.00,21.00,20.20,20.20,380,7680
26.07.2018,21.60,21.60,21.00,21.00,77,1618
25.07.2018,21.00,21.00,21.00,21.00,360,7560
24.07.2018,21.80,21.80,21.80,21.80,3,65
23.07.2018,21.40,21.40,21.00,21.00,400,8404
18.07.2018,22.80,22.80,22.80,22.80,115,2622
17.07.2018,22.00,22.00,22.00,22.00,88,1936
16.07.2018,20.00,21.60,20.00,21.60,102,2200
12.07.2018,20.00,20.00,20.00,20.00,450,9000
11.07.2018,21.00,21.00,21.00,21.00,45,945
