Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,4.90,4.90,4.90,4.90,2,10
31.10.2018,4.90,4.90,4.90,4.90,2,10
30.10.2018,4.90,4.90,4.90,4.90,2,10
29.10.2018,4.90,4.90,4.90,4.90,2,10
26.10.2018,4.86,4.90,4.86,4.90,2,10
25.10.2018,4.98,4.98,4.86,4.86,1651,8024
24.10.2018,4.98,4.98,4.98,4.98,2,10
23.10.2018,4.98,4.98,4.98,4.98,2,10
22.10.2018,4.98,4.98,4.98,4.98,2,10
19.10.2018,5.00,5.00,4.98,4.98,1202,5986
18.10.2018,4.98,4.98,4.98,4.98,2000,9960
16.10.2018,4.94,4.94,4.94,4.94,300,1482
12.10.2018,4.98,4.98,4.70,4.82,960,4550
11.10.2018,5.65,5.65,5.30,5.30,1451,7691
10.10.2018,5.45,5.65,5.45,5.65,984,5422
05.10.2018,4.36,4.78,4.26,4.78,2835,12989
04.10.2018,4.36,4.36,4.20,4.20,667,2802
03.10.2018,4.36,4.36,4.06,4.36,575,2341
02.10.2018,4.36,4.36,4.08,4.08,204,833
01.10.2018,4.36,4.36,4.36,4.36,1,4
28.09.2018,4.18,4.36,4.18,4.36,125,523
27.09.2018,4.36,4.36,4.36,4.36,2,9
26.09.2018,4.36,4.36,4.36,4.36,2,9
25.09.2018,4.36,4.36,4.20,4.36,335,1407
24.09.2018,4.36,4.36,4.36,4.36,2,9
21.09.2018,4.36,4.36,4.20,4.20,233,979
20.09.2018,4.50,4.50,4.36,4.36,2,9
19.09.2018,4.34,4.34,4.20,4.20,1651,6934
18.09.2018,4.34,4.34,4.34,4.34,2,9
17.09.2018,4.34,4.34,4.34,4.34,1081,4692
14.09.2018,4.50,4.50,4.28,4.34,602,2583
13.09.2018,4.50,4.50,4.50,4.50,1,5
12.09.2018,4.50,4.50,4.50,4.50,1,5
11.09.2018,4.50,4.50,4.50,4.50,1,5
10.09.2018,4.50,4.50,4.50,4.50,1,5
07.09.2018,4.50,4.50,4.20,4.20,571,2399
06.09.2018,4.66,4.66,4.20,4.20,3366,14524
05.09.2018,4.66,4.66,4.66,4.66,1,5
04.09.2018,4.30,4.30,4.30,4.30,194,834
03.09.2018,4.36,4.36,4.36,4.36,601,2620
31.08.2018,4.12,4.36,4.12,4.36,2101,8692
30.08.2018,3.98,3.98,3.98,3.98,1378,5484
28.08.2018,3.94,3.94,3.94,3.94,1099,4330
27.08.2018,3.82,3.94,3.82,3.94,1101,4206
24.08.2018,3.84,3.84,3.84,3.84,66,253
23.08.2018,3.84,3.84,3.82,3.84,1430,5479
17.08.2018,4.16,4.16,4.16,4.16,25,104
16.08.2018,4.26,4.26,4.26,4.26,765,3259
08.08.2018,4.26,4.26,4.26,4.26,133,567
12.07.2018,4.80,4.80,4.80,4.80,902,4330
11.07.2018,4.80,4.80,4.80,4.80,2000,9600
06.07.2018,4.60,4.60,4.60,4.60,41,189
29.06.2018,4.60,4.64,4.60,4.60,761,3519
28.06.2018,4.80,4.80,4.80,4.80,601,2885
25.06.2018,4.80,4.80,4.80,4.80,50,240
12.06.2018,4.94,4.94,4.74,4.78,423,2014
11.06.2018,4.74,4.74,4.74,4.74,395,1872
06.06.2018,4.94,4.94,4.94,4.94,200,988
04.06.2018,4.94,4.94,4.94,4.94,1,5
29.05.2018,4.74,4.74,4.74,4.74,40,190
24.05.2018,4.92,4.92,4.76,4.76,1690,8300
18.05.2018,5.10,5.10,4.92,4.92,953,4741
09.05.2018,5.65,5.65,5.10,5.10,601,3081
08.05.2018,5.70,5.70,5.70,5.70,1,6
07.05.2018,5.65,5.65,5.65,5.65,2,11
04.05.2018,5.70,5.70,5.10,5.30,1410,7217
02.05.2018,4.76,5.20,4.76,5.20,4305,21859
25.04.2018,4.72,4.72,4.72,4.72,333,1572
